NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	7.66256e-008	7.87962e-008	8.66872e-008	1.03513e-007	1.33163e-007	1.75714e-007	2.27522e-007	2.85443e-007	3.57316e-007	4.74138e-007	7.06886e-007	1.191e-006	2.22411e-006	4.29274e-006	1.09429e-005	2.03013e-005	3.01648e-005	3.7464e-005	4.03299e-005	3.93071e-005	3.65342e-005	2.94925e-005	2.62962e-005	2.66871e-005	3.02256e-005	3.59683e-005	4.20123e-005	4.59919e-005	4.66139e-005	4.46669e-005	4.23893e-005	3.67306e-005	3.71353e-005	4.61255e-005	7.08493e-005	0.000129924	0.000268881	0.000590671	0.00129767	0.00270856	0.00518854	0.00785115	0.0114068	0.0164716	0.023823	0.0336904	0.0451991	0.0570754	0.0693158	0.083503	0.100382	0.114062	0.122195	0.114186	0.0887109	0.0559888	0.028455	0.0116234	0.0038207	0.00101336	0.00021769	3.8073e-005	
N2	1.8824e-007	6.16003e-008	8.27771e-008	1.18638e-007	1.83545e-007	3.0649e-007	5.4108e-007	9.74524e-007	1.72183e-006	2.88418e-006	4.46625e-006	6.30382e-006	8.07889e-006	9.46286e-006	1.01941e-005	1.04585e-005	1.03638e-005	1.00879e-005	9.83557e-006	9.82128e-006	1.01667e-005	1.0903e-005	1.16459e-005	1.22314e-005	1.26123e-005	1.29253e-005	1.34687e-005	1.47852e-005	1.79876e-005	2.55353e-005	4.30859e-005	8.50453e-005	0.000182987	0.000407344	0.000897181	0.00189509	0.00376562	0.00698199	0.0121116	0.0198418	0.0309315	0.0463786	0.0654053	0.0865457	0.106749	0.121623	0.126374	0.117969	0.0974627	0.0703161	0.0438006	0.023515	0.0106508	0.00406734	0.00130591	0.000353233	8.16092e-005	1.68135e-005	3.40049e-006	7.58286e-007	1.87953e-007	4.68377e-008	
N3	1.12256e-006	5.08646e-007	6.77116e-007	8.56706e-007	1.02659e-006	1.17052e-006	1.28597e-006	1.38413e-006	1.48005e-006	1.58101e-006	1.68184e-006	1.76502e-006	1.82534e-006	1.85482e-006	1.84104e-006	1.83319e-006	1.85747e-006	1.96975e-006	2.2564e-006	2.87065e-006	4.13414e-006	6.89579e-006	1.3235e-005	2.93673e-005	7.40898e-005	0.000203424	0.000572046	0.00155779	0.00395034	0.00911787	0.0189286	0.0355521	0.0592335	0.0877196	0.115319	0.134429	0.138802	0.126807	0.102392	0.0729935	0.0458874	0.0256031	0.0124935	0.00535171	0.00201064	0.00066231	0.000191453	4.87346e-005	1.10192e-005	2.25476e-006	4.32372e-007	8.23376e-008	1.61878e-008	3.36668e-009	7.19629e-010	1.51398e-010	3.03617e-011	5.70582e-012	9.9814e-013	1.62417e-013	2.46332e-014	3.49257e-015	
N4	1.42641e-006	2.04962e-007	2.20463e-007	2.36695e-007	2.52102e-007	2.68694e-007	2.94427e-007	3.45915e-007	4.56784e-007	7.0129e-007	1.24473e-006	2.42631e-006	4.92852e-006	1.01243e-005	2.13008e-005	5.00976e-005	0.000140796	0.000459745	0.00154837	0.0048215	0.0130698	0.0304642	0.0594239	0.0973554	0.13438	0.156949	0.155819	0.132091	0.0960171	0.0600844	0.0324876	0.0153461	0.00626593	0.00223255	0.000697323	0.00019207	4.70412e-005	1.03682e-005	2.0921e-006	3.95318e-007	7.17599e-008	1.28569e-008	2.27315e-009	3.994e-010	6.92234e-011	1.1729e-011	1.92723e-012	3.04993e-013	4.6234e-014	6.68937e-015	9.22175e-016	1.21506e-016	1.514e-017	1.78757e-018	1.98992e-019	2.0771e-020	2.02447e-021	1.83963e-022	1.56085e-023	1.24133e-024	9.30151e-026	6.60612e-027	
N5	2.09024e-007	6.84996e-008	1.17181e-007	2.22188e-007	4.72906e-007	1.07655e-006	2.42182e-006	5.08151e-006	9.93945e-006	1.99686e-005	5.07441e-005	0.000187638	0.000856929	0.00370499	0.0129278	0.0355498	0.0762418	0.128337	0.171268	0.183118	0.158432	0.112898	0.065803	0.0317809	0.0128154	0.00434781	0.00125147	0.000308722	6.61366e-005	1.25282e-005	2.14998e-006	3.45895e-007	5.30007e-008	7.95756e-009	1.1801e-009	1.72775e-010	2.48566e-011	3.48378e-012	4.69176e-013	5.97194e-014	7.07965e-015	7.77185e-016	7.81171e-017	7.2637e-018	6.32101e-019	5.22856e-020	4.16965e-021	3.22829e-022	2.41974e-023	1.73985e-024	1.18978e-025	7.74041e-027	4.7807e-028	2.85196e-029	1.66059e-030	9.43334e-032	5.15293e-033	2.64819e-034	1.25599e-035	5.44198e-037	2.15593e-038	7.8931e-040	
N6	1.76579e-006	1.84304e-006	3.56321e-006	6.01451e-006	9.13467e-006	1.96246e-005	0.00011009	0.000922831	0.00595461	0.0253599	0.0721754	0.142473	0.201916	0.211329	0.165638	0.100685	0.0479656	0.0181598	0.00553853	0.00138144	0.000287408	5.16069e-005	8.21716e-006	1.22931e-006	1.7932e-007	2.56483e-008	3.5391e-009	4.66732e-010	5.9353e-011	7.38909e-012	9.01086e-013	1.05698e-013	1.14928e-014	1.13638e-015	1.00979e-016	8.06626e-018	5.85732e-019	3.95951e-020	2.57327e-021	1.65332e-022	1.05709e-023	6.61376e-025	3.90724e-026	2.13703e-027	1.06851e-028	4.88115e-030	2.05874e-031	8.20737e-033	3.19506e-034	1.25061e-035	4.96474e-037	1.97198e-038	7.58774e-040	2.78536e-041	9.65787e-043	3.15184e-044	9.64823e-046	2.75552e-047	7.29119e-049	1.77948e-050	4.01505e-052	8.46101e-054	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	5.50509e-008	7.95839e-009	1.82386e-009	2.75397e-010	0.0209656	0.174232	0.344823	0.28857	0.129116	0.0351243	0.00630546	0.000787061	7.17564e-005	4.94516e-006	2.65788e-007	1.16619e-008	4.30696e-010	1.39171e-011	4.06839e-013	1.09965e-014	2.77775e-016	6.267e-018	1.32908e-019	2.6156e-021	4.77181e-023	8.02476e-025	1.23372e-026	1.72261e-028	2.18061e-030	2.51481e-032	2.67397e-034	2.53397e-036	2.28889e-038	1.9607e-040	1.59931e-042	1.23733e-044	9.00199e-047	6.11063e-049	3.85717e-051	2.27154e-053	1.26125e-055	6.39578e-058	3.15575e-060	1.50874e-062	7.01232e-065	3.15172e-067	1.35534e-069	5.51578e-072	2.10675e-074	7.51642e-077	2.50109e-079	7.77201e-082	2.24728e-084	6.09818e-087	1.55914e-089	3.77187e-092	8.67022e-095	1.90223e-097	4.00177e-100	8.11248e-103	1.59357e-105	3.0513e-108	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_squarrosa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_ovata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.59318e-006	6.38376e-007	1.12067e-006	2.03459e-006	3.69682e-006	6.47717e-006	1.06889e-005	1.69653e-005	2.93757e-005	6.99411e-005	0.000243471	0.000994278	0.00380049	0.0120877	0.0302835	0.0607382	0.0982395	0.13064	0.146407	0.142183	0.122788	0.0966741	0.0684033	0.0432304	0.0240541	0.0116541	0.00489032	0.00177745	0.000562214	0.00015613	3.85665e-005	8.67067e-006	1.7898e-006	3.49978e-007	6.63699e-008	1.2431e-008	2.32196e-009	4.32873e-010	8.0047e-011	1.45384e-011	2.56702e-012	4.391e-013	7.18171e-014	1.13106e-014	1.72577e-015	2.5712e-016	3.76151e-017	5.40276e-018	7.56801e-019	1.02237e-019	1.31593e-020	1.60337e-021	1.81896e-022	1.92503e-023	1.89952e-024	1.75045e-025	1.51062e-026	1.22456e-027	9.34764e-029	6.72985e-030	4.57346e-031	2.93751e-032	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
