NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.278634	0.33965	0.24928	0.102603	0.0253885	0.00399924	0.000415269	2.88193e-005	1.33945e-006	4.15718e-008	8.56838e-010	1.15332e-011	9.97081e-014	5.10107e-018	3.00787e-019	1.41195e-020	5.2854e-022	1.58344e-023	3.8216e-025	7.50301e-027	1.21273e-028	1.63437e-030	1.8588e-032	1.80276e-034	1.50356e-036	1.08551e-038	6.819e-041	3.74343e-043	1.80299e-045	7.64812e-048	2.86832e-050	9.54785e-053	2.832e-055	7.51425e-058	1.79041e-060	3.84522e-063	7.47067e-066	1.31757e-068	2.11643e-071	3.10614e-074	4.1776e-077	5.16364e-080	5.8814e-083	6.18886e-086	6.03112e-089	5.45557e-092	4.59075e-095	3.60101e-098	2.63825e-101	1.80871e-104	1.16239e-107	7.01459e-111	3.9812e-114	2.12841e-117	1.07339e-120	5.1137e-124	2.30442e-127	9.83543e-131	3.98071e-134	1.52959e-137	5.58838e-141	2.12188e-144	
N2	0.269285	0.332639	0.241265	0.113528	0.0338977	0.00804404	0.00115425	0.000169356	1.64562e-005	1.8818e-006	1.09312e-007	1.34624e-008	4.51576e-010	3.50546e-011	1.01385e-012	5.9536e-014	9.77748e-016	5.47387e-017	6.2412e-019	3.02731e-020	3.3612e-022	7.45587e-024	6.17083e-026	2.95735e-027	1.32738e-029	2.10541e-031	1.37866e-033	2.85637e-035	8.89452e-038	1.45416e-039	4.17482e-042	8.46001e-044	2.06501e-046	1.4026e-048	3.40856e-051	7.77715e-053	1.02255e-055	5.82167e-058	1.44953e-060	1.77309e-062	2.00512e-065	1.43709e-067	1.4173e-070	1.17268e-072	1.44975e-075	4.70221e-078	7.01682e-081	1.05351e-082	6.3226e-086	1.70422e-088	1.56789e-091	8.43908e-094	4.74882e-097	2.90997e-099	1.94165e-102	1.49875e-104	7.70816e-108	1.51947e-110	1.01245e-113	8.44971e-116	7.49343e-119	1.10503e-120	
N3	0.309875	0.336802	0.217135	0.0975023	0.0300662	0.00730332	0.00114953	0.000151148	1.42364e-005	1.15057e-006	6.29046e-008	4.22962e-009	1.43366e-010	6.56916e-012	1.74593e-013	5.77152e-015	9.73902e-017	2.9377e-018	3.4088e-020	7.57659e-022	7.95949e-024	1.18946e-025	9.1174e-028	1.70493e-029	8.89768e-032	9.75936e-034	5.77682e-036	5.86462e-038	2.18973e-040	2.11984e-042	6.6157e-045	5.94288e-047	1.76802e-049	9.23812e-052	2.34576e-054	2.13058e-056	3.6882e-059	1.60183e-061	3.58305e-064	1.88343e-066	2.79094e-069	1.26971e-071	1.59981e-074	7.06786e-077	9.97475e-080	2.54351e-082	3.30641e-085	1.83439e-087	1.53216e-090	3.44772e-093	3.71653e-096	1.0337e-098	7.78746e-102	2.42497e-104	1.74274e-107	5.17901e-110	3.59475e-113	5.3963e-116	3.83509e-119	1.33553e-121	1.81194e-124	1.3554e-126	
N4	0.26455	0.322446	0.238677	0.1216	0.0407543	0.0102213	0.0015499	0.000185346	1.49573e-005	9.83083e-007	4.25069e-008	2.13014e-009	5.48661e-011	1.79446e-012	3.51944e-014	8.12783e-016	1.00924e-017	2.07891e-019	1.77694e-021	2.68477e-023	2.05708e-025	2.14049e-027	1.20615e-029	1.50018e-031	5.89493e-034	4.52105e-036	1.95634e-038	1.35216e-040	3.84154e-043	2.56601e-045	6.07656e-048	3.66509e-050	8.32668e-053	3.12407e-055	6.01628e-058	3.60935e-060	4.9e-063	1.53681e-065	2.60313e-068	9.27335e-071	1.0804e-073	3.47965e-076	3.45642e-079	1.05133e-081	1.16039e-084	2.17553e-087	2.16794e-090	7.94916e-093	5.36297e-096	8.97217e-099	7.60069e-102	1.47819e-104	8.99134e-108	1.94699e-110	1.11281e-113	2.25785e-116	1.27619e-119	1.43868e-122	8.17922e-126	1.95843e-128	2.25108e-131	1.18437e-133	
N5	0.157243	0.271318	0.286026	0.190874	0.0734556	0.0184903	0.00235914	0.000221049	1.2301e-005	5.61579e-007	1.47323e-008	5.23419e-010	7.4521e-012	1.62981e-013	1.74901e-015	2.6527e-017	1.6894e-019	2.30245e-021	9.83833e-024	1.00014e-025	3.94843e-028	2.46621e-030	7.12617e-033	6.54283e-035	1.21492e-037	5.62051e-040	1.29281e-042	6.09808e-045	8.17518e-048	3.51399e-050	4.06427e-053	1.78433e-055	1.91675e-058	4.20321e-061	4.0401e-064	1.87319e-066	1.15462e-069	2.12007e-072	1.87075e-075	4.89114e-078	2.63029e-081	5.46664e-084	2.52804e-087	5.3433e-090	2.87287e-093	3.13486e-096	1.67137e-099	5.06071e-102	1.52423e-105	1.45148e-108	6.00546e-112	8.08732e-115	2.23242e-118	3.42426e-121	9.52316e-125	1.48906e-127	3.76137e-131	2.43327e-134	6.64643e-138	1.18599e-140	5.57395e-144	1.90739e-146	
N6	0.0479423	0.148155	0.277606	0.304404	0.168111	0.0476531	0.00566462	0.000444222	1.94347e-005	6.97075e-007	1.38073e-008	3.86218e-010	4.06527e-012	6.84142e-014	5.43094e-016	6.38538e-018	3.01393e-020	3.25758e-022	1.04884e-024	8.70923e-027	2.65459e-029	1.3209e-031	2.98728e-034	2.32304e-036	3.35088e-039	1.25837e-041	2.28219e-044	9.09098e-047	9.56622e-050	3.44778e-052	3.19062e-055	1.20652e-057	1.03857e-060	1.89633e-063	1.49439e-066	6.18332e-069	3.08427e-072	4.80886e-075	3.61539e-078	8.43166e-081	3.73925e-084	6.80221e-087	2.6105e-090	4.91689e-093	2.22522e-096	2.12632e-099	9.8729e-103	2.78141e-105	7.05333e-109	5.88383e-112	2.05747e-115	2.54209e-118	5.90582e-122	8.16186e-125	1.95833e-128	2.89058e-131	6.19905e-135	3.59318e-138	8.57895e-142	1.43408e-144	5.72035e-148	1.79175e-150	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.000143194	0.00381965	0.0414131	0.265477	0.623551	0.0640004	0.00157668	1.86867e-005	1.15348e-007	4.77953e-010	1.20666e-012	3.03034e-015	4.06575e-018	6.08059e-021	5.75477e-024	5.78702e-027	3.43264e-030	2.96386e-033	1.20592e-036	7.51835e-040	2.6749e-043	1.18468e-046	3.09546e-050	1.49188e-053	2.79974e-057	8.98576e-061	1.75154e-064	4.8343e-068	6.50916e-072	1.75453e-075	1.95148e-079	4.53709e-083	4.87414e-087	7.73124e-091	6.91807e-095	1.53817e-098	1.01445e-102	1.34102e-106	1.03795e-110	1.41293e-114	7.90324e-119	1.01785e-122	4.83118e-127	5.65963e-131	2.90861e-135	2.2979e-139	1.02878e-143	1.32392e-147	4.32548e-152	3.04189e-156	1.1813e-160	8.79213e-165	2.54577e-169	2.06097e-173	5.42182e-178	3.96518e-182	1.05615e-186	4.92229e-191	1.2917e-195	1.1328e-199	6.47566e-204	1.11209e-207	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_squarrosa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_ovata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0335731	0.103789	0.204414	0.260381	0.213704	0.126947	0.0442244	0.0109237	0.0017984	0.000225615	1.78573e-005	1.3329e-006	5.77587e-008	2.83575e-009	9.80072e-011	3.43862e-012	7.37046e-014	2.02852e-015	2.79642e-017	5.34628e-019	6.48199e-021	9.67797e-023	9.49008e-025	1.55546e-026	1.12888e-028	1.24038e-030	8.45172e-033	7.17979e-035	3.20475e-037	2.45781e-039	8.47196e-042	5.26165e-044	1.73803e-046	8.05129e-049	2.35542e-051	1.52691e-053	3.68447e-056	1.63218e-058	4.50254e-061	1.92212e-063	3.84575e-066	1.51921e-068	2.45755e-071	8.2122e-074	1.34594e-076	3.07189e-079	4.11951e-082	1.30603e-084	1.2886e-087	2.42198e-090	2.66409e-093	4.86828e-096	4.00852e-099	7.73582e-102	5.58874e-105	9.35395e-108	6.84287e-111	7.92467e-114	5.65895e-117	1.15148e-119	1.87291e-122	8.29039e-125	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.000144407	0.00253904	0.0232227	0.104459	0.26264	0.266262	0.232809	0.0714811	0.02644	0.00917761	0.000635745	0.000148526	3.2036e-005	7.74256e-006	3.72596e-007	3.06627e-008	1.8167e-009	4.05595e-010	3.82741e-011	7.18954e-012	2.71447e-013	6.2704e-015	4.17963e-017	1.981e-018	1.30644e-019	3.76978e-020	4.08451e-021	5.99462e-022	1.27898e-023	5.23218e-025	3.52285e-027	6.74947e-029	4.43158e-031	2.07879e-032	4.54217e-034	3.98384e-035	3.22383e-037	6.18487e-039	4.26507e-041	6.95787e-043	1.60906e-045	1.12258e-047	1.19254e-050	4.67763e-053	3.50533e-056	4.48984e-059	2.35722e-062	6.53876e-065	1.43102e-068	9.22668e-072	2.28423e-075	1.79682e-078	2.47515e-082	1.91554e-085	2.35945e-089	1.67427e-092	1.62158e-096	4.00256e-100	3.81719e-104	2.46956e-107	3.61763e-111	3.90474e-114	
