NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.289046	0.333781	0.24151	0.102937	0.0273638	0.00475591	0.00055784	4.4943e-005	2.49494e-006	9.50062e-008	2.45912e-009	4.2436e-011	4.77533e-013	1.28796e-017	8.7373e-019	4.74835e-020	2.08068e-021	7.40908e-023	2.16154e-024	5.20877e-026	1.04498e-027	1.75827e-029	2.49802e-031	3.01511e-033	3.10936e-035	2.75449e-037	2.10717e-039	1.39925e-041	8.10683e-044	4.1187e-046	1.84399e-048	7.31009e-051	2.5778e-053	8.12176e-056	2.29588e-058	5.84629e-061	1.34612e-063	2.81263e-066	5.35105e-069	9.29928e-072	1.48066e-074	2.16621e-077	2.91982e-080	3.63522e-083	4.19059e-086	4.48318e-089	4.46073e-092	4.13649e-095	3.5819e-098	2.90174e-101	2.20311e-104	1.5703e-107	1.05242e-110	6.64243e-114	3.95393e-117	2.22281e-120	1.18175e-123	5.94921e-127	2.83941e-130	1.28632e-133	5.53953e-137	2.48864e-140	
N2	0.273558	0.327707	0.235228	0.115963	0.0365502	0.00927157	0.00145917	0.00023729	2.31185e-005	3.13684e-006	1.93433e-007	2.67157e-008	1.01666e-009	9.28095e-011	2.79193e-012	2.16464e-013	3.98033e-015	2.32978e-016	3.26671e-018	2.12106e-019	2.39398e-021	6.87852e-023	6.47035e-025	3.77709e-026	2.04669e-028	3.84307e-030	2.36269e-032	7.2811e-034	2.53577e-036	4.07315e-038	1.41419e-040	3.77614e-042	9.23955e-045	7.63155e-047	1.88364e-049	4.34604e-051	6.5703e-054	4.59998e-056	1.20653e-058	2.13422e-060	2.61204e-063	1.75188e-065	2.07638e-068	2.25665e-070	2.46902e-073	1.16465e-075	2.14637e-078	3.86086e-080	2.8744e-083	9.50298e-086	9.11544e-089	7.10173e-091	4.39575e-094	2.39284e-096	2.43225e-099	2.83961e-101	1.61042e-104	3.96182e-107	2.76696e-110	2.48915e-112	3.05144e-115	5.27546e-117	
N3	0.311317	0.331309	0.213652	0.100757	0.0327844	0.00848464	0.00146017	0.000213111	2.12968e-005	1.98669e-006	1.19938e-007	9.05838e-009	3.51197e-010	1.90384e-011	5.45597e-013	2.26158e-014	4.2752e-016	1.42093e-017	1.933e-019	5.2573e-021	5.8175e-023	1.0819e-024	9.32829e-027	2.03224e-028	1.25279e-030	1.64197e-032	9.98656e-035	1.37375e-036	5.80291e-039	6.14289e-041	2.30104e-043	2.65452e-045	8.33874e-048	5.48762e-050	1.54787e-052	1.54453e-054	3.15938e-057	1.68032e-059	4.01514e-062	2.8754e-064	4.73502e-067	2.28433e-069	3.47012e-072	1.94401e-074	2.70449e-077	9.07725e-080	1.36859e-082	8.88191e-085	8.80855e-088	2.37689e-090	2.6975e-093	1.00526e-095	8.24154e-099	2.53861e-101	2.32996e-104	9.59126e-107	7.03002e-110	1.31764e-112	1.03544e-115	4.08561e-118	7.15149e-121	6.05087e-123	
N4	0.268533	0.317338	0.232681	0.123869	0.0436884	0.0116669	0.00193983	0.000258656	2.23375e-005	1.70421e-006	8.21003e-008	4.64546e-009	1.37772e-010	5.34945e-012	1.14377e-013	3.30936e-015	4.64177e-017	1.06271e-018	1.06815e-020	1.97227e-022	1.60793e-024	2.08187e-026	1.32557e-028	1.92352e-030	8.94328e-033	8.22892e-035	3.71668e-037	3.43177e-039	1.10908e-041	8.19142e-044	2.32815e-046	1.78451e-048	4.31827e-051	2.03653e-053	4.38256e-056	2.89667e-058	4.64012e-061	1.77598e-063	3.22255e-066	1.5447e-068	2.00337e-071	6.93338e-074	8.26849e-077	3.1695e-079	3.49279e-082	8.53488e-085	9.83738e-088	4.22061e-090	3.37388e-093	6.7773e-096	6.10314e-099	1.57374e-101	1.04982e-104	2.29485e-107	1.65e-110	4.54138e-113	2.72174e-116	3.83524e-119	2.44198e-122	6.6635e-125	9.72836e-128	5.7474e-130	
N5	0.165293	0.269714	0.275371	0.189687	0.0762986	0.0204303	0.0028826	0.000305215	1.82051e-005	9.92387e-007	2.92417e-008	1.19543e-009	1.98955e-011	5.25891e-013	6.13447e-015	1.19939e-016	8.64464e-019	1.2864e-020	6.56044e-023	8.35423e-025	3.43878e-027	2.71695e-029	8.8667e-032	9.64001e-034	2.13886e-036	1.18853e-038	2.75875e-041	1.83398e-043	2.79971e-046	1.29316e-048	1.82228e-051	1.04571e-053	1.18349e-056	3.27725e-059	3.4648e-062	1.73483e-064	1.27219e-067	2.88668e-070	2.71447e-073	9.94638e-076	5.91776e-079	1.26206e-081	7.06481e-085	1.92514e-087	9.89486e-091	1.45769e-093	9.12036e-097	3.24715e-099	1.16819e-102	1.33167e-105	5.72398e-109	1.04878e-111	3.11818e-115	4.54828e-118	1.68128e-121	3.73942e-124	1.00124e-127	8.0433e-131	2.38791e-134	4.72202e-137	2.91533e-140	1.12979e-142	
N6	0.053166	0.152137	0.269459	0.298584	0.168751	0.0506107	0.0066694	0.000593604	2.77393e-005	1.19726e-006	2.66079e-008	8.60264e-010	1.05745e-011	2.13635e-013	1.82315e-015	2.74226e-017	1.4443e-019	1.67164e-021	6.3607e-024	6.65118e-026	2.08841e-028	1.31101e-030	3.33382e-033	3.06441e-035	5.2614e-038	2.34808e-040	4.23021e-043	2.35824e-045	2.79526e-048	1.06022e-050	1.18197e-053	5.79828e-056	5.17326e-059	1.17761e-061	9.97354e-065	4.38202e-067	2.55579e-070	4.9025e-073	3.91056e-076	1.28666e-078	6.25569e-082	1.14793e-084	5.28639e-088	1.27426e-090	5.41357e-094	6.98152e-097	3.80047e-100	1.24667e-102	3.75403e-106	3.70216e-109	1.32937e-112	2.20145e-115	5.44163e-119	6.92767e-122	2.19823e-125	4.57237e-128	1.0245e-131	7.26238e-135	1.84243e-138	3.34048e-141	1.72044e-144	6.01586e-147	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.000177358	0.00432102	0.0416009	0.277362	0.605042	0.0694893	0.00197955	2.73732e-005	1.88921e-007	9.32584e-010	2.69883e-012	7.79714e-015	1.22269e-017	2.18205e-020	2.28153e-023	2.84813e-026	1.91636e-029	1.85676e-032	8.84609e-036	6.68761e-039	2.56224e-042	1.40193e-045	4.15347e-049	2.32021e-052	5.1281e-056	1.96267e-059	4.0447e-063	1.44175e-066	2.19692e-070	6.57504e-074	8.64322e-078	2.49593e-081	2.85505e-085	5.62555e-089	5.61726e-093	1.38352e-096	1.06386e-100	1.69591e-104	1.40723e-108	2.50933e-112	1.56325e-116	2.20274e-120	1.24544e-124	1.80601e-128	9.45993e-133	9.52042e-137	4.89062e-141	7.27855e-145	2.7958e-149	2.34729e-153	9.7536e-158	9.3924e-162	2.99792e-166	2.50234e-170	8.02807e-175	7.6503e-179	2.1496e-183	1.24351e-187	3.67572e-192	3.70348e-196	2.61089e-200	4.96296e-204	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
