NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.0014905	0.00167028	0.00206283	0.00273565	0.00379182	0.00536935	0.00763555	0.0107734	0.0149567	0.0203137	0.0268808	0.0345543	0.0430515	0.0518956	0.0604373	0.0679197	0.0735815	0.0767807	0.0771132	0.0744942	0.0691824	0.0617362	0.0529146	0.0435456	0.0343961	0.0260706	0.0189569	0.013221	0.00884234	0.00567032	0.003486	0.00205436	0.00116042	0.000628214	0.000325932	0.00016205	7.72072e-005	3.52486e-005	1.54204e-005	6.46415e-006	2.59654e-006	9.99426e-007	3.68628e-007	1.30293e-007	4.4133e-008	1.43265e-008	4.45734e-009	1.32923e-009	3.79968e-010	1.04127e-010	2.73594e-011	6.8938e-012	1.66633e-012	3.86606e-013	1.49656e-016	6.93693e-017	3.16609e-017	1.43308e-017	6.54097e-018	3.12582e-018	1.68944e-018	1.17076e-018	
N2	0.00696142	0.00757023	0.00879132	0.0106657	0.0132417	0.0165617	0.0206446	0.0254661	0.0309394	0.0369006	0.0431021	0.0492184	0.0548666	0.059641	0.0631582	0.0651063	0.0652883	0.0636538	0.060309	0.0555047	0.0496039	0.0430338	0.0362325	0.0295997	0.023458	0.0180319	0.0134424	0.00971733	0.00681097	0.00462836	0.0030491	0.00194725	0.00120547	0.000723374	0.00042076	0.000237227	0.000129643	6.86745e-005	3.52619e-005	1.75504e-005	8.46746e-006	3.96019e-006	1.79552e-006	7.89223e-007	3.36328e-007	1.38966e-007	5.56758e-008	2.16311e-008	8.15073e-009	2.97914e-009	1.05649e-009	3.63642e-010	1.21555e-010	3.94973e-011	1.24959e-011	3.86016e-012	1.17041e-012	3.51766e-013	1.06917e-013	3.43251e-014	1.28583e-014	6.92185e-015	
N3	0.0316856	0.0325696	0.0342088	0.0365302	0.0394176	0.0427095	0.0462013	0.0496519	0.0527978	0.0553727	0.0571319	0.057878	0.0574827	0.0559035	0.0531885	0.0494726	0.0449609	0.039906	0.0345799	0.0292464	0.0241373	0.0194356	0.0152666	0.0116969	0.00874081	0.00637015	0.00452735	0.00313774	0.00212058	0.00139748	0.000898019	0.000562689	0.00034379	0.000204814	0.000118978	6.73941e-005	3.72242e-005	2.00487e-005	1.05295e-005	5.39259e-006	2.69318e-006	1.31166e-006	6.22981e-007	2.88561e-007	1.30353e-007	5.74304e-008	2.46782e-008	1.03433e-008	4.22864e-009	1.68647e-009	6.5622e-010	2.49179e-010	9.2372e-011	3.34548e-011	1.18549e-011	4.12208e-012	1.4147e-012	4.851e-013	1.70473e-013	6.4679e-014	2.9255e-014	1.83782e-014	
N4	0.0857464	0.0853898	0.0843774	0.0826431	0.0801151	0.0767398	0.072504	0.0674521	0.0616927	0.0553939	0.0487698	0.0420581	0.0354964	0.0292985	0.0236364	0.0186289	0.0143382	0.0107738	0.00790128	0.00565445	0.00394797	0.00268898	0.0017864	0.00115746	0.000731366	0.000450646	0.00027076	0.000158621	9.06039e-005	5.0458e-005	2.73967e-005	1.45025e-005	7.48444e-006	3.76565e-006	1.84707e-006	8.83259e-007	4.11769e-007	1.87147e-007	8.29232e-008	3.58212e-008	1.50862e-008	6.19446e-009	2.4798e-009	9.67895e-010	3.68341e-010	1.36676e-010	4.94505e-011	1.74461e-011	6.00203e-012	2.0137e-012	6.58914e-013	2.10316e-013	6.55022e-014	1.99173e-014	5.91979e-015	1.724e-015	4.94451e-016	1.41159e-016	4.10383e-017	1.27592e-017	4.71244e-018	2.5376e-018	
N5	0.119659	0.117349	0.112516	0.105456	0.0965897	0.0864255	0.0755123	0.0643952	0.0535711	0.0434538	0.0343496	0.0264481	0.0198262	0.0144631	0.010263	0.00708134	0.00474925	0.00309503	0.00195933	0.00120459	0.000719052	0.000416654	0.000234318	0.000127873	6.77071e-005	3.47788e-005	1.73289e-005	8.37464e-006	3.9252e-006	1.78415e-006	7.86405e-007	3.36117e-007	1.393e-007	5.59773e-008	2.18107e-008	8.23991e-009	3.01834e-009	1.07204e-009	3.69197e-010	1.23287e-010	3.99212e-011	1.25351e-011	3.8169e-012	1.12712e-012	3.22794e-013	8.96609e-014	2.41561e-014	6.31283e-015	1.60038e-015	3.93603e-016	9.39207e-017	2.17458e-017	4.88599e-018	1.06556e-018	2.25642e-019	4.64355e-020	9.3072e-021	1.82757e-021	3.5738e-022	7.29347e-023	1.77193e-023	7.04032e-024	
N6	0.137802	0.134119	0.126654	0.116028	0.103084	0.0887815	0.0740869	0.0598692	0.0468217	0.0354158	0.0258928	0.018286	0.0124667	0.00820026	0.00520134	0.00317979	0.00187277	0.00106218	0.000579943	0.000304731	0.000154056	7.49167e-005	3.50379e-005	1.57579e-005	6.81415e-006	2.83303e-006	1.13239e-006	4.35153e-007	1.60765e-007	5.71029e-008	1.95014e-008	6.40391e-009	2.02224e-009	6.14148e-010	1.79398e-010	5.04102e-011	1.36282e-011	3.54519e-012	8.87549e-013	2.13878e-013	4.96176e-014	1.10836e-014	2.38438e-015	4.9409e-016	9.86403e-017	1.89761e-017	3.51843e-018	6.28883e-019	1.08382e-019	1.80138e-020	2.88802e-021	4.46722e-022	6.66824e-023	9.60776e-024	1.33656e-024	1.79593e-025	2.33298e-026	2.93746e-027	3.61684e-028	4.50328e-029	6.4537e-030	1.65091e-030	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.140406	0.141226	0.140547	0.135455	0.123596	0.104736	0.0812641	0.0571853	0.0362871	0.0206998	0.0106021	0.00487571	0.00201498	0.000749371	0.000251238	7.60864e-005	2.08591e-005	5.18829e-006	1.1735e-006	2.41918e-007	4.55581e-008	7.85507e-009	1.24272e-009	1.80788e-010	2.42347e-011	2.99955e-012	3.43455e-013	3.64499e-014	3.59188e-015	3.29234e-016	2.81173e-017	2.24093e-018	1.66933e-019	1.16403e-020	7.60882e-022	4.6687e-023	2.69262e-024	1.46152e-025	7.47515e-027	3.60684e-028	1.64368e-029	7.08214e-031	2.88816e-032	1.11591e-033	4.08886e-035	1.42218e-036	4.69977e-038	1.47688e-039	4.417e-041	1.25828e-042	3.41698e-044	8.85235e-046	2.18963e-047	5.17542e-049	1.17007e-050	2.53386e-052	5.26829e-054	1.05647e-055	2.06292e-057	4.00091e-059	8.05426e-061	2.32744e-062	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
