NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	0.174489	0.16769	0.154743	0.136105	0.113141	0.0882311	0.0641701	0.0433342	0.0270824	0.0156257	0.008308	0.00406505	0.00182853	0.000755566	0.000286634	9.97894e-05	3.18721e-05	9.33721e-06	2.50868e-06	6.18107e-07	1.39658e-07	2.89378e-08	5.49908e-09	9.58479e-10	1.5325e-10	2.24809e-11	3.02621e-12	3.73895e-13	6.66777e-17	2.1519e-17	6.65594e-18	1.97334e-18	5.60876e-19	1.52853e-19	3.9948e-20	1.0014e-20	2.40818e-21	5.55677e-22	1.23053e-22	2.61571e-23	5.33825e-24	1.0462e-24	1.96939e-25	3.56162e-26	6.18955e-27	1.03387e-27	1.66025e-28	2.56379e-29	3.80802e-30	5.44164e-31	7.48312e-32	9.9054e-33	1.26251e-33	1.55045e-34	1.83952e-35	2.14126e-36	2.6866e-37	5.852e-38	
N2	0.0495123	0.0650593	0.080654	0.0943508	0.103986	0.107818	0.105081	0.0962369	0.082826	0.0670065	0.050975	0.0364814	0.0245722	0.015583	0.00930786	0.00523824	0.00277832	0.00138915	0.000654919	0.000291194	0.000122128	4.83247e-05	1.80433e-05	6.3583e-06	2.11507e-06	6.64286e-07	1.97028e-07	5.52001e-08	1.46117e-08	3.65529e-09	8.64418e-10	1.933e-10	4.08864e-11	8.18276e-12	1.55003e-12	2.77999e-13	4.72239e-14	7.60067e-15	1.1595e-15	1.67719e-16	2.30118e-17	2.99602e-18	3.70289e-19	4.34638e-20	4.84744e-21	5.13991e-22	5.18581e-23	4.9853e-24	4.57777e-25	4.03499e-26	3.4474e-27	2.91073e-28	2.51494e-29	2.35213e-30	2.56075e-31	3.54069e-32	7.0594e-33	2.81798e-33	
N3	0.0198394	0.0281751	0.0395519	0.053649	0.0692357	0.0842542	0.0962313	0.10293	0.103008	0.0964292	0.0844502	0.0692081	0.0530902	0.0381344	0.0256571	0.0161742	0.00955644	0.00529362	0.00274989	0.00134	0.00061268	0.000262918	0.00010592	4.00704e-05	1.42387e-05	4.75376e-06	1.49156e-06	4.39951e-07	1.22025e-07	3.18351e-08	7.81449e-09	1.80538e-09	3.92686e-10	8.04403e-11	1.55237e-11	2.82331e-12	4.84078e-13	7.82742e-14	1.19406e-14	1.7191e-15	2.33671e-16	2.9999e-17	3.63894e-18	4.17239e-19	4.52395e-20	4.64053e-21	4.50559e-22	4.14325e-23	3.61178e-24	2.98906e-25	2.35482e-26	1.77579e-27	1.29625e-28	9.38164e-30	7.08106e-31	6.26626e-32	8.50541e-33	3.03501e-33	
N4	0.00277417	0.00419653	0.00655349	0.0102027	0.0154936	0.0226756	0.0317855	0.0425402	0.0542746	0.0659604	0.0763277	0.0840806	0.0881585	0.0879723	0.0835434	0.0754991	0.0649263	0.0531302	0.0413718	0.030656	0.0216166	0.0145057	0.00926393	0.00563102	0.00325799	0.00179443	0.000940935	0.00046979	0.000223364	0.000101145	4.36282e-05	1.79285e-05	7.02022e-06	2.61974e-06	9.31856e-07	3.16011e-07	1.02189e-07	3.15171e-08	9.27291e-09	2.60321e-09	6.97469e-10	1.78386e-10	4.35634e-11	1.01604e-11	2.26379e-12	4.81957e-13	9.80718e-14	1.90796e-14	3.55e-15	6.3201e-16	1.07746e-16	1.76191e-17	2.77483e-18	4.25336e-19	6.52551e-20	1.07851e-20	2.31287e-21	9.84278e-22	
Carex_eburnea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_cruciata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.000187212	0.000399184	0.000973482	0.00233396	0.00521719	0.0106965	0.0200174	0.0341457	0.0530709	0.0751458	0.0969237	0.113861	0.121809	0.118655	0.105232	0.0849618	0.0624457	0.0417818	0.0254511	0.0141161	0.00712996	0.0032804	0.00137519	0.000525465	0.000183082	5.81925e-05	1.68821e-05	4.47261e-06	1.08276e-06	2.39669e-07	4.85396e-08	9.00096e-09	1.52937e-09	2.38286e-10	3.40714e-11	4.47448e-12	5.40153e-13	5.99903e-14	6.13495e-15	5.7821e-16	5.02677e-17	4.03467e-18	2.99249e-19	2.05283e-20	1.30365e-21	7.67087e-23	4.18599e-24	2.12036e-25	9.97853e-27	4.36674e-28	1.77855e-29	6.74812e-31	2.38733e-32	7.88465e-34	2.43843e-35	7.17258e-37	2.22585e-38	1.44298e-39	
N6	2.50032e-05	5.90214e-05	0.000168342	0.000485018	0.00131748	0.00328726	0.00745485	0.0152943	0.0283218	0.0472812	0.0711071	0.0962896	0.117362	0.128718	0.127005	0.112722	0.0899819	0.0646031	0.0417173	0.0242317	0.0126626	0.00595439	0.00252027	0.000960515	0.000329754	0.000102025	2.84634e-05	7.16442e-06	1.62805e-06	3.34226e-07	6.20325e-08	1.04169e-08	1.58398e-09	2.18283e-10	2.72855e-11	3.09657e-12	3.19352e-13	2.99581e-14	2.55882e-15	1.99193e-16	1.41468e-17	9.17555e-19	5.44054e-20	2.95215e-21	1.4675e-22	6.68999e-24	2.80013e-25	1.07761e-26	3.82127e-28	1.255e-29	3.86722e-31	1.1626e-32	3.72954e-34	1.48188e-35	7.79994e-37	5.32615e-38	4.86039e-39	8.80556e-40	
N7	4.6537e-06	1.20773e-05	3.92943e-05	0.000130678	0.000410834	0.00118492	0.00309609	0.00728613	0.0153964	0.0291616	0.049452	0.075024	0.101768	0.123378	0.133638	0.129298	0.111724	0.086211	0.059405	0.036555	0.02009	0.00986265	0.00432603	0.00169587	0.000594367	0.000186318	5.22626e-05	1.31248e-05	2.95259e-06	5.95382e-07	1.07686e-07	1.74826e-08	2.54954e-09	3.34253e-10	3.94284e-11	4.18834e-12	4.01018e-13	3.46403e-14	2.70217e-15	1.90538e-16	1.21571e-17	7.02582e-19	3.68164e-20	1.75114e-21	7.56843e-23	2.97571e-24	1.06564e-25	3.48237e-27	1.04209e-28	2.88994e-30	7.70191e-32	2.2198e-33	8.36785e-35	4.48506e-36	2.88403e-37	2.0757e-38	1.76174e-39	2.87805e-40	
N8	1.68659e-05	3.90019e-05	0.000109652	0.000315309	0.000863883	0.00219253	0.00509377	0.0107731	0.0206827	0.0359845	0.0566751	0.0807418	0.103987	0.121016	0.127215	0.120772	0.103529	0.0801305	0.0559995	0.0353398	0.0201426	0.0103717	0.00482626	0.00203033	0.000772544	0.000266015	8.29414e-05	2.34314e-05	6.00193e-06	1.39499e-06	2.94433e-07	5.64798e-08	9.85533e-09	1.56572e-09	2.26686e-10	2.9938e-11	3.61021e-12	3.97915e-13	4.01273e-14	3.70619e-15	3.13839e-16	2.43913e-17	1.74169e-18	1.14387e-19	6.91691e-21	3.85532e-22	1.98293e-23	9.42626e-25	4.15104e-26	1.70951e-27	6.77688e-29	2.95767e-30	1.83771e-31	1.93131e-32	2.60904e-33	4.21719e-34	8.50458e-35	3.13229e-35	
