NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	0.181837	0.175938	0.16309	0.14252	0.115757	0.086481	0.0590031	0.0365837	0.020545	0.0104262	0.00477356	0.00196945	0.000731604	0.000244553	7.35288e-05	1.98793e-05	4.83204e-06	1.05585e-06	2.07403e-07	3.66257e-08	5.81518e-09	8.30262e-10	1.06618e-10	1.23174e-11	1.28057e-12	1.07815e-16	3.12999e-17	8.62464e-18	2.25616e-18	5.60438e-19	1.32228e-19	2.96394e-20	6.31369e-21	1.27847e-21	2.46161e-22	4.50821e-23	7.85567e-24	1.30286e-24	2.0573e-25	3.09406e-26	4.4335e-27	6.0549e-28	7.8844e-29	9.79249e-30	1.1605e-30	1.31276e-31	1.41804e-32	1.46325e-33	1.44294e-34	1.36034e-35	1.22655e-36	1.05814e-37	8.73755e-39	6.90953e-40	5.23912e-41	3.83891e-42	2.90601e-43	3.7987e-44	
N2	0.0438939	0.0618005	0.0811953	0.0991906	0.112313	0.117675	0.114004	0.102188	0.0848117	0.0652057	0.0464919	0.0307684	0.0189042	0.010794	0.00573159	0.00282964	0.00130025	0.00055652	0.000221687	8.23242e-05	2.85335e-05	9.21405e-06	2.78106e-06	7.86479e-07	2.07564e-07	5.14853e-08	1.20698e-08	2.64818e-09	5.52953e-10	1.11232e-10	2.1009e-11	3.86837e-12	7.08181e-13	1.20894e-13	2.06755e-14	3.60234e-15	5.67037e-16	9.05421e-17	1.47746e-17	2.09891e-18	3.04237e-19	4.5066e-20	5.67421e-21	7.36593e-22	9.86972e-23	1.10729e-23	1.29693e-24	1.5842e-25	1.61836e-26	1.747e-27	1.97967e-28	1.86177e-29	1.88277e-30	2.0803e-31	1.95743e-32	2.27353e-33	3.95182e-34	1.39001e-34	
N3	0.0143659	0.0225309	0.0348854	0.0514235	0.0707621	0.0900748	0.105647	0.114078	0.113418	0.103833	0.0876089	0.0681724	0.0489287	0.0324193	0.0198426	0.0112164	0.00586164	0.00283403	0.0012668	0.000524338	0.00020118	7.1439e-05	2.35452e-05	7.2177e-06	2.0503e-06	5.43015e-07	1.34722e-07	3.10276e-08	6.73075e-09	1.39058e-09	2.67224e-10	4.94605e-11	9.00618e-12	1.51806e-12	2.54711e-13	4.35209e-14	6.6797e-15	1.04166e-15	1.66774e-16	2.29512e-17	3.22789e-18	4.64435e-19	5.5727e-20	6.88802e-21	8.76781e-22	9.1421e-23	9.93617e-24	1.12343e-24	1.0382e-25	1.01533e-26	1.04247e-27	8.65598e-29	7.74205e-30	7.52244e-31	5.8688e-32	5.44415e-33	7.54114e-34	2.47325e-34	
N4	0.00132121	0.00225286	0.00399802	0.00700634	0.0118054	0.0188947	0.0285703	0.0407352	0.0547204	0.0692129	0.0824319	0.0924378	0.0975666	0.0969435	0.090679	0.0798204	0.0661377	0.0515887	0.0378669	0.0261666	0.0170264	0.0104271	0.00601434	0.0032689	0.00167289	0.000807141	0.000367492	0.000157671	6.39047e-05	2.45131e-05	8.87372e-06	3.04681e-06	9.96124e-07	3.08137e-07	9.11618e-08	2.5999e-08	7.04056e-09	1.85096e-09	4.786e-10	1.17495e-10	2.85133e-11	6.93668e-12	1.58015e-12	3.59435e-13	8.25001e-14	1.72931e-14	3.62777e-15	7.67754e-16	1.45385e-16	2.7645e-17	5.31637e-18	9.04477e-19	1.56287e-19	2.79047e-20	4.59826e-21	9.07141e-22	2.80348e-22	1.897e-22	
Carex_eburnea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_cruciata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	5.15432e-05	0.000138699	0.000424964	0.00123592	0.00325519	0.00768204	0.0162053	0.030555	0.0514931	0.0775339	0.104303	0.125329	0.134423	0.12868	0.109918	0.0837295	0.0568873	0.0344756	0.0186284	0.0089803	0.00386445	0.00148389	0.000509118	0.000156246	4.28668e-05	1.05388e-05	2.32624e-06	4.60363e-07	8.20355e-08	1.32089e-08	1.91471e-09	2.51981e-10	3.03069e-11	3.29988e-12	3.30965e-13	3.09505e-14	2.63424e-15	2.11135e-16	1.62071e-17	1.12824e-18	7.55147e-20	4.9307e-21	2.86004e-22	1.61003e-23	8.88373e-25	4.24811e-26	1.98108e-27	9.07936e-29	3.55348e-30	1.36715e-31	5.20334e-33	1.67869e-34	5.39544e-36	1.74725e-37	4.88378e-39	1.48605e-40	5.71428e-42	4.40309e-43	
N6	4.52834e-06	1.39289e-05	5.21315e-05	0.000190743	0.000637875	0.00190779	0.00506231	0.011881	0.0246252	0.045026	0.0725878	0.103121	0.129005	0.142068	0.137676	0.117338	0.0879474	0.0579691	0.0335871	0.0171143	0.00767323	0.00302577	0.00105083	0.000321881	8.68671e-05	2.07251e-05	4.38849e-06	8.21531e-07	1.37322e-07	2.07476e-08	2.79211e-09	3.45928e-10	4.09017e-11	4.34717e-12	4.54617e-13	4.90063e-14	4.54035e-15	4.27931e-16	4.14967e-17	3.18719e-18	2.4819e-19	1.95268e-20	1.17432e-21	7.23054e-23	4.52347e-24	2.1328e-25	1.04939e-26	5.32841e-28	2.04843e-29	8.46417e-31	3.6858e-32	1.20456e-33	4.38523e-35	1.7953e-36	5.2987e-38	1.87408e-39	9.59109e-41	1.03376e-41	
N7	6.16839e-07	2.14413e-06	9.46312e-06	4.12557e-05	0.000164386	0.000583701	0.00182951	0.00504115	0.0121858	0.0258039	0.0478248	0.0775286	0.10985	0.135981	0.146998	0.138693	0.114185	0.0820148	0.0513716	0.0280655	0.0133769	0.00556078	0.00201793	0.000639968	0.000177264	4.29979e-05	9.16583e-06	1.71276e-06	2.83064e-07	4.19137e-08	5.49796e-09	6.61121e-10	7.6098e-11	7.89785e-12	8.13901e-13	8.74333e-14	7.98171e-15	7.38659e-16	6.97656e-17	5.1147e-18	3.76949e-19	2.78089e-20	1.54301e-21	8.7187e-23	4.97008e-24	2.10473e-25	9.29344e-27	4.22257e-28	1.4367e-29	5.28474e-31	2.05503e-32	5.94082e-34	1.92631e-35	7.06696e-37	1.82848e-38	5.59854e-40	2.38162e-41	2.07787e-42	
N8	2.66221e-06	7.99872e-06	2.96418e-05	0.000109146	0.000371732	0.00114296	0.00314308	0.00769857	0.0167574	0.0323648	0.0554027	0.0839838	0.112647	0.133616	0.140086	0.129764	0.10618	0.0767408	0.0489854	0.0276225	0.0137649	0.00606312	0.0023625	0.000815133	0.000249132	6.75693e-05	1.63027e-05	3.4988e-06	6.71509e-07	1.163e-07	1.81195e-08	2.60071e-09	3.57959e-10	4.58813e-11	5.96027e-12	8.38814e-13	1.05956e-13	1.39962e-14	1.94826e-15	2.15591e-16	2.43488e-17	2.80528e-18	2.47112e-19	2.24386e-20	2.08366e-21	1.46013e-22	1.08018e-23	8.30894e-25	4.84602e-26	3.10707e-27	2.14279e-28	1.12358e-29	6.79693e-31	4.78646e-32	2.4658e-33	1.58468e-34	1.58231e-35	3.49543e-36	
