NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.476517	0.305726	0.144151	0.0531444	0.0157563	0.00380729	0.000755377	0.000123831	1.69039e-005	1.93862e-006	1.88326e-007	1.5579e-008	1.09896e-009	6.59738e-011	3.35284e-012	1.44897e-013	1.51899e-017	2.67257e-018	4.32152e-019	6.42248e-020	8.77656e-021	1.10363e-021	1.27823e-022	1.36507e-023	1.34581e-024	1.22645e-025	1.03447e-026	8.08693e-028	5.86731e-029	3.95625e-030	2.48265e-031	1.45189e-032	7.92378e-034	4.04122e-035	1.92887e-036	8.63062e-038	3.63015e-039	1.43375e-040	5.32391e-042	1.86091e-043	6.13015e-045	1.90532e-046	5.59375e-048	1.55292e-049	4.08103e-051	1.01627e-052	2.40054e-054	5.3838e-056	1.14752e-057	2.32664e-059	4.49138e-061	8.26215e-063	1.44957e-064	2.42757e-066	3.88369e-068	5.9401e-070	8.69259e-072	1.21796e-073	1.63514e-075	2.10484e-077	2.59969e-079	3.08283e-081	3.51223e-083	3.84676e-085	4.0528e-087	4.10995e-089	4.01473e-091	3.78245e-093	3.45417e-095	3.16726e-097	4.0248e-099	
N2	0.000398658	0.00102522	0.00261946	0.00607063	0.0116359	0.0201278	0.0311969	0.0458777	0.0585234	0.069877	0.0730572	0.0719208	0.0650039	0.0667479	0.072823	0.0858571	0.08692	0.0825101	0.0620885	0.0433931	0.0234397	0.0118955	0.00462284	0.00171852	0.000483052	0.000132208	2.74058e-005	5.65799e-006	8.78557e-007	1.38505e-007	1.65893e-008	2.06519e-009	1.94467e-010	1.9361e-011	1.48883e-012	1.22855e-013	7.80735e-015	5.31176e-016	2.8295e-017	1.61594e-018	7.18333e-020	3.40707e-021	1.28372e-022	5.19313e-024	1.65181e-025	5.66442e-027	1.55424e-028	4.67778e-030	1.10518e-031	2.89322e-033	6.03998e-035	1.42776e-036	2.62111e-038	5.49687e-040	9.10312e-042	1.75641e-043	2.5897e-045	4.46422e-047	6.01415e-049	9.64078e-051	1.17073e-052	1.69808e-054	1.93841e-056	2.71914e-058	3.06728e-060	4.44778e-062	6.23351e-064	1.12125e-065	2.06004e-067	4.14663e-069	1.09837e-070	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.343217	0.320139	0.196681	0.0942541	0.0329143	0.00996684	0.00223776	0.000495969	7.76687e-005	1.43689e-005	1.71686e-006	2.98226e-007	2.75399e-008	4.0422e-009	2.90369e-010	3.76144e-011	1.9795e-012	1.87916e-013	7.79679e-015	6.95345e-016	2.0953e-017	1.28841e-018	3.31768e-020	2.16599e-021	3.97723e-023	1.59829e-024	2.59479e-026	1.16834e-027	1.35828e-029	3.77657e-031	4.66895e-033	1.77648e-034	3.30507e-036	1.22563e-037	3.87024e-039	7.01183e-041	8.48479e-043	8.24024e-045	6.29388e-047	4.26531e-049	2.29406e-051	1.17995e-053	5.0233e-056	2.44689e-058	8.66845e-061	4.10013e-063	1.42989e-065	9.14861e-068	2.41044e-070	1.14468e-072	2.87439e-075	1.70739e-077	3.23039e-080	1.4707e-082	3.22692e-085	2.21198e-087	3.14374e-090	1.15263e-092	1.73328e-095	8.98213e-098	1.03099e-100	3.91767e-103	6.4701e-106	3.97513e-108	5.46192e-111	2.62869e-113	6.17935e-116	3.54778e-118	1.19301e-120	7.08061e-123	4.81821e-125	
N4	0.342183	0.319675	0.197179	0.0948562	0.0332471	0.0100411	0.00223969	0.000488507	7.45292e-005	1.3407e-005	1.50511e-006	2.53842e-007	2.09785e-008	3.04805e-009	1.84545e-010	2.44492e-011	1.00764e-012	1.03716e-013	3.06396e-015	3.31255e-016	6.1786e-018	5.2596e-019	7.27684e-021	8.50482e-022	6.85235e-024	5.71138e-025	3.78724e-027	4.82422e-028	1.92953e-030	1.46408e-031	5.94926e-034	7.09264e-035	2.01377e-037	1.76611e-038	1.83948e-039	3.69007e-041	4.6859e-043	5.28703e-045	4.50324e-047	3.71877e-049	2.19571e-051	1.41102e-053	6.65505e-056	4.35728e-058	1.58069e-060	9.73961e-063	3.30185e-065	2.84022e-067	5.9619e-070	3.62485e-072	8.1261e-075	8.1415e-077	9.32772e-080	5.65109e-082	8.7771e-085	1.85589e-086	9.04466e-090	5.4192e-092	5.12326e-095	1.42843e-096	4.59467e-100	2.91215e-102	2.93848e-105	1.18857e-106	2.69204e-110	1.24706e-112	9.40155e-116	3.62414e-117	6.9901e-120	2.12693e-121	3.50105e-123	
N5	0.288379	0.300278	0.21567	0.122332	0.0499214	0.0176033	0.00442856	0.00114475	0.000191499	4.41295e-005	5.39536e-006	1.30333e-006	1.16645e-007	2.42841e-008	1.6494e-009	3.20885e-010	1.51072e-011	1.96257e-012	7.43729e-014	1.04391e-014	2.63572e-016	2.08211e-017	4.83983e-019	5.46445e-020	7.84728e-022	3.86453e-023	5.54485e-025	4.61187e-026	4.06831e-028	1.37345e-029	1.45693e-031	1.02588e-032	1.77756e-034	1.26713e-035	7.70631e-037	1.61986e-038	2.20357e-040	2.36439e-042	1.97826e-044	1.45058e-046	8.29098e-049	4.56149e-051	2.01608e-053	1.07805e-055	3.88013e-058	2.1214e-060	7.45956e-063	6.54817e-065	1.51565e-067	8.67779e-070	2.00946e-072	1.63985e-074	2.66612e-077	1.61407e-079	3.66401e-082	4.71876e-084	4.98647e-087	2.21302e-089	2.69736e-092	2.32154e-094	1.91948e-097	1.04575e-099	1.7937e-102	2.25129e-104	1.85583e-107	1.28726e-109	2.93707e-112	3.50708e-114	1.24401e-116	1.31521e-118	1.22373e-120	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.272082	0.293457	0.220695	0.130756	0.0556967	0.0203261	0.00529662	0.00139066	0.000237316	5.43066e-005	6.56447e-006	1.55669e-006	1.31219e-007	2.74513e-008	1.62653e-009	3.28465e-010	1.2456e-011	1.82095e-012	5.02357e-014	8.53825e-015	1.4393e-016	1.52273e-017	2.20245e-019	3.52182e-020	2.98031e-022	2.19677e-023	1.9082e-025	2.46045e-026	1.24773e-028	6.28776e-030	3.87339e-032	4.08598e-033	1.99015e-035	1.93319e-036	2.15712e-037	3.95937e-039	4.64442e-041	4.3927e-043	3.12417e-045	1.96868e-047	9.06258e-050	4.17652e-052	1.43167e-054	6.46587e-057	1.66879e-059	7.29615e-062	1.69021e-064	1.11777e-066	1.47809e-069	6.3117e-072	8.75493e-075	6.44086e-077	4.72527e-080	2.11026e-082	2.29038e-085	3.48163e-087	1.26942e-090	4.50041e-093	2.69573e-096	3.34498e-098	9.5127e-102	3.66585e-104	2.89067e-107	4.85043e-109	9.72927e-113	2.77744e-115	2.00187e-118	3.5315e-120	6.53266e-123	8.44682e-125	5.23213e-127	
N7	0.137534	0.188408	0.202954	0.185063	0.127929	0.0813317	0.0390599	0.0213135	0.00806706	0.00480083	0.00165421	0.00118344	0.000355707	0.000231522	5.97552e-005	4.0649e-005	8.17931e-006	4.097e-006	7.40451e-007	4.62335e-007	6.23457e-008	2.37911e-008	3.23515e-009	1.85734e-009	1.85126e-010	5.6096e-011	5.82182e-012	2.72316e-012	1.93547e-013	4.42088e-014	3.73826e-015	1.51993e-015	2.58416e-016	9.63154e-017	2.83719e-017	3.45638e-018	2.67809e-019	1.55119e-020	6.73756e-022	2.42931e-023	6.68658e-025	1.70543e-026	3.4909e-028	8.6002e-030	1.48034e-031	3.76374e-033	6.35489e-035	2.32119e-036	2.5629e-038	6.12986e-040	6.40442e-042	2.07967e-043	1.54236e-045	3.82951e-047	3.84709e-049	1.77082e-050	9.66078e-053	1.85543e-054	1.16399e-056	3.79392e-058	1.72089e-060	3.96444e-062	3.32715e-064	1.55204e-065	9.40506e-068	3.26294e-069	3.96065e-071	1.56671e-072	2.55927e-074	9.23562e-076	3.40311e-077	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0962413	0.143576	0.175369	0.183693	0.14963	0.110673	0.0641546	0.0387689	0.0176849	0.0106409	0.00433862	0.00299935	0.00107625	0.000721589	0.000218221	0.000149129	3.60913e-005	2.08214e-005	4.3928e-006	2.90657e-006	4.74002e-007	2.4042e-007	3.94505e-008	2.9463e-008	4.01918e-009	2.06773e-009	2.99178e-010	2.14784e-010	2.09233e-011	7.77844e-012	7.59852e-013	4.04003e-013	3.36265e-014	1.59687e-014	7.79576e-015	1.44237e-015	1.64039e-016	1.51703e-017	1.05325e-018	6.48976e-020	2.90325e-021	1.27263e-022	4.37122e-024	1.91437e-025	5.36936e-027	2.30582e-028	6.82879e-030	4.75567e-031	1.02361e-032	5.1918e-034	1.23664e-035	1.02461e-036	1.58188e-038	8.34586e-040	1.66431e-041	1.8862e-042	1.75942e-044	6.89503e-046	7.79909e-048	6.30563e-049	4.22708e-051	1.54538e-052	1.76329e-054	1.54228e-055	7.37468e-058	2.11416e-059	2.06017e-061	1.72748e-062	3.64925e-064	2.94077e-065	2.11722e-066	
N9	0.0456659	0.0749326	0.107301	0.137435	0.141479	0.134564	0.102841	0.0814829	0.0499382	0.0391718	0.0218433	0.0208694	0.0109299	0.0113036	0.00534708	0.0060359	0.00250423	0.00259145	0.00104446	0.00124814	0.000418313	0.00039002	0.000141254	0.000206237	7.34161e-005	8.42794e-005	3.53643e-005	6.17202e-005	1.83094e-005	1.67504e-005	5.22332e-006	7.50785e-006	2.52386e-006	3.32119e-006	4.06907e-006	2.34033e-006	8.58168e-007	2.57343e-007	6.01389e-008	1.26051e-008	2.04724e-009	3.27641e-010	4.48957e-011	7.84509e-012	1.055e-012	2.20577e-013	3.56187e-014	1.30258e-014	1.60998e-015	4.25292e-016	5.25195e-017	1.9552e-017	1.68701e-018	4.31474e-019	4.57906e-020	2.09906e-020	1.1603e-021	2.11167e-022	1.2453e-023	3.79749e-024	1.49907e-025	2.72474e-026	1.7394e-027	6.21141e-028	1.98532e-029	3.33814e-030	2.25487e-031	7.53174e-032	9.84846e-033	3.45546e-033	1.59267e-033	
N10	0.00767206	0.0143503	0.0255401	0.0424247	0.0605181	0.0790171	0.0854863	0.0879028	0.0834013	0.0854035	0.0774719	0.0761012	0.0612318	0.0542306	0.0354932	0.0269792	0.0157261	0.0134036	0.00993262	0.0112	0.00894254	0.00992603	0.00719699	0.00749385	0.00454415	0.00391947	0.0019848	0.00146777	0.000567461	0.00031019	9.70092e-005	4.52321e-005	1.1753e-005	4.53114e-006	1.30302e-006	4.78476e-007	1.29432e-007	4.2133e-008	1.23692e-008	4.64432e-009	1.57645e-009	6.62292e-010	2.44503e-010	1.11435e-010	3.80444e-011	1.63037e-011	5.24349e-012	2.40738e-012	6.62405e-013	2.61057e-013	6.64339e-014	2.68504e-014	5.5974e-015	1.83971e-015	3.61388e-016	1.24584e-016	1.94704e-017	5.08173e-018	7.44343e-019	2.00246e-019	2.39575e-020	5.06637e-021	6.0104e-022	1.35004e-022	1.35037e-023	2.47141e-024	3.1443e-025	7.92437e-026	1.882e-026	7.00713e-027	3.72559e-027	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.0310321	0.0502849	0.0745089	0.102838	0.122304	0.134299	0.127934	0.113065	0.0867615	0.0633569	0.0408136	0.0257215	0.0140416	0.00750734	0.00332665	0.0014561	0.000507507	0.0001769	4.75621e-005	1.31034e-005	2.69044e-006	5.79908e-007	9.19773e-008	1.5807e-008	1.94736e-009	2.66183e-010	2.61434e-011	2.93909e-012	2.31503e-013	2.12451e-014	1.38831e-015	1.09081e-016	5.97224e-018	4.01027e-019	1.99245e-020	1.24594e-021	5.80784e-023	3.43716e-024	1.65394e-025	1.01835e-026	4.95996e-028	2.91404e-029	1.34748e-030	7.29491e-032	2.91945e-033	1.35342e-034	4.74053e-036	1.99378e-037	5.95389e-039	2.16378e-040	5.76467e-042	1.95353e-043	4.5074e-045	1.33119e-046	2.79862e-048	7.8336e-050	1.43196e-051	3.4641e-053	5.82701e-055	1.34551e-056	1.98696e-058	4.00203e-060	5.55868e-062	1.09554e-063	1.38894e-065	2.55011e-067	3.88004e-069	9.24773e-071	2.20811e-072	6.5581e-074	2.66031e-075	
Tetraria_capillaris	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.00398252	0.00815746	0.0155416	0.0269538	0.0385948	0.0531814	0.0791122	0.126171	0.158353	0.133097	0.0754521	0.0522381	0.0500748	0.0553015	0.0484138	0.0386795	0.0215885	0.0107198	0.00331106	0.000903468	0.000146143	2.31725e-005	2.35433e-006	2.67871e-007	2.22455e-008	3.81516e-009	1.09566e-009	5.55305e-010	1.89445e-010	7.95111e-011	2.12379e-011	7.18068e-012	1.45684e-012	3.77886e-013	6.22683e-014	1.3157e-014	1.66943e-015	2.53929e-016	2.49527e-017	2.83922e-018	2.01404e-019	1.58272e-020	8.38367e-022	4.99365e-023	1.91441e-024	8.32045e-026	2.47603e-027	8.94834e-029	2.02739e-030	5.74613e-032	1.08365e-033	2.78677e-035	4.23206e-037	8.86907e-039	1.18838e-040	2.35063e-042	2.58002e-044	4.10376e-046	4.0514e-048	6.1839e-050	5.09013e-052	6.37836e-054	4.89968e-056	6.14504e-058	4.0246e-060	4.27143e-062	3.21878e-064	4.54558e-066	6.09065e-068	1.14329e-069	2.7058e-071	
Machaerina_articulata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Machaerina_mariscoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	0.244016	0.270942	0.220439	0.146417	0.0735231	0.0311796	0.00990986	0.00283647	0.000588369	0.000125702	1.82601e-005	3.33813e-006	3.5269e-007	5.37725e-008	4.18272e-009	5.338e-010	2.96231e-011	2.80259e-012	1.18209e-013	9.81694e-015	3.01044e-016	1.79639e-017	4.58227e-019	2.76406e-020	5.15242e-022	2.0537e-023	3.38096e-025	1.49644e-026	1.79199e-028	5.01442e-030	5.85124e-032	2.05896e-033	2.43617e-035	7.74212e-037	2.21975e-038	4.65663e-040	6.37687e-042	7.63654e-044	7.16918e-046	6.17131e-048	4.05082e-050	2.54806e-052	1.29422e-054	7.42462e-057	3.02065e-059	1.60742e-061	6.3336e-064	4.54581e-066	1.38115e-068	7.51514e-071	2.20509e-073	1.52871e-075	3.4225e-078	1.81713e-080	4.72062e-083	3.81593e-085	6.49298e-088	2.83917e-090	5.09881e-093	3.23027e-095	4.38183e-098	1.9428e-100	3.65878e-103	2.64489e-105	3.35126e-108	1.47549e-110	3.32796e-113	2.54091e-115	1.16726e-117	9.67991e-120	7.93713e-122	
N14	0.145049	0.202261	0.220493	0.195454	0.127067	0.0689037	0.0274039	0.00997301	0.00254932	0.000693124	0.000120443	2.78075e-005	3.35247e-006	6.17647e-007	5.22683e-008	7.73293e-009	4.40467e-010	4.49737e-011	1.86946e-012	1.65171e-013	4.73272e-015	2.80698e-016	6.5856e-018	4.08242e-019	6.66936e-021	2.50915e-022	3.62483e-024	1.58922e-025	1.5981e-027	4.0438e-029	4.03356e-031	1.36292e-032	1.51555e-034	4.72077e-036	1.31924e-037	2.2315e-039	2.45429e-041	2.25186e-043	1.61428e-045	1.03721e-047	5.11226e-050	2.37988e-052	8.92477e-055	3.75068e-057	1.11142e-059	4.34859e-062	1.24472e-064	6.7914e-067	1.44721e-069	5.73066e-072	1.17088e-074	5.96672e-077	9.0248e-080	3.45776e-082	6.24066e-085	3.85007e-087	4.24889e-090	1.29604e-092	1.51837e-095	7.03411e-098	6.06399e-101	1.91608e-103	2.44746e-106	1.32928e-108	1.10229e-111	3.65089e-114	5.80668e-117	3.17768e-119	9.33747e-122	5.22707e-124	2.70167e-126	
