NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.401888	0.294821	0.171184	0.0822288	0.033474	0.0116932	0.00352792	0.000922813	0.00020994	4.16963e-005	7.26238e-006	1.11438e-006	1.51208e-007	1.81822e-008	1.93835e-009	1.8303e-010	1.52811e-011	1.12584e-012	6.17276e-017	1.47499e-017	3.30451e-018	6.94e-019	1.36635e-019	2.52234e-020	4.36743e-021	7.09617e-022	1.08249e-022	1.55128e-023	2.08979e-024	2.6483e-025	3.15941e-026	3.55101e-027	3.76314e-028	3.76317e-029	3.55401e-030	3.17252e-031	2.67901e-032	2.14185e-033	1.6226e-034	1.16573e-035	7.94883e-037	5.14848e-038	3.17009e-039	1.85705e-040	1.03578e-041	5.50476e-043	2.78969e-044	1.34909e-045	6.23022e-047	2.74947e-048	1.16032e-049	4.68579e-051	1.81197e-052	6.71367e-054	2.38499e-055	8.12831e-057	2.65926e-058	8.35653e-060	2.52375e-061	7.3294e-063	2.04801e-064	5.50899e-066	1.42732e-067	3.56381e-069	8.58021e-071	1.99327e-072	4.47288e-074	9.72208e-076	2.06891e-077	4.54447e-079	1.39233e-080	
N2	0.000990576	0.00191704	0.00392709	0.00777573	0.0134533	0.0216062	0.0313179	0.0435675	0.0542325	0.0638253	0.0673972	0.0692691	0.066939	0.0687853	0.0709692	0.0775822	0.077555	0.0753328	0.062489	0.0492525	0.0323671	0.0202806	0.0105137	0.00524954	0.0021486	0.000855992	0.000279104	8.96985e-005	2.34357e-005	6.10484e-006	1.29585e-006	2.77872e-007	4.82643e-008	8.56148e-009	1.23646e-009	1.84675e-010	2.23117e-011	2.81429e-012	2.89124e-013	3.13667e-014	2.74877e-015	2.56325e-016	1.94736e-017	1.59062e-018	1.04811e-019	7.47153e-021	4.33931e-022	2.7524e-023	1.40498e-024	7.87017e-026	3.58935e-027	1.81248e-028	7.34982e-030	3.31292e-031	1.2148e-032	4.99375e-034	1.64328e-035	6.08014e-037	1.82919e-038	6.24389e-040	1.70978e-041	5.34647e-043	1.38502e-044	4.1886e-046	1.08998e-047	3.41852e-049	1.03808e-050	3.71236e-052	1.32341e-053	5.06062e-055	2.67847e-056	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.305033	0.288623	0.202015	0.117712	0.0541303	0.0221577	0.00728572	0.00229006	0.000567515	0.000148398	2.93857e-005	7.03285e-006	1.15187e-006	2.53027e-007	3.50406e-008	7.10401e-009	7.96595e-010	1.34429e-010	1.25026e-011	1.89509e-012	1.38589e-013	1.66796e-014	1.04171e-015	1.19008e-016	5.77716e-018	4.99004e-019	2.14389e-020	1.83969e-021	6.10513e-023	3.84493e-024	1.18237e-025	7.71985e-027	1.78621e-028	8.06492e-030	1.73594e-031	8.31883e-033	1.36713e-034	4.66294e-036	7.57428e-038	2.88902e-039	3.47228e-041	8.7722e-043	1.02634e-044	2.95867e-046	2.66229e-048	5.48805e-050	5.30498e-052	1.31764e-053	9.17065e-056	1.42711e-057	1.00566e-059	1.89065e-061	1.02749e-063	1.38259e-065	8.6293e-068	1.47098e-069	6.44079e-072	6.61045e-074	3.03939e-076	3.93768e-078	1.4055e-080	1.31228e-082	5.66673e-085	6.87219e-087	2.02185e-089	1.42618e-091	4.60693e-094	4.44885e-096	1.89125e-098	2.5994e-100	5.21587e-102	
N4	0.30455	0.288398	0.20216	0.118009	0.0543488	0.0222419	0.00728334	0.00227519	0.000555086	0.000143543	2.7401e-005	6.49099e-006	9.9104e-007	2.18176e-007	2.69889e-008	5.62945e-009	5.36279e-010	9.62281e-011	7.19329e-012	1.23401e-012	6.69181e-014	9.71039e-015	4.14409e-016	6.59608e-017	1.91087e-018	2.52306e-019	5.96483e-021	9.96806e-022	1.53355e-023	1.97788e-024	2.77589e-026	4.88654e-027	4.41038e-029	4.9672e-030	4.57845e-032	7.09682e-033	4.32304e-035	3.86909e-036	2.69887e-038	3.60523e-039	1.55935e-041	1.01571e-042	5.32091e-045	5.68972e-046	1.83365e-048	9.22329e-050	4.14664e-052	4.13085e-053	9.66744e-056	3.44398e-057	1.19592e-059	9.97015e-061	1.78136e-063	5.09272e-065	1.72563e-067	1.49157e-068	1.94877e-071	3.80392e-073	1.00009e-075	7.47587e-077	7.75274e-080	1.30765e-081	3.89328e-084	3.06032e-085	2.4241e-088	2.7048e-090	5.65695e-093	3.70046e-094	2.7371e-097	5.8141e-099	3.6673e-100	
N5	0.260215	0.265975	0.209238	0.139315	0.0728822	0.0339387	0.0123936	0.00440871	0.00117605	0.000357614	7.41369e-005	2.22152e-005	3.67306e-006	1.05564e-006	1.43357e-007	3.98139e-008	4.17306e-009	9.28068e-010	8.07354e-011	1.72596e-011	1.11858e-012	1.72639e-013	9.95622e-015	1.69737e-015	6.94385e-017	7.46709e-018	2.92703e-019	3.97257e-020	1.06889e-021	8.3525e-023	2.37298e-024	2.62311e-025	4.79556e-027	2.65129e-028	5.15294e-030	4.23864e-031	5.47925e-033	2.34516e-034	3.60875e-036	2.47101e-037	2.29715e-039	6.96055e-041	7.19245e-043	3.56695e-044	2.46979e-046	6.44816e-048	6.11497e-050	2.7855e-051	1.44977e-053	2.59864e-055	1.54239e-057	4.92848e-059	1.98105e-061	3.44263e-063	2.18109e-065	7.00537e-067	2.22145e-069	2.55658e-071	9.5254e-074	2.12303e-075	5.40652e-078	6.83504e-080	3.13563e-082	7.44779e-084	1.5504e-086	1.20933e-088	2.99239e-091	4.83379e-093	1.24112e-095	2.38268e-097	7.35176e-099	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.245199	0.257854	0.211096	0.1463	0.0795083	0.0383093	0.0144457	0.005277	0.00143939	0.000445454	9.24793e-005	2.80371e-005	4.48269e-006	1.31578e-006	1.6445e-007	4.76561e-008	4.35716e-009	1.05126e-009	7.50821e-011	1.83915e-011	9.1821e-013	1.72078e-013	7.25488e-015	1.63636e-015	4.59351e-017	6.7605e-018	1.81761e-019	3.69669e-020	6.39059e-022	7.18803e-023	1.36683e-024	2.37902e-025	2.64507e-027	2.03657e-028	2.6044e-030	3.35625e-031	2.45464e-033	1.31899e-034	1.26352e-036	1.33217e-037	6.33796e-040	2.19331e-041	1.38647e-043	1.06886e-044	3.49057e-047	9.20317e-049	5.13598e-051	3.6695e-052	8.12812e-055	1.37094e-056	4.81242e-059	2.52225e-060	4.13095e-063	6.11853e-065	2.28372e-067	1.17635e-068	1.39413e-071	1.31104e-073	2.82994e-076	1.05446e-077	1.0024e-080	9.70749e-083	2.62648e-085	9.74873e-087	7.05034e-090	4.11844e-092	5.60021e-095	1.45566e-096	1.05478e-099	1.37972e-101	3.65755e-103	
N7	0.12951	0.162547	0.175625	0.170117	0.134344	0.0978948	0.0579948	0.0353168	0.0169097	0.0100335	0.00430717	0.00287911	0.00113773	0.000781354	0.000283685	0.000199394	6.16081e-005	3.74406e-005	1.05664e-005	6.86574e-006	1.60248e-006	8.32811e-007	1.91418e-007	1.20213e-007	2.21554e-008	9.84613e-009	1.86258e-009	1.0456e-009	1.50907e-010	5.48968e-011	8.16324e-012	3.73431e-012	3.78137e-013	9.59477e-014	9.39094e-015	3.0021e-015	2.03808e-016	3.87251e-017	2.89824e-018	7.51345e-019	3.55841e-020	4.58848e-021	2.20757e-022	3.98229e-023	1.3453e-024	1.48925e-025	6.56588e-027	1.08475e-027	2.8252e-029	2.12944e-030	5.97042e-032	6.86576e-033	1.38674e-034	1.00887e-035	2.94379e-037	3.42472e-038	5.76553e-040	2.96385e-041	5.63475e-043	4.6686e-044	6.41292e-046	3.37364e-047	7.04548e-049	5.91648e-050	6.63158e-052	2.28867e-053	2.88019e-055	1.64998e-056	2.27014e-058	1.63192e-059	1.96345e-060	
