NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.481797	0.308557	0.1419	0.0499869	0.0139576	0.00313343	0.00057179	8.53321e-005	1.04871e-005	1.06787e-006	9.07142e-008	6.46803e-009	3.89283e-010	1.98574e-011	8.61333e-013	3.67825e-017	6.53036e-018	1.07102e-018	1.62298e-019	2.2722e-020	2.93932e-021	3.51358e-022	3.88234e-023	3.96706e-024	3.75103e-025	3.28452e-026	2.66578e-027	2.00741e-028	1.40401e-029	9.1309e-031	5.528e-032	3.11922e-033	1.64235e-034	8.07879e-036	3.71714e-037	1.60167e-038	6.47068e-040	2.45386e-041	8.74529e-043	2.93237e-044	9.26122e-046	2.75805e-047	7.75337e-049	2.05964e-050	5.17556e-052	1.23148e-053	2.77736e-055	5.94282e-057	1.20759e-058	2.33247e-060	4.2862e-062	7.50014e-064	1.25078e-065	1.9896e-067	3.02123e-069	4.38302e-071	6.07959e-073	8.06885e-075	1.02543e-076	1.24871e-078	1.4581e-080	1.63371e-082	1.75756e-084	1.81667e-086	1.80529e-088	1.72587e-090	1.58851e-092	1.40961e-094	1.21198e-096	1.04343e-098	1.22333e-100	
N2	0.000418264	0.00111698	0.00299691	0.00698371	0.0135561	0.0237025	0.0351672	0.0491797	0.0625268	0.0744948	0.0808031	0.0872705	0.0851396	0.0854074	0.0806965	0.0751419	0.065357	0.0590771	0.0443069	0.0319491	0.0188266	0.00974191	0.00399533	0.00155011	0.000441677	0.000120232	2.60899e-005	5.12798e-006	7.98046e-007	1.24669e-007	1.44231e-008	1.6952e-009	1.60333e-010	1.44877e-011	1.06072e-012	8.26933e-014	4.75386e-015	2.91847e-016	1.47373e-017	7.41741e-019	3.02251e-020	1.3613e-021	4.58429e-023	1.71758e-024	5.27418e-026	1.64957e-027	4.24893e-029	1.25522e-030	2.7305e-032	6.76387e-034	1.38954e-035	2.99539e-037	5.24687e-039	1.07901e-040	1.64198e-042	2.92629e-044	4.25858e-046	6.59985e-048	8.4296e-050	1.28978e-051	1.43414e-053	1.89864e-055	2.10324e-057	2.5336e-059	2.54893e-061	3.25826e-063	3.66821e-065	5.6067e-067	9.24304e-069	1.74404e-070	4.37619e-072	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.350758	0.32441	0.196105	0.0884477	0.0294649	0.00859265	0.00178539	0.000367512	5.75477e-005	9.23999e-006	1.0483e-006	1.67953e-007	1.37776e-008	1.73771e-009	1.26628e-010	1.30748e-011	6.73192e-013	6.45621e-014	2.45781e-015	1.90467e-016	6.49158e-018	3.39888e-019	9.03031e-021	5.71785e-022	9.95307e-024	3.69842e-025	7.01577e-027	2.41005e-028	2.88963e-030	8.66328e-032	8.734e-034	2.44343e-035	2.11612e-037	3.39086e-039	2.61112e-041	6.33524e-043	3.09278e-045	3.83664e-047	2.38128e-049	3.41866e-051	1.33605e-053	1.51147e-055	5.10048e-058	5.70811e-060	1.92167e-062	1.27896e-064	4.31131e-067	5.19271e-069	1.01416e-071	5.34196e-074	1.32615e-076	8.41973e-079	1.44168e-081	9.01554e-084	1.50532e-086	9.49905e-089	1.35792e-091	4.40803e-094	6.66835e-097	4.00976e-099	3.80467e-102	1.17046e-104	1.84793e-107	7.50505e-110	6.29127e-113	1.85383e-115	1.54086e-118	5.26925e-121	6.15107e-124	2.92802e-126	2.59842e-128	
N4	0.348142	0.323945	0.197391	0.0896196	0.0299654	0.00871299	0.00179459	0.000363693	5.53216e-005	8.65402e-006	9.20345e-007	1.45187e-007	1.0538e-008	1.34292e-009	8.32073e-011	8.82181e-012	3.51945e-013	3.77488e-014	9.97474e-016	9.51959e-017	2.18204e-018	1.42595e-019	2.16677e-021	2.28305e-022	1.82113e-024	1.26768e-025	1.34025e-027	9.01178e-029	4.13667e-031	3.1059e-032	1.18345e-034	1.04828e-035	3.78172e-038	1.32947e-039	3.95182e-042	3.48629e-043	5.29255e-046	1.81886e-047	5.7803e-050	2.58216e-051	3.09216e-054	1.00847e-055	1.2395e-058	6.18132e-060	8.70143e-063	1.01939e-064	1.46003e-067	9.18709e-069	4.82902e-072	5.53165e-074	1.05846e-076	2.44087e-078	1.11842e-081	2.10269e-083	1.37607e-086	5.52146e-088	2.83421e-091	1.17787e-093	1.09455e-096	4.66702e-098	1.08377e-101	5.60074e-104	1.0771e-106	2.06784e-108	4.09829e-112	3.04435e-114	1.15296e-117	2.85375e-119	8.08884e-123	3.83439e-125	1.07101e-126	
N5	0.285589	0.302498	0.220887	0.121155	0.0481018	0.0166779	0.00392343	0.00096282	0.000166622	3.31015e-005	3.93057e-006	8.84764e-007	7.02477e-008	1.25414e-008	9.15776e-010	1.36968e-010	6.46041e-012	9.08435e-013	3.10487e-014	3.75686e-015	1.16907e-016	7.71167e-018	1.89093e-019	2.09687e-020	2.82062e-022	1.30757e-023	2.47229e-025	1.35544e-026	1.23848e-028	5.12485e-030	4.38389e-032	2.21181e-033	1.46118e-035	2.72291e-037	1.86404e-039	8.70281e-041	3.02758e-043	4.45681e-045	2.6595e-047	7.11256e-049	1.99837e-051	3.05969e-053	7.95511e-056	1.52416e-057	4.04285e-060	3.18524e-062	1.08831e-064	2.76066e-066	3.66942e-069	2.15503e-071	4.53994e-074	4.87505e-076	6.08798e-079	6.3805e-081	9.23334e-084	1.16954e-085	1.13834e-088	4.2041e-091	5.48474e-094	6.68747e-096	4.28896e-099	1.6915e-101	3.03995e-104	2.49517e-106	1.38816e-109	5.1981e-112	3.14241e-115	1.85627e-117	1.37037e-120	8.64275e-123	1.24176e-124	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.264768	0.293962	0.227829	0.132043	0.0551296	0.0199082	0.00487276	0.00122247	0.000215628	4.30332e-005	5.03287e-006	1.13329e-006	8.38099e-008	1.54718e-008	1.00032e-009	1.57149e-010	6.02162e-012	9.64895e-013	2.42413e-014	3.55146e-015	8.05915e-017	6.31317e-018	1.00239e-019	1.48035e-020	1.1657e-022	7.45834e-024	9.45538e-026	6.53692e-027	3.20519e-029	1.7981e-030	8.37931e-033	6.16657e-034	2.25392e-036	4.65542e-038	1.72521e-040	1.19449e-041	1.87456e-044	3.10721e-046	1.20591e-048	4.12577e-050	4.90783e-053	8.58793e-055	1.09066e-057	3.34769e-059	4.32588e-062	2.61963e-064	4.78985e-067	1.93814e-068	9.58139e-072	4.84098e-074	7.26866e-077	1.0728e-078	4.78247e-082	5.05735e-084	3.22978e-087	6.58396e-089	2.40254e-092	6.30102e-095	4.5877e-098	8.87953e-100	1.92689e-103	5.63544e-106	6.70235e-109	7.5131e-111	1.33702e-114	4.55293e-117	1.20174e-120	1.07929e-122	2.40386e-126	9.07283e-129	1.12933e-130	
N7	0.127172	0.182586	0.207806	0.189617	0.131664	0.0847694	0.0394723	0.0209829	0.0085666	0.00439661	0.00148981	0.000980521	0.000265856	0.000153222	4.39398e-005	2.44994e-005	5.27541e-006	3.02753e-006	5.26177e-007	2.82663e-007	4.77273e-008	1.57552e-008	2.28111e-009	1.23166e-009	1.09116e-010	2.79072e-011	3.14272e-012	8.96634e-013	5.69703e-014	1.33212e-014	7.79411e-016	2.01548e-016	9.60738e-018	1.10887e-018	5.21298e-020	1.24514e-020	3.24664e-022	2.94527e-023	1.18529e-024	1.59881e-025	3.26494e-027	2.77983e-028	4.91347e-030	4.56641e-031	7.99677e-033	3.55181e-034	7.15845e-036	7.71311e-037	6.66289e-039	2.02406e-040	2.35896e-042	1.05727e-043	7.49233e-046	3.1202e-047	2.35298e-049	1.09611e-050	5.92425e-053	9.81333e-055	6.32663e-057	2.62407e-058	8.90082e-061	1.40656e-062	1.04002e-064	2.76554e-066	7.78064e-069	1.11065e-070	3.21544e-073	6.33425e-075	2.34648e-077	5.40119e-079	2.66243e-080	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.083859	0.133246	0.175285	0.18762	0.155786	0.117803	0.0670019	0.0401764	0.0195408	0.0106955	0.00429496	0.0028397	0.000924823	0.000570331	0.000190795	0.000113053	2.8861e-005	1.86363e-005	3.74187e-006	2.24083e-006	4.52136e-007	1.92041e-007	3.25145e-008	2.17e-008	2.38711e-009	9.13822e-010	1.34352e-010	5.43522e-011	4.60137e-012	1.73878e-012	1.39639e-013	5.98455e-014	4.30649e-015	8.70737e-016	6.09441e-017	2.62665e-017	1.01186e-018	1.68505e-019	1.05583e-020	2.54999e-021	7.62292e-023	1.19735e-023	3.17802e-025	5.80617e-026	1.46087e-027	1.00182e-028	2.66209e-030	5.19339e-031	5.65185e-033	2.79937e-034	5.07158e-036	4.17462e-037	3.78722e-039	2.60301e-040	2.57837e-042	2.3092e-043	1.73278e-045	4.90854e-047	5.13434e-049	4.8934e-050	2.45723e-052	7.32276e-054	9.61431e-056	5.75397e-057	2.43946e-059	7.37747e-061	3.48195e-063	1.57094e-064	7.7818e-067	2.94555e-068	2.73856e-069	
