NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.475629	0.306548	0.144427	0.0530487	0.0156749	0.0037795	0.000750318	0.000123336	1.68916e-005	1.94086e-006	1.88533e-007	1.55875e-008	1.1021e-009	6.67753e-011	3.46738e-012	1.54098e-013	1.59502e-017	2.87121e-018	4.77191e-019	7.32036e-020	1.03658e-020	1.35524e-021	1.63674e-022	1.82713e-023	1.88685e-024	1.80417e-025	1.59894e-026	1.31483e-027	1.00435e-028	7.13488e-030	4.71953e-031	2.91038e-032	1.67523e-033	9.01161e-035	4.53594e-036	2.13892e-037	9.46036e-039	3.92935e-040	1.5344e-041	5.63981e-043	1.95337e-044	6.38232e-046	1.96932e-047	5.7446e-049	1.58582e-050	4.14708e-052	1.02837e-053	2.42044e-055	5.41234e-057	1.15085e-058	2.32908e-060	4.4901e-062	8.25285e-064	1.44739e-065	2.4241e-067	3.88005e-069	5.93987e-071	8.70348e-073	1.22151e-074	1.64323e-076	2.12026e-078	2.62582e-080	3.12323e-082	3.57013e-084	3.92445e-086	4.15115e-088	4.22849e-090	4.15374e-092	3.95541e-094	3.78024e-096	4.95287e-098	
N2	0.000528186	0.00132527	0.00331883	0.00747045	0.013951	0.0235596	0.0347049	0.0490044	0.0613709	0.0725526	0.0764231	0.0787627	0.0733594	0.0729373	0.0718974	0.0760668	0.0733142	0.0705538	0.054801	0.0403395	0.0233426	0.0124423	0.00513133	0.00202731	0.000597221	0.000170843	3.76625e-005	8.01742e-006	1.30532e-006	2.15594e-007	2.67206e-008	3.42136e-009	3.37343e-010	3.38962e-011	2.65075e-012	2.22752e-013	1.39618e-014	9.48113e-016	5.05055e-017	2.87186e-018	1.2598e-019	6.16932e-021	2.28728e-022	9.57709e-024	3.10206e-025	1.1033e-026	3.08194e-028	9.97045e-030	2.38864e-031	6.62137e-033	1.4447e-034	3.56903e-036	6.76226e-038	1.51473e-039	2.55792e-041	5.14756e-043	7.9298e-045	1.40427e-046	1.94826e-048	3.2794e-050	4.0374e-052	6.01032e-054	7.0746e-056	9.89061e-058	1.09465e-059	1.55912e-061	2.01062e-063	3.48254e-065	6.26104e-067	1.28435e-068	3.47872e-070	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.348759	0.320319	0.194529	0.0919189	0.0318932	0.00979085	0.00219558	0.000496682	8.08989e-005	1.50778e-005	1.85641e-006	3.34227e-007	3.12062e-008	4.63479e-009	3.60408e-010	4.68239e-011	2.64618e-012	2.75817e-013	1.21942e-014	1.14189e-015	3.95844e-017	2.52921e-018	7.30078e-020	5.23141e-021	1.03555e-022	4.43288e-024	8.35505e-026	3.75249e-027	4.82634e-029	1.51542e-030	1.79048e-032	6.16384e-034	5.37241e-036	1.03397e-037	8.37213e-040	2.15514e-041	1.19419e-043	1.75321e-045	1.125e-047	2.13359e-049	8.79711e-052	1.00557e-053	3.96166e-056	5.4306e-058	1.72823e-060	1.46885e-062	5.50083e-065	7.48112e-067	1.67015e-069	1.01689e-071	2.54938e-074	2.10467e-076	3.72177e-079	2.27517e-081	4.8112e-084	3.97911e-086	5.74545e-089	2.23262e-091	3.52336e-094	2.28163e-096	2.48616e-099	9.21841e-102	1.50045e-104	8.56372e-107	7.83428e-110	2.27209e-112	2.20657e-115	9.23003e-118	1.1149e-120	6.30378e-123	6.05496e-125	
N4	0.346984	0.319845	0.195354	0.0927921	0.0323262	0.00990613	0.00220621	0.000492371	7.80943e-005	1.42388e-005	1.64685e-006	2.91678e-007	2.43051e-008	3.63068e-009	2.39439e-010	3.20981e-011	1.42637e-012	1.62719e-013	5.16859e-015	5.81279e-016	1.32216e-017	1.08988e-018	1.78767e-020	2.13129e-021	1.95957e-023	1.58678e-024	1.4341e-026	1.50212e-027	7.05859e-030	5.74373e-031	2.51677e-033	2.92099e-034	9.03933e-037	4.57948e-038	1.40028e-040	1.35745e-041	2.39498e-044	9.88865e-046	2.69816e-048	1.86042e-049	2.34187e-052	7.43334e-054	1.14298e-056	6.93922e-058	7.62771e-061	1.37885e-062	2.19643e-065	1.49797e-066	9.11112e-070	1.21082e-071	1.81286e-074	7.0529e-076	3.40002e-079	4.88257e-081	4.99231e-084	2.69685e-085	1.128e-088	6.35447e-091	6.10807e-094	3.02541e-095	8.16083e-099	4.80825e-101	7.47881e-104	2.75871e-105	5.99578e-109	3.16247e-111	1.71715e-114	5.9974e-116	1.4161e-119	9.58061e-122	3.01592e-123	
N5	0.289343	0.299681	0.215453	0.121811	0.0497386	0.0179607	0.00452931	0.00121203	0.000212955	4.96148e-005	6.27973e-006	1.58305e-006	1.4288e-007	3.00938e-008	2.27191e-009	4.41213e-010	2.25149e-011	3.30521e-012	1.33007e-013	1.96571e-014	5.85093e-016	4.74594e-017	1.2401e-018	1.53826e-019	2.34225e-021	1.22565e-022	2.11276e-024	1.64426e-025	1.58927e-027	6.38196e-029	6.63243e-031	4.30015e-032	2.78097e-034	6.29703e-036	4.45985e-038	2.19572e-039	8.93815e-042	1.60219e-043	9.92958e-046	3.71774e-047	1.1103e-049	1.57754e-051	5.04731e-054	1.25786e-055	2.98894e-058	3.24005e-060	1.26815e-062	3.64947e-064	5.70444e-067	3.91593e-069	8.01125e-072	1.20831e-073	1.52611e-076	1.40487e-078	2.99914e-081	5.29161e-083	5.30091e-086	2.32214e-088	2.97191e-091	3.82854e-093	2.85604e-096	1.4574e-098	2.72269e-101	3.40327e-103	2.11677e-106	7.15202e-109	5.08384e-112	3.8911e-114	2.82811e-117	2.25264e-119	3.54838e-121	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.270516	0.291989	0.221329	0.131459	0.0562402	0.0210931	0.00552317	0.0015079	0.000270139	6.30652e-005	7.87368e-006	1.97879e-006	1.67902e-007	3.62587e-008	2.41691e-009	4.9215e-010	2.05023e-011	3.37948e-012	1.00571e-013	1.76833e-014	3.68778e-016	3.73404e-017	6.20932e-019	1.05185e-019	9.48458e-022	7.10857e-023	7.74495e-025	8.54751e-026	4.5984e-028	2.63658e-029	1.58222e-031	1.57862e-032	5.59598e-035	1.62234e-036	6.6647e-039	5.08482e-040	1.00312e-042	2.1041e-044	7.80748e-047	4.22519e-048	5.511e-051	8.65932e-053	1.48088e-055	6.00359e-057	6.27968e-060	5.63564e-062	1.19567e-064	5.45216e-066	3.12627e-069	1.80514e-071	2.33976e-074	5.49065e-076	2.49956e-079	1.9392e-081	2.0412e-084	5.66118e-086	1.96101e-089	6.14501e-092	4.32376e-095	9.21447e-097	2.3308e-100	8.2515e-103	9.03962e-106	1.65188e-107	3.25779e-111	8.44199e-114	2.84625e-117	3.52149e-119	7.23256e-123	3.47471e-125	4.61479e-127	
N7	0.134453	0.185524	0.202736	0.185525	0.128494	0.0833513	0.0400185	0.0223123	0.00878549	0.00507321	0.00175165	0.00124339	0.000366346	0.000236614	6.69061e-005	4.50639e-005	9.74771e-006	5.40626e-006	1.01458e-006	6.27166e-007	9.58746e-008	3.62451e-008	5.31126e-009	3.11119e-009	3.04606e-010	8.80879e-011	9.52668e-012	3.84455e-012	2.7163e-013	6.67659e-014	4.91736e-015	1.67682e-015	8.09022e-017	1.12239e-017	5.27693e-019	1.26784e-019	3.58006e-021	3.7341e-022	1.46844e-023	2.55817e-024	5.07402e-026	3.78319e-027	7.29216e-029	7.90232e-030	1.14831e-031	6.39771e-033	1.37334e-034	1.57931e-035	1.49644e-037	4.99252e-039	5.48594e-041	3.16211e-042	2.18956e-044	8.03862e-046	8.08885e-048	5.00186e-049	2.68291e-051	5.17488e-053	3.29193e-055	1.42972e-056	5.56357e-059	1.10107e-060	8.46361e-063	3.3481e-064	1.05592e-066	1.43195e-068	4.94672e-071	1.24026e-072	4.66313e-075	1.34414e-076	7.55821e-078	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0910475	0.138169	0.173146	0.183869	0.150921	0.114038	0.0663091	0.0411289	0.0193746	0.0115467	0.00470198	0.00328873	0.00115553	0.000784421	0.000257485	0.000177492	4.52976e-005	2.81721e-005	6.03198e-006	3.96709e-006	7.22754e-007	3.5231e-007	6.05015e-008	4.39473e-008	5.49238e-009	2.48375e-009	3.61202e-010	2.16464e-010	2.08924e-011	8.42039e-012	8.26983e-013	4.3944e-013	2.94357e-014	6.88839e-015	4.59667e-016	1.83888e-016	7.25363e-018	1.25075e-018	6.7694e-020	1.98108e-020	5.52722e-022	7.40161e-023	2.19136e-024	4.62464e-025	9.65386e-027	8.35568e-028	2.37495e-029	4.99674e-030	6.10866e-032	3.44643e-033	5.99192e-035	7.10172e-036	6.8707e-038	4.37749e-039	6.55021e-041	8.73768e-042	7.03168e-044	2.59494e-045	2.93067e-047	3.19624e-048	1.93149e-050	7.13628e-052	9.25781e-054	8.40237e-055	3.86374e-057	1.01969e-058	5.73127e-061	3.3337e-062	1.59972e-064	7.36812e-066	7.29475e-067	
N9	0.041706	0.0696389	0.103079	0.134939	0.14093	0.137018	0.105207	0.0847203	0.0534264	0.0410275	0.0227704	0.0213223	0.0108915	0.0110435	0.00573723	0.00638514	0.00281656	0.00302737	0.00120615	0.00138902	0.000514903	0.000477462	0.000184763	0.000262428	8.32873e-005	8.06984e-005	3.21333e-005	4.47372e-005	1.30688e-005	1.29454e-005	4.01943e-006	5.50774e-006	1.23014e-006	7.91004e-007	1.83661e-007	2.10974e-007	3.16939e-008	1.71169e-008	3.5517e-009	3.29856e-009	3.98529e-010	1.82565e-010	2.28746e-011	1.54491e-011	1.43994e-012	4.67593e-013	5.76423e-014	3.95279e-014	2.52681e-015	6.09185e-016	5.34557e-017	2.58133e-017	1.65192e-018	5.57868e-019	5.243e-020	3.00634e-020	1.61638e-021	3.06497e-022	1.91651e-023	8.07125e-024	3.00972e-025	5.49137e-026	3.81006e-027	1.35865e-027	3.88203e-029	4.8398e-030	1.47581e-031	3.26121e-032	1.06481e-033	2.81508e-034	1.76879e-034	
N10	0.00776475	0.0143884	0.0256116	0.0423422	0.059828	0.0787715	0.0870374	0.0912587	0.0849753	0.080949	0.0697566	0.0679807	0.0553433	0.0512076	0.0380063	0.0330819	0.0230881	0.0214516	0.0145369	0.0131606	0.00869367	0.00800857	0.00556456	0.00581487	0.00369254	0.00329035	0.00185131	0.00138986	0.000587082	0.000352257	0.000119311	6.20158e-005	1.88792e-005	8.92302e-006	2.88058e-006	1.63047e-006	4.83202e-007	2.26027e-007	6.31454e-008	2.70424e-008	5.79816e-009	2.02339e-009	3.86591e-010	1.38211e-010	2.83017e-011	1.12161e-011	3.10567e-012	1.79992e-012	4.69513e-013	2.17434e-013	5.80385e-014	2.67803e-014	5.70293e-015	2.22558e-015	4.38696e-016	1.65683e-016	2.74637e-017	7.52471e-018	1.1453e-018	3.41598e-019	4.05004e-020	8.84487e-021	1.0838e-021	2.40939e-022	2.26204e-023	4.01257e-024	3.77711e-025	7.80257e-026	1.20835e-026	4.36098e-027	2.50809e-027	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.0232539	0.0403285	0.0646883	0.0946312	0.117396	0.133754	0.130504	0.119551	0.0957801	0.0720795	0.0471729	0.0299762	0.0160553	0.00848439	0.00379339	0.00166219	0.00059241	0.000214898	5.97593e-005	1.71371e-005	3.76419e-006	8.42283e-007	1.42528e-007	2.62055e-008	3.43819e-009	5.0026e-010	5.43988e-011	6.51976e-012	5.70835e-013	5.87255e-014	4.30031e-015	3.78926e-016	2.41903e-017	1.805e-018	9.95278e-020	6.90645e-021	3.25982e-022	1.94556e-023	8.61224e-025	4.77154e-026	1.88486e-027	9.93819e-029	3.71334e-030	1.89206e-031	6.81256e-033	3.14823e-034	1.05591e-035	4.85569e-037	1.42072e-038	5.56404e-040	1.54096e-041	5.54858e-043	1.31452e-044	4.26036e-046	9.07975e-048	2.6913e-049	5.17312e-051	1.29859e-052	2.26165e-054	5.60378e-056	8.39438e-058	1.75898e-059	2.56599e-061	5.09953e-063	6.50269e-065	1.20982e-066	1.64676e-068	3.59834e-070	7.71959e-072	2.28566e-073	9.48833e-075	
Tetraria_capillaris	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
