NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.000959626	0.00108938	0.00137641	0.00187695	0.00267815	0.00389934	0.00569004	0.00822181	0.0116712	0.0161918	0.0218765	0.0287129	0.0365416	0.045028	0.0536602	0.0617833	0.0686714	0.0736297	0.0761079	0.0757998	0.0727043	0.0671313	0.0596493	0.0509875	0.0419164	0.0331333	0.0251779	0.0183897	0.0129084	0.00870683	0.00564286	0.00351364	0.0021019	0.00120794	0.000666879	0.000353683	0.000180197	8.81964e-005	4.14703e-005	1.87336e-005	8.13057e-006	3.39046e-006	1.3585e-006	5.23061e-007	1.9354e-007	6.88251e-008	2.35245e-008	7.72918e-009	2.44134e-009	7.414e-010	2.16501e-010	6.08002e-011	1.64231e-011	4.26756e-012	1.06701e-012	2.601e-016	1.2519e-016	5.91337e-017	2.74194e-017	1.24854e-017	5.58599e-018	2.45749e-018	1.0643e-018	4.54484e-019	1.91811e-019	8.02736e-020	3.34724e-020	1.40109e-020	5.98041e-021	2.73478e-021	1.58489e-021	
N2	0.00264335	0.00286395	0.00333731	0.00411052	0.00525132	0.00684304	0.00897659	0.0117391	0.0151993	0.0193901	0.024291	0.0298123	0.0357849	0.0419595	0.0480169	0.0535913	0.0583047	0.0618075	0.0638209	0.0641732	0.0628231	0.0598664	0.0555244	0.0501152	0.0440149	0.0376135	0.0312734	0.0252975	0.0199084	0.0152421	0.0113527	0.00822625	0.00579901	0.00397708	0.00265364	0.00172267	0.00108807	0.000668687	0.000399873	0.000232689	0.000131767	7.26166e-005	3.89488e-005	2.03333e-005	1.03325e-005	5.11111e-006	2.46135e-006	1.15401e-006	5.2682e-007	2.34187e-007	1.0138e-007	4.27433e-008	1.75531e-008	7.02191e-009	2.73668e-009	1.03924e-009	3.84597e-010	1.38732e-010	4.87918e-011	1.67367e-011	5.60229e-012	1.8313e-012	5.8524e-013	1.83162e-013	5.6292e-014	1.70671e-014	5.148e-015	1.57232e-015	5.06871e-016	1.9086e-016	1.03494e-016	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.000509856	0.000602078	0.000810932	0.00118532	0.00180538	0.00278825	0.00429157	0.00651102	0.00966703	0.0139766	0.0196084	0.0266248	0.03492	0.0441703	0.0538165	0.0630945	0.0711206	0.0770239	0.0800985	0.079942	0.0765404	0.0702766	0.0618581	0.052183	0.0421797	0.0326612	0.0242236	0.017205	0.0117012	0.00761926	0.00474973	0.00283444	0.00161914	0.000885332	0.000463362	0.000232126	0.000111306	5.10868e-005	2.24445e-005	9.43918e-006	3.80019e-006	1.4647e-006	5.40493e-007	1.90971e-007	6.46123e-008	2.09351e-008	6.49673e-009	1.93117e-009	5.49933e-010	1.50044e-010	3.92292e-011	9.83006e-012	2.3612e-012	5.43785e-013	1.20098e-013	2.5443e-014	5.17196e-015	1.00914e-015	1.8908e-016	3.40385e-017	5.89147e-018	9.81271e-019	1.57459e-019	2.43792e-020	3.64937e-021	5.2959e-022	7.47957e-023	1.03517e-023	1.42925e-024	2.11183e-025	4.72548e-026	
N4	0.000448691	0.000536447	0.000736243	0.00109738	0.0017013	0.00266801	0.00416046	0.00638252	0.00956553	0.0139388	0.0196822	0.0268637	0.0353733	0.04487	0.0547631	0.064246	0.0723901	0.078287	0.0812129	0.0807735	0.0769898	0.0703	0.0614743	0.0514665	0.0412419	0.031626	0.0232037	0.0162857	0.0109328	0.00701914	0.00430939	0.00252984	0.00142	0.000762046	0.00039098	0.000191778	8.99316e-005	4.03178e-005	1.72806e-005	7.08123e-006	2.77437e-006	1.03931e-006	3.72289e-007	1.27525e-007	4.17755e-008	1.30888e-008	3.92255e-009	1.12453e-009	3.08433e-010	8.09444e-011	2.03285e-011	4.88631e-012	1.12429e-012	2.47669e-013	5.22448e-014	1.05556e-014	2.0431e-015	3.78955e-016	6.73774e-017	1.14879e-017	1.87924e-018	2.9514e-019	4.45429e-020	6.46893e-021	9.06024e-022	1.22837e-022	1.6234e-023	2.12139e-024	2.83652e-025	4.31066e-026	1.0915e-026	
N5	0.000180825	0.000222694	0.000320979	0.000507212	0.000837136	0.00139998	0.00232871	0.00380794	0.00607414	0.00940151	0.0140668	0.0202899	0.0281546	0.0375236	0.0479719	0.0587678	0.0689261	0.0773389	0.0829676	0.0850507	0.0832721	0.0778386	0.0694396	0.0591016	0.0479791	0.0371418	0.0274121	0.0192847	0.0129304	0.00826197	0.0050302	0.00291796	0.00161266	0.000849085	0.000425889	0.000203503	9.26352e-005	4.01716e-005	1.65963e-005	6.53236e-006	2.44973e-006	8.75353e-007	2.98054e-007	9.67142e-008	2.99094e-008	8.81643e-009	2.47737e-009	6.6367e-010	1.69525e-010	4.12945e-011	9.5938e-012	2.12615e-012	4.49547e-013	9.07006e-014	1.74656e-014	3.21062e-015	5.63553e-016	9.4482e-017	1.51353e-017	2.31772e-018	3.39495e-019	4.76077e-020	6.39911e-021	8.25876e-022	1.026e-022	1.23132e-023	1.43481e-024	1.63578e-025	1.85306e-026	2.22052e-027	4.10183e-028	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.000126539	0.000153311	0.000217473	0.000342707	0.000572549	0.000979957	0.00167919	0.00283747	0.00468172	0.00749301	0.0115806	0.0172287	0.0246164	0.0337208	0.0442274	0.0554805	0.0665067	0.0761288	0.0831613	0.0866468	0.0860679	0.081473	0.0734712	0.0630986	0.0515946	0.0401577	0.0297459	0.0209653	0.0140582	0.00896713	0.00544038	0.0031392	0.00172263	0.000898937	0.00044608	0.000210491	9.44468e-005	4.02974e-005	1.63497e-005	6.30809e-006	2.3145e-006	8.07621e-007	2.68025e-007	8.46037e-008	2.54028e-008	7.25586e-009	1.97174e-009	5.0981e-010	1.25432e-010	2.937e-011	6.5455e-012	1.38862e-012	2.80467e-013	5.39389e-014	9.87898e-015	1.72338e-015	2.8641e-016	4.53539e-017	6.84469e-018	9.84718e-019	1.35086e-019	1.76767e-020	2.20733e-021	2.63187e-022	2.99893e-023	3.27055e-024	3.42476e-025	3.47435e-026	3.52071e-027	4.02116e-028	8.25252e-029	
N7	6.00519e-005	7.37914e-005	0.000106466	0.000169521	0.000283708	0.000483554	0.000823396	0.00138449	0.00228188	0.00366871	0.00573446	0.00869288	0.0127561	0.0180934	0.0247776	0.0327276	0.041662	0.0510793	0.0602812	0.0684456	0.0747412	0.0784652	0.0791722	0.076761	0.071498	0.0639674	0.0549636	0.0453519	0.0359319	0.0273338	0.0199635	0.0139982	0.00942325	0.00609007	0.00377868	0.00225094	0.00128738	0.000706952	0.000372763	0.00018874	9.1772e-005	4.28556e-005	1.92217e-005	8.28135e-006	3.42752e-006	1.36293e-006	5.2075e-007	1.91205e-007	6.74743e-008	2.28877e-008	7.46372e-009	2.34024e-009	7.05646e-010	2.04651e-010	5.70983e-011	1.53289e-011	3.96088e-012	9.85365e-013	2.36102e-013	5.45157e-014	1.21387e-014	2.60906e-015	5.4213e-016	1.09143e-016	2.13631e-017	4.08786e-018	7.71713e-019	1.46078e-019	2.86417e-020	6.31225e-021	2.0731e-021	
