NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	7.27108e-009	7.27631e-009	7.88742e-009	9.44264e-009	1.21586e-008	1.60321e-008	2.1473e-008	3.04925e-008	4.91433e-008	9.29579e-008	1.96154e-007	4.29997e-007	9.01717e-007	1.71108e-006	3.63946e-006	5.93246e-006	8.03479e-006	9.40706e-006	9.823e-006	9.49773e-006	7.38806e-006	6.4541e-006	6.6719e-006	7.92617e-006	9.95477e-006	1.22086e-005	1.39302e-005	1.45154e-005	1.38791e-005	1.24925e-005	9.18314e-006	7.63031e-006	7.55174e-006	8.64589e-006	1.05298e-005	1.25937e-005	1.40851e-005	1.44528e-005	1.36637e-005	1.2203e-005	8.91918e-006	7.38836e-006	7.30761e-006	8.37715e-006	1.02296e-005	1.228e-005	1.37994e-005	1.42464e-005	1.35811e-005	1.22778e-005	9.169e-006	7.86668e-006	8.21647e-006	1.02412e-005	1.43133e-005	2.16309e-005	3.61226e-005	7.08453e-005	0.000169447	0.000475559	0.00139619	0.00409113	0.0110454	0.0263405	0.0542691	0.0954136	0.14213	0.178677	0.189254	0.168922	0.127264	
N2	1.03123e-005	9.59324e-007	1.27631e-006	1.77224e-006	2.54678e-006	3.74713e-006	5.57737e-006	8.29151e-006	1.21566e-005	1.74106e-005	2.43247e-005	3.33738e-005	4.56415e-005	6.26192e-005	8.54793e-005	0.000116788	0.000158998	0.000215071	0.000286164	0.000369845	0.000467768	0.000588506	0.000780574	0.00115123	0.00189311	0.00328456	0.00564046	0.00931541	0.0150131	0.0243614	0.0402432	0.0640182	0.093462	0.121048	0.137096	0.135481	0.117292	0.089593	0.0609042	0.0371942	0.0207222	0.0105209	0.00493153	0.00214909	0.000875124	0.000333993	0.000119631	4.02256e-005	1.26952e-005	3.7599e-006	1.04919e-006	2.73755e-007	6.7125e-008	1.54831e-008	3.36407e-009	6.89489e-010	1.33495e-010	2.44496e-011	4.24125e-012	6.97629e-013	1.09241e-013	1.61867e-014	2.28031e-015	3.05658e-016	3.90109e-017	4.74355e-018	5.49764e-019	6.07461e-020	6.39982e-021	6.42889e-022	6.16035e-023	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	2.9342e-009	9.34906e-010	1.52271e-009	2.8945e-009	6.32392e-009	1.48238e-008	3.43196e-008	7.37719e-008	1.41867e-007	2.39141e-007	3.5105e-007	4.46341e-007	4.94605e-007	4.85131e-007	4.40659e-007	3.90433e-007	3.68369e-007	3.97733e-007	4.84482e-007	6.13067e-007	7.39625e-007	8.20737e-007	8.19955e-007	7.38938e-007	6.16957e-007	5.06175e-007	4.46516e-007	4.55549e-007	5.30007e-007	6.468e-007	7.58292e-007	8.22671e-007	8.07238e-007	7.17244e-007	5.92543e-007	4.82974e-007	4.2538e-007	4.35524e-007	5.10472e-007	6.29596e-007	7.49049e-007	8.30921e-007	8.44177e-007	7.92586e-007	7.1422e-007	6.64714e-007	7.08934e-007	9.44696e-007	1.58701e-006	3.18817e-006	7.25207e-006	1.84808e-005	5.29346e-005	0.000168706	0.000568879	0.00188688	0.00577943	0.0156597	0.0365252	0.0720392	0.119367	0.163312	0.183148	0.166583	0.121307	0.0695499	0.030725	0.0101976	0.00250137	0.000479314	9.4773e-005	
N4	2.24613e-009	7.09248e-010	1.14061e-009	2.12869e-009	4.48801e-009	9.97155e-009	2.16915e-008	4.38258e-008	7.96848e-008	1.28151e-007	1.81175e-007	2.24771e-007	2.46816e-007	2.44177e-007	2.26298e-007	2.06139e-007	1.98242e-007	2.12605e-007	2.51138e-007	3.05422e-007	3.56591e-007	3.87682e-007	3.84958e-007	3.50035e-007	2.99138e-007	2.53197e-007	2.28352e-007	2.31926e-007	2.62229e-007	3.08319e-007	3.50774e-007	3.73985e-007	3.66016e-007	3.29424e-007	2.79752e-007	2.36235e-007	2.13504e-007	2.18466e-007	2.50506e-007	3.01276e-007	3.54847e-007	3.98528e-007	4.20939e-007	4.22799e-007	4.19687e-007	4.41876e-007	5.43603e-007	8.44014e-007	1.65366e-006	3.84158e-006	1.00312e-005	2.89154e-005	9.1318e-005	0.000308497	0.00105433	0.00341499	0.00995259	0.0252053	0.0542308	0.0976226	0.146481	0.179698	0.179035	0.143342	0.0910462	0.0451464	0.0171423	0.00489216	0.00105265	0.000189256	3.79005e-005	
N5	1.12232e-009	4.81582e-010	9.60916e-010	1.98892e-009	3.98209e-009	7.37937e-009	1.23254e-008	1.82778e-008	2.39079e-008	2.76221e-008	2.85911e-008	2.7139e-008	2.48484e-008	2.35836e-008	2.48511e-008	2.91957e-008	3.58641e-008	4.29866e-008	4.80298e-008	4.89851e-008	4.55889e-008	3.9381e-008	3.31918e-008	2.92936e-008	2.88944e-008	3.19729e-008	3.74066e-008	4.31715e-008	4.68853e-008	4.68361e-008	4.29561e-008	3.67752e-008	3.08879e-008	2.73113e-008	2.71329e-008	3.04266e-008	3.63851e-008	4.34522e-008	4.97134e-008	5.37503e-008	5.56493e-008	5.75769e-008	6.48444e-008	8.85724e-008	1.58581e-007	3.65948e-007	1.00466e-006	3.06932e-006	1.012e-005	3.54094e-005	0.000128795	0.000465028	0.00159495	0.00499475	0.0138455	0.0331653	0.0673602	0.114252	0.159834	0.182507	0.169597	0.125975	0.0743798	0.0346012	0.0125887	0.0035836	0.000826393	0.000178919	4.81393e-005	1.6404e-005	5.34934e-006	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	7.05523e-010	2.61205e-010	4.0614e-010	6.55169e-010	1.05298e-009	1.6208e-009	2.32142e-009	3.04677e-009	3.6611e-009	4.08797e-009	4.37767e-009	4.66288e-009	5.09494e-009	5.72245e-009	6.52582e-009	7.32923e-009	7.94423e-009	8.22789e-009	8.12797e-009	7.73099e-009	7.22171e-009	6.90358e-009	6.91436e-009	7.22802e-009	7.72114e-009	8.21866e-009	8.54379e-009	8.56549e-009	8.25063e-009	7.69964e-009	7.10186e-009	6.73961e-009	6.7425e-009	7.0892e-009	7.67921e-009	8.37568e-009	9.05273e-009	9.64632e-009	1.02283e-008	1.1123e-008	1.31089e-008	1.81922e-008	3.15819e-008	6.9214e-008	1.84809e-007	5.71924e-007	1.96468e-006	7.22966e-006	2.75471e-005	0.000104984	0.000390018	0.00135733	0.00430092	0.0120937	0.0295202	0.0613809	0.106978	0.154165	0.181618	0.173243	0.133502	0.0815002	0.0392613	0.0148326	0.00439204	0.00104088	0.000215805	4.80907e-005	1.33043e-005	4.06649e-006	1.22552e-006	
N7	1.59991e-009	5.74213e-010	7.37979e-010	9.11956e-010	1.07985e-009	1.22999e-009	1.36232e-009	1.49003e-009	1.63326e-009	1.80756e-009	2.01451e-009	2.2273e-009	2.42635e-009	2.57405e-009	2.65484e-009	2.68473e-009	2.67432e-009	2.65737e-009	2.67249e-009	2.74487e-009	2.87024e-009	2.99751e-009	3.11173e-009	3.17637e-009	3.17596e-009	3.11644e-009	3.02753e-009	2.95567e-009	2.9473e-009	3.03124e-009	3.20978e-009	3.44352e-009	3.75764e-009	4.21737e-009	5.09866e-009	7.26695e-009	1.33857e-008	3.182e-008	8.94927e-008	2.74556e-007	8.77093e-007	2.83191e-006	9.08784e-006	2.85824e-005	8.7033e-005	0.000253947	0.000704103	0.00184163	0.0045105	0.0102566	0.0215431	0.0410063	0.0699812	0.105648	0.139168	0.157885	0.152447	0.124005	0.0842753	0.0476107	0.0225524	0.00908203	0.00343287	0.00147203	0.00081179	0.000522457	0.000348799	0.000231436	0.000147922	8.72097e-005	4.59006e-005	
