NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.348461	0.277439	0.184525	0.104882	0.0514407	0.0218236	0.00800176	0.00253243	0.000691648	0.000163149	3.32828e-005	5.8786e-006	8.9925e-007	1.19041e-007	1.36007e-008	1.34783e-009	1.15671e-010	8.58731e-012	5.5124e-013	4.25694e-017	9.33035e-018	1.90343e-018	3.61682e-019	6.4066e-020	1.05887e-020	1.63456e-021	2.35912e-022	3.18677e-023	4.03339e-024	4.78826e-025	5.33758e-026	5.59292e-027	5.51474e-028	5.12233e-029	4.48669e-030	3.70996e-031	2.89929e-032	2.14418e-033	1.50375e-034	9.99172e-036	6.29596e-037	3.76566e-038	2.13976e-039	1.15615e-040	5.94504e-042	2.91171e-043	1.35939e-044	6.05452e-046	2.57449e-047	1.04592e-048	4.06274e-050	1.50993e-051	5.37298e-053	1.83182e-054	5.98744e-056	1.87746e-057	5.65121e-059	1.63386e-060	4.53994e-062	1.2131e-063	3.11887e-065	7.71958e-067	1.84044e-068	4.22874e-070	9.36918e-072	2.00291e-073	4.13512e-075	8.26392e-077	1.61438e-078	3.24879e-080	9.20326e-082	
N2	0.000325797	0.000694023	0.00160492	0.00355283	0.00695659	0.0125012	0.0202875	0.0307514	0.0418639	0.0530102	0.0609156	0.0678161	0.0732899	0.082548	0.0906149	0.0981681	0.0950409	0.0858248	0.0665948	0.0479297	0.0292396	0.0166901	0.0080201	0.00365118	0.00138821	0.000506382	0.000153631	4.5335e-005	1.10669e-005	2.66263e-006	5.31024e-007	1.05929e-007	1.75473e-008	2.92989e-009	4.07689e-010	5.74666e-011	6.75457e-012	8.04761e-013	8.07709e-014	8.20572e-015	6.9989e-016	6.04226e-017	4.4156e-018	3.28088e-019	2.05968e-020	1.32199e-021	7.21806e-023	4.07334e-024	1.94363e-025	9.68183e-027	4.09912e-028	1.83765e-029	6.92671e-031	2.79284e-032	9.51186e-034	3.51167e-035	1.07964e-036	3.62515e-038	1.02188e-039	3.18475e-041	8.25551e-043	2.39044e-044	5.93895e-046	1.69055e-047	4.32912e-049	1.30583e-050	3.89599e-052	1.32253e-053	4.48409e-055	1.5979e-056	7.92328e-058	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.241859	0.255605	0.211044	0.146027	0.0819025	0.039841	0.0158414	0.00566209	0.00163974	0.000452024	9.87449e-005	2.26783e-005	3.8909e-006	7.91153e-007	1.1028e-007	2.0384e-008	2.28986e-009	3.58587e-010	3.23839e-011	4.33205e-012	3.04588e-013	3.24485e-014	1.85563e-015	1.75252e-016	7.85055e-018	5.84263e-019	2.24638e-020	1.61303e-021	5.32553e-023	3.4012e-024	1.67477e-025	1.35935e-026	8.8464e-028	4.18346e-029	1.43874e-030	4.2192e-032	9.85836e-034	2.06159e-035	3.6242e-037	5.98753e-039	8.11796e-041	1.08041e-042	1.20262e-044	1.49009e-046	1.3843e-048	1.58909e-050	1.38636e-052	1.84431e-054	1.34788e-056	1.51048e-058	1.04689e-060	1.31628e-062	7.34666e-065	7.40287e-067	4.21884e-069	5.20432e-071	2.28242e-073	2.04523e-075	9.61689e-078	1.12925e-079	5.30439e-082	6.09974e-084	3.79995e-086	4.61398e-088	2.65177e-090	2.51294e-092	1.15325e-094	8.97036e-097	4.65651e-099	4.76296e-101	6.59929e-103	
N4	0.238991	0.254032	0.211551	0.147521	0.0832717	0.0405899	0.0161216	0.00572073	0.00163749	0.000443605	9.42894e-005	2.10796e-005	3.42864e-006	6.77704e-007	8.59914e-008	1.57295e-008	1.52659e-009	2.46321e-010	1.80283e-011	2.66967e-012	1.39576e-013	1.80568e-014	6.95365e-016	9.37098e-017	2.45678e-018	2.99681e-019	6.04594e-021	8.91131e-022	1.24342e-023	1.51702e-024	2.21872e-026	3.84633e-027	4.07867e-028	2.19795e-029	7.699e-031	2.69561e-032	6.75743e-034	1.69795e-035	3.29059e-037	6.79513e-039	9.79143e-041	1.62567e-042	1.93659e-044	3.31259e-046	2.95234e-048	4.47766e-050	3.71719e-052	7.77088e-054	4.23156e-056	6.43199e-058	3.6736e-060	9.18429e-062	2.89075e-064	4.26299e-066	1.68533e-068	6.59105e-070	1.08708e-072	1.57751e-074	4.30761e-077	2.1692e-078	2.50772e-081	4.13543e-083	1.15144e-085	7.17136e-087	1.93461e-089	8.30499e-091	1.27545e-093	4.14078e-095	6.07947e-098	2.52961e-099	1.0839e-100	
N5	0.189778	0.220596	0.209455	0.168558	0.108994	0.0604733	0.0268066	0.0106739	0.00332681	0.00102541	0.000234068	6.3711e-005	1.11036e-005	2.90142e-006	3.99468e-007	1.01094e-007	1.07511e-008	2.2751e-009	1.92167e-010	3.60778e-011	2.29149e-012	3.23496e-013	1.71115e-014	2.38017e-015	9.31441e-017	8.9869e-018	3.1905e-019	3.6176e-020	9.59698e-022	7.69042e-023	4.71236e-024	7.32107e-025	8.41102e-026	4.72058e-027	1.84974e-028	5.97387e-030	1.53145e-031	3.42117e-033	6.37518e-035	1.09511e-036	1.51233e-038	2.03736e-040	2.26853e-042	3.01306e-044	2.71425e-046	3.38844e-048	2.95972e-050	5.28797e-052	3.41554e-054	4.34985e-056	2.81615e-058	5.00628e-060	2.33693e-062	2.79483e-064	1.56911e-066	3.29621e-068	1.0917e-070	1.06952e-072	4.08501e-075	7.58043e-077	2.61408e-079	4.81083e-081	3.31039e-083	7.98512e-085	5.13832e-087	8.4434e-089	3.14217e-091	3.48236e-093	1.2821e-095	1.80923e-097	3.17229e-099	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.174078	0.209078	0.207612	0.174593	0.117636	0.0676268	0.0310048	0.0126706	0.00404877	0.00126414	0.000291446	7.91681e-005	1.35735e-005	3.53546e-006	4.57261e-007	1.18139e-007	1.11246e-008	2.53489e-009	1.76717e-010	3.8356e-011	1.87411e-012	3.31454e-013	1.2719e-014	2.43367e-015	6.53928e-017	9.12114e-018	2.19904e-019	3.84002e-020	6.31806e-022	6.64329e-023	1.59987e-024	3.71626e-025	6.17588e-026	3.28106e-027	1.19963e-028	3.7528e-030	8.96047e-032	1.88465e-033	3.18217e-035	5.04371e-037	5.99493e-039	7.21167e-041	6.74323e-043	8.18785e-045	5.65401e-047	6.01887e-049	3.87899e-051	6.2948e-053	2.47214e-055	2.53951e-057	1.06769e-059	2.02009e-061	4.58521e-064	4.41997e-066	1.41678e-068	4.03879e-070	5.24505e-073	4.1624e-075	8.63854e-078	2.29902e-079	2.32982e-082	2.30573e-084	6.95093e-087	2.53092e-088	8.7324e-091	2.0001e-092	2.63527e-095	3.74136e-097	4.42297e-100	7.20302e-102	1.00069e-103	
N7	0.083588	0.116589	0.146405	0.164038	0.153152	0.127156	0.0875993	0.0569489	0.0303928	0.0174045	0.0078378	0.00472659	0.00193471	0.00126211	0.00046972	0.000310679	9.89533e-005	5.76604e-005	1.59588e-005	9.08764e-006	2.08762e-006	9.98409e-007	2.15291e-007	1.17429e-007	2.12597e-008	8.86901e-009	1.58826e-009	7.99891e-010	1.22335e-010	5.07222e-011	1.83154e-011	1.12414e-011	5.26909e-012	1.37218e-012	2.51048e-013	3.68842e-014	4.26047e-015	4.16195e-016	3.3375e-017	2.38232e-018	1.37325e-019	7.55236e-021	3.48002e-022	1.89032e-023	7.51323e-025	4.06149e-026	1.61799e-027	1.14566e-028	3.50057e-030	1.84203e-031	5.44121e-033	3.77564e-034	8.54978e-036	4.56241e-037	1.25124e-038	1.08593e-039	1.95355e-041	9.39784e-043	2.00343e-044	1.63033e-045	3.72886e-047	3.09382e-048	1.06231e-049	8.81732e-051	2.66035e-052	1.56044e-053	3.07103e-055	1.27555e-056	2.47631e-058	1.25624e-059	8.73029e-061	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.056935	0.0840079	0.114897	0.142216	0.149158	0.139744	0.110705	0.0815681	0.0508179	0.0320145	0.0167829	0.0103131	0.00484489	0.00311156	0.00132508	0.000885658	0.000329634	0.00020967	6.77342e-005	4.30165e-005	1.17993e-005	6.99168e-006	1.80068e-006	1.20687e-006	2.72263e-007	1.58268e-007	3.42671e-008	2.23636e-008	3.80856e-009	1.82354e-009	3.9327e-010	2.99601e-010	1.69952e-010	5.98104e-011	1.44164e-011	3.08036e-012	5.01486e-013	7.38624e-014	8.81617e-015	1.00537e-015	8.83401e-017	7.95671e-018	5.8746e-019	5.53596e-020	3.51873e-021	3.22153e-022	2.13675e-023	2.74197e-024	1.42236e-025	1.39745e-026	7.43582e-028	1.05459e-028	3.90679e-030	3.70515e-031	1.58842e-032	2.62851e-033	6.60538e-035	5.15716e-036	1.51228e-037	2.09606e-038	4.15444e-040	3.53912e-041	1.19661e-042	1.94859e-043	6.41791e-045	7.49875e-046	1.63082e-047	1.35889e-048	3.1514e-050	3.3358e-051	4.76073e-052	
N9	0.0264413	0.0410275	0.0616583	0.0869628	0.107005	0.120431	0.117324	0.108164	0.0860051	0.0692674	0.047289	0.0372866	0.0231235	0.0196611	0.0115699	0.0111628	0.00622217	0.00621241	0.00324271	0.00332763	0.00157397	0.00154451	0.000744437	0.000851879	0.000400754	0.000425434	0.000203206	0.000245431	9.82054e-005	9.47252e-005	5.67518e-005	8.95114e-005	0.000108147	8.72965e-005	5.03907e-005	2.55571e-005	1.02972e-005	3.78582e-006	1.18052e-006	3.55049e-007	8.84413e-008	2.28153e-008	5.21109e-009	1.49339e-009	3.24951e-010	9.92234e-011	2.3279e-011	1.01723e-011	1.98532e-012	7.02631e-013	1.38088e-013	6.43367e-014	9.55848e-015	3.18808e-015	5.22381e-016	2.55084e-016	2.76831e-017	7.53127e-018	8.7522e-019	3.61002e-019	3.40221e-020	1.17461e-020	1.82443e-021	9.15459e-022	1.36805e-022	4.9625e-023	5.27432e-024	1.4288e-024	1.74978e-025	6.99953e-026	4.61039e-026	
N10	0.00461551	0.00754606	0.0127099	0.0211281	0.03219	0.0457724	0.058146	0.0702091	0.0789321	0.0874557	0.0884328	0.0870644	0.0752549	0.0639085	0.046919	0.0369719	0.0269806	0.0242925	0.0203581	0.0209806	0.0178512	0.0180816	0.0140831	0.0131873	0.0089386	0.00734712	0.00427525	0.00306963	0.00151351	0.000930398	0.000418214	0.000237775	0.000105629	5.33891e-005	2.20752e-005	1.00218e-005	3.9602e-006	1.74923e-006	7.337e-007	3.55976e-007	1.61332e-007	8.22646e-008	3.75638e-008	1.92227e-008	8.11535e-009	3.92487e-009	1.54268e-009	7.47584e-010	2.64344e-010	1.18813e-010	3.9223e-011	1.75351e-011	5.09357e-012	2.02215e-012	5.50238e-013	2.15852e-013	5.12579e-014	1.74332e-014	3.94561e-015	1.33415e-015	2.73983e-016	8.3089e-017	1.72745e-017	5.27755e-018	1.06702e-018	3.08369e-019	7.20472e-020	2.4636e-020	8.44984e-021	3.97278e-021	2.62455e-021	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
