NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.492353	0.308649	0.137801	0.0463267	0.0120153	0.00242126	0.000381828	4.73789e-005	4.66295e-006	3.67019e-007	2.33023e-008	1.20181e-009	5.06393e-011	1.74949e-012	4.52983e-017	6.92833e-018	9.62311e-019	1.21424e-019	1.39271e-020	1.45289e-021	1.37973e-022	1.19394e-023	9.42606e-025	6.79876e-026	4.48674e-027	2.71342e-028	1.50625e-029	7.68772e-031	3.61367e-032	1.56704e-033	6.2795e-035	2.32917e-036	8.00989e-038	2.558e-039	7.59825e-041	2.10254e-042	5.42817e-044	1.30945e-045	2.95589e-047	6.25263e-049	1.24113e-050	2.3153e-052	4.08604e-054	7.64413e-056	3.1899e-057	3.43607e-058	4.29866e-059	6.82673e-060	1.56687e-060	4.28714e-061	1.20958e-061	3.36738e-062	9.16761e-063	2.43807e-063	6.33934e-064	1.61862e-064	4.13929e-065	1.14417e-065	4.09894e-066	2.12625e-066	1.32178e-066	7.83909e-067	3.95344e-067	1.59634e-067	4.91283e-068	1.097e-068	1.72385e-069	1.99887e-070	1.83405e-071	1.5178e-072	2.00269e-073	
N2	0.00014224	0.000478136	0.00154512	0.00415262	0.00908925	0.0174998	0.0284026	0.0425214	0.0576034	0.0722263	0.0816274	0.090986	0.0921935	0.0945513	0.0901063	0.0840766	0.0728974	0.0640471	0.0445078	0.0284203	0.0141963	0.00603388	0.00195292	0.000587808	0.000124935	2.50401e-005	3.87788e-006	5.39858e-007	5.76256e-008	6.21072e-009	4.79803e-010	3.7965e-011	2.3574e-012	1.40958e-013	6.64813e-015	3.41304e-016	1.25003e-017	4.97873e-019	1.59449e-020	5.17949e-022	1.32337e-023	3.84319e-025	8.07122e-027	1.93621e-028	3.70897e-030	7.38114e-032	1.17624e-033	2.2279e-035	2.98755e-037	4.69296e-039	5.96133e-041	8.15401e-043	8.75657e-045	1.14681e-046	1.06926e-048	1.20849e-050	1.07997e-052	1.05489e-054	8.23094e-057	8.03183e-059	5.43373e-061	4.52406e-063	3.05888e-065	2.30504e-067	1.36749e-069	1.05755e-071	6.57311e-074	5.92227e-076	5.95516e-078	7.6048e-080	1.31335e-081	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.328573	0.329401	0.208115	0.0940079	0.0300717	0.0080562	0.00147724	0.000259137	3.32044e-005	4.33286e-006	3.77184e-007	4.79806e-008	2.85297e-009	2.71551e-010	1.35651e-011	1.01192e-012	3.34176e-014	2.20552e-015	5.13263e-017	2.66911e-018	5.39085e-020	1.76087e-021	2.65805e-023	1.10366e-024	1.06021e-026	2.34091e-028	2.44622e-030	5.21259e-032	3.29231e-034	5.81361e-036	3.08647e-038	5.33588e-040	2.39367e-042	2.14969e-044	8.47457e-047	1.27963e-048	3.16881e-051	2.17222e-053	6.99341e-056	6.1008e-058	1.18734e-060	7.59141e-063	1.27401e-065	8.35031e-068	1.40193e-070	5.02974e-073	8.60757e-076	6.50905e-078	6.24629e-081	1.74911e-083	2.13116e-086	7.77334e-089	6.30843e-092	2.21143e-094	1.81185e-097	6.84629e-100	4.64787e-103	7.84058e-106	5.62671e-109	1.99195e-111	8.8446e-115	1.40639e-117	1.09956e-120	2.61486e-123	1.00596e-126	5.9813e-043	9.37632e-044	5.34521e-044	7.12884e-045	4.47031e-045	5.90713e-045	
N4	0.323194	0.328355	0.210853	0.0964248	0.0310759	0.00829447	0.00150802	0.000258347	3.19878e-005	3.99719e-006	3.22716e-007	3.92301e-008	2.02934e-009	1.89047e-010	7.79672e-012	5.79412e-013	1.41855e-014	1.03623e-015	1.55626e-017	1.02765e-018	1.28098e-020	5.58536e-022	4.23242e-024	3.3512e-025	1.25119e-027	6.25688e-029	3.28071e-031	1.56247e-032	3.3265e-035	1.66738e-036	3.02849e-039	1.8685e-040	3.18206e-043	6.81531e-045	9.49714e-048	5.69899e-049	4.08253e-052	8.08551e-054	1.31792e-056	3.79803e-058	2.09952e-061	3.99736e-063	2.32095e-066	7.83366e-068	5.55942e-071	3.15244e-073	2.33883e-076	1.1047e-077	2.67512e-081	1.49717e-083	1.73209e-086	2.59362e-088	5.36725e-092	5.813e-094	1.90913e-097	5.70502e-099	1.34093e-102	2.77327e-105	1.33674e-108	4.17228e-110	4.6328e-114	1.21747e-116	1.27733e-119	1.79385e-121	1.68176e-125	6.42935e-128	1.1997e-131	2.08844e-133	2.57173e-137	6.49521e-140	1.16379e-141	
N5	0.247731	0.299366	0.24042	0.136992	0.0535906	0.0173501	0.00364701	0.000773216	0.000110171	1.83212e-005	1.66972e-006	3.14078e-007	1.79832e-008	2.56292e-009	1.28069e-010	1.45865e-011	4.37752e-013	4.4048e-014	9.12091e-016	7.83336e-017	1.43633e-018	5.96177e-020	8.22087e-022	6.44718e-023	4.7104e-025	1.30601e-026	1.37539e-028	5.04031e-030	2.39112e-032	5.93166e-034	2.66419e-036	9.07849e-038	3.08008e-040	3.26906e-042	1.14331e-044	3.63015e-046	6.47075e-049	5.3665e-051	1.69245e-053	3.04945e-055	4.30204e-058	3.89575e-060	5.06874e-063	6.1335e-065	8.33497e-068	3.6704e-070	6.71454e-073	1.2043e-074	8.11515e-078	2.64739e-080	2.81412e-083	1.90276e-085	1.1624e-088	7.6161e-091	5.75038e-094	5.02108e-096	2.42737e-099	4.97695e-102	3.19945e-105	2.62287e-107	8.40773e-111	1.86925e-113	1.86644e-116	1.05202e-118	2.90654e-122	6.09116e-125	1.8176e-128	6.81296e-131	2.32616e-134	8.16259e-137	7.70823e-139	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.224136	0.287944	0.248225	0.150542	0.0623093	0.0210542	0.00462435	0.000994949	0.000144527	2.36807e-005	2.12331e-006	3.87321e-007	2.05607e-008	2.95996e-009	1.28369e-010	1.5107e-011	3.53701e-013	4.07601e-014	5.79572e-016	6.12015e-017	7.6336e-019	3.86001e-020	3.16739e-022	3.29911e-023	1.29689e-025	5.08567e-027	3.29011e-029	1.47182e-030	3.42112e-033	1.11752e-034	2.4921e-037	1.19133e-038	2.04959e-041	2.26589e-043	3.91699e-046	1.78828e-047	1.29672e-050	1.11227e-052	2.21407e-055	4.79028e-057	2.56783e-060	2.46713e-062	1.42693e-065	2.8052e-067	1.70062e-070	5.06984e-073	4.6204e-076	1.28836e-077	2.926e-081	7.35904e-084	5.3553e-087	5.02934e-089	1.00108e-092	5.89439e-095	1.80456e-098	2.48172e-100	4.03783e-104	5.4751e-107	1.82422e-110	2.33265e-112	2.36793e-116	3.57397e-119	2.16876e-122	1.6435e-124	1.35629e-128	2.40624e-131	2.88632e-135	1.63037e-137	1.61455e-141	3.16601e-144	2.51249e-146	
N7	0.092073	0.15851	0.208242	0.207618	0.151002	0.0981572	0.0448673	0.0232584	0.00897427	0.0045472	0.00141496	0.000934217	0.000225424	0.00012513	3.07439e-005	1.60116e-005	2.72657e-006	1.3602e-006	1.76259e-007	8.18352e-008	9.91792e-009	2.49976e-009	2.47142e-010	1.11014e-010	6.40851e-012	1.15144e-012	8.27465e-014	1.77594e-014	6.80078e-016	1.10324e-016	3.89238e-018	7.47742e-019	2.07422e-020	1.50708e-021	3.97754e-023	6.80954e-024	9.70769e-026	5.26411e-027	1.19408e-028	1.10428e-029	1.17531e-031	5.9944e-033	5.46506e-035	3.21647e-036	2.91346e-038	7.31718e-040	7.91633e-042	5.8966e-043	2.59344e-045	4.3753e-047	2.56441e-049	7.12977e-051	2.45602e-053	6.0972e-055	2.35966e-057	7.31759e-059	1.9511e-061	1.78086e-063	5.72366e-066	1.5513e-067	2.61164e-070	2.27671e-072	9.07763e-075	1.58673e-076	2.1896e-079	1.73998e-081	2.45684e-084	2.9542e-086	4.97056e-089	6.22734e-091	1.93503e-092	
