NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.478385	0.306511	0.143709	0.052179	0.0150169	0.00345329	0.000637688	9.50012e-005	1.15004e-005	1.14056e-006	9.33677e-008	6.33965e-009	3.57766e-010	1.6776e-011	6.52979e-013	3.01074e-017	4.92405e-018	7.3323e-019	9.94587e-020	1.22984e-020	1.38773e-021	1.43061e-022	1.34922e-023	1.16579e-024	9.2428e-026	6.73468e-027	4.51716e-028	2.79358e-029	1.59556e-030	8.43003e-032	4.12679e-033	1.8748e-034	7.91655e-036	3.1119e-037	1.14046e-038	3.90245e-040	1.24861e-041	3.74071e-043	1.0508e-044	2.77139e-046	6.87161e-048	1.60383e-049	3.52987e-051	7.40835e-053	1.67036e-054	7.45557e-056	1.00024e-056	2.3419e-057	6.87403e-058	2.1481e-058	6.70877e-059	2.05731e-059	6.17173e-060	1.8108e-060	5.20391e-061	1.47446e-061	4.23143e-062	1.34457e-062	5.59017e-063	3.18765e-063	2.05931e-063	1.24914e-063	6.46838e-064	2.71509e-064	8.86859e-065	2.17343e-065	3.92718e-066	5.41281e-067	6.04543e-068	6.25327e-069	1.03967e-069	
N2	0.000209734	0.000624291	0.00181147	0.00457959	0.00949111	0.0174755	0.0280989	0.0422493	0.0560329	0.0693763	0.0759921	0.0794115	0.0762429	0.0792991	0.0827424	0.0897499	0.0856344	0.0778866	0.0556228	0.0364796	0.0184308	0.00840933	0.00290984	0.0009496	0.00022711	5.21333e-005	9.04615e-006	1.50887e-006	1.88941e-007	2.39712e-008	2.24461e-009	2.1767e-010	1.59836e-011	1.20431e-012	6.93709e-014	4.33557e-015	1.98883e-016	9.98145e-018	3.86273e-019	1.61852e-020	5.13391e-022	1.84376e-023	4.92742e-025	1.51073e-026	3.51294e-028	9.12118e-030	1.82362e-031	4.30681e-033	7.37621e-035	1.48727e-036	2.31363e-038	4.16571e-040	5.61345e-042	9.12785e-044	1.09628e-045	1.60503e-047	1.75402e-049	2.25228e-051	2.21417e-053	2.70951e-055	2.36037e-057	2.53824e-059	2.10149e-061	2.11263e-063	1.6003e-065	1.57754e-067	1.32396e-069	1.58525e-071	2.01618e-073	3.16577e-075	6.64104e-077	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.324848	0.32106	0.20628	0.100006	0.0348243	0.0102881	0.00217507	0.000443328	6.38527e-005	1.02776e-005	1.06536e-006	1.61206e-007	1.21695e-008	1.4727e-009	8.72497e-011	8.83957e-012	3.63129e-013	2.80768e-014	8.62704e-016	5.88726e-017	1.37761e-018	6.16173e-020	1.16511e-021	5.95128e-023	7.68337e-025	2.23402e-026	2.69379e-028	8.51646e-030	6.94136e-032	1.44724e-033	1.0749e-035	2.58281e-037	1.40657e-039	1.77998e-041	8.88064e-044	1.57575e-045	5.39938e-048	5.14659e-050	2.02935e-052	2.68492e-054	6.78578e-057	5.01649e-059	1.20252e-061	1.11952e-063	2.14495e-066	1.16857e-068	2.66994e-071	2.55153e-073	3.46779e-076	1.34241e-078	2.01186e-081	1.11686e-083	1.16858e-086	4.53963e-089	5.81587e-092	3.3358e-094	2.85894e-097	6.91959e-100	6.3514e-103	2.72002e-105	1.72696e-108	3.95901e-111	3.81502e-114	1.48922e-116	7.90834e-120	4.44473e-041	8.31825e-042	5.58677e-042	7.91934e-043	5.82052e-043	7.8943e-043	
N4	0.32092	0.319983	0.208136	0.101923	0.0357619	0.0105444	0.00221563	0.000442742	6.19747e-005	9.60973e-006	9.31613e-007	1.35069e-007	9.03834e-009	1.0689e-009	5.29053e-011	5.39576e-012	1.6943e-013	1.42938e-014	2.98312e-016	2.53247e-017	3.57255e-019	2.25203e-020	2.13853e-022	2.10618e-023	1.0906e-025	7.1961e-027	3.67959e-029	3.16843e-030	8.51055e-033	5.17986e-034	1.32327e-036	1.17091e-037	2.12047e-040	7.50838e-042	1.34369e-044	9.54563e-046	9.98646e-049	2.71215e-050	4.44064e-053	2.2782e-054	1.67444e-057	3.41902e-059	3.14333e-062	1.46599e-063	9.46572e-067	1.02102e-068	1.02939e-071	5.80123e-073	2.0329e-076	1.57228e-078	1.59091e-081	4.9835e-083	1.37155e-086	1.194e-088	8.06357e-092	3.67274e-093	8.85766e-097	2.95113e-099	1.80216e-102	7.32666e-104	1.18682e-107	4.21135e-110	4.17648e-113	1.27653e-114	1.68517e-118	5.32315e-121	1.77135e-124	4.88555e-126	6.5912e-130	2.73055e-132	6.14207e-134	
N5	0.252895	0.292511	0.231503	0.138362	0.0579947	0.0204077	0.00490792	0.00118915	0.000186047	3.81296e-005	4.08376e-006	8.98431e-007	6.5734e-008	1.1785e-008	6.74813e-010	1.05838e-010	3.91077e-012	4.36257e-013	1.21154e-014	1.3506e-015	2.69984e-017	1.55104e-018	2.63728e-020	2.46837e-021	2.44252e-023	8.77033e-025	9.68972e-027	5.70841e-028	3.49685e-030	9.41519e-032	6.16792e-034	3.01017e-035	1.22487e-037	1.85596e-039	8.12217e-042	2.96288e-043	7.58972e-046	8.99396e-048	3.46801e-050	9.80807e-052	1.8295e-054	1.72522e-056	3.39301e-059	6.14758e-061	9.00024e-064	6.4667e-066	1.60712e-068	3.57044e-070	3.50568e-073	1.58902e-075	1.97789e-078	2.17262e-080	1.67435e-083	1.04773e-085	1.44738e-088	1.98793e-090	1.24046e-093	3.58022e-096	2.743e-099	2.58854e-101	1.18943e-104	4.06016e-107	4.93458e-110	4.82694e-112	1.88042e-115	4.16237e-118	1.8068e-121	1.00407e-123	4.16753e-127	2.17527e-129	2.53413e-131	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.231714	0.28223	0.237612	0.150069	0.0662422	0.0242619	0.00608002	0.00149587	0.000239341	4.84061e-005	5.13963e-006	1.09936e-006	7.57522e-008	1.36217e-008	6.78808e-010	1.10305e-010	3.21477e-012	4.08793e-013	7.93964e-015	1.08688e-015	1.43408e-017	1.08691e-018	1.10714e-020	1.45553e-021	8.11532e-024	4.36146e-025	2.8982e-027	2.42084e-028	7.92127e-031	3.04688e-032	1.10151e-034	8.12505e-036	1.71581e-038	3.21131e-040	7.73042e-043	4.3299e-044	4.98475e-047	6.4438e-049	1.43319e-051	5.79203e-053	4.33016e-056	4.18496e-058	4.16001e-061	1.26996e-062	7.56463e-066	4.07547e-068	5.28768e-071	1.86236e-072	6.22114e-076	2.16806e-078	1.64222e-081	2.91496e-083	7.65838e-087	3.65235e-089	2.3659e-092	5.01449e-094	1.01085e-097	1.96702e-100	7.79407e-104	1.22636e-105	1.84292e-109	4.05011e-112	2.68352e-115	3.78935e-117	4.46447e-121	7.11083e-124	1.36555e-127	1.23268e-129	1.44107e-133	4.25182e-136	4.05653e-138	
N7	0.101013	0.161012	0.199971	0.199712	0.147647	0.0980036	0.0475351	0.0257888	0.00984193	0.00560574	0.00186001	0.00131795	0.000364639	0.000226812	5.61529e-005	3.46318e-005	6.23009e-006	2.97729e-006	4.44467e-007	2.40786e-007	2.88176e-008	8.96734e-009	1.00686e-009	5.16805e-010	3.89621e-011	9.06288e-012	7.29218e-013	2.49494e-013	1.2763e-014	2.3605e-015	1.20896e-016	3.28095e-017	1.06801e-018	1.04687e-019	3.18061e-021	5.73508e-022	1.04316e-023	7.41683e-025	1.88553e-026	2.49828e-027	3.14819e-029	1.57557e-030	1.89593e-032	1.47605e-033	1.32456e-035	4.9173e-037	6.73362e-039	5.86701e-040	3.49808e-042	7.68963e-044	5.16418e-046	2.12235e-047	8.94373e-050	2.1606e-051	1.37701e-053	6.41102e-055	2.11933e-057	2.66355e-059	1.01591e-061	3.13532e-063	7.43823e-066	9.59745e-068	4.65136e-070	1.38498e-071	2.68525e-074	2.35374e-076	4.90111e-079	8.61807e-081	1.80999e-083	3.33964e-085	1.3432e-086	
