NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.000894865	0.00103052	0.00133346	0.00186917	0.00273999	0.00408706	0.00608792	0.00894592	0.0128673	0.0180241	0.0245039	0.0322529	0.0410262	0.0503598	0.0595832	0.0678815	0.0744045	0.0784067	0.0793853	0.0771838	0.0720289	0.0644925	0.0553837	0.0456036	0.0359957	0.02723	0.0197385	0.0137085	0.00912058	0.00581267	0.0035483	0.00207461	0.00116174	0.000623073	0.000320054	0.00015746	7.41985e-005	3.34898e-005	1.44793e-005	5.99687e-006	2.37945e-006	9.04559e-007	3.29492e-007	1.15011e-007	3.84739e-008	1.2336e-008	3.7915e-009	1.1172e-009	3.1564e-010	8.55166e-011	2.22214e-011	5.53887e-012	1.32456e-012	2.77468e-016	1.30216e-016	5.98767e-017	2.69807e-017	1.19161e-017	5.15955e-018	2.19096e-018	9.12897e-019	3.73498e-019	1.50211e-019	5.94788e-020	2.32437e-020	8.99607e-021	3.46597e-021	1.33976e-021	5.27631e-022	2.2212e-022	1.19755e-022	
N2	0.00203283	0.00224294	0.0026866	0.00341765	0.00451376	0.00607196	0.00820069	0.0110075	0.0145824	0.0189768	0.0241817	0.0301069	0.0365672	0.0432793	0.0498743	0.0559257	0.0609925	0.0646705	0.0666453	0.0667358	0.0649216	0.0613464	0.0562993	0.0501747	0.0434209	0.0364854	0.0297662	0.0235776	0.0181317	0.0135375	0.00981298	0.00690605	0.00471884	0.00313061	0.00201664	0.00126139	0.000766149	0.000451902	0.000258861	0.000144015	7.78216e-005	4.0848e-005	2.08284e-005	1.03178e-005	4.96593e-006	2.3224e-006	1.05543e-006	4.66151e-007	2.00108e-007	8.34998e-008	3.38717e-008	1.33587e-008	5.12288e-009	1.91047e-009	6.92939e-010	2.44479e-010	8.39164e-011	2.80283e-011	9.11161e-012	2.88392e-012	8.89118e-013	2.67187e-013	7.83419e-014	2.24489e-014	6.30302e-015	1.74173e-015	4.77576e-016	1.32177e-016	3.84748e-017	1.30946e-017	6.60066e-018	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.000449326	0.000542888	0.000755087	0.0011415	0.00179411	0.00284908	0.00449173	0.00695354	0.0104946	0.0153662	0.0217515	0.0296902	0.0390018	0.0492305	0.0596388	0.0692684	0.0770722	0.0820954	0.0836659	0.081541	0.0759663	0.0676284	0.0575133	0.0467119	0.036225	0.0268182	0.0189507	0.0127801	0.00822452	0.00505032	0.0029589	0.00165395	0.000882039	0.000448763	0.000217828	0.000100875	4.457e-005	1.87892e-005	7.55802e-006	2.90114e-006	1.06274e-006	3.71553e-007	1.23992e-007	3.95e-008	1.20138e-008	3.48898e-009	9.67643e-010	2.56326e-010	6.48633e-011	1.56822e-011	3.62321e-012	8.00087e-013	1.68899e-013	3.40918e-014	6.58125e-015	1.21536e-015	2.14764e-016	3.63255e-017	5.8832e-018	9.12781e-019	1.35745e-019	1.93655e-020	2.65304e-021	3.49551e-022	4.43825e-023	5.44596e-024	6.48395e-025	7.53994e-026	8.70049e-027	1.06203e-027	1.96066e-028	
N4	0.000392769	0.000481263	0.000683405	0.00105504	0.00168941	0.00272577	0.00435541	0.00681926	0.0103902	0.0153337	0.0218454	0.0299703	0.0395202	0.0500157	0.0606786	0.0704999	0.0783821	0.083335	0.0846783	0.0821937	0.0761805	0.0673954	0.0568933	0.0458162	0.0351884	0.0257701	0.0179926	0.0119748	0.00759607	0.00459207	0.00264542	0.00145218	0.000759573	0.000378554	0.00017976	8.1333e-005	3.50637e-005	1.44039e-005	5.63836e-006	2.1033e-006	7.47747e-007	2.53366e-007	8.18316e-008	2.51951e-008	7.39573e-009	2.06999e-009	5.52498e-010	1.40647e-010	3.41529e-011	7.91209e-012	1.74901e-012	3.68979e-013	7.43019e-014	1.42847e-014	2.6224e-015	4.59813e-016	7.70223e-017	1.23287e-017	1.88629e-018	2.75954e-019	3.8618e-020	5.17257e-021	6.63629e-022	8.16507e-023	9.65261e-024	1.10014e-024	1.21661e-025	1.32303e-026	1.46134e-027	1.81552e-028	3.82065e-029	
N5	0.000150132	0.000190487	0.000286086	0.000471394	0.000808431	0.00139849	0.00239528	0.0040152	0.00653755	0.0102856	0.0155795	0.0226577	0.0315741	0.0420927	0.0536154	0.0651819	0.0755685	0.0834855	0.0878347	0.0879569	0.0837956	0.0759179	0.0653865	0.0535206	0.0416229	0.0307486	0.0215735	0.0143731	0.00909198	0.00546013	0.00311278	0.00168451	0.000865286	0.000421893	0.000195255	8.57756e-005	3.57688e-005	1.41594e-005	5.32118e-006	1.89858e-006	6.43197e-007	2.06917e-007	6.32167e-008	1.83443e-008	5.05665e-009	1.32427e-009	3.29535e-010	7.79309e-011	1.75175e-011	3.74337e-012	7.60607e-013	1.46977e-013	2.70155e-014	4.7244e-015	7.86226e-016	1.24543e-016	1.87839e-017	2.69821e-018	3.69278e-019	4.81743e-020	5.99412e-021	7.11934e-022	8.08107e-023	8.78119e-024	9.15775e-025	9.20003e-026	8.95176e-027	8.5041e-028	8.00477e-029	7.89501e-030	1.19345e-030	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.00010269	0.000127997	0.000189271	0.000311942	0.00054377	0.000966695	0.0017118	0.00297423	0.0050217	0.00818675	0.0128315	0.0192764	0.0276948	0.0379896	0.0496889	0.0619055	0.0734005	0.0827671	0.0887031	0.0903058	0.0872956	0.0800938	0.069725	0.0575751	0.0450844	0.0334712	0.0235552	0.0157112	0.00993066	0.00594772	0.00337513	0.00181455	0.000924209	0.000445944	0.000203843	8.82712e-005	3.62125e-005	1.40744e-005	5.18264e-006	1.8082e-006	5.97791e-007	1.8728e-007	5.56047e-008	1.56478e-008	4.17411e-009	1.05559e-009	2.53102e-010	5.75479e-011	1.24095e-011	2.53827e-012	4.92542e-013	9.06867e-014	1.58457e-014	2.628e-015	4.13776e-016	6.18608e-017	8.78344e-018	1.1847e-018	1.51826e-019	1.84923e-020	2.14125e-021	2.35788e-022	2.47019e-023	2.4633e-024	2.33991e-025	2.11982e-026	1.83616e-027	1.53153e-028	1.26244e-029	1.15149e-030	1.9104e-031	
N7	4.43533e-005	5.62838e-005	8.5e-005	0.000141932	0.000248312	0.000440478	0.00077723	0.00134875	0.00228553	0.00376431	0.0060063	0.00926211	0.0137784	0.0197444	0.0272235	0.0360815	0.0459328	0.0561276	0.0657971	0.0739633	0.0796963	0.0822876	0.0813934	0.0771094	0.0699537	0.0607626	0.0505282	0.0402223	0.0306482	0.0223527	0.0156039	0.0104258	0.00666751	0.00408135	0.00239137	0.00134126	0.000720157	0.000370186	0.00018219	8.58582e-005	3.87463e-005	1.67462e-005	6.9325e-006	2.74917e-006	1.0445e-006	3.80244e-007	1.32657e-007	4.43582e-008	1.42187e-008	4.36973e-009	1.28776e-009	3.63977e-010	9.86852e-011	2.56717e-011	6.40873e-012	1.53569e-012	3.53318e-013	7.80704e-014	1.6574e-014	3.38214e-015	6.6383e-016	1.25433e-016	2.28473e-017	4.01981e-018	6.85346e-019	1.13814e-019	1.85714e-020	3.02464e-021	5.07729e-022	9.54665e-023	2.72404e-023	
