NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.000141729	0.000152613	0.000199276	0.000323736	0.000609126	0.00116487	0.00195167	0.00252504	0.00232799	0.00149811	0.000674508	0.000222822	6.17924e-05	2.06349e-05	1.35609e-05	1.63195e-05	2.7083e-05	8.55983e-05	0.000557034	0.00443219	0.0263853	0.0965951	0.207612	0.26383	0.219004	0.114583	0.0402261	0.0104019	0.00225896	0.000489758	0.000134066	6.84052e-05	9.04827e-05	0.000193499	0.000342968	0.000384541	0.000258185	0.000105018	2.66636e-05	4.63133e-06	5.37477e-07	4.29919e-08	2.44459e-09	1.02613e-10	3.35748e-12	9.75537e-17	1.57608e-17	2.5924e-18	4.38873e-19	7.41631e-20	1.19487e-20	1.76683e-21	2.34016e-22	2.74043e-23	2.85548e-24	2.61287e-25	2.10613e-26	1.50271e-27	9.54645e-29	5.43707e-30	2.79877e-31	1.31502e-32	5.70776e-34	2.32024e-35	8.95512e-37	3.3157e-38	1.18224e-39	4.04574e-41	1.31852e-42	4.06977e-44	
N2	0.000392328	0.000263939	0.00042262	0.000709764	0.00114438	0.00161783	0.00184309	0.00158296	0.000983048	0.000437064	0.00014347	4.15082e-05	1.89361e-05	2.10068e-05	3.97823e-05	0.000105766	0.000367246	0.00166075	0.00784677	0.0303171	0.0830573	0.151743	0.181102	0.141588	0.0763922	0.0271177	0.00696425	0.00152705	0.000366132	0.000119407	7.18792e-05	0.000124117	0.000518332	0.00263267	0.0108837	0.0312946	0.0591032	0.0721692	0.0573342	0.031248	0.0110608	0.00271294	0.000504472	8.77702e-05	2.67113e-05	2.49115e-05	3.57484e-05	5.295e-05	6.33969e-05	5.63582e-05	3.57965e-05	1.59291e-05	4.92515e-06	1.06193e-06	1.64775e-07	1.76019e-08	1.37025e-09	8.35685e-11	4.66307e-12	3.91537e-13	8.44755e-14	2.60039e-14	7.28485e-15	1.66137e-15	2.9802e-16	4.16147e-17	4.63072e-18	4.48157e-19	4.25597e-20	3.89643e-21	
N3	0.00109575	0.000600232	0.000874856	0.00119423	0.00143006	0.00140683	0.00107698	0.000619263	0.000267977	0.000102758	6.65283e-05	9.06046e-05	0.000142075	0.000229456	0.00046296	0.0013232	0.00461238	0.0162828	0.0464394	0.0962842	0.13976	0.140346	0.0973512	0.0469517	0.0165072	0.00403249	0.000796408	0.000176656	8.25921e-05	0.000121294	0.000431412	0.00205964	0.00861809	0.0265317	0.0571214	0.0847997	0.0864868	0.0606599	0.0294422	0.0103297	0.00247232	0.000472727	0.000124145	0.000117124	0.00026517	0.000647029	0.0012667	0.00190408	0.00212225	0.00173697	0.00103651	0.000448259	0.000140033	3.16899e-05	5.38395e-06	6.61691e-07	7.22626e-08	1.27455e-08	5.31206e-09	2.80387e-09	1.33071e-09	5.26648e-10	1.70089e-10	4.42066e-11	9.21366e-12	1.57044e-12	2.37359e-13	3.72064e-14	6.42971e-15	1.04848e-15	
N4	2.23094e-13	3.50573e-15	9.51083e-17	1.63404e-18	1.9808e-20	1.79e-22	1.2466e-24	8.22871e-26	5.48121e-15	0.000420588	0.000155552	1.79311e-05	9.66393e-07	2.93761e-08	5.70276e-10	7.94843e-12	8.83946e-14	9.34852e-16	9.27327e-18	8.16471e-20	6.04504e-22	3.67529e-24	1.2741e-25	5.00843e-15	0.000377451	0.000141442	1.65062e-05	8.99248e-07	2.74973e-08	5.29626e-10	7.09145e-12	7.16536e-14	6.44722e-16	5.55557e-18	4.50235e-20	3.20306e-22	1.90962e-24	3.4117e-24	8.07732e-12	0.703726	0.262758	0.0306511	0.00167937	5.23271e-05	1.05678e-06	1.56812e-08	1.86763e-10	2.09012e-12	2.15013e-14	1.92553e-16	1.43791e-18	8.81492e-21	4.43845e-23	1.8486e-25	6.44333e-28	1.86191e-30	4.59451e-33	9.84023e-36	1.8645e-38	3.1893e-41	5.01182e-44	7.31278e-47	9.94186e-50	1.25575e-52	1.46833e-55	1.58461e-58	1.57486e-61	1.43889e-64	1.20764e-67	9.33348e-71	
Cyperus_houghtonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cyperus_schweinitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lipocarpha_micrantha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lipocarpha_microcephala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.000564952	0.000281532	0.000379894	0.000458338	0.000470642	0.000396833	0.000267472	0.00014551	7.0718e-05	3.42294e-05	1.68935e-05	1.21197e-05	3.38361e-05	0.000223874	0.00134239	0.00575228	0.0203094	0.0563846	0.11853	0.186605	0.21841	0.187771	0.117629	0.0548802	0.0191194	0.00610904	0.00183913	0.000602736	0.000362159	0.000335881	0.000289085	0.000196282	0.000107032	4.65584e-05	1.63693e-05	4.68493e-06	1.08527e-06	2.024e-07	3.12204e-08	3.98614e-09	5.17036e-10	7.25398e-11	1.49895e-11	6.6479e-12	3.7429e-12	1.87092e-12	6.98378e-13	2.39587e-13	6.93971e-14	1.7115e-14	3.60363e-15	6.42929e-16	9.85924e-17	1.42738e-17	2.0787e-18	2.91658e-19	3.48527e-20	4.68648e-21	1.2654e-21	4.86672e-22	1.71665e-22	5.10033e-23	1.3026e-23	2.98955e-24	6.46927e-25	1.32347e-25	2.46432e-26	4.02351e-27	5.616e-28	6.60645e-29	
N6	3.22125e-05	2.47854e-06	1.33972e-06	6.7328e-07	3.45827e-07	1.73976e-07	8.17247e-07	4.28824e-06	9.33434e-05	0.00194305	0.0158842	0.06511	0.155095	0.234183	0.237048	0.16718	0.0821148	0.030457	0.00854681	0.00187949	0.000347288	6.11916e-05	1.16582e-05	2.37707e-06	4.71312e-07	8.11991e-08	1.19143e-08	1.47275e-09	1.53088e-10	1.33952e-11	9.88475e-13	6.12046e-14	3.23185e-15	1.4638e-16	5.88614e-18	2.30298e-19	1.02846e-20	5.70839e-22	3.54373e-23	2.16614e-24	1.19343e-25	5.86466e-27	2.55029e-28	9.78567e-30	3.30893e-31	9.85918e-33	2.56856e-34	6.00581e-36	1.28119e-37	2.6485e-39	5.90333e-41	1.55448e-42	4.70769e-44	1.48118e-45	4.51178e-47	1.26154e-48	3.23585e-50	7.57911e-52	1.61755e-53	3.13831e-55	5.51656e-57	8.74816e-59	1.24635e-60	1.59176e-62	1.83101e-64	1.93354e-66	1.95339e-68	1.99721e-70	2.13771e-72	2.35934e-74	
Kyllinga_brevifolia	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kyllinga_bulbosa	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.000381216	0.000165076	0.00019465	0.000199458	0.000174332	0.000126925	7.64688e-05	4.2384e-05	2.63943e-05	1.88772e-05	2.90594e-05	0.000138556	0.00067545	0.00252217	0.00706736	0.0150638	0.0399796	0.0807482	0.123977	0.145869	0.130772	0.0880542	0.0449821	0.0191693	0.00765029	0.00293891	0.00102575	0.000468513	0.000471736	0.000756762	0.00135847	0.00206737	0.0028833	0.00336859	0.00327558	0.00260768	0.00164636	0.000816833	0.00034558	0.000138702	5.48312e-05	2.70223e-05	5.03839e-05	0.000173395	0.000514631	0.00120028	0.00199997	0.00288603	0.00341021	0.00332967	0.00266817	0.00175496	0.00105067	0.000697375	0.000463928	0.000237996	0.000127514	0.000236987	0.00080147	0.00232851	0.00534826	0.0098743	0.0155088	0.0218795	0.0276367	0.0288525	0.0243168	0.0224671	0.0343445	0.0534844	
Cyperus_papyrus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cyperus_longus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
