NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	1.99067e-07	2.04803e-07	2.18807e-07	2.43592e-07	2.81307e-07	3.33118e-07	3.98715e-07	4.76317e-07	5.74123e-07	6.88658e-07	8.12626e-07	9.38795e-07	1.05229e-06	1.1395e-06	1.20247e-06	1.24669e-06	2.29548e-06	3.25781e-06	3.84957e-06	4.00712e-06	3.91935e-06	3.95e-06	4.60792e-06	6.69588e-06	1.15637e-05	1.78857e-05	2.62576e-05	3.45059e-05	4.02668e-05	4.248e-05	4.16992e-05	3.91754e-05	3.58064e-05	3.19086e-05	2.76854e-05	2.3661e-05	2.082e-05	1.99104e-05	2.18313e-05	2.8421e-05	4.38882e-05	7.74766e-05	0.000148098	0.000291243	0.000567098	0.00106642	0.00190852	0.00322559	0.00513226	0.00768809	0.0108699	0.0145726	0.0186484	0.0229736	0.0275208	0.0324071	0.0378989	0.0443578	0.0521093	0.061219	0.0711993	0.0807699	0.0879072	0.0903827	0.0866958	0.0769049	0.0627729	0.0470654	0.032445	0.0206245	
N2	9.8365e-07	2.81863e-07	3.21717e-07	3.74741e-07	4.29999e-07	4.8967e-07	5.46429e-07	6.03892e-07	6.57773e-07	7.16693e-07	7.77586e-07	8.53804e-07	9.37627e-07	1.03378e-06	1.12013e-06	1.21029e-06	1.46133e-06	1.87589e-06	2.6013e-06	3.89173e-06	5.9003e-06	8.69585e-06	1.19934e-05	1.53186e-05	1.79563e-05	1.83223e-05	1.722e-05	1.52924e-05	1.31105e-05	1.1175e-05	9.68458e-06	8.8216e-06	8.79279e-06	1.02346e-05	1.43872e-05	2.38928e-05	4.35792e-05	8.20416e-05	0.000152987	0.000276897	0.000481194	0.000799293	0.00126633	0.00191327	0.00275869	0.00380398	0.00503365	0.00642733	0.00798023	0.00973084	0.0117821	0.0143142	0.0175802	0.0218889	0.0275562	0.0348082	0.0435998	0.0533876	0.0629545	0.0705081	0.0741728	0.0728251	0.0668532	0.0584156	0.0508435	0.0473121	0.049173	0.0549801	0.0612286	0.0648339	
N3	2.7893e-06	4.97098e-07	5.21415e-07	5.65427e-07	6.05259e-07	6.51247e-07	6.97854e-07	7.58496e-07	8.31366e-07	9.38726e-07	1.08993e-06	1.32706e-06	1.67658e-06	2.19274e-06	2.88784e-06	3.76855e-06	4.94695e-06	6.23937e-06	7.44089e-06	8.39392e-06	8.92961e-06	9.01884e-06	8.68925e-06	8.14512e-06	7.62006e-06	7.25263e-06	7.67732e-06	9.63204e-06	1.42658e-05	2.38616e-05	4.21703e-05	7.4944e-05	0.00012956	0.000215034	0.000341463	0.000522201	0.000770101	0.00109819	0.00151819	0.00204008	0.00267042	0.00341274	0.0042681	0.00523998	0.00634075	0.00760383	0.00909928	0.0109549	0.0133732	0.0166287	0.0210115	0.0267005	0.03358	0.0410871	0.0482127	0.0537506	0.0567452	0.0569388	0.0549398	0.0519786	0.0493431	0.0478271	0.0474594	0.0476529	0.0476212	0.0469434	0.0458654	0.0451359	0.0451675	0.0455417	
N4	1.12001e-07	1.00438e-08	2.26994e-09	3.57641e-10	4.35997e-11	4.52474e-12	3.86206e-13	2.83355e-14	1.84088e-15	1.21743e-09	3.32632e-09	1.42666e-09	3.18196e-10	5.01315e-11	6.07391e-12	5.87461e-13	4.58532e-14	2.97247e-15	1.60509e-16	4.32364e-05	0.000166684	0.000115093	3.59321e-05	7.21419e-06	1.05111e-06	1.17959e-07	1.03167e-08	7.28481e-10	4.19935e-11	2.02635e-12	8.2245e-14	2.8758e-15	8.65847e-17	2.30142e-18	5.36931e-20	1.13009e-21	2.12071e-23	8.57491e-24	9.19468e-13	0.0868231	0.293108	0.338655	0.193877	0.0682994	0.0158266	0.00267237	0.000333194	3.29788e-05	2.55984e-06	1.65669e-07	8.74754e-09	3.97871e-10	1.51774e-11	5.10524e-13	1.47029e-14	3.79936e-16	8.541e-18	1.7463e-19	3.14614e-21	5.21113e-23	7.68521e-25	1.05135e-26	1.29185e-28	1.48338e-30	1.54141e-32	1.50671e-34	1.34183e-36	1.13081e-38	8.73663e-41	6.43729e-43	
Cyperus_houghtonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cyperus_schweinitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lipocarpha_micrantha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lipocarpha_microcephala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.91559e-07	3.59383e-08	4.17333e-08	5.0974e-08	6.205e-08	7.52621e-08	8.9185e-08	1.02913e-07	1.14635e-07	1.24204e-07	1.32155e-07	1.40838e-07	1.50667e-07	1.625e-07	1.77386e-07	2.02562e-07	2.94936e-07	4.88923e-07	8.89842e-07	1.62377e-06	2.76205e-06	4.28392e-06	6.04351e-06	7.89173e-06	9.68286e-06	1.09183e-05	1.21714e-05	1.38909e-05	1.64688e-05	2.07215e-05	2.79796e-05	4.13658e-05	6.73843e-05	0.000120309	0.000228162	0.000443216	0.00085118	0.00158142	0.00280215	0.00471008	0.00749221	0.0113023	0.0162203	0.0222706	0.0294129	0.0375865	0.0466541	0.056367	0.0662162	0.0753956	0.0827755	0.0871221	0.0873739	0.0830379	0.0744033	0.062574	0.0491844	0.0359886	0.0244155	0.0153034	0.00883938	0.00470756	0.00232704	0.00108788	0.000497956	0.000233683	0.000116009	6.07413e-05	3.26124e-05	1.75746e-05	
N6	4.19715e-13	6.29853e-14	8.77241e-14	5.2118e-13	7.46487e-12	1.00462e-10	7.62679e-10	3.9097e-09	1.82109e-08	8.90753e-08	4.20029e-07	1.67599e-06	5.31703e-06	1.35834e-05	2.93694e-05	5.80732e-05	0.000111905	0.000227504	0.00049631	0.0011422	0.00265127	0.00592693	0.0123203	0.0233544	0.039964	0.0623363	0.0869133	0.10902	0.12321	0.125758	0.116112	0.0971914	0.0738569	0.0510522	0.0321379	0.0184579	0.00968211	0.0046468	0.00204257	0.000823918	0.000305329	0.000104205	3.28042e-05	9.55967e-06	2.58548e-06	6.52705e-07	1.5446e-07	3.45754e-08	7.36261e-09	1.50932e-09	2.98993e-10	5.78775e-11	1.09096e-11	2.01803e-12	3.62186e-13	6.35452e-14	1.07352e-14	1.76571e-15	2.78062e-16	4.25777e-17	6.22171e-18	8.84653e-19	1.19787e-19	1.581e-20	1.98353e-21	2.43105e-22	2.82701e-23	3.22095e-24	3.47955e-25	3.71337e-26	
