NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	3.08002e-28	2.05779e-25	2.44459e-23	8.9997e-22	1.22263e-20	8.77251e-20	5.94866e-19	2.85608e-18	1.11044e-17	3.00301e-17	6.73724e-17	1.59918e-16	8.46544e-13	5.05701e-12	2.24119e-11	8.33309e-11	2.90892e-10	8.19225e-10	1.70539e-09	2.97435e-09	5.02051e-09	9.23598e-09	1.99167e-08	5.00231e-08	1.35149e-07	3.56414e-07	8.55561e-07	1.81297e-06	3.40788e-06	5.86809e-06	9.67936e-06	1.57936e-05	2.53697e-05	3.85462e-05	5.29013e-05	6.25251e-05	6.76084e-05	7.04094e-05	7.37036e-05	8.0034e-05	9.19331e-05	0.00011277	0.000148095	0.000207715	0.000308977	0.000481716	0.000774975	0.00126443	0.00205759	0.00329176	0.00511916	0.00767654	0.0110446	0.015212	0.0200629	0.0254046	0.0310286	0.0367856	0.0426407	0.0486816	0.0550684	0.0619276	0.0692023	0.0764906	0.0829401	0.0872964	0.0881918	0.0846391	0.0765254	0.0648129	
N2	2.42209e-26	1.996e-24	2.20933e-22	1.22392e-20	4.40505e-19	9.03627e-18	1.05322e-16	9.12099e-16	6.97246e-15	4.2982e-14	2.13768e-13	8.81881e-13	3.04085e-12	9.21205e-12	2.75016e-11	8.93324e-11	3.12308e-10	1.08606e-09	3.52549e-09	1.04662e-08	2.84216e-08	7.08591e-08	1.61973e-07	3.37588e-07	6.385e-07	1.09734e-06	1.73214e-06	2.56439e-06	3.6588e-06	5.15308e-06	7.23668e-06	1.00758e-05	1.37597e-05	1.84116e-05	2.44884e-05	3.29238e-05	4.59634e-05	6.74605e-05	0.000103898	0.000166173	0.000272085	0.000449808	0.000741359	0.00120557	0.00191712	0.00296081	0.0044164	0.00633925	0.00873718	0.0115613	0.0147113	0.0180709	0.0215497	0.0251334	0.0288968	0.0330015	0.0376401	0.0429772	0.04904	0.0556278	0.0621935	0.0678551	0.0715116	0.0722555	0.0698245	0.0650549	0.0597207	0.0558638	0.0545649	0.0553999	
N3	6.98273e-23	3.15901e-22	1.70797e-20	7.50764e-19	1.91978e-17	3.25802e-16	3.55029e-15	2.8851e-14	1.92898e-13	1.12459e-12	5.80289e-12	2.55769e-11	9.45613e-11	3.03026e-10	8.87021e-10	2.41837e-09	6.10071e-09	1.43992e-08	3.22854e-08	6.91837e-08	1.40781e-07	2.69166e-07	4.79811e-07	7.97095e-07	1.2437e-06	1.85565e-06	2.71968e-06	4.04027e-06	6.22994e-06	1.00486e-05	1.68023e-05	2.86912e-05	4.94266e-05	8.56276e-05	0.000149395	0.000258357	0.000440149	0.000734335	0.00119273	0.00187684	0.00284973	0.00416439	0.00584821	0.00789162	0.0102419	0.0128123	0.0154985	0.0182097	0.0208936	0.0235634	0.0263041	0.0292682	0.0326338	0.0365387	0.0409749	0.0457071	0.0502411	0.05393	0.0561659	0.0566251	0.0553721	0.0528274	0.049542	0.0460535	0.042786	0.0401749	0.0386202	0.0384458	0.0395406	0.0414147	
N4	1.49759e-24	5.28035e-21	4.2334e-16	1.52828e-16	4.62224e-12	8.25977e-12	2.56659e-12	4.62023e-13	6.11778e-14	3.37089e-08	1.08696e-07	5.11028e-08	1.21283e-08	2.03865e-09	2.6322e-10	2.74792e-11	2.32354e-12	1.64188e-13	9.65679e-15	0.000139253	0.000625397	0.00049403	0.000171982	3.85064e-05	6.22728e-06	7.82507e-07	7.69911e-08	6.20071e-09	4.06505e-10	2.26278e-11	1.05506e-12	4.30133e-14	1.5012e-15	4.69429e-17	1.27795e-18	3.17986e-20	6.97348e-22	3.08436e-23	4.58792e-13	0.0652979	0.254047	0.339799	0.221569	0.0893013	0.0233276	0.00447931	0.000625967	6.99491e-05	6.05894e-06	4.41324e-07	2.59364e-08	1.32531e-09	5.61585e-11	2.12013e-12	6.77382e-14	1.96416e-15	4.89416e-17	1.12372e-18	2.24514e-20	4.18521e-22	6.85675e-24	1.05979e-25	1.45239e-27	1.89504e-29	2.20779e-31	2.4689e-33	2.48103e-35	2.40776e-37	2.11022e-39	1.80092e-41	
Cyperus_houghtonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cyperus_schweinitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lipocarpha_micrantha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lipocarpha_microcephala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.45135e-24	2.57565e-22	4.35426e-20	2.81718e-18	6.36897e-17	9.33798e-16	1.03169e-14	8.32367e-14	4.70149e-13	2.25057e-12	1.01747e-11	4.27128e-11	1.63169e-10	5.63778e-10	1.74509e-09	4.7663e-09	1.15607e-08	2.61833e-08	5.88349e-08	1.34167e-07	3.04553e-07	6.66801e-07	1.3792e-06	2.67756e-06	4.8763e-06	8.35041e-06	1.35125e-05	2.08487e-05	3.09725e-05	4.47041e-05	6.31268e-05	8.79293e-05	0.000122092	0.000171534	0.00024776	0.000373734	0.00058868	0.000955988	0.00156892	0.00255298	0.00405766	0.00624224	0.00924975	0.0131895	0.0181146	0.0240269	0.0308639	0.0385167	0.0467948	0.0554296	0.0639948	0.0719116	0.0783844	0.0825157	0.0833898	0.0803775	0.0733335	0.062859	0.0502285	0.0371802	0.0253804	0.0159915	0.00937862	0.00523338	0.0028726	0.0016088	0.000932782	0.000554765	0.000330468	0.000194834	
N6	2.43575e-13	1.90839e-13	1.54645e-12	2.1674e-11	2.2906e-10	2.21172e-09	1.54465e-08	7.08403e-08	2.46141e-07	7.93205e-07	2.59751e-06	8.40858e-06	2.4514e-05	6.07922e-05	0.000126401	0.000226888	0.000367603	0.000570395	0.000891978	0.00146237	0.00253915	0.00461561	0.00850385	0.0153619	0.0263859	0.0422947	0.0624173	0.0843603	0.103965	0.116835	0.119585	0.111658	0.0950848	0.0739971	0.0526281	0.0342829	0.0204586	0.0112121	0.00564505	0.00261884	0.00112019	0.000443489	0.000162681	5.55752e-05	1.77068e-05	5.29735e-06	1.49011e-06	3.97457e-07	1.00531e-07	2.43529e-08	5.63474e-09	1.25966e-09	2.70313e-10	5.64492e-11	1.13431e-11	2.22884e-12	4.21006e-13	7.78789e-14	1.37904e-14	2.38963e-15	3.94318e-16	6.3649e-17	9.74263e-18	1.46055e-18	2.06983e-19	2.88013e-20	3.77811e-21	4.88571e-22	5.95053e-23	7.22634e-24	
