NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	1.36175e-29	6.4588e-27	1.37771e-24	6.00304e-23	1.09547e-21	1.06824e-20	7.85913e-20	4.13756e-19	1.76739e-18	5.94349e-18	1.69463e-17	4.54057e-17	1.18577e-16	4.04101e-13	1.95921e-12	7.86534e-12	2.85504e-11	9.31138e-11	2.65194e-10	6.72906e-10	1.56846e-09	3.51175e-09	7.95117e-09	1.86546e-08	4.54291e-08	1.12142e-07	2.68025e-07	5.93864e-07	1.1941e-06	2.18345e-06	3.70781e-06	5.99774e-06	9.44581e-06	1.45999e-05	2.20606e-05	3.17672e-05	4.45465e-05	6.14079e-05	8.32522e-05	0.000110916	0.00014525	0.000187972	0.000242766	0.00031699	0.000424417	0.000589079	0.00085097	0.00127495	0.00196653	0.00308284	0.00483789	0.00748957	0.0112976	0.0164509	0.0229813	0.0306979	0.0391825	0.0478601	0.0561262	0.0634741	0.069568	0.0742322	0.0773718	0.0788705	0.0785259	0.0760682	0.071278	0.0641655	0.0551198	0.0449281	
N2	2.35045e-28	1.66961e-26	2.19841e-24	1.80071e-22	8.01679e-21	2.01135e-19	3.22531e-18	3.7417e-17	3.40838e-16	2.42214e-15	1.45823e-14	7.64551e-14	3.4894e-13	1.41257e-12	5.32026e-12	1.93494e-11	6.7845e-11	2.23033e-10	6.80877e-10	1.94774e-09	5.28668e-09	1.36348e-08	3.31142e-08	7.47945e-08	1.56208e-07	3.02444e-07	5.48036e-07	9.43368e-07	1.57231e-06	2.58356e-06	4.23475e-06	6.9348e-06	1.12492e-05	1.78419e-05	2.73922e-05	4.06019e-05	5.86615e-05	8.36821e-05	0.000119595	0.000173658	0.000259203	0.000399368	0.000632693	0.00102044	0.00165183	0.00264608	0.00414452	0.00629495	0.00922357	0.0129956	0.0175735	0.0228004	0.0284185	0.0341154	0.0395916	0.0446286	0.0490958	0.0529326	0.0560995	0.0585043	0.0599621	0.0602689	0.059277	0.0571113	0.0543946	0.052138	0.0512519	0.0521383	0.0540955	0.0557838	
N3	1.40346e-24	5.92835e-24	3.91786e-22	2.40219e-20	7.96208e-19	1.53993e-17	2.02881e-16	1.97876e-15	1.52158e-14	9.67014e-14	5.2733e-13	2.48704e-12	1.03118e-11	3.83274e-11	1.2987e-10	4.02394e-10	1.14212e-09	2.99866e-09	7.38426e-09	1.72503e-08	3.84472e-08	8.18011e-08	1.66274e-07	3.2381e-07	6.06935e-07	1.1023e-06	1.95452e-06	3.40854e-06	5.8824e-06	1.00743e-05	1.71169e-05	2.88502e-05	4.82816e-05	8.04855e-05	0.000134217	0.000223513	0.000370762	0.000610364	0.000992552	0.00158625	0.00247845	0.00376647	0.00554044	0.00786236	0.0107408	0.0141182	0.0178716	0.0218196	0.0257529	0.0294794	0.0328526	0.0357973	0.038321	0.0404804	0.0423338	0.0439355	0.0452743	0.0462882	0.0469784	0.0473684	0.0474439	0.0473122	0.0468768	0.0458915	0.0445242	0.0429654	0.0413664	0.040458	0.0401523	0.0398332	
N4	4.03179e-24	7.11065e-21	2.48908e-17	2.30803e-16	2.96658e-13	5.44855e-13	7.58365e-12	6.19901e-12	1.25953e-11	5.429e-09	1.65877e-08	7.90275e-09	1.56381e-08	1.08018e-07	9.33067e-08	2.97856e-08	9.93194e-09	2.70591e-08	5.32836e-08	4.40955e-05	0.000193024	0.000152769	5.39176e-05	1.22746e-05	2.02328e-06	5.10507e-06	0.000107762	0.000285602	0.000225771	8.60998e-05	1.98927e-05	3.21639e-06	3.90193e-07	3.75174e-08	2.93262e-09	1.93199e-10	1.05728e-11	5.05727e-13	3.41868e-08	0.0633457	0.252273	0.339673	0.22383	0.0904107	0.0239753	0.00457182	0.000648158	7.25074e-05	6.33172e-06	4.62782e-07	2.77001e-08	1.41449e-09	6.12846e-11	2.34026e-12	7.61751e-14	2.24495e-15	5.77179e-17	1.34156e-18	2.77579e-20	5.29757e-22	8.93339e-24	1.41545e-25	2.01424e-27	2.66751e-29	3.22126e-31	3.67932e-33	3.78196e-35	3.73448e-37	3.36586e-39	2.88524e-41	
Cyperus_houghtonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cyperus_schweinitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lipocarpha_micrantha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lipocarpha_microcephala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.86697e-26	2.85418e-24	8.71749e-22	6.8965e-20	2.38235e-18	4.57947e-17	5.82209e-16	5.46687e-15	4.02238e-14	2.42223e-13	1.28478e-12	5.95938e-12	2.41409e-11	8.74837e-11	2.91919e-10	9.02912e-10	2.58416e-09	6.85254e-09	1.71367e-08	4.14075e-08	9.74462e-08	2.21159e-07	4.7752e-07	9.7005e-07	1.85195e-06	3.35073e-06	5.81566e-06	9.80073e-06	1.62182e-05	2.65403e-05	4.30555e-05	6.92877e-05	0.000110477	0.0001746	0.000274384	0.000427537	0.000667742	0.00105234	0.00167417	0.0026744	0.0042539	0.00666854	0.0102035	0.0151264	0.0216009	0.0296082	0.0388642	0.0487961	0.0586858	0.0677462	0.075164	0.080212	0.0823573	0.0812818	0.0769309	0.06965	0.0600756	0.0491407	0.0379836	0.0276646	0.0189653	0.0123157	0.00766636	0.00466104	0.00284214	0.00176619	0.00111257	0.000706328	0.000443973	0.000272773	
N6	5.35793e-14	3.71756e-14	2.26767e-13	3.44597e-12	4.99552e-11	5.37799e-10	4.16348e-09	2.36111e-08	1.07373e-07	4.23666e-07	1.51767e-06	4.97792e-06	1.46689e-05	3.83673e-05	8.91383e-05	0.00018758	0.00036757	0.000689101	0.00125693	0.0022635	0.0040359	0.00711389	0.0123036	0.0206235	0.0329712	0.0496523	0.0695663	0.0899145	0.106721	0.116017	0.115232	0.104766	0.0871678	0.0664294	0.0464747	0.0299048	0.0176972	0.00967606	0.00489141	0.00229039	0.000997373	0.000405236	0.000153554	5.47146e-05	1.83355e-05	5.78976e-06	1.73204e-06	4.9248e-07	1.32298e-07	3.40293e-08	8.33358e-09	1.94465e-09	4.35584e-10	9.41037e-11	1.93384e-11	3.87769e-12	7.46927e-13	1.38435e-13	2.48048e-14	4.31596e-15	7.10344e-16	1.14588e-16	1.76221e-17	2.6074e-18	3.71258e-19	5.15482e-20	6.74452e-21	8.73931e-22	1.08082e-22	1.31243e-23	
