NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.205494	0.190504	0.164746	0.133628	0.102123	0.0738004	0.0505703	0.0329213	0.0203871	0.0120189	0.00674817	0.00360908	0.00183877	0.000892441	0.000412617	0.000181724	7.6234e-005	3.04586e-005	1.15888e-005	4.19805e-006	1.44758e-006	4.75014e-007	1.48291e-007	4.40282e-008	1.24288e-008	3.33485e-009	8.50271e-010	2.05951e-010	4.73804e-011	1.03511e-011	2.14713e-012	4.22833e-013	8.9473e-017	3.76911e-017	1.54694e-017	6.18577e-018	2.40996e-018	9.14815e-019	3.38361e-019	1.21947e-019	4.28286e-020	1.46587e-020	4.88973e-021	1.58979e-021	5.0385e-022	1.5567e-022	4.6892e-023	1.37729e-023	3.9449e-024	1.10199e-024	3.00268e-025	7.98143e-026	2.06992e-026	5.23828e-027	1.29376e-027	3.119e-028	7.34099e-029	1.68717e-029	3.78736e-030	8.30648e-031	1.78065e-031	3.73313e-032	7.66114e-033	1.54122e-033	3.0468e-034	5.94337e-035	1.15212e-035	2.24547e-036	4.48234e-037	9.50907e-038	2.65306e-038	
N2	0.00507926	0.00612624	0.007919	0.0106964	0.0144713	0.019443	0.0253448	0.0322343	0.0394338	0.0469312	0.0537375	0.0600163	0.0646736	0.0682	0.0694925	0.0693468	0.0667448	0.0628003	0.0567817	0.0500692	0.0422677	0.0347488	0.0272759	0.0208487	0.0151865	0.0107827	0.00728695	0.00480836	0.00301646	0.00185161	0.00107956	0.000617334	0.000334889	0.000178614	9.02721e-005	4.4966e-005	2.11925e-005	9.86705e-006	4.34121e-006	1.89115e-006	7.77208e-007	3.16933e-007	1.21779e-007	4.65274e-008	1.67234e-008	5.98886e-009	2.01578e-009	6.77393e-010	2.13668e-010	6.7425e-011	1.99643e-011	5.9272e-012	1.65021e-012	4.61821e-013	1.21341e-013	3.21491e-014	8.01264e-015	2.02212e-015	4.82822e-016	1.17375e-016	2.72306e-017	6.4696e-018	1.48568e-018	3.50411e-019	8.07417e-020	1.90302e-020	4.41019e-021	1.03818e-021	2.4546e-022	6.48465e-023	2.68636e-023	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.170485	0.170794	0.158078	0.137518	0.111397	0.0854366	0.0612934	0.0418727	0.0268093	0.0164318	0.00944041	0.00522451	0.00270613	0.0013618	0.000639615	0.000295543	0.000126793	5.44615e-005	2.15539e-005	8.73985e-006	3.22245e-006	1.24895e-006	4.3269e-007	1.615e-007	5.26122e-008	1.88141e-008	5.75015e-009	1.95692e-009	5.56251e-010	1.77799e-010	4.68822e-011	1.4044e-011	3.41042e-012	9.48806e-013	2.1303e-013	5.5432e-014	1.1443e-014	2.76267e-015	5.29427e-016	1.20257e-016	2.12335e-017	4.48249e-018	7.39942e-019	1.48069e-019	2.25766e-020	4.19976e-021	6.02828e-022	1.06878e-022	1.41669e-023	2.32617e-024	2.91466e-025	4.57138e-026	5.27987e-027	7.63701e-028	8.35936e-029	1.15663e-029	1.16342e-030	1.47798e-031	1.41164e-032	1.71987e-033	1.51092e-034	1.69404e-035	1.4286e-036	1.56219e-037	1.25557e-038	1.33738e-039	1.19488e-040	1.47994e-041	1.76203e-042	2.79405e-043	5.31097e-044	
N4	0.169835	0.170306	0.15788	0.137616	0.111679	0.0857952	0.0616034	0.0421043	0.0269306	0.0164844	0.0094357	0.00520393	0.00267611	0.00133932	0.000621786	0.000285353	0.000120307	5.13235e-005	1.98042e-005	7.99636e-006	2.8428e-006	1.10362e-006	3.63415e-007	1.37429e-007	4.17881e-008	1.53722e-008	4.3009e-009	1.54015e-009	3.9149e-010	1.34826e-010	3.10987e-011	1.03962e-011	2.1444e-012	6.86952e-013	1.27967e-013	4.03552e-014	6.65902e-015	2.01779e-015	3.02823e-016	9.23649e-017	1.22078e-017	3.55045e-018	4.34933e-019	1.29742e-019	1.39404e-020	3.86845e-021	3.96049e-022	1.14327e-022	1.0183e-023	2.63168e-024	2.29934e-025	6.26445e-026	4.70725e-027	1.10577e-027	8.38086e-029	2.11562e-029	1.35305e-030	2.83217e-031	1.87321e-032	4.31722e-033	2.36702e-034	4.38695e-035	2.55617e-036	5.39657e-037	2.53682e-038	4.14345e-039	2.14924e-040	4.27675e-041	2.36548e-042	6.24422e-043	2.36369e-043	
N5	0.148174	0.15164	0.145861	0.133538	0.114696	0.0936651	0.0715642	0.0520459	0.0353264	0.0229163	0.0138371	0.00804916	0.00433941	0.00228514	0.00110753	0.000536537	0.000236113	0.000107539	4.35713e-005	1.91554e-005	7.22933e-006	3.11461e-006	1.10334e-006	4.67258e-007	1.54411e-007	6.30186e-008	1.93588e-008	7.53939e-009	2.12484e-009	7.72118e-010	2.00542e-010	6.85107e-011	1.6191e-011	5.09477e-012	1.11274e-012	3.30846e-013	6.55963e-014	1.78964e-014	3.31202e-015	8.66653e-016	1.45216e-016	3.46803e-017	5.49311e-018	1.27974e-018	1.82713e-019	3.85058e-020	5.26615e-021	1.0981e-021	1.34136e-022	2.49016e-023	2.94005e-024	5.4487e-025	5.70838e-026	9.31653e-027	9.52332e-028	1.56353e-028	1.40582e-029	2.00445e-030	1.76737e-031	2.55217e-032	1.98068e-033	2.48451e-034	1.91457e-035	2.46411e-036	1.68196e-037	1.90977e-038	1.42421e-039	1.92226e-040	2.00827e-041	3.75787e-042	8.5995e-043	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.139398	0.143971	0.140749	0.131565	0.115628	0.096684	0.0755836	0.0561977	0.0389297	0.0257535	0.0158212	0.0093622	0.00511611	0.00273418	0.00133674	0.000656119	0.000289364	0.000133543	5.37514e-005	2.40273e-005	8.89899e-006	3.92325e-006	1.34347e-006	5.88511e-007	1.84596e-007	7.88186e-008	2.25926e-008	9.36636e-009	2.41546e-009	9.47196e-010	2.22026e-010	8.38845e-011	1.75372e-011	6.17382e-012	1.18417e-012	4.06659e-013	6.92724e-014	2.1858e-014	3.48551e-015	1.09716e-015	1.54094e-016	4.34586e-017	5.86123e-018	1.69231e-018	1.98151e-019	4.95958e-020	5.73117e-021	1.5101e-021	1.48004e-022	3.24541e-023	3.21305e-024	7.61707e-025	6.26686e-026	1.19769e-026	1.01974e-027	2.17009e-028	1.4958e-029	2.46998e-030	1.79546e-031	3.39812e-032	1.97235e-033	2.83796e-034	1.78379e-035	3.04341e-036	1.484e-037	1.84825e-038	1.00793e-039	1.5886e-040	9.43655e-042	1.85606e-042	5.88565e-043	
N7	0.0835947	0.0904639	0.0962771	0.100834	0.101432	0.0986507	0.0909185	0.0806408	0.0674405	0.0544973	0.0414457	0.0307756	0.0214549	0.0148719	0.00963522	0.0063944	0.00392495	0.00257411	0.00153153	0.00102201	0.000596939	0.000406754	0.000232998	0.000159954	8.84119e-005	5.95187e-005	3.14862e-005	2.06245e-005	1.03094e-005	6.4665e-006	3.07185e-006	1.86794e-006	8.34878e-007	4.84436e-007	2.07242e-007	1.17885e-007	4.75373e-008	2.57811e-008	1.00763e-008	5.42402e-009	1.99536e-009	1.01483e-009	3.64878e-010	1.85109e-010	6.21941e-011	2.94084e-011	9.68563e-012	4.57041e-012	1.39072e-012	6.02515e-013	1.79557e-013	7.7649e-014	2.12359e-014	8.3736e-015	2.24761e-015	8.87535e-016	2.16936e-016	7.7377e-017	1.85779e-017	6.66434e-018	1.45675e-018	4.72653e-019	1.0248e-019	3.38719e-020	6.76398e-021	2.07339e-021	4.60855e-022	1.69735e-022	5.43675e-023	2.93994e-023	2.25269e-023	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0611516	0.0676891	0.0749755	0.0826714	0.0882157	0.0914297	0.090152	0.0857403	0.077156	0.0671496	0.0552181	0.0442841	0.0335106	0.025084	0.0176676	0.0125878	0.00837721	0.00582323	0.00372773	0.0025957	0.00161881	0.00114389	0.000697979	0.000500387	0.000295955	0.000211618	0.000120494	8.52855e-005	4.61924e-005	3.18625e-005	1.6467e-005	1.11532e-005	5.44905e-006	3.56909e-006	1.67139e-006	1.08091e-006	4.78691e-007	2.98043e-007	1.27883e-007	7.93534e-008	3.21616e-008	1.90358e-008	7.55121e-009	4.48906e-009	1.67229e-009	9.35826e-010	3.43593e-010	1.94217e-010	6.61924e-011	3.46219e-011	1.16636e-011	6.1897e-012	1.91543e-012	9.28676e-013	2.85276e-013	1.41268e-013	3.93871e-014	1.75568e-014	4.8769e-015	2.23888e-015	5.61709e-016	2.30921e-016	5.83654e-017	2.50851e-017	5.72722e-018	2.22229e-018	5.59159e-019	2.65218e-019	1.00177e-019	7.92693e-020	9.04661e-020	
N9	0.0332349	0.0374528	0.0430058	0.0500511	0.0573196	0.0646741	0.0702643	0.0743351	0.0750409	0.0737322	0.0689231	0.0631142	0.0549048	0.047361	0.0387281	0.032001	0.024919	0.0201468	0.0151818	0.0123143	0.00911318	0.00755363	0.00554939	0.00474064	0.00345304	0.003009	0.00216527	0.00190756	0.00134061	0.00117251	0.000804074	0.000698217	0.000462463	0.000392772	0.000253362	0.000213308	0.000132582	0.000108744	6.62692e-005	5.43329e-005	3.19079e-005	2.54199e-005	1.47637e-005	1.18706e-005	6.6247e-006	5.14131e-006	2.85467e-006	2.24926e-006	1.18903e-006	8.92279e-007	4.69991e-007	3.58773e-007	1.78171e-007	1.27987e-007	6.34445e-008	4.64572e-008	2.14954e-008	1.4627e-008	6.769e-009	4.71447e-009	2.03317e-009	1.31486e-009	5.74418e-010	3.86962e-010	1.61124e-010	1.05065e-010	5.09117e-011	4.21314e-011	3.15323e-011	4.00861e-011	6.01433e-011	
N10	0.0100304	0.0115595	0.0138476	0.0170995	0.0211153	0.0260355	0.0313818	0.0372413	0.0428263	0.0482824	0.0525538	0.0560273	0.0575826	0.0581422	0.0567331	0.0548093	0.0513818	0.048109	0.0437672	0.0400252	0.0354427	0.0317053	0.0272957	0.0238709	0.0199353	0.0170281	0.013786	0.0115105	0.00903938	0.00738813	0.00564905	0.00454092	0.00339754	0.00269912	0.00199015	0.00157213	0.00114617	0.000901343	0.000651428	0.00051086	0.000365308	0.000284689	0.000201275	0.00015573	0.000108275	8.26449e-005	5.64428e-005	4.24824e-005	2.83349e-005	2.08897e-005	1.3621e-005	9.85634e-006	6.25001e-006	4.41051e-006	2.72956e-006	1.88752e-006	1.13465e-006	7.64302e-007	4.49524e-007	2.9782e-007	1.71399e-007	1.11837e-007	6.45614e-008	4.28607e-008	2.58351e-008	1.82636e-008	1.2564e-008	1.02024e-008	8.60334e-009	8.6649e-009	1.01731e-008	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.0451551	0.0496313	0.0545979	0.0602465	0.065303	0.0698652	0.0725891	0.0738926	0.072729	0.0699932	0.0650542	0.0591121	0.0518295	0.044422	0.0366856	0.0296058	0.0229782	0.0174303	0.0126965	0.00904988	0.00618743	0.00415	0.00266867	0.00168989	0.00102564	0.000615942	0.000354477	0.000202972	0.000111283	6.10471e-005	3.20235e-005	1.68967e-005	8.50205e-006	4.32207e-006	2.08839e-006	1.02309e-006	4.74208e-007	2.23439e-007	9.91767e-008	4.48497e-008	1.90091e-008	8.22413e-009	3.32183e-009	1.37237e-009	5.26963e-010	2.07382e-010	7.56402e-011	2.83412e-011	9.80514e-012	3.49267e-012	1.14674e-012	3.88643e-013	1.21028e-013	3.90005e-014	1.15415e-014	3.54491e-015	9.98137e-016	2.92702e-016	7.89343e-017	2.22884e-017	5.81878e-018	1.60312e-018	4.15395e-019	1.1469e-019	3.04592e-020	8.6448e-021	2.41655e-021	7.16165e-022	2.16816e-022	7.69089e-023	4.19772e-023	
Tetraria_capillaris	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.00329593	0.00431685	0.00629293	0.00959121	0.0144128	0.0211062	0.0294074	0.0392077	0.0493745	0.0598265	0.0694259	0.0786092	0.0853774	0.0895546	0.08836	0.0827029	0.0716398	0.0584486	0.0440066	0.0315166	0.0211817	0.0140216	0.00907656	0.00608742	0.00411579	0.00291668	0.00203462	0.00144714	0.000976423	0.000660195	0.000415016	0.000260939	0.000150867	8.75838e-005	4.64285e-005	2.48396e-005	1.20497e-005	5.92641e-006	2.6293e-006	1.18767e-006	4.81102e-007	1.99143e-007	7.36772e-008	2.79597e-008	9.4395e-009	3.28068e-009	1.01257e-009	3.23052e-010	9.11517e-011	2.66909e-011	6.90696e-012	1.86344e-012	4.42413e-013	1.0998e-013	2.40626e-014	5.54047e-015	1.11798e-015	2.3857e-016	4.4731e-017	8.92962e-018	1.567e-018	2.95438e-019	4.98399e-020	9.16558e-021	1.55169e-021	2.89793e-022	5.21004e-023	1.02088e-023	1.98991e-024	4.41076e-025	1.49546e-025	
Machaerina_articulata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Machaerina_mariscoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	0.126989	0.131968	0.130724	0.124727	0.112892	0.0979561	0.0802402	0.0628594	0.0463238	0.0326408	0.021567	0.0136496	0.00807296	0.00459614	0.00243727	0.00125653	0.000600905	0.000284005	0.000123826	5.46389e-005	2.20088e-005	9.22919e-006	3.47647e-006	1.40158e-006	4.95224e-007	1.91305e-007	6.32245e-008	2.32126e-008	7.10988e-009	2.44748e-009	6.92383e-010	2.22748e-010	5.78416e-011	1.72565e-011	4.12961e-012	1.15005e-012	2.52651e-013	6.52752e-014	1.32926e-014	3.22904e-015	6.06037e-016	1.37002e-016	2.40447e-017	5.15677e-018	8.37196e-019	1.67278e-019	2.56005e-020	4.88529e-021	6.91618e-022	1.22537e-022	1.64295e-023	2.78892e-024	3.451e-025	5.41379e-026	6.36228e-027	9.58263e-028	1.03554e-028	1.43408e-029	1.47478e-030	1.96575e-031	1.85747e-032	2.27527e-033	2.06143e-034	2.45739e-035	2.09581e-036	2.38801e-037	2.20522e-038	2.81475e-039	3.31036e-040	5.28767e-041	1.27251e-041	
N14	0.0790001	0.0864368	0.0938078	0.100657	0.103861	0.103272	0.0968184	0.0865162	0.0722654	0.0574409	0.0425029	0.03002	0.0196633	0.0123769	0.00719155	0.00406351	0.00210519	0.00108088	0.000504172	0.000239454	0.000101723	4.53968e-005	1.7743e-005	7.50573e-006	2.70015e-006	1.07491e-006	3.54682e-007	1.31704e-007	3.94702e-008	1.34712e-008	3.66028e-009	1.14713e-009	2.80699e-010	8.00618e-011	1.77536e-011	4.65461e-012	9.30283e-013	2.22243e-013	4.05485e-014	8.98839e-015	1.4841e-015	3.00696e-016	4.57875e-017	8.70172e-018	1.20336e-018	2.09166e-019	2.69306e-020	4.42636e-021	5.17398e-022	7.74353e-023	8.4767e-024	1.20466e-024	1.19476e-025	1.53885e-026	1.43539e-027	1.76124e-028	1.48339e-029	1.64104e-030	1.30387e-031	1.37911e-032	9.89546e-034	9.43905e-035	6.44008e-036	5.93679e-037	3.73235e-038	3.20983e-039	2.15356e-040	2.05437e-041	1.74628e-042	2.03676e-043	3.50527e-044	
N15	0.018517	0.0223764	0.0286459	0.0374947	0.0479512	0.0595725	0.0703292	0.0796756	0.0852931	0.0876561	0.085107	0.0795814	0.0702339	0.0599032	0.0481045	0.0375181	0.0274539	0.0196693	0.0131696	0.00873895	0.0053879	0.00334337	0.00191229	0.00111927	0.000596144	0.000329548	0.000163361	8.49616e-005	3.89496e-005	1.88781e-005	7.962e-006	3.57627e-006	1.37916e-006	5.70395e-007	2.01115e-007	7.67057e-008	2.4676e-008	8.65848e-009	2.55404e-009	8.29988e-010	2.24309e-010	6.73474e-011	1.68106e-011	4.70766e-012	1.0829e-012	2.81336e-013	6.02215e-014	1.46765e-014	2.90638e-015	6.57845e-016	1.21826e-016	2.59438e-017	4.44984e-018	8.79372e-019	1.41411e-019	2.63363e-020	3.92004e-021	6.76629e-022	9.46188e-023	1.54339e-023	2.00247e-024	3.04053e-025	3.75738e-026	5.50233e-027	6.60067e-028	9.56946e-029	1.24601e-029	1.99072e-030	3.12586e-031	6.10194e-032	1.73608e-032	
N16	0.000228847	0.000359467	0.000677606	0.0013419	0.00257487	0.00471662	0.00808283	0.013068	0.0197524	0.0284131	0.0388056	0.0512322	0.0647163	0.0787872	0.0906255	0.098931	0.100507	0.0959078	0.0844958	0.0696853	0.0528904	0.0375955	0.0245686	0.0150744	0.00850115	0.00451863	0.00220808	0.00102199	0.000434902	0.00017627	6.56883e-005	2.34528e-005	7.69328e-006	2.4317e-006	7.05474e-007	1.98265e-007	5.10477e-008	1.27925e-008	2.93204e-009	6.56923e-010	1.34321e-010	2.69553e-011	4.92978e-012	8.88421e-013	1.45653e-013	2.36239e-014	3.4833e-015	5.10232e-016	6.78512e-017	9.00111e-018	1.08392e-018	1.30787e-019	1.43096e-020	1.57569e-021	1.57448e-022	1.59114e-023	1.45955e-024	1.36149e-025	1.15802e-026	1.00895e-027	8.07761e-029	6.68721e-030	5.17816e-031	4.18633e-032	3.23334e-033	2.60918e-034	2.04621e-035	1.65012e-036	1.29856e-037	1.05734e-038	1.25305e-039	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	1.32259e-006	2.77922e-006	7.75413e-006	2.26689e-005	6.26827e-005	0.00016179	0.00038397	0.000831407	0.00160954	0.0028406	0.00472931	0.00788843	0.0135263	0.0237914	0.0408249	0.0657744	0.0954108	0.123497	0.139743	0.139342	0.120471	0.0918358	0.0605722	0.0354872	0.0179929	0.00821964	0.00325471	0.0011875	0.000375912	0.000112997	2.94039e-005	7.50621e-006	1.64282e-006	3.62132e-007	6.74063e-008	1.2846e-008	2.03384e-009	3.32824e-010	4.47802e-011	6.27339e-012	7.17648e-013	8.60958e-014	8.41812e-015	8.70214e-016	7.30974e-017	6.54707e-018	4.76476e-019	3.73348e-020	2.36724e-021	1.63207e-022	9.10303e-024	5.58507e-025	2.75297e-026	1.50979e-027	6.65211e-029	3.30625e-030	1.30616e-031	5.89454e-033	2.11865e-034	8.83537e-036	2.89393e-037	1.11483e-038	3.41904e-040	1.26138e-041	3.76486e-043	1.39654e-044	4.6594e-046	1.93348e-047	7.69942e-049	3.44674e-050	2.01244e-051	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N18	0.00575057	0.00735575	0.0104257	0.0155541	0.0230144	0.0331921	0.0453787	0.0590637	0.0720439	0.0833854	0.0904017	0.0933145	0.0903985	0.0837854	0.0729293	0.0610003	0.0478067	0.0361527	0.0254886	0.0174367	0.0110365	0.00683895	0.00388434	0.00218985	0.00111726	0.000576048	0.000264634	0.000125433	5.18988e-005	2.26204e-005	8.43065e-006	3.37721e-006	1.13086e-006	4.14309e-007	1.24767e-007	4.1798e-008	1.13031e-008	3.44744e-009	8.40994e-010	2.34436e-010	5.15335e-011	1.30747e-011	2.60755e-012	6.06482e-013	1.09357e-013	2.31605e-014	3.80559e-015	7.41115e-016	1.10108e-016	1.94933e-017	2.64455e-018	4.31492e-019	5.28066e-020	7.81061e-021	8.74327e-022	1.19548e-022	1.20345e-023	1.48692e-024	1.37281e-025	1.57494e-026	1.30531e-027	1.35159e-028	1.0357e-029	1.00889e-030	7.11506e-032	6.53564e-033	4.88078e-034	4.95004e-035	4.65185e-036	5.67493e-037	1.00999e-037	
N19	0.00351029	0.00442214	0.00612417	0.00893205	0.0130465	0.0188108	0.0261608	0.0351438	0.045018	0.0553121	0.0645757	0.0722957	0.0771078	0.0793197	0.0781709	0.0747544	0.0685969	0.0611462	0.0520622	0.0429825	0.0336654	0.0255872	0.0183504	0.0128533	0.00846219	0.00551007	0.00336025	0.00206195	0.00117753	0.000688754	0.000371031	0.00020756	0.000105349	5.59754e-005	2.65953e-005	1.32886e-005	5.86018e-006	2.72714e-006	1.11066e-006	4.79323e-007	1.79613e-007	7.16728e-008	2.47233e-008	9.13907e-009	2.901e-009	9.93589e-010	2.91294e-010	9.29146e-011	2.51768e-011	7.48439e-012	1.88581e-012	5.26439e-013	1.23418e-013	3.23384e-014	7.11287e-015	1.76599e-015	3.64019e-016	8.53183e-017	1.66516e-017	3.72697e-018	6.87508e-019	1.46447e-019	2.61545e-020	5.46973e-021	9.80925e-022	2.09846e-022	4.17374e-023	9.8208e-024	2.28523e-024	6.4341e-025	2.83148e-025	
