NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.251376	0.224366	0.180756	0.132754	0.0895689	0.0558315	0.0322856	0.0173656	0.0087044	0.00406994	0.00177654	0.000724182	0.000275771	9.81147e-005	3.26195e-005	1.01345e-005	2.94277e-006	7.98628e-007	2.02577e-007	4.80273e-008	1.06427e-008	2.20429e-009	4.26722e-010	7.72104e-011	1.30579e-011	2.06415e-012	3.05003e-013	5.90435e-017	2.12174e-017	7.37243e-018	2.47719e-018	8.04953e-019	2.52979e-019	7.69032e-020	2.26152e-020	6.43442e-021	1.77145e-021	4.71986e-022	1.21724e-022	3.0391e-023	7.34708e-024	1.72015e-024	3.90111e-025	8.57166e-026	1.82511e-026	3.76663e-027	7.5362e-028	1.46212e-028	2.75134e-029	5.02267e-030	8.89722e-031	1.5297e-031	2.55324e-032	4.13822e-033	6.51445e-034	9.96302e-035	1.48068e-035	2.13896e-036	3.00425e-037	4.10385e-038	5.45409e-039	7.05529e-040	8.88853e-041	1.0916e-041	1.30887e-042	1.53677e-043	1.77737e-044	2.04971e-045	2.41519e-046	3.05084e-047	5.11088e-048	
N2	0.00285927	0.00381604	0.00560039	0.00853309	0.0128142	0.0187486	0.0259716	0.0345918	0.0437954	0.053106	0.0614723	0.0690366	0.0738912	0.0770907	0.0773863	0.0752402	0.0701994	0.0638043	0.0549264	0.0459045	0.0364914	0.0278392	0.0201154	0.0140819	0.00920936	0.00583613	0.0034883	0.00199904	0.00107819	0.000566098	0.000275661	0.000130947	5.84436e-005	2.5143e-005	1.01498e-005	4.02284e-006	1.4704e-006	5.28952e-007	1.78313e-007	5.83389e-008	1.78576e-008	5.41382e-009	1.50773e-009	4.16923e-010	1.07769e-010	2.72232e-011	6.42403e-012	1.51444e-012	3.26855e-013	7.06244e-014	1.42501e-014	2.8303e-015	5.24446e-016	9.78921e-017	1.6712e-017	2.88182e-018	4.646e-019	7.4419e-020	1.119e-020	1.71779e-021	2.44576e-022	3.58968e-023	5.07388e-024	7.34705e-025	1.04642e-025	1.5574e-026	2.28223e-027	3.45124e-028	5.21921e-029	8.48687e-030	2.20433e-030	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.201897	0.201713	0.179224	0.144631	0.105892	0.0718218	0.044178	0.0254127	0.0134342	0.00663678	0.00301691	0.00131624	0.000519535	0.000200452	7.11525e-005	2.47198e-005	7.83016e-006	2.5802e-006	7.36064e-007	2.25731e-007	6.07643e-008	1.72734e-008	4.20045e-009	1.1561e-009	2.50925e-010	6.28499e-011	1.28215e-011	2.91339e-012	5.2679e-013	1.13699e-013	1.83167e-014	3.58524e-015	5.41281e-016	9.47779e-017	1.28528e-017	2.18957e-018	2.62045e-019	3.96506e-020	4.57967e-021	6.34968e-022	6.48386e-023	8.57304e-024	7.89518e-025	9.56196e-026	8.36298e-027	8.92532e-028	7.09067e-029	7.56013e-030	5.25437e-031	4.88471e-032	3.33682e-033	2.88405e-034	1.73066e-035	1.41961e-036	7.78481e-038	5.91996e-039	3.06938e-040	2.04281e-041	9.80573e-043	6.64339e-044	2.78499e-045	1.64031e-046	6.95388e-048	3.90098e-049	1.47309e-050	8.11804e-052	3.21218e-053	2.00208e-054	1.17786e-055	1.0461e-056	1.16271e-057	
N4	0.201041	0.201145	0.179131	0.144934	0.106344	0.0722492	0.0444446	0.0255461	0.0134635	0.0066236	0.00298728	0.00129495	0.000503785	0.000192586	6.7012e-005	2.30179e-005	7.05765e-006	2.32077e-006	6.28216e-007	1.93715e-007	4.90259e-008	1.41312e-008	3.13415e-009	9.14336e-010	1.73575e-010	4.72042e-011	8.39577e-012	2.12468e-012	3.16929e-013	8.22807e-014	1.03643e-014	2.56833e-015	3.02496e-016	6.77122e-017	6.76918e-018	1.69875e-018	1.37106e-019	3.06617e-020	2.55254e-021	5.4885e-022	3.6127e-023	7.98904e-024	4.63942e-025	1.01829e-025	5.75326e-027	9.9393e-028	5.04805e-029	1.0968e-029	4.29622e-031	7.10692e-032	3.27409e-033	5.57112e-034	1.89178e-035	2.96181e-036	9.85126e-038	1.65262e-038	5.02551e-040	5.70891e-041	1.76442e-042	2.88954e-043	6.23942e-045	6.60757e-046	1.98775e-047	2.51292e-048	4.80289e-050	4.90452e-051	1.04529e-052	1.34922e-053	2.94404e-055	3.80113e-056	9.03355e-057	
N5	0.172336	0.178073	0.167854	0.146059	0.116206	0.085905	0.0573994	0.0357801	0.0203472	0.0107745	0.00519542	0.00241933	0.000999114	0.000411653	0.000152818	5.73684e-005	1.88839e-005	6.99721e-006	2.05431e-006	7.25337e-007	2.02363e-007	6.66558e-008	1.64978e-008	5.40142e-009	1.16294e-009	3.42914e-010	6.99421e-011	1.86752e-011	3.29703e-012	8.43673e-013	1.3136e-013	3.06013e-014	4.47216e-015	9.05011e-016	1.18608e-016	2.46935e-017	2.74259e-018	4.82723e-019	5.40924e-020	9.00753e-021	8.49367e-022	1.3314e-022	1.1389e-023	1.69339e-024	1.35997e-025	1.65763e-026	1.23312e-027	1.66221e-028	1.00839e-029	1.0757e-030	6.85676e-032	7.26718e-033	3.8064e-034	3.67016e-035	1.81011e-036	1.71353e-037	7.71032e-039	5.76976e-040	2.5121e-041	2.1589e-042	7.56703e-044	5.04399e-045	1.95893e-046	1.34945e-047	4.21378e-049	2.60485e-050	8.29013e-052	5.75708e-053	2.67423e-054	2.75598e-055	3.80661e-056	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.160999	0.168734	0.162934	0.145996	0.119789	0.0912842	0.0627496	0.0401782	0.0234076	0.0126793	0.00623075	0.00295915	0.0012366	0.000518031	0.000193329	7.36625e-005	2.40392e-005	9.13044e-006	2.60084e-006	9.4988e-007	2.54051e-007	8.72165e-008	2.00942e-008	7.1175e-009	1.37663e-009	4.46063e-010	8.17894e-011	2.44018e-011	3.72072e-012	1.1096e-012	1.45607e-013	4.06192e-014	5.01784e-015	1.18837e-015	1.29348e-016	3.42783e-017	2.99249e-018	6.39333e-019	6.00073e-020	1.25958e-020	9.1793e-022	1.78817e-022	1.20004e-023	2.35738e-024	1.4596e-025	2.07598e-026	1.22421e-027	2.27707e-028	9.78131e-030	1.22922e-030	6.34028e-032	8.95544e-033	3.26651e-034	3.80991e-035	1.40754e-036	1.86007e-037	5.7949e-039	4.79431e-040	1.60184e-041	2.0085e-042	4.46039e-044	3.31019e-045	1.02346e-046	9.80152e-048	1.89525e-049	1.33731e-050	2.86359e-052	2.58345e-053	5.86255e-055	5.52405e-056	9.38673e-057	
N7	0.0914649	0.102876	0.112529	0.118556	0.117423	0.110212	0.0950314	0.0776348	0.0587893	0.0421817	0.0280836	0.0184644	0.0110128	0.00674764	0.00383102	0.00227567	0.00122261	0.000761101	0.000388522	0.000241349	0.00012291	7.39061e-005	3.50769e-005	2.15405e-005	9.34958e-006	5.39151e-006	2.31071e-006	1.26263e-006	4.9354e-007	2.69765e-007	9.77006e-008	5.08142e-008	1.80908e-008	8.56976e-009	2.85567e-009	1.42828e-009	4.22876e-010	1.87017e-010	5.70161e-011	2.43108e-011	6.51685e-012	2.68348e-012	6.68847e-013	2.64064e-013	6.32053e-014	2.15007e-014	4.84101e-015	1.77574e-015	3.42316e-016	1.05388e-016	2.10834e-017	6.38832e-018	1.10182e-018	3.14705e-019	5.13662e-020	1.42783e-020	2.19615e-021	5.11168e-022	7.57883e-023	1.95902e-023	2.44898e-024	5.21296e-025	7.08025e-026	1.51513e-026	1.7364e-027	3.50704e-028	4.14416e-029	9.39783e-030	1.69367e-030	5.84201e-031	3.09249e-031	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0647492	0.0753386	0.0872554	0.0986261	0.105635	0.107695	0.101403	0.0906572	0.0754738	0.0595918	0.0438914	0.0317175	0.0210012	0.0140481	0.00878542	0.00561283	0.00329741	0.00216279	0.00120259	0.000786348	0.000436653	0.000280368	0.000145891	9.7591e-005	4.67437e-005	3.00007e-005	1.42912e-005	8.81145e-006	3.83953e-006	2.41778e-006	9.75208e-007	5.89781e-007	2.35299e-007	1.31233e-007	4.88813e-008	2.90602e-008	9.65022e-009	5.13916e-009	1.772e-009	9.15548e-010	2.78553e-010	1.41883e-010	4.02747e-011	1.98898e-011	5.50675e-012	2.34616e-012	6.14696e-013	2.92613e-013	6.53438e-014	2.59632e-014	6.20635e-015	2.48644e-015	5.05946e-016	1.92287e-016	3.7477e-017	1.42327e-017	2.62152e-018	8.1511e-019	1.47399e-019	5.37948e-020	7.98434e-021	2.31204e-021	3.88221e-022	1.17604e-022	1.60451e-023	4.46645e-024	6.22673e-025	1.9462e-025	3.98506e-026	2.01232e-026	1.78774e-026	
N9	0.0328011	0.0392019	0.0479287	0.0586951	0.0696334	0.0799948	0.0860606	0.088826	0.0861905	0.0799004	0.0696745	0.059812	0.047527	0.0381119	0.028857	0.0222351	0.0159933	0.0126871	0.00878087	0.00704305	0.00497071	0.00401068	0.00273579	0.00234908	0.00152667	0.00129019	0.000854759	0.000708109	0.000443291	0.000379264	0.000225855	0.000188275	0.000112835	8.90446e-005	5.10082e-005	4.27061e-005	2.25834e-005	1.75198e-005	9.66058e-006	7.35103e-006	3.71684e-006	2.85512e-006	1.37428e-006	1.03382e-006	4.98247e-007	3.38388e-007	1.5698e-007	1.17897e-007	4.87532e-008	3.22224e-008	1.42458e-008	9.45915e-009	3.72536e-009	2.4278e-009	9.23279e-010	5.96897e-010	2.208e-010	1.23794e-010	4.4865e-011	2.82774e-011	8.87929e-012	4.75422e-012	1.63801e-012	8.97674e-013	2.70267e-013	1.44889e-013	4.67989e-014	2.98708e-014	1.58441e-014	1.72916e-014	2.61628e-014	
N10	0.00848591	0.0104659	0.0135725	0.0180512	0.023787	0.0309096	0.0384542	0.0465082	0.0538806	0.0602128	0.0644552	0.0673716	0.0669624	0.0653539	0.0614426	0.0566155	0.0503994	0.0450784	0.0384293	0.0333049	0.0279813	0.0237117	0.0193759	0.016483	0.0130446	0.0108123	0.00846184	0.00678299	0.00507384	0.00404301	0.00289172	0.00222624	0.00157672	0.00117395	0.000799999	0.000598019	0.000390767	0.000281827	0.000183639	0.000128391	8.0557e-005	5.68376e-005	3.46086e-005	2.39188e-005	1.47605e-005	9.96535e-006	5.99692e-006	4.13901e-006	2.40225e-006	1.59743e-006	9.32298e-007	5.97698e-007	3.31599e-007	2.11881e-007	1.1174e-007	6.80808e-008	3.5483e-008	2.0444e-008	1.01294e-008	5.85592e-009	2.73793e-009	1.50193e-009	7.11929e-010	3.83099e-010	1.807e-010	1.04655e-010	5.57897e-011	3.78555e-011	2.71087e-011	2.43096e-011	2.76235e-011	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.0410678	0.047591	0.0553571	0.0640911	0.0722493	0.0795037	0.0833892	0.0847198	0.0823342	0.076981	0.0688483	0.0597293	0.0492144	0.0393542	0.030091	0.0221647	0.0155809	0.0106603	0.00688411	0.00433532	0.00260191	0.00151069	0.000834744	0.000454222	0.00023164	0.000116913	5.61056e-005	2.63552e-005	1.17406e-005	5.24472e-006	2.1748e-006	9.09066e-007	3.58891e-007	1.40597e-007	5.187e-008	1.9515e-008	6.73167e-009	2.37769e-009	7.86262e-010	2.60974e-010	8.07174e-011	2.57672e-011	7.45052e-012	2.22968e-012	6.17481e-013	1.72795e-013	4.46094e-014	1.19898e-014	2.87959e-015	7.21156e-016	1.65674e-016	3.86934e-017	8.25513e-018	1.84753e-018	3.66274e-019	7.63389e-020	1.44841e-020	2.81196e-021	4.97447e-022	9.32539e-023	1.54613e-023	2.73645e-024	4.48659e-025	7.74002e-026	1.27341e-026	2.30896e-027	4.07632e-028	7.90114e-029	1.56112e-029	3.51242e-030	1.28502e-030	
Tetraria_capillaris	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.00174021	0.00261574	0.00449555	0.007921	0.0133972	0.021524	0.0319938	0.044754	0.0581875	0.0710402	0.0815111	0.0898614	0.0932183	0.0932838	0.0881628	0.0788898	0.0654907	0.0514123	0.0367254	0.0250075	0.0158969	0.0097459	0.00568015	0.0033235	0.00183362	0.0010348	0.000566509	0.000316273	0.000170997	9.66276e-005	5.04018e-005	2.70507e-005	1.33696e-005	6.54115e-006	2.89329e-006	1.30095e-006	5.07241e-007	2.01524e-007	7.11307e-008	2.49458e-008	7.72179e-009	2.46219e-009	6.69651e-010	1.88754e-010	4.66423e-011	1.16233e-011	2.5362e-012	5.81053e-013	1.1207e-013	2.28009e-014	4.04736e-015	7.36012e-016	1.16204e-016	1.9603e-017	2.76591e-018	4.19008e-019	5.49642e-020	7.48125e-021	8.84124e-022	1.13498e-022	1.20958e-023	1.40958e-024	1.44166e-025	1.57217e-026	1.54288e-027	1.72396e-028	1.79535e-029	2.15002e-030	2.58698e-031	3.50894e-032	7.34168e-033	
Machaerina_articulata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Machaerina_mariscoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	0.143286	0.151974	0.150397	0.139902	0.120847	0.0979894	0.0727489	0.0505942	0.0323928	0.0192989	0.0105619	0.00548322	0.00257532	0.00116349	0.000483189	0.000193365	7.07499e-005	2.6451e-005	8.63906e-006	2.98465e-006	9.13771e-007	2.91773e-007	8.02353e-008	2.47175e-008	6.02999e-009	1.6848e-009	3.83345e-010	9.66076e-011	1.93549e-011	4.61272e-012	8.17673e-013	1.75804e-013	2.90596e-014	5.57666e-015	8.24013e-016	1.53209e-016	1.9945e-017	3.29464e-018	4.13065e-019	6.23986e-020	6.91664e-021	9.99566e-022	9.97976e-023	1.32088e-023	1.25579e-024	1.46685e-025	1.26623e-026	1.48384e-027	1.12084e-028	1.14684e-029	8.54576e-031	8.14981e-032	5.33372e-033	4.84423e-034	2.90136e-035	2.45024e-036	1.39082e-037	1.0283e-038	5.41612e-040	4.10026e-041	1.88439e-042	1.23811e-043	5.77065e-045	3.61444e-046	1.48893e-047	9.05503e-049	3.82037e-050	2.53137e-051	1.49384e-052	1.2987e-053	1.70441e-054	
N14	0.0815584	0.093985	0.107046	0.118123	0.122229	0.118607	0.104505	0.0855689	0.0638388	0.0439904	0.0275768	0.0163475	0.00866221	0.00441388	0.0020421	0.000910191	0.000364752	0.000150285	5.26812e-005	1.97234e-005	6.35857e-006	2.15464e-006	6.09155e-007	1.95599e-007	4.78409e-008	1.36071e-008	3.04403e-009	7.63992e-010	1.4692e-010	3.4197e-011	5.69259e-012	1.17122e-012	1.78289e-013	3.19651e-014	4.26303e-015	7.31319e-016	8.38356e-017	1.24582e-017	1.35739e-018	1.81616e-019	1.70746e-020	2.14471e-021	1.7845e-022	2.0235e-023	1.57474e-024	1.53679e-025	1.06998e-026	1.04227e-027	6.19834e-029	5.13367e-030	2.9889e-031	2.28674e-032	1.14366e-033	8.18294e-035	3.70277e-036	2.44213e-037	1.02989e-038	5.80562e-040	2.25243e-041	1.30043e-042	4.30866e-044	2.10731e-045	7.06912e-047	3.28268e-048	9.50768e-050	4.198e-051	1.2247e-052	5.80905e-054	2.35381e-055	1.44173e-056	1.28197e-057	
N15	0.0153633	0.0205368	0.0294668	0.0423169	0.057817	0.074777	0.0890237	0.0996446	0.103397	0.100529	0.0907773	0.0780947	0.0617584	0.0469152	0.0332005	0.022496	0.0141696	0.00885561	0.00500669	0.00286136	0.00150374	0.000788944	0.000374847	0.000186557	7.94407e-005	3.58732e-005	1.41428e-005	5.74443e-006	2.00112e-006	7.56254e-007	2.32382e-007	7.84171e-008	2.21113e-008	6.6277e-009	1.65286e-009	4.64016e-010	1.01809e-010	2.53564e-011	5.18884e-012	1.15905e-012	2.09636e-013	4.38624e-014	7.06228e-015	1.32766e-015	1.99936e-016	3.33662e-017	4.49728e-018	7.18827e-019	8.56347e-020	1.21232e-020	1.37469e-021	1.76735e-022	1.77824e-023	2.16007e-024	1.95909e-025	2.16341e-026	1.84873e-027	1.82081e-028	1.41589e-029	1.36009e-030	9.40494e-032	8.05219e-033	5.4389e-034	4.34132e-035	2.69265e-036	2.14524e-037	1.39696e-038	1.2213e-039	1.04774e-040	1.15561e-041	1.89102e-042	
N16	7.12344e-005	0.000137891	0.000327622	0.000786035	0.00176073	0.00365676	0.00690548	0.0120738	0.0194069	0.0290722	0.0409069	0.055355	0.0709849	0.0874789	0.101298	0.10967	0.109206	0.100854	0.0838169	0.0640935	0.0442037	0.0277473	0.0156635	0.00816312	0.0037798	0.0016241	0.000628973	0.000224338	7.21365e-005	2.18649e-005	5.87905e-006	1.50022e-006	3.45747e-007	7.47418e-008	1.45871e-008	2.74312e-009	4.55907e-010	7.34697e-011	1.06922e-011	1.4864e-012	1.86432e-013	2.29897e-014	2.5011e-015	2.69182e-016	2.61561e-017	2.46977e-018	2.10602e-019	1.79954e-020	1.35358e-021	1.02516e-022	7.01732e-024	4.7394e-025	2.88992e-026	1.79415e-027	9.79539e-029	5.46783e-030	2.75919e-031	1.39142e-032	6.35928e-034	3.00613e-035	1.2571e-036	5.48807e-038	2.21805e-039	9.26012e-041	3.6875e-042	1.58185e-043	6.57646e-045	2.92012e-046	1.28668e-047	5.84847e-049	3.64923e-050	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
