NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.213218	0.196945	0.168822	0.134964	0.101046	0.071092	0.047133	0.0295053	0.0174675	0.00978874	0.00519656	0.00261416	0.00124652	0.000563407	0.000241391	9.8028e-005	3.77309e-005	1.3763e-005	4.75754e-006	1.55837e-006	4.83694e-007	1.42254e-007	3.96426e-008	1.04678e-008	2.61914e-009	6.20978e-010	1.39518e-010	2.97047e-011	5.99363e-012	1.14613e-012	2.07725e-013	5.87618e-017	2.37117e-017	9.31577e-018	3.56355e-018	1.32731e-018	4.81397e-019	1.70021e-019	5.84781e-020	1.95886e-020	6.39091e-021	2.03098e-021	6.28737e-022	1.89623e-022	5.57203e-023	1.59544e-023	4.45188e-024	1.21074e-024	3.2096e-025	8.29471e-026	2.09005e-026	5.13545e-027	1.23063e-027	2.87656e-028	6.55969e-029	1.45961e-029	3.16969e-030	6.71928e-031	1.39082e-031	2.81192e-032	5.55534e-033	1.07315e-033	2.02887e-034	3.75941e-035	6.84379e-036	1.229e-036	2.19236e-037	3.93051e-038	7.21697e-039	1.40736e-039	3.59024e-040	
N2	0.00484628	0.00591601	0.00783558	0.01082	0.015034	0.0206655	0.0273591	0.0351518	0.0434647	0.0516431	0.0590764	0.0656111	0.0697786	0.0722404	0.07237	0.0701084	0.0657517	0.0602131	0.0528483	0.0452661	0.0374808	0.0299511	0.02309	0.0173579	0.0124208	0.00866134	0.00581203	0.00375137	0.00232649	0.00140793	0.00080619	0.000450734	0.000241927	0.000124935	6.18965e-005	3.0044e-005	1.37396e-005	6.16364e-006	2.65219e-006	1.10042e-006	4.37612e-007	1.7135e-007	6.30154e-008	2.28522e-008	7.9424e-009	2.66903e-009	8.59233e-010	2.73809e-010	8.17323e-011	2.41837e-011	6.85528e-012	1.88626e-012	4.97246e-013	1.30516e-013	3.20721e-014	7.86682e-015	1.85426e-015	4.27625e-016	9.51674e-017	2.1342e-017	4.54847e-018	9.85032e-019	2.09753e-019	4.48343e-020	9.53618e-021	2.07613e-021	4.45948e-022	9.7649e-023	2.16555e-023	5.30133e-024	2.05365e-024	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.178595	0.177677	0.162859	0.138862	0.110523	0.082947	0.0578055	0.0381425	0.0236583	0.0138012	0.00757879	0.00398764	0.00194725	0.000917639	0.000409068	0.000173894	6.99247e-005	2.79186e-005	1.0185e-005	3.75296e-006	1.30542e-006	4.46541e-007	1.42926e-007	4.80698e-008	1.40896e-008	4.41534e-009	1.25924e-009	3.64401e-010	9.45574e-011	2.6904e-011	6.32725e-012	1.65383e-012	3.76453e-013	8.96972e-014	1.85383e-014	4.35546e-015	8.10037e-016	1.72957e-016	3.15185e-017	6.15598e-018	1.01427e-018	1.95073e-019	2.90608e-020	5.11143e-021	7.49932e-022	1.19043e-022	1.58462e-023	2.52784e-024	3.01901e-025	4.33177e-026	5.15556e-027	6.77104e-028	7.25415e-029	9.48064e-030	9.18721e-031	1.09427e-031	1.04954e-032	1.12587e-033	9.87689e-035	1.07677e-035	8.43892e-037	8.2659e-038	6.61218e-039	6.0414e-040	4.45852e-041	4.27811e-042	3.31894e-043	3.5748e-044	3.93479e-045	5.65499e-046	1.00758e-046	
N4	0.177737	0.177054	0.16265	0.139047	0.110938	0.0834232	0.058182	0.0383863	0.0237722	0.0138264	0.00755513	0.00395526	0.0019138	0.000894591	0.000394259	0.000165648	6.54407e-005	2.5912e-005	9.19423e-006	3.35439e-006	1.13545e-006	3.83362e-007	1.1748e-007	3.99666e-008	1.09296e-008	3.48234e-009	9.3668e-010	2.75579e-010	6.51732e-011	1.99938e-011	4.1084e-012	1.17526e-012	2.38875e-013	6.21269e-014	1.09358e-014	3.10538e-015	4.60359e-016	1.19458e-016	1.8356e-017	4.37045e-018	5.63832e-019	1.47524e-019	1.61802e-020	3.96263e-021	4.60364e-022	9.60298e-023	9.49242e-024	2.38377e-024	1.93023e-025	4.11934e-026	3.79256e-027	7.41944e-028	5.48099e-029	1.18263e-029	7.65575e-031	1.53619e-031	1.06195e-032	1.68578e-033	1.05042e-034	2.12884e-035	1.02567e-036	1.61316e-037	9.90667e-039	1.496e-039	6.75575e-041	1.06679e-041	4.61798e-043	7.41137e-044	4.13081e-045	8.58478e-046	3.0146e-046	
N5	0.153358	0.156414	0.149997	0.135711	0.11555	0.0931217	0.0696172	0.0491924	0.0325327	0.0201396	0.0116641	0.00646859	0.00329222	0.00162343	0.000752205	0.000333369	0.000138381	5.86956e-005	2.19423e-005	8.68289e-006	3.15183e-006	1.16773e-006	3.86533e-007	1.46203e-007	4.34785e-008	1.53261e-008	4.50262e-009	1.45412e-009	3.80171e-010	1.23583e-010	2.87306e-011	8.51988e-012	1.93736e-012	5.14964e-013	1.0498e-013	2.84213e-014	5.07635e-015	1.21887e-015	2.19548e-016	4.80425e-017	7.63025e-018	1.67896e-018	2.37116e-019	4.75149e-020	6.75681e-021	1.17916e-021	1.50451e-022	2.81146e-023	3.08527e-024	4.94038e-025	5.67319e-026	8.40164e-027	8.33362e-028	1.24878e-028	1.10919e-029	1.5172e-030	1.34764e-031	1.57811e-032	1.28915e-033	1.65617e-034	1.14088e-035	1.23215e-036	9.22786e-038	9.43232e-039	6.02532e-040	6.27875e-041	3.99951e-042	4.49944e-043	4.3092e-044	7.02945e-045	1.50606e-045	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.143274	0.147715	0.144398	0.133872	0.117077	0.0969605	0.0744059	0.0538975	0.0364688	0.0230556	0.0136043	0.00768283	0.00396463	0.00198394	0.000929365	0.00041648	0.000173612	7.47694e-005	2.77656e-005	1.11556e-005	4.01998e-006	1.50976e-006	4.87325e-007	1.91392e-007	5.40715e-008	1.98963e-008	5.59335e-009	1.88578e-009	4.57614e-010	1.62146e-010	3.39914e-011	1.10899e-011	2.3081e-012	6.68547e-013	1.21522e-013	3.82205e-014	5.84564e-015	1.60343e-015	2.58842e-016	6.47684e-017	8.80568e-018	2.30393e-018	2.72256e-019	6.54635e-020	8.05782e-021	1.58749e-021	1.71912e-022	4.04652e-023	3.53028e-024	6.5881e-025	6.56868e-026	1.16773e-026	9.23574e-028	1.68277e-028	1.19325e-029	2.04671e-030	1.46431e-031	1.91736e-032	1.29123e-033	2.18725e-034	1.10131e-035	1.35464e-036	8.65101e-038	1.08366e-038	5.00921e-040	6.05889e-041	2.72962e-042	3.44967e-043	1.96687e-044	3.11654e-045	8.98242e-046	
N7	0.083945	0.0911199	0.0978146	0.102718	0.104064	0.101552	0.0931877	0.081797	0.067976	0.0535144	0.0399139	0.0289175	0.0195063	0.0129778	0.00826206	0.00513953	0.00305897	0.00191112	0.00107503	0.000657619	0.000376741	0.000225182	0.000122865	7.71259e-005	3.93716e-005	2.37476e-005	1.23202e-005	7.0402e-006	3.38638e-006	1.99498e-006	8.89518e-007	4.95723e-007	2.23503e-007	1.16049e-007	4.88434e-008	2.65742e-008	1.02112e-008	5.11417e-009	2.04148e-009	9.62247e-010	3.51367e-010	1.70673e-010	5.73343e-011	2.6077e-011	8.99387e-012	3.68988e-012	1.17503e-012	5.16613e-013	1.46763e-013	5.74278e-014	1.70982e-014	6.30014e-015	1.67936e-015	6.31639e-016	1.5452e-016	5.4076e-017	1.33743e-017	4.15981e-018	9.62114e-019	3.23121e-019	6.55497e-020	1.92935e-020	4.21007e-021	1.17946e-021	2.29051e-022	6.68739e-023	1.33387e-023	4.31633e-024	1.3163e-024	6.45248e-025	4.77655e-025	
