NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	5.08124e-012	5.34463e-012	5.92278e-012	6.90633e-012	8.44315e-012	1.07687e-011	1.42621e-011	1.95662e-011	2.78829e-011	4.18153e-011	6.81209e-011	1.28283e-010	3.08807e-010	1.07387e-009	5.80262e-009	1.84372e-008	4.4237e-008	8.91423e-008	1.5967e-007	2.63104e-007	4.07822e-007	6.03446e-007	8.60456e-007	1.18894e-006	1.59628e-006	2.08376e-006	2.64194e-006	3.24432e-006	3.83675e-006	4.31705e-006	4.49819e-006	4.07099e-006	3.67258e-006	3.33918e-006	3.09218e-006	2.94244e-006	2.89625e-006	2.96101e-006	3.15052e-006	3.49001e-006	4.02209e-006	4.81456e-006	5.97185e-006	7.65158e-006	1.00885e-005	1.36279e-005	1.87669e-005	2.61916e-005	3.67581e-005	5.12502e-005	6.94839e-005	9.80279e-005	0.000144291	0.000221928	0.000356499	0.000596118	0.00103074	0.00182504	0.00326956	0.00584947	0.010316	0.0177205	0.0293426	0.0464375	0.0697763	0.0990706	0.13252	0.16674	0.197055	0.217326	
N2	8.51589e-010	6.25279e-010	6.68078e-010	8.52599e-010	1.15418e-009	1.59245e-009	2.21613e-009	3.10492e-009	4.3806e-009	6.22719e-009	8.92936e-009	1.29612e-008	1.92248e-008	2.97267e-008	4.94047e-008	7.23506e-008	9.84497e-008	1.27573e-007	1.59678e-007	1.94973e-007	2.34093e-007	2.78564e-007	3.31049e-007	3.9577e-007	4.78957e-007	5.89387e-007	7.39134e-007	9.44673e-007	1.22821e-006	1.61775e-006	2.13845e-006	2.7656e-006	3.71599e-006	5.2082e-006	7.61166e-006	1.15472e-005	1.80451e-005	2.87896e-005	4.64945e-005	7.54759e-005	0.000122534	0.000198337	0.000319638	0.000512877	0.000819938	0.00130703	0.00207729	0.00328659	0.00515854	0.00798891	0.0121171	0.0179797	0.0258965	0.0359561	0.0478574	0.0607932	0.0734498	0.0841737	0.0913026	0.0935817	0.0905274	0.0825944	0.0710695	0.0577247	0.0443595	0.0324012	0.0226864	0.0154593	0.0105344	0.00753426	
N3	4.93953e-006	3.30222e-006	3.08214e-006	3.46238e-006	4.19812e-006	5.30385e-006	6.94471e-006	9.40299e-006	1.30654e-005	1.84164e-005	2.60515e-005	3.6749e-005	5.16346e-005	7.24304e-005	0.000101742	0.000144649	0.000208512	0.000305846	0.000460017	0.000717413	0.00116922	0.00198438	0.00344687	0.00598137	0.0101387	0.0165095	0.0255502	0.0373448	0.0513786	0.0664409	0.0807633	0.0924371	0.0989593	0.0992523	0.0933668	0.0824581	0.0684332	0.0534204	0.0392638	0.0271986	0.0177786	0.0109796	0.00641484	0.0035506	0.00186458	0.000930451	0.000441916	0.000200094	8.65206e-005	3.57984e-005	1.42252e-005	5.40782e-006	1.97126e-006	6.90144e-007	2.32344e-007	7.5281e-008	2.34883e-008	7.0596e-009	2.04431e-009	5.7039e-010	1.53334e-010	3.97105e-011	9.90661e-012	2.3804e-012	5.50868e-013	1.22777e-013	2.63624e-014	5.46588e-015	1.11853e-015	2.77647e-016	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	6.31086e-006	4.36205e-006	4.44153e-006	5.73923e-006	8.17175e-006	1.18874e-005	1.69677e-005	2.31768e-005	2.98141e-005	3.58289e-005	4.03085e-005	4.32584e-005	4.64061e-005	5.3944e-005	7.43548e-005	0.000128804	0.000275922	0.000677528	0.00172809	0.00424162	0.0095959	0.019607	0.0358666	0.0585373	0.085156	0.110442	0.127812	0.132158	0.122298	0.101495	0.0757496	0.0510724	0.0309909	0.0169901	0.00844757	0.00382488	0.00158422	0.000603309	0.000212469	6.95824e-005	2.13367e-005	6.16529e-006	1.68804e-006	4.39793e-007	1.0933e-007	2.59713e-008	5.90028e-009	1.28316e-009	2.67566e-010	5.36443e-011	1.03937e-011	1.94495e-012	3.52983e-013	6.22797e-014	1.0686e-014	1.78028e-015	2.87157e-016	4.46824e-017	6.68119e-018	9.56341e-019	1.30576e-019	1.69524e-020	2.08722e-021	2.43224e-022	2.67919e-023	2.78851e-024	2.74342e-025	2.55539e-026	2.27685e-027	2.35885e-028	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	5.88333e-010	3.72132e-010	3.20606e-010	3.4234e-010	4.05504e-010	5.02714e-010	6.38199e-010	8.23641e-010	1.07773e-009	1.42784e-009	1.91403e-009	2.59777e-009	3.58252e-009	5.06858e-009	7.51958e-009	1.10373e-008	1.62177e-008	2.40082e-008	3.5897e-008	5.42e-008	8.24683e-008	1.26188e-007	1.93727e-007	2.97899e-007	4.58477e-007	7.06305e-007	1.0901e-006	1.68769e-006	2.62424e-006	4.10021e-006	6.4284e-006	1.00574e-005	1.596e-005	2.56155e-005	4.14482e-005	6.74082e-005	0.000109886	0.000179149	0.000291597	0.000473245	0.000765022	0.00123049	0.00196643	0.00311585	0.00488116	0.00753193	0.0113978	0.0168339	0.0241497	0.0335044	0.0447965	0.0572437	0.0697343	0.0807727	0.0887407	0.0922819	0.0906869	0.0841287	0.0736419	0.0608444	0.0475064	0.035133	0.0246984	0.0165877	0.0107117	0.00670241	0.00410124	0.00248769	0.00153998	0.00105099	
N6	1.20741e-008	9.51433e-009	1.13561e-008	1.62045e-008	2.4467e-008	3.76573e-008	5.84388e-008	9.10378e-008	1.41948e-007	2.20958e-007	3.42564e-007	5.27862e-007	8.06969e-007	1.22192e-006	1.83029e-006	2.7189e-006	4.00422e-006	5.85281e-006	8.50616e-006	1.2322e-005	1.78427e-005	2.59092e-005	3.78478e-005	5.57709e-005	8.30495e-005	0.000125024	0.000190024	0.000290763	0.000446164	0.000683727	0.00104269	0.00157844	0.00235876	0.00347678	0.00505244	0.0072374	0.0102158	0.0141947	0.019376	0.0259049	0.0337962	0.0428522	0.0526003	0.0622826	0.0709248	0.0774879	0.0810758	0.0811438	0.0776437	0.0710594	0.0623239	0.052069	0.0415076	0.0316285	0.0230885	0.0161929	0.010951	0.00717373	0.00457552	0.00285685	0.00175477	0.00106412	0.000638097	0.000378173	0.000221055	0.000127129	7.1874e-005	4.01874e-005	2.28835e-005	1.47169e-005	
N7	9.95404e-006	7.61236e-006	8.53616e-006	1.11516e-005	1.49889e-005	1.98719e-005	2.56021e-005	3.18234e-005	3.79888e-005	4.34299e-005	4.75442e-005	5.00834e-005	5.14791e-005	5.31108e-005	5.74825e-005	6.90009e-005	9.38166e-005	0.000141629	0.000228114	0.000377874	0.000625817	0.00101349	0.00157707	0.00232792	0.00323425	0.00422003	0.00519899	0.00615269	0.00724255	0.00892164	0.0119907	0.0175381	0.0264809	0.0393071	0.0554964	0.0732416	0.0896383	0.101417	0.105992	0.102366	0.0914689	0.0757451	0.0582543	0.0417179	0.0279046	0.0174961	0.0103247	0.00575997	0.00305225	0.00154405	0.000750312	0.00034937	0.00015635	6.73311e-005	2.78923e-005	1.10976e-005	4.23119e-006	1.542e-006	5.35849e-007	1.77187e-007	5.56616e-008	1.65932e-008	4.69116e-009	1.25754e-009	3.19696e-010	7.71203e-011	1.76717e-011	3.85943e-012	8.22288e-013	2.10154e-013	
