NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.192635	0.180629	0.159652	0.133421	0.105584	0.0791633	0.0562232	0.0377977	0.0240271	0.0144221	0.0081613	0.00434679	0.00217526	0.00102107	0.000448865	0.000184526	7.08462e-005	2.53746e-005	8.47005e-006	2.63282e-006	7.61577e-007	2.04892e-007	5.12462e-008	1.19118e-008	2.57249e-009	5.16071e-010	9.61582e-011	1.66399e-011	2.67418e-012	3.99126e-013	7.59989e-017	2.727e-017	9.431e-018	3.14379e-018	1.01021e-018	3.12944e-019	9.34699e-020	2.69199e-020	7.47699e-021	2.00304e-021	5.17635e-022	1.2906e-022	3.10503e-023	7.20965e-024	1.61588e-024	3.49646e-025	7.30551e-026	1.47419e-026	2.87358e-027	5.41181e-028	9.8491e-029	1.7325e-029	2.94621e-030	4.8446e-031	7.70453e-032	1.18528e-032	1.76433e-033	2.54164e-034	3.54421e-035	4.78513e-036	6.25652e-037	7.92388e-038	9.7232e-039	1.15627e-039	1.33302e-040	1.49086e-041	1.62127e-042	1.73323e-043	1.93754e-044	3.31389e-045	
N2	0.0595227	0.0668354	0.0741444	0.0812871	0.0864002	0.0893432	0.0885345	0.0848014	0.0774792	0.0683723	0.0574525	0.0467122	0.0361143	0.0271094	0.0193212	0.0134459	0.00886626	0.00575713	0.0035331	0.00216024	0.00124276	0.000722444	0.000392494	0.000218732	0.000112682	6.03421e-005	2.94932e-005	1.51501e-005	6.99678e-006	3.42487e-006	1.48919e-006	6.91759e-007	2.81857e-007	1.23566e-007	4.71675e-008	1.95292e-008	6.96975e-009	2.71763e-009	9.09986e-010	3.35678e-010	1.05321e-010	3.66403e-011	1.08329e-011	3.57804e-012	9.94195e-013	3.10054e-013	8.15124e-014	2.41989e-014	5.98672e-015	1.677e-015	3.93433e-016	1.05035e-016	2.31785e-017	5.82934e-018	1.2211e-018	2.92927e-019	5.76503e-020	1.30112e-020	2.43552e-021	5.26081e-022	9.30126e-023	1.90766e-023	3.29107e-024	6.70236e-025	1.18374e-025	2.5328e-026	5.24293e-027	1.33444e-027	3.74932e-028	1.69191e-028	
N3	0.00132127	0.00185566	0.00294095	0.00486441	0.00790562	0.0124386	0.0185893	0.0265442	0.0359111	0.0465639	0.0575092	0.0684158	0.0776778	0.0848699	0.0881203	0.0876057	0.0822755	0.0736763	0.0620704	0.0497752	0.0374694	0.0268531	0.0180467	0.0115632	0.00694386	0.00398467	0.00214249	0.0011041	0.000532962	0.000247438	0.000107573	4.51561e-005	1.77377e-005	6.75478e-006	2.40508e-006	8.33578e-007	2.69741e-007	8.52937e-008	2.51437e-008	7.2691e-009	1.95528e-009	5.17496e-010	1.27221e-010	3.08704e-011	6.94388e-012	1.54627e-012	3.18755e-013	6.52465e-014	1.2343e-014	2.3254e-015	4.046e-016	7.03322e-017	1.12793e-017	1.81334e-018	2.69113e-019	4.02014e-020	5.55093e-021	7.75589e-022	1.00739e-022	1.33422e-023	1.65998e-024	2.12675e-025	2.60735e-026	3.31748e-027	4.11183e-028	5.26975e-029	6.64082e-030	8.56283e-031	1.14884e-031	2.46065e-032	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	1.10194e-005	1.96524e-005	4.3992e-005	0.00010469	0.000242468	0.000535943	0.00111023	0.0021598	0.00391887	0.00674888	0.0111345	0.0179693	0.0282314	0.0430524	0.0621259	0.0840204	0.104134	0.11833	0.121371	0.11334	0.095008	0.0725171	0.0495899	0.0310047	0.0173565	0.00895171	0.00413396	0.00177975	0.000685962	0.000250511	8.18177e-005	2.58264e-005	7.26199e-006	2.01397e-006	4.93876e-007	1.21512e-007	2.61442e-008	5.71134e-009	1.07945e-009	2.0882e-010	3.46164e-011	5.90872e-012	8.59518e-013	1.29486e-013	1.65461e-014	2.20238e-015	2.48242e-016	2.93387e-017	2.92657e-018	3.08161e-019	2.737e-020	2.58599e-021	2.05243e-022	1.7462e-023	1.24742e-024	9.63854e-026	6.2175e-027	4.37591e-028	2.57314e-029	1.66937e-030	9.01233e-032	5.44227e-033	2.78629e-034	1.63863e-035	8.54712e-037	5.28546e-038	3.15837e-039	2.16796e-040	1.49099e-041	1.57597e-042	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0286924	0.0338254	0.0408635	0.0499274	0.0598748	0.0701486	0.0787321	0.0850596	0.0872284	0.0857819	0.0798643	0.0713612	0.0603133	0.0490489	0.0376939	0.0279751	0.0195824	0.0133058	0.008503	0.00531405	0.00310979	0.00179859	0.00096831	0.000522509	0.000260086	0.000131928	6.10104e-005	2.92691e-005	1.25979e-005	5.7198e-006	2.29209e-006	9.83762e-007	3.659e-007	1.47621e-007	5.09012e-008	1.92606e-008	6.1348e-009	2.16472e-009	6.3753e-010	2.09967e-010	5.69924e-011	1.74265e-011	4.37322e-012	1.24653e-012	2.88059e-013	7.60607e-014	1.62693e-014	4.00818e-015	7.89009e-016	1.79808e-016	3.28234e-017	6.99455e-018	1.17441e-018	2.31233e-019	3.6091e-020	6.66434e-021	9.5581e-022	1.62818e-022	2.17685e-023	3.49082e-024	4.29482e-025	6.37423e-026	7.43916e-027	1.06896e-027	1.23003e-028	1.80372e-029	2.43527e-030	4.22879e-031	7.84695e-032	2.56972e-032	
N6	0.0139419	0.0166555	0.0206002	0.0259803	0.0324559	0.0400077	0.0478584	0.0557987	0.0626939	0.0684017	0.0717856	0.073166	0.0717646	0.0684944	0.0629482	0.0563851	0.0485735	0.0408105	0.0328823	0.0258654	0.0194461	0.0143171	0.0100463	0.00694751	0.00456703	0.00298776	0.00185248	0.00115717	0.000681615	0.000409608	0.000230379	0.000133611	7.17594e-005	4.00405e-005	2.04684e-005	1.09281e-005	5.28769e-006	2.68302e-006	1.22413e-006	5.88202e-007	2.52184e-007	1.14383e-007	4.60742e-008	1.97415e-008	7.46474e-009	3.01944e-009	1.07441e-009	4.11697e-010	1.37884e-010	5.00435e-011	1.58418e-011	5.47368e-012	1.63791e-012	5.38206e-013	1.53072e-013	4.8134e-014	1.3001e-014	3.90238e-015	1.00903e-015	2.91984e-016	7.25863e-017	2.03681e-017	5.02801e-018	1.42559e-018	3.70402e-019	1.12316e-019	3.36509e-020	1.18282e-020	4.77749e-021	3.16188e-021	
N7	4.81146e-005	8.22384e-005	0.000168936	0.000360587	0.000742499	0.00145258	0.00266298	0.00464829	0.00768837	0.0120821	0.0176483	0.0239565	0.0298496	0.0347929	0.0383737	0.0419368	0.0464076	0.0533676	0.0619143	0.0715053	0.0788234	0.0831622	0.0815905	0.0758662	0.0650891	0.0530058	0.0397139	0.0283958	0.0186374	0.0117577	0.00679256	0.00380246	0.00194221	0.000968961	0.000439213	0.000195868	7.89258e-005	3.14776e-005	1.12872e-005	4.02661e-006	1.28467e-006	4.09605e-007	1.16387e-007	3.31987e-008	8.40718e-009	2.1468e-009	4.85819e-010	1.11401e-010	2.2574e-011	4.65783e-012	8.48706e-013	1.5832e-013	2.60109e-014	4.39818e-015	6.5505e-016	1.01009e-016	1.36886e-017	1.93248e-018	2.40545e-019	3.14592e-020	3.64663e-021	4.4966e-022	5.03141e-023	6.0974e-024	6.95559e-025	8.66044e-026	1.05306e-026	1.36775e-027	1.84055e-028	3.98915e-029	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	5.66449e-012	4.53697e-011	4.09497e-010	3.11658e-009	2.24504e-008	1.40667e-007	5.48366e-007	8.98083e-007	1.4974e-006	7.06115e-006	3.58557e-005	0.000144135	0.000420103	0.000836195	0.0010878	0.000939917	0.000567181	0.000270809	0.000176615	0.000416794	0.00153259	0.00514603	0.0145936	0.0349913	0.0693105	0.114959	0.155421	0.175532	0.160017	0.122679	0.0755246	0.0398064	0.0168236	0.00625462	0.00186421	0.000503683	0.000108811	2.18718e-005	3.50217e-006	5.32405e-007	6.42756e-008	7.48471e-009	6.92668e-010	6.26934e-011	4.51896e-012	3.22651e-013	1.84284e-014	1.05561e-015	4.85084e-017	2.26205e-018	8.49761e-020	3.27807e-021	1.01953e-022	3.2934e-024	8.60159e-026	2.36145e-027	5.23168e-029	1.23248e-030	2.34886e-032	4.82444e-034	8.00031e-036	1.45264e-037	2.16606e-039	3.64192e-041	5.26636e-043	8.95423e-045	1.44429e-046	2.68061e-048	4.89988e-050	1.20452e-051	
N9	7.72281e-018	1.75466e-016	4.88595e-015	1.04165e-013	1.97683e-012	2.80816e-011	1.88416e-010	4.67821e-010	1.81449e-009	1.84255e-008	1.92717e-007	1.46437e-006	7.00321e-006	1.91373e-005	2.81372e-005	2.22346e-005	1.03119e-005	4.18877e-006	4.19879e-006	1.39623e-005	8.29373e-005	0.000499893	0.00249714	0.00988513	0.0305007	0.0729447	0.134132	0.189517	0.204474	0.169282	0.106913	0.0522329	0.01954	0.00578259	0.00131452	0.000249057	3.58013e-005	4.86941e-006	4.70998e-007	5.5546e-008	3.89995e-009	4.38523e-010	2.29808e-011	2.20673e-012	8.52689e-014	6.30159e-015	1.7996e-016	9.99498e-018	2.13834e-019	8.997e-021	1.46962e-022	4.76969e-024	6.04687e-026	1.53804e-027	1.54023e-029	3.12619e-031	2.50599e-033	4.11015e-035	2.67869e-037	3.61045e-039	1.93265e-041	2.1593e-043	9.63532e-046	9.0826e-048	3.40302e-050	2.72319e-052	9.00707e-055	6.9005e-057	3.59924e-059	5.09243e-061	
N10	9.27362e-019	1.25924e-017	2.47798e-016	4.32932e-015	6.60173e-014	8.48812e-013	7.53685e-012	3.94799e-011	1.78677e-010	1.26154e-009	9.63659e-009	5.84369e-008	2.50991e-007	7.09309e-007	1.26831e-006	1.49513e-006	1.34704e-006	1.09594e-006	9.65071e-007	1.65017e-006	7.9948e-006	5.51534e-005	0.000352865	0.00185869	0.00776502	0.0253246	0.0638851	0.12386	0.183684	0.207709	0.178808	0.117209	0.0586063	0.022437	0.00660872	0.001509	0.000269	3.82295e-005	4.39335e-006	4.81049e-007	5.20669e-008	1.00224e-008	1.51033e-009	3.43715e-010	4.34549e-011	7.52544e-012	7.28312e-013	9.41681e-014	7.02112e-015	6.88843e-016	4.00014e-017	3.02788e-018	1.3833e-019	8.205e-021	2.9763e-022	1.40371e-023	4.07715e-025	1.55035e-026	3.63414e-028	1.12921e-029	2.1519e-031	5.53558e-033	8.63616e-035	1.86348e-036	2.39973e-038	4.42441e-040	4.91599e-042	8.6962e-044	1.3017e-045	4.66948e-047	
N11	2.41002e-020	3.64162e-019	7.88285e-018	1.45669e-016	2.24915e-015	2.82561e-014	2.42678e-013	1.25802e-012	5.86758e-012	4.2729e-011	3.49527e-010	2.37642e-009	1.20214e-008	4.2374e-008	1.00101e-007	1.60292e-007	1.84062e-007	1.62308e-007	1.26911e-007	1.53306e-007	6.24469e-007	5.282e-006	4.70539e-005	0.000350354	0.00204707	0.00917668	0.031154	0.0792902	0.150017	0.209603	0.21531	0.162307	0.0898726	0.036692	0.0111139	0.00251847	0.000431125	5.64144e-005	5.70941e-006	4.58529e-007	2.98606e-008	1.93e-009	1.2754e-010	1.66185e-011	1.52609e-012	2.30049e-013	1.75483e-014	2.04062e-015	1.20949e-016	1.06809e-017	4.95578e-019	3.37169e-020	1.23774e-021	6.5896e-023	1.93271e-024	8.16999e-026	1.93131e-027	6.57031e-029	1.26166e-030	3.49801e-032	5.49512e-034	1.25655e-035	1.62538e-037	3.10111e-039	3.32643e-041	5.37566e-043	4.93606e-045	7.32789e-047	8.05235e-049	2.09255e-050	
Scirpus_expansus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	1.59778e-022	2.83279e-021	7.14689e-020	1.49121e-018	2.57008e-017	3.64398e-016	3.39129e-015	1.61336e-014	6.06163e-014	4.73688e-013	5.29791e-012	5.32205e-011	4.16201e-010	2.34516e-009	8.62154e-009	1.87863e-008	2.39179e-008	1.94761e-008	1.16534e-008	7.13006e-009	1.18532e-008	9.32718e-008	1.42725e-006	1.98495e-005	0.000212004	0.00167562	0.00957855	0.0387216	0.108196	0.204458	0.256644	0.211801	0.114994	0.041551	0.0101849	0.00173269	0.000209482	1.84174e-005	1.2029e-006	5.96087e-008	2.28301e-009	7.03843e-011	1.81264e-012	5.52775e-014	1.89028e-015	1.2863e-016	5.45354e-018	3.45746e-019	1.18217e-020	5.70649e-022	1.5427e-023	5.72499e-025	1.23645e-026	3.58739e-028	6.24778e-030	1.4388e-031	2.03638e-033	3.7732e-035	4.3689e-037	6.59526e-039	6.28447e-041	7.82123e-043	6.16739e-045	6.40344e-047	4.21091e-049	3.71662e-051	2.12633e-053	1.75442e-055	1.17684e-057	1.48917e-059	
Scirpus_sylvaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scirpus_microcarpus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scirpus_maximowiczii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
