NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.174924	0.166228	0.150584	0.130209	0.107481	0.0846398	0.0635187	0.0453658	0.0307888	0.0198233	0.0120871	0.00696717	0.00378979	0.00194201	0.000935979	0.000423654	0.000179848	7.15219e-005	2.66174e-005	9.26211e-006	3.01131e-006	9.14194e-007	2.59027e-007	6.84704e-008	1.68801e-008	3.88018e-009	8.31493e-010	1.66088e-010	3.09211e-011	5.36529e-012	8.67666e-013	1.2147e-016	4.55302e-017	1.64771e-017	5.75754e-018	1.94268e-018	6.33004e-019	1.99201e-019	6.05481e-020	1.77778e-020	5.04287e-021	1.38213e-021	3.66058e-022	9.36998e-023	2.31834e-023	5.54537e-024	1.28252e-024	2.86845e-025	6.20514e-026	1.29852e-026	2.62913e-027	5.15133e-028	9.76895e-029	1.7934e-029	3.18776e-030	5.48728e-031	9.149e-032	1.47781e-032	2.31301e-033	3.50861e-034	5.15916e-035	7.35526e-036	1.01692e-036	1.36381e-037	1.77482e-038	2.243e-039	2.76056e-040	3.35081e-041	4.28559e-042	8.38381e-043	
N2	0.0561204	0.0624662	0.0690837	0.0758529	0.0811558	0.0847953	0.0852678	0.0831206	0.0775783	0.0700886	0.0605072	0.0506222	0.0404127	0.031347	0.0231678	0.0167092	0.0114617	0.00772348	0.00493944	0.00313286	0.00187942	0.00113169	0.000641336	0.000369789	0.000198999	0.000110371	5.65376e-005	3.01799e-005	1.46829e-005	7.50721e-006	3.45765e-006	1.68595e-006	7.31554e-007	3.38207e-007	1.38048e-007	6.04574e-008	2.31558e-008	9.57801e-009	3.44962e-009	1.35182e-009	4.57339e-010	1.69418e-010	5.40807e-011	1.9039e-011	5.72535e-012	1.90852e-012	5.43735e-013	1.72754e-013	4.64593e-014	1.39796e-014	3.57162e-015	1.02582e-015	2.47471e-016	6.7237e-017	1.54291e-017	4.00403e-018	8.66953e-019	2.12595e-019	4.38807e-020	1.03132e-020	2.02125e-021	4.53604e-022	8.71173e-023	1.94776e-023	3.85235e-024	9.07956e-025	2.08641e-025	5.79227e-026	1.77598e-026	8.59268e-027	
N3	0.00148764	0.00203319	0.00313019	0.00504753	0.00804272	0.0124619	0.0184192	0.026087	0.0351027	0.0453374	0.055862	0.0663466	0.0753216	0.0823964	0.0858777	0.0858945	0.0814337	0.07381	0.0631714	0.0515975	0.0397083	0.0291618	0.0201573	0.013311	0.00826846	0.00491624	0.00274892	0.00147503	0.000744114	0.000361344	0.000164932	7.27173e-005	3.0119e-005	1.20947e-005	4.55967e-006	1.67284e-006	5.75506e-007	1.93374e-007	6.08511e-008	1.87662e-008	5.41049e-009	1.53352e-009	4.05706e-010	1.05828e-010	2.57174e-011	6.1789e-012	1.38114e-012	3.06065e-013	6.29976e-014	1.28904e-014	2.44797e-015	4.635e-016	8.13766e-017	1.42903e-017	2.32845e-018	3.80983e-019	5.79319e-020	8.89184e-021	1.27568e-021	1.86096e-022	2.56346e-023	3.62287e-024	4.91565e-025	6.88637e-026	9.40359e-027	1.32053e-027	1.82204e-028	2.56684e-029	3.78284e-030	8.90024e-031	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	1.27824e-005	2.20568e-005	4.78292e-005	0.00011111	0.000253125	0.00055303	0.0011372	0.00220467	0.00400318	0.0069109	0.0114143	0.0183523	0.0285791	0.0430413	0.0613405	0.0821159	0.101206	0.114903	0.118446	0.111714	0.0951571	0.0741395	0.0520682	0.0335587	0.0194836	0.0104477	0.00504657	0.0022739	0.000922891	0.00035429	0.000122435	4.07286e-005	1.21623e-005	3.56307e-006	9.31675e-007	2.43139e-007	5.6097e-008	1.3083e-008	2.66991e-009	5.55538e-010	1.00147e-010	1.85186e-011	2.94779e-012	4.83888e-013	6.80196e-014	9.91147e-015	1.23406e-015	1.60201e-016	1.77137e-017	2.05442e-018	2.02789e-019	2.11398e-020	1.86898e-021	1.7571e-022	1.40025e-023	1.19611e-024	8.61966e-026	6.71138e-027	4.4112e-028	3.16489e-029	1.91219e-030	1.27818e-031	7.32683e-033	4.7669e-034	2.779e-035	1.89372e-036	1.24882e-037	9.35986e-039	7.05029e-040	8.2176e-041	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0268946	0.0313208	0.0375224	0.0456545	0.0548196	0.0645971	0.0732781	0.0803008	0.0838659	0.0842168	0.080343	0.0737021	0.0641617	0.0538132	0.0427925	0.0328806	0.0239154	0.0168775	0.0112485	0.00731829	0.00448094	0.00270156	0.00152579	0.000858594	0.000449418	0.000237797	0.00011595	5.80867e-005	2.64623e-005	1.25847e-005	5.36383e-006	2.42231e-006	9.63892e-007	4.11546e-007	1.52669e-007	6.14596e-008	2.11766e-008	7.99207e-009	2.55727e-009	9.04267e-010	2.67825e-010	8.82893e-011	2.42506e-011	7.47034e-012	1.89636e-012	5.43039e-013	1.27889e-013	3.42202e-014	7.44295e-015	1.84864e-015	3.7357e-016	8.68428e-017	1.62034e-017	3.49394e-018	6.07042e-019	1.22843e-019	1.96996e-020	3.69494e-021	5.53388e-022	9.77955e-023	1.35537e-023	2.23098e-024	2.94455e-025	4.70982e-026	6.18848e-027	1.01896e-027	1.56509e-028	3.03586e-029	6.35316e-030	2.32107e-030	
N6	0.0135996	0.0160125	0.0195609	0.0244337	0.0303541	0.0373278	0.0447033	0.052307	0.0591487	0.065067	0.0690109	0.0711714	0.07077	0.0685221	0.0639959	0.0582775	0.0511419	0.0437837	0.0360361	0.0289533	0.0222976	0.0168004	0.0121023	0.00857176	0.00579134	0.00387816	0.00247176	0.00157828	0.00095567	0.000586652	0.000339578	0.000201468	0.000111727	6.40344e-005	3.39686e-005	1.87299e-005	9.45864e-006	4.98492e-006	2.38634e-006	1.19665e-006	5.40828e-007	2.57018e-007	1.09532e-007	4.93085e-008	1.97879e-008	8.4293e-009	3.19035e-009	1.28913e-009	4.60178e-010	1.76374e-010	5.95777e-011	2.17488e-011	6.95416e-012	2.41715e-012	7.35024e-013	2.4458e-013	7.07404e-014	2.25144e-014	6.24169e-015	1.91848e-015	5.13239e-016	1.53717e-016	4.10155e-017	1.24677e-017	3.51563e-018	1.14514e-018	3.70335e-019	1.39491e-019	6.05547e-020	4.2041e-020	
N7	5.15931e-005	8.5315e-005	0.00016967	0.000352719	0.000712015	0.00137248	0.00248974	0.00430552	0.00705996	0.0110114	0.0160267	0.0217856	0.0273712	0.0323724	0.0364214	0.0405911	0.0455743	0.052703	0.0611872	0.0705882	0.0779648	0.0826065	0.0817832	0.0768948	0.0670354	0.0555364	0.0425426	0.0311083	0.0209925	0.0136081	0.00812515	0.00469482	0.00249147	0.00128926	0.000610588	0.000283983	0.000120304	5.03536e-005	1.91067e-005	7.19985e-006	2.44695e-006	8.29433e-007	2.52617e-007	7.7052e-008	2.10346e-008	5.7737e-009	1.41544e-009	3.50398e-010	7.72549e-011	1.72748e-011	3.43702e-012	6.96884e-013	1.25422e-013	2.31143e-014	3.78085e-015	6.36754e-016	9.50189e-017	1.46859e-017	2.01768e-018	2.89525e-019	3.7154e-020	5.04103e-021	6.25622e-022	8.34741e-023	1.0537e-023	1.43879e-024	1.91906e-025	2.71946e-026	4.01317e-027	9.53452e-028	
