NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.18108	0.172488	0.156561	0.135052	0.110258	0.0848283	0.0612577	0.041376	0.0260622	0.0152682	0.00830067	0.00417901	0.00194499	0.000835434	0.000330726	0.000120507	4.03733e-005	1.24246e-005	3.50953e-006	9.09267e-007	2.15965e-007	4.70037e-008	9.37127e-009	1.7111e-009	2.8609e-010	4.37971e-011	6.13907e-012	7.87955e-013	9.84426e-017	3.23007e-017	1.01442e-017	3.04974e-018	8.7782e-019	2.41945e-019	6.3867e-020	1.61498e-020	3.91269e-021	9.08441e-022	2.02176e-022	4.31394e-023	8.82749e-024	1.73272e-024	3.26332e-025	5.89857e-026	1.02354e-026	1.70553e-027	2.7298e-028	4.19798e-029	6.20465e-030	8.81635e-031	1.20471e-031	1.58356e-032	2.00294e-033	2.4385e-034	2.85843e-035	3.22714e-036	3.51017e-037	3.67954e-038	3.71833e-039	3.62349e-040	3.40617e-041	3.0896e-042	2.70503e-043	2.28675e-044	1.86723e-045	1.47347e-046	1.1252e-047	8.36971e-049	6.34767e-050	7.16494e-051	
N2	0.0527016	0.0607219	0.0699714	0.0797065	0.087811	0.0935203	0.0941648	0.0908998	0.083084	0.0723943	0.0596899	0.0474432	0.0353984	0.0256007	0.0175507	0.0116286	0.00729602	0.00453315	0.00262039	0.00151942	0.000830783	0.000452467	0.000230474	0.000121269	5.74432e-005	2.84212e-005	1.28493e-005	5.94748e-006	2.4808e-006	1.10173e-006	4.22674e-007	1.74209e-007	6.32756e-008	2.40914e-008	8.03557e-009	2.93109e-009	8.94652e-010	3.00697e-010	8.74204e-011	2.72006e-011	7.24899e-012	2.15767e-012	5.28785e-013	1.45686e-013	3.4062e-014	8.62738e-015	1.8589e-015	4.55369e-016	8.97983e-017	2.0173e-017	3.82966e-018	7.98725e-019	1.38898e-019	2.78065e-020	4.46359e-021	8.29205e-022	1.27392e-022	2.17392e-023	3.09846e-024	5.16503e-025	6.76231e-026	1.04059e-026	1.34997e-027	2.00555e-028	2.5798e-029	4.10016e-030	6.13295e-031	1.15943e-031	2.43255e-032	8.29275e-033	
N3	0.000688447	0.00105281	0.00186889	0.00343265	0.0061077	0.0103663	0.0164266	0.0246096	0.0346414	0.0461861	0.0583252	0.0706653	0.0810348	0.089184	0.0930522	0.0921985	0.0860043	0.0762334	0.0628806	0.0491162	0.0358067	0.0245231	0.0156369	0.00944679	0.00526468	0.00278485	0.00137078	0.000636298	0.000274703	0.000113436	4.30863e-005	1.57094e-005	5.33007e-006	1.7213e-006	5.16919e-007	1.5036e-007	4.00717e-008	1.03805e-008	2.49882e-009	5.78195e-010	1.2415e-010	2.6127e-011	5.01825e-012	9.4797e-013	1.6603e-013	2.82244e-014	4.44555e-015	6.94158e-016	9.86065e-017	1.393e-017	1.82268e-018	2.33797e-019	2.77553e-020	3.30275e-021	3.57191e-022	3.88622e-023	3.92239e-024	3.92755e-025	3.66527e-026	3.48633e-027	3.06353e-028	2.77629e-029	2.41682e-030	2.163e-031	1.90368e-032	1.75011e-033	1.58298e-034	1.47234e-035	1.40306e-036	2.05633e-037	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	3.82739e-006	7.90879e-006	2.11419e-005	5.86003e-005	0.0001541	0.000378177	0.000851863	0.00177405	0.00339333	0.00602625	0.0100977	0.0164087	0.025879	0.0399216	0.0589111	0.0817889	0.104535	0.12243	0.127893	0.120379	0.100443	0.0745912	0.0488423	0.0288577	0.0148606	0.00697199	0.00289754	0.00109569	0.00036744	0.000116597	3.20556e-005	8.49741e-006	1.99579e-006	4.46615e-007	8.78793e-008	1.72453e-008	2.85343e-009	4.76422e-010	6.87851e-011	9.80467e-012	1.20017e-012	1.5132e-013	1.58045e-014	1.71905e-015	1.59005e-016	1.49972e-017	1.20035e-018	1.02114e-019	7.11511e-021	5.31743e-022	3.35565e-023	2.22163e-024	1.23669e-025	7.53851e-027	3.72633e-028	2.03376e-029	9.30944e-031	4.56157e-032	1.87785e-033	8.70331e-035	3.22752e-036	1.35965e-037	4.87882e-039	1.94026e-040	6.83319e-042	2.90378e-043	1.16288e-044	5.56933e-046	2.70269e-047	1.93335e-048	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0222731	0.0273312	0.0350937	0.0457094	0.0582313	0.0718009	0.0834106	0.0921789	0.0956724	0.0937405	0.0861857	0.075535	0.061756	0.0483603	0.0356614	0.0251149	0.0166495	0.0107477	0.00643549	0.00378868	0.00209355	0.0011304	0.000568727	0.000289761	0.000132697	6.24602e-005	2.67983e-005	1.16303e-005	4.52019e-006	1.86471e-006	6.53717e-007	2.46749e-007	8.06075e-008	2.76392e-008	8.09913e-009	2.62334e-009	6.86134e-010	2.00514e-010	4.88883e-011	1.29249e-011	2.8132e-012	6.98071e-013	1.3604e-013	3.05322e-014	5.55361e-015	1.11961e-015	1.82992e-016	3.50837e-017	5.118e-018	8.79874e-019	1.21417e-019	1.8983e-020	2.34144e-021	3.46447e-022	3.85281e-023	5.18198e-024	5.42737e-025	6.54142e-026	6.20952e-027	7.24674e-028	6.12093e-029	6.38202e-030	5.23296e-031	5.0915e-032	3.91834e-033	3.94241e-034	3.4585e-035	4.10507e-036	5.17539e-037	1.13663e-037	
N6	0.0106345	0.0131776	0.0172178	0.0230004	0.0303956	0.0394041	0.0489975	0.0588965	0.067731	0.0747117	0.0787362	0.0800615	0.0774916	0.0725719	0.0651891	0.0565207	0.0470255	0.0381611	0.0294583	0.022251	0.0161171	0.011358	0.0076559	0.00512782	0.00322521	0.00203398	0.00122082	0.000727098	0.000408798	0.000235408	0.000123682	6.70301e-005	3.36319e-005	1.70515e-005	7.92582e-006	3.85053e-006	1.65098e-006	7.44462e-007	3.02668e-007	1.26647e-007	4.74186e-008	1.89266e-008	6.53348e-009	2.42148e-009	7.94729e-010	2.73228e-010	8.29319e-011	2.74177e-011	7.69312e-012	2.36233e-012	6.36417e-013	1.8231e-013	4.55211e-014	1.2595e-014	2.92271e-015	7.54714e-016	1.68935e-016	4.06103e-017	8.48071e-018	1.99111e-018	3.87519e-019	8.53679e-020	1.65499e-020	3.55556e-021	6.97674e-022	1.62488e-022	3.66018e-023	9.90564e-024	3.05276e-024	1.61197e-024	
N7	1.99645e-005	3.83573e-005	9.05252e-005	0.000218264	0.000499951	0.0010725	0.00211612	0.0039207	0.0068383	0.0112997	0.0175099	0.0254401	0.0338414	0.0417923	0.0479555	0.0525306	0.0560538	0.0602608	0.0642798	0.0692554	0.0732099	0.0755473	0.0740662	0.0698347	0.060382	0.0496048	0.037374	0.0263685	0.016949	0.0104117	0.00570588	0.00300612	0.00143337	0.000648449	0.000264349	0.000105102	3.66705e-005	1.25532e-005	3.84465e-006	1.13639e-006	2.99378e-007	7.84186e-008	1.78435e-008	4.06378e-009	8.2164e-010	1.63302e-010	2.87868e-011	5.15019e-012	7.95123e-013	1.25317e-013	1.74915e-014	2.44399e-015	3.01784e-016	3.85544e-017	4.23486e-018	4.83857e-019	4.88488e-020	5.01247e-021	4.556e-022	4.36755e-023	3.61014e-024	3.18177e-025	2.54647e-026	2.15509e-027	1.72442e-028	1.52943e-029	1.31773e-030	1.2358e-031	1.19148e-032	1.79002e-033	
