NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.000295951	0.000337223	0.000431588	0.000605751	0.000907262	0.00141312	0.00223979	0.00355179	0.00556425	0.00853294	0.0127256	0.0183705	0.0255854	0.0342975	0.0441762	0.054604	0.0647086	0.0734669	0.0798682	0.0831031	0.0827314	0.0787784	0.071734	0.0624506	0.051972	0.0413391	0.0314238	0.0228255	0.0158418	0.0105047	0.00665476	0.00402743	0.00232839	0.0012859	0.000678374	0.000341856	0.000164561	7.56699e-005	3.32384e-005	1.39472e-005	5.59078e-006	2.14099e-006	7.83307e-007	2.73805e-007	9.14462e-008	2.9183e-008	8.89938e-009	2.59349e-009	7.22327e-010	1.92283e-010	4.8926e-011	1.19005e-011	2.76731e-012	6.15253e-013	1.78691e-016	8.05691e-017	3.55264e-017	1.53206e-017	6.46208e-018	2.66608e-018	1.07605e-018	4.24948e-019	1.6427e-019	6.22128e-020	2.313e-020	8.4834e-021	3.10724e-021	1.17311e-021	4.95786e-022	2.83804e-022	
N2	0.000720938	0.000811523	0.00100694	0.00134011	0.00186234	0.00264495	0.00377965	0.00537633	0.00755681	0.0104432	0.0141402	0.0187126	0.0241595	0.0303902	0.0372075	0.0443032	0.0512718	0.0576429	0.0629307	0.0666943	0.0685978	0.0684593	0.0662795	0.0622427	0.0566902	0.0500722	0.0428865	0.0356168	0.0286799	0.022391	0.0169485	0.0124379	0.00884932	0.00610414	0.00408217	0.00264676	0.0016638	0.00101405	0.000599234	0.000343344	0.000190752	0.000102762	5.36831e-005	2.71956e-005	1.3361e-005	6.36614e-006	2.94194e-006	1.31867e-006	5.73332e-007	2.41808e-007	9.89365e-008	3.92729e-008	1.51255e-008	5.65249e-009	2.04985e-009	7.21436e-010	2.46445e-010	8.1725e-011	2.63146e-011	8.22974e-012	2.50114e-012	7.39275e-013	2.1281e-013	5.98061e-014	1.64816e-014	4.49287e-015	1.23421e-015	3.56975e-016	1.21196e-016	6.11458e-017	
N3	0.0013498	0.0015315	0.00192074	0.00257621	0.00358634	0.00506774	0.00715956	0.0100111	0.0137614	0.0185103	0.0242844	0.0310021	0.0384477	0.0462609	0.0539523	0.060946	0.0666468	0.0705226	0.0721856	0.0714559	0.0683923	0.0632844	0.0566057	0.0489401	0.0408967	0.0330308	0.025784	0.019453	0.014185	0.00999759	0.00681079	0.00448494	0.00285493	0.00175687	0.00104525	0.00060127	0.000334441	0.000179891	9.35784e-005	4.70827e-005	2.29144e-005	1.07885e-005	4.9144e-006	2.16611e-006	9.23937e-007	3.81424e-007	1.52416e-007	5.89612e-008	2.20836e-008	8.00937e-009	2.81328e-009	9.57135e-010	3.15461e-010	1.00739e-010	3.11746e-011	9.35057e-012	2.71896e-012	7.66672e-013	2.09704e-013	5.56666e-014	1.43505e-014	3.5963e-015	8.77485e-016	2.08972e-016	4.87713e-017	1.12346e-017	2.59111e-018	6.19903e-019	1.70698e-019	7.20686e-020	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	1.10336e-005	1.63352e-005	3.11416e-005	6.63612e-005	0.000145258	0.000313645	0.000655858	0.00131645	0.00252417	0.0046093	0.00799872	0.0131695	0.0205457	0.0303412	0.0423783	0.0559448	0.0697663	0.0821508	0.0913079	0.0957675	0.0947666	0.0884622	0.0778912	0.064689	0.0506742	0.0374438	0.0261004	0.0171649	0.010652	0.00623883	0.00344943	0.00180084	0.000887975	0.000413674	0.000182131	7.58103e-005	2.98432e-005	1.11148e-005	3.91802e-006	1.30773e-006	4.13461e-007	1.23882e-007	3.51909e-008	9.48186e-009	2.42436e-009	5.88496e-010	1.35686e-010	2.97286e-011	6.19256e-012	1.22695e-012	2.31343e-013	4.153e-014	7.10152e-015	1.15726e-015	1.79808e-016	2.66496e-017	3.76945e-018	5.09067e-019	6.56725e-020	8.09663e-021	9.54422e-022	1.07622e-022	1.16151e-023	1.20066e-024	1.19025e-025	1.13482e-026	1.04907e-027	9.65837e-029	9.84831e-030	1.76933e-030	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.000228446	0.000259511	0.000328637	0.000452415	0.000659463	0.000994803	0.0015251	0.00234375	0.00357399	0.0053677	0.00789678	0.0113349	0.0158286	0.0214585	0.0281981	0.0358758	0.0441543	0.0525356	0.0603986	0.06707	0.0719161	0.074442	0.074374	0.0717081	0.0667121	0.0598805	0.0518529	0.0433149	0.0349022	0.0271268	0.0203357	0.0147035	0.0102535	0.00689616	0.00447324	0.00279843	0.00168843	0.000982495	0.000551391	0.000298454	0.000155808	7.84524e-005	3.8101e-005	1.78482e-005	8.06473e-006	3.51513e-006	1.47796e-006	5.99483e-007	2.34585e-007	8.85636e-008	3.22603e-008	1.13388e-008	3.84577e-009	1.25879e-009	3.97667e-010	1.21265e-010	3.56992e-011	1.01478e-011	2.786e-012	7.38958e-013	1.89444e-013	4.69739e-014	1.12775e-014	2.62656e-015	5.95751e-016	1.3274e-016	2.96684e-017	7.01533e-018	2.00333e-018	9.10476e-019	
N6	0.000956723	0.00105879	0.00127655	0.00164229	0.00220488	0.00302983	0.00419808	0.00580257	0.00794175	0.0107094	0.0141806	0.018395	0.0233386	0.0289279	0.034999	0.0413054	0.0475283	0.0532989	0.0582324	0.0619695	0.0642189	0.064795	0.0636429	0.0608463	0.0566174	0.0512697	0.0451791	0.0387396	0.0323218	0.0262388	0.0207247	0.0159266	0.011908	0.00866238	0.0061308	0.00422163	0.00282834	0.00184363	0.00116928	0.000721553	0.000433249	0.000253126	0.000143905	7.96104e-005	4.28581e-005	2.24533e-005	1.1448e-005	5.68059e-006	2.74344e-006	1.28959e-006	5.90039e-007	2.62788e-007	1.13932e-007	4.80867e-008	1.97591e-008	7.90487e-009	3.0792e-009	1.16796e-009	4.31432e-010	1.55222e-010	5.44084e-011	1.85897e-011	6.19773e-012	2.02092e-012	6.47807e-013	2.06498e-013	6.71581e-014	2.35511e-014	9.92822e-015	5.96701e-015	
N7	2.0238e-006	2.98967e-006	5.50223e-006	1.10523e-005	2.28007e-005	4.70375e-005	9.5718e-005	0.000190554	0.000369103	0.000692995	0.00125771	0.00220206	0.00371384	0.0060265	0.00940087	0.0140873	0.0202676	0.027983	0.0370629	0.0470769	0.0573307	0.0669245	0.0748729	0.080268	0.0824489	0.0811353	0.0764864	0.0690689	0.0597431	0.0494981	0.0392811	0.029859	0.0217407	0.0151634	0.0101312	0.00648486	0.00397691	0.00233688	0.00131588	0.000710122	0.000367318	0.000182139	8.65917e-005	3.94758e-005	1.72599e-005	7.23892e-006	2.91283e-006	1.12473e-006	4.16823e-007	1.48293e-007	5.06576e-008	1.66195e-008	5.23762e-009	1.58597e-009	4.61533e-010	1.29109e-010	3.4727e-011	8.98341e-012	2.23561e-012	5.35375e-013	1.23419e-013	2.74016e-014	5.86364e-015	1.21104e-015	2.42103e-016	4.71547e-017	9.09228e-018	1.8108e-018	4.20235e-019	1.57161e-019	
