NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	8.50985e-07	7.42932e-07	5.26307e-07	3.11927e-07	1.82645e-07	1.48453e-07	2.06713e-07	3.81075e-07	6.62645e-07	9.30304e-07	1.01445e-06	8.59094e-07	5.77035e-07	3.26062e-07	1.81075e-07	1.40363e-07	1.87986e-07	3.3476e-07	5.61561e-07	7.60348e-07	8.12928e-07	6.79092e-07	4.54382e-07	2.5848e-07	1.47626e-07	1.18646e-07	1.65998e-07	3.11241e-07	5.59413e-07	8.51235e-07	1.16975e-06	1.77202e-06	4.17661e-06	1.72855e-05	9.64458e-05	0.00054882	0.00275967	0.0114108	0.0369738	0.0904814	0.165833	0.220306	0.211431	0.147137	0.0748725	0.0281686	0.00793259	0.00169362	0.000277621	3.5369e-05	3.57565e-06	2.87085e-07	1.84951e-08	9.65284e-10	4.11792e-11	1.44786e-12	6.23227e-17	9.74107e-18	1.39723e-18	1.84498e-19	2.25632e-20	2.55413e-21	2.68312e-22	2.62209e-23	2.38922e-24	2.03424e-25	1.62172e-26	1.21291e-27	8.52693e-29	5.64582e-30	3.52936e-31	
N2	4.04972e-07	1.90455e-07	3.2522e-07	5.10364e-07	8.05319e-07	1.48212e-06	3.01585e-06	5.70629e-06	9.87504e-06	1.80485e-05	3.64786e-05	6.9306e-05	0.000108387	0.000136304	0.000147609	0.00016424	0.000219737	0.000453021	0.00152591	0.00481307	0.0109984	0.0176072	0.0219526	0.0322247	0.0697902	0.137913	0.196343	0.200075	0.151312	0.0883445	0.041639	0.0162824	0.005517	0.00167193	0.000462056	0.000117246	2.73088e-05	5.82878e-06	1.13882e-06	2.03445e-07	3.32686e-08	4.93424e-09	6.65642e-10	8.17876e-11	9.19411e-12	9.52555e-13	9.17636e-14	8.28759e-15	7.05426e-16	5.66458e-17	4.28801e-18	3.02794e-19	1.99353e-20	1.22078e-21	6.95456e-23	3.69534e-24	1.83948e-25	8.62249e-27	3.82385e-28	1.60944e-29	6.44664e-31	2.4424e-32	8.77668e-34	2.98883e-35	9.64856e-37	2.95748e-38	8.62805e-40	2.40092e-41	6.37799e-43	1.61577e-44	3.89523e-46	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	3.70674e-08	5.86645e-09	5.16647e-09	6.97658e-09	1.16438e-08	1.88406e-08	2.58261e-08	2.8302e-08	2.44329e-08	1.69039e-08	1.00426e-08	5.96445e-09	4.90099e-09	6.25469e-09	9.91656e-09	1.54583e-08	2.05733e-08	2.20358e-08	1.8727e-08	1.28785e-08	7.77427e-09	4.78873e-09	4.23381e-09	5.99084e-09	1.12327e-08	2.35271e-08	5.40157e-08	1.4992e-07	5.59959e-07	2.78843e-06	1.66578e-05	0.000102087	0.000581958	0.00288587	0.0118228	0.0382761	0.0943073	0.1717	0.226227	0.21291	0.143417	0.0681796	0.022978	0.00551362	0.000948791	0.000118576	1.10737e-05	8.36544e-07	6.16956e-08	5.37512e-09	5.08269e-10	4.24201e-11	2.87848e-12	1.59921e-13	7.96323e-15	4.19909e-16	2.5426e-17	1.56975e-18	8.59676e-20	3.91181e-21	1.45013e-22	4.33108e-24	1.05637e-25	2.19983e-27	4.4544e-29	2.38874e-26	3.23137e-26	3.56413e-26	3.34878e-26	2.65954e-26	1.75007e-26	
N4	1.3126e-08	2.09483e-09	1.65942e-09	1.76147e-09	2.47429e-09	3.73764e-09	5.14009e-09	5.98838e-09	5.80027e-09	4.69967e-09	3.295e-09	2.13143e-09	1.56172e-09	1.55768e-09	2.06264e-09	2.98195e-09	3.96174e-09	4.50518e-09	4.31855e-09	3.53428e-09	2.60431e-09	1.84983e-09	1.63609e-09	2.2508e-09	4.84845e-09	1.3632e-08	4.47936e-08	1.7447e-07	8.33759e-07	4.73506e-06	2.96361e-05	0.000181564	0.00100433	0.00472183	0.0180024	0.0534907	0.119732	0.196459	0.231654	0.19391	0.115351	0.0480255	0.0140558	0.00290244	0.000425797	4.49916e-05	3.54403e-06	2.29649e-07	1.51702e-08	1.1974e-09	9.87511e-11	7.00941e-12	4.02494e-13	1.88842e-14	7.88318e-16	3.5627e-17	2.06314e-18	1.37611e-19	8.68916e-21	4.67789e-22	2.06151e-23	7.22239e-25	2.00531e-26	4.47977e-28	8.74567e-30	1.90732e-31	5.8852e-33	2.15078e-34	7.57632e-36	3.17467e-37	2.3948e-38	
N5	1.29932e-09	1.97937e-10	2.16921e-10	2.62748e-10	3.24048e-10	3.77935e-10	3.99239e-10	3.7849e-10	3.28656e-10	2.72786e-10	2.29948e-10	2.03177e-10	2.04793e-10	2.27836e-10	2.61054e-10	2.89971e-10	2.96831e-10	2.77727e-10	2.45269e-10	2.19878e-10	2.26771e-10	3.00369e-10	5.97979e-10	1.78599e-09	7.70028e-09	4.42896e-08	2.98018e-07	2.05783e-06	1.34351e-05	7.97747e-05	0.000427812	0.00199716	0.00790915	0.025808	0.067317	0.135937	0.205792	0.226997	0.178493	0.098617	0.0382403	0.0102093	0.00188724	0.000245369	2.42741e-05	2.46659e-06	3.77034e-07	6.78415e-08	1.02476e-08	1.18448e-09	1.05364e-10	7.73692e-12	6.06491e-13	6.52135e-14	8.01854e-15	8.73342e-16	7.68296e-17	5.32918e-18	2.89212e-19	1.22728e-20	4.14843e-22	1.19934e-23	3.82697e-25	1.72823e-26	9.19739e-28	4.47713e-29	1.84286e-30	6.59402e-32	2.31197e-33	8.9171e-35	3.37295e-36	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	6.01638e-10	8.16976e-11	7.56698e-11	7.26444e-11	7.46909e-11	8.34552e-11	9.85439e-11	1.15952e-10	1.28027e-10	1.28208e-10	1.17279e-10	9.84177e-11	8.32002e-11	7.21834e-11	6.6486e-11	6.76558e-11	7.49189e-11	8.65256e-11	1.00047e-10	1.16908e-10	1.53638e-10	2.60407e-10	6.86286e-10	2.85386e-09	1.71158e-08	1.24979e-07	9.4578e-07	6.70189e-06	4.23237e-05	0.000233059	0.00111715	0.00454992	0.0155187	0.0434505	0.0973838	0.169383	0.221095	0.210076	0.141926	0.0671349	0.0221875	0.00501657	0.000782625	8.67327e-05	7.89223e-06	9.0391e-07	1.57557e-07	2.78746e-08	3.97878e-09	4.37163e-10	3.73196e-11	2.64379e-12	2.12516e-13	2.7392e-14	4.33306e-15	6.09488e-16	6.90355e-17	6.12542e-18	4.2037e-19	2.21736e-20	9.08854e-22	3.08564e-23	1.20532e-24	7.87468e-26	6.33737e-27	4.47971e-28	2.53667e-29	1.13455e-30	4.30684e-32	2.17741e-33	2.09835e-34	
N7	1.64288e-10	1.96873e-11	1.99896e-11	2.0564e-11	2.16076e-11	2.31915e-11	2.50481e-11	2.65842e-11	2.71795e-11	2.6552e-11	2.49059e-11	2.1971e-11	1.96279e-11	1.7902e-11	1.73449e-11	1.93267e-11	2.84286e-11	6.77728e-11	2.502e-10	1.11128e-09	5.31104e-09	2.70384e-08	1.47689e-07	8.32741e-07	4.57008e-06	2.32709e-05	0.000106508	0.000430373	0.00152692	0.00476404	0.0132218	0.032086	0.067485	0.12075	0.177993	0.207052	0.181982	0.116643	0.0532392	0.0171724	0.00409475	0.000890344	0.000299579	0.000143798	6.26195e-05	2.145e-05	5.67981e-06	1.1963e-06	2.30903e-07	5.72513e-08	2.04631e-08	7.72955e-09	2.54884e-09	6.918e-10	1.50658e-10	2.5819e-11	3.44267e-12	3.64191e-13	3.49036e-14	4.21364e-15	7.12572e-16	1.23167e-16	1.79524e-17	2.09159e-18	1.92359e-19	1.40851e-20	8.81649e-22	5.95516e-23	5.4323e-24	5.39226e-25	4.33313e-26	
