NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.299742	0.285759	0.221665	0.126113	0.0501488	0.0136742	0.00254465	0.000324152	2.84834e-05	1.74463e-06	7.5389e-08	2.32746e-09	5.19811e-11	8.49585e-13	2.34885e-17	2.25532e-18	1.90114e-19	1.41165e-20	9.26771e-22	5.40037e-23	2.80377e-24	1.3018e-25	5.42478e-27	2.03587e-28	6.90392e-30	2.1226e-31	5.93788e-33	1.51838e-34	3.57987e-36	7.7203e-38	1.52711e-39	2.77777e-41	4.65764e-43	7.21572e-45	1.03511e-46	1.37783e-48	1.70518e-50	1.96576e-52	2.11481e-54	2.1269e-56	2.00302e-58	1.76922e-60	1.46796e-62	1.1468e-64	8.65076e-67	9.10203e-69	3.7305e-70	2.69806e-71	1.86054e-72	1.26725e-73	1.59974e-74	2.87807e-75	5.54325e-76	1.08403e-76	2.35978e-77	7.53327e-78	4.01606e-78	2.63328e-78	1.66068e-78	9.25172e-79	4.4045e-79	1.74834e-79	5.6268e-80	1.41591e-80	2.654e-81	3.48723e-82	3.06132e-83	1.91731e-84	9.2574e-86	3.91777e-87	2.92799e-88	
N2	2.03559e-06	6.42667e-06	1.6105e-05	3.05986e-05	4.60797e-05	6.60093e-05	0.000149576	0.000589193	0.00244816	0.00869448	0.0253144	0.0596483	0.112596	0.168325	0.196172	0.180818	0.129676	0.0717704	0.03053	0.00998047	0.00252275	0.000502945	8.2244e-05	1.1782e-05	1.57784e-06	1.99525e-07	2.27188e-08	2.21384e-09	1.8143e-10	1.21231e-11	6.62786e-13	2.98753e-14	1.12011e-15	3.52393e-17	9.37979e-19	2.12838e-20	4.14833e-22	6.99618e-24	1.02924e-25	1.33584e-27	1.56245e-29	1.72577e-31	1.97294e-33	2.50083e-35	3.47029e-37	4.85715e-39	6.38553e-41	7.61194e-43	8.13584e-45	7.83568e-47	6.71463e-49	5.13886e-51	3.52584e-53	2.17659e-55	1.21296e-57	6.12034e-60	2.80372e-62	1.16946e-64	4.45379e-67	1.55307e-69	4.97477e-72	1.4707e-74	4.04877e-77	1.05869e-79	2.74915e-82	7.76035e-85	2.72652e-87	1.31464e-89	8.39473e-92	6.3146e-94	6.52888e-96	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.136465	0.232728	0.268597	0.207113	0.107235	0.0374408	0.00883821	0.00141577	0.000154881	1.16791e-05	6.1418e-07	2.28254e-08	6.0795e-10	1.17655e-11	1.66868e-13	1.79047e-15	1.51093e-17	1.826e-19	1.38046e-20	1.4377e-21	1.1011e-22	5.94387e-24	1.28077e-25	1.75512e-27	1.72668e-29	1.28338e-31	7.38381e-34	3.33676e-36	1.20477e-38	3.45276e-41	7.92718e-44	1.47121e-46	2.22668e-49	2.77169e-52	2.86062e-55	2.46907e-58	1.87279e-61	2.86086e-64	3.02605e-66	3.98979e-68	4.20329e-70	3.41531e-72	2.10177e-74	5.5662e-77	1.00158e-79	1.37643e-82	1.51449e-85	1.36158e-88	1.01041e-91	6.27238e-95	3.24195e-98	1.40419e-101	5.12982e-105	1.59086e-108	4.21456e-112	9.59592e-116	1.88812e-119	3.23281e-123	5.05901e-127	1.60353e-130	3.2657e-133	8.23979e-136	1.59637e-138	2.15318e-141	1.62133e-144	7.58873e-48	2.47256e-48	4.89461e-49	7.94966e-50	2.01081e-50	1.65046e-50	
N4	0.129554	0.227319	0.269699	0.212286	0.11131	0.0390386	0.00917651	0.00144926	0.000154486	1.11946e-05	5.56711e-07	1.9214e-08	4.65823e-10	8.0248e-12	9.85851e-14	8.91545e-16	6.10399e-18	4.26337e-20	1.27609e-21	8.38505e-23	7.13886e-24	1.48271e-24	3.63007e-26	6.06642e-28	7.44608e-30	6.86533e-32	4.8147e-34	2.59066e-36	1.08255e-38	3.51555e-41	8.94579e-44	1.79776e-46	2.87558e-49	3.68902e-52	3.82325e-55	3.21869e-58	2.22887e-61	1.29811e-64	8.87049e-68	8.16705e-70	6.57324e-71	5.20715e-72	2.71029e-73	9.67998e-76	2.48896e-78	4.95034e-81	7.79412e-84	9.83306e-87	1.00098e-89	8.28813e-93	5.58782e-96	3.08564e-99	1.40349e-102	5.28821e-106	1.65995e-109	4.36425e-113	9.64674e-117	1.81231e-120	2.95393e-124	5.58565e-128	5.11931e-131	1.18232e-133	4.28523e-136	3.21351e-138	3.67493e-141	3.10565e-144	2.09535e-147	1.14973e-150	5.19185e-154	2.40084e-157	1.10916e-159	
N5	0.0718315	0.158977	0.245321	0.250075	0.168936	0.0762444	0.0231378	0.00474778	0.000662682	6.33651e-05	4.18621e-06	1.92978e-07	6.27567e-09	1.456e-10	2.42602e-12	2.99802e-14	2.85817e-16	7.43453e-18	2.86339e-18	1.04216e-18	2.58445e-19	4.15946e-20	1.57499e-21	3.68018e-23	6.01755e-25	7.19737e-27	6.45374e-29	4.41867e-31	2.3581e-33	9.78876e-36	3.19567e-38	8.28585e-41	1.72185e-43	2.89231e-46	3.95902e-49	4.44984e-52	4.25336e-55	1.32138e-57	6.73174e-59	3.50661e-60	1.39013e-61	4.0277e-63	8.0949e-65	4.08201e-67	1.34296e-69	3.25203e-72	6.03078e-75	8.74068e-78	1.00414e-80	9.30178e-84	6.95522e-87	4.23914e-90	2.12522e-93	8.83935e-97	3.07529e-100	9.01942e-104	2.2458e-107	4.78308e-111	9.1563e-115	7.67993e-118	7.9286e-120	7.57827e-122	5.17579e-124	2.18883e-126	3.19169e-129	3.07723e-132	2.23002e-135	1.27109e-138	6.15736e-142	5.23063e-145	2.74685e-147	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0590627	0.140963	0.233321	0.25494	0.184957	0.0898076	0.0293635	0.00649839	0.000978619	0.000100896	7.1729e-06	3.54562e-07	1.23005e-08	3.02294e-10	5.27446e-12	6.74714e-14	6.48029e-16	6.57928e-18	7.9299e-19	3.79797e-19	2.32042e-19	1.12504e-19	6.05601e-21	2.21284e-22	5.91541e-24	1.17715e-25	1.75959e-27	1.98718e-29	1.71365e-31	1.12435e-33	5.64865e-36	2.18789e-38	6.58331e-41	1.55142e-43	2.88744e-46	4.27718e-49	5.09326e-52	5.07801e-55	3.87085e-57	6.84867e-58	1.02614e-58	1.08699e-59	7.43122e-61	5.43992e-63	2.7404e-65	1.02152e-67	2.87394e-70	6.19094e-73	1.03381e-75	1.35758e-78	1.40961e-81	1.16931e-84	7.82173e-88	4.25648e-91	1.90031e-94	7.01589e-98	2.15683e-101	5.56942e-105	1.22587e-108	3.24151e-112	1.27366e-114	2.19187e-116	4.38834e-118	5.89213e-120	1.23127e-122	1.80602e-125	2.02156e-128	1.76018e-131	1.21837e-134	9.79546e-138	8.08962e-140	
N7	0.0100496	0.0346306	0.093263	0.176452	0.232986	0.216035	0.141715	0.0662289	0.0221956	0.00536806	0.000942807	0.000121039	1.14406e-05	8.02728e-07	4.21077e-08	1.72869e-09	6.67623e-11	2.01162e-11	2.68102e-11	3.07588e-11	2.77616e-11	1.8981e-11	4.44489e-12	6.8404e-13	7.54478e-14	6.06552e-15	3.57058e-16	1.54926e-17	5.04343e-19	1.22187e-20	2.22638e-22	3.08495e-24	3.28844e-26	2.72829e-28	1.78204e-30	9.28708e-33	4.66036e-35	2.0302e-36	3.53342e-37	4.99983e-38	5.28914e-39	4.06917e-40	2.20227e-41	3.87215e-43	4.33186e-45	3.45924e-47	2.05882e-49	9.35914e-52	3.31091e-54	9.32125e-57	2.09801e-59	3.82521e-62	5.71677e-65	7.07875e-68	7.33389e-71	6.41487e-74	4.77576e-77	3.06248e-80	2.19178e-83	1.66155e-85	3.89603e-87	7.36094e-89	1.01145e-90	9.04658e-93	3.61417e-95	9.56314e-98	1.87778e-100	2.88028e-103	3.88101e-106	1.0027e-108	1.22159e-110	
