NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	1.53688e-30	2.0991e-28	5.33824e-27	1.42132e-24	2.06896e-23	6.74979e-23	2.03295e-22	1.301e-20	8.36227e-20	1.96721e-19	2.96072e-19	3.58052e-19	4.06686e-19	8.02196e-19	8.57996e-18	6.46361e-17	5.41359e-13	1.9588e-12	3.60438e-12	4.43788e-12	4.47438e-12	4.29303e-12	4.28966e-12	4.57797e-12	5.13018e-12	5.98355e-12	8.12024e-12	2.10912e-11	1.6863e-10	2.14601e-09	2.20161e-08	1.48484e-07	6.31379e-07	1.68741e-06	2.88752e-06	3.5413e-06	3.59183e-06	3.25578e-06	2.84403e-06	2.54709e-06	2.41589e-06	2.42543e-06	2.52625e-06	2.669e-06	2.81417e-06	2.93478e-06	3.01543e-06	3.05006e-06	3.03987e-06	2.99223e-06	2.92114e-06	2.85036e-06	2.823e-06	2.92796e-06	3.37795e-06	4.77143e-06	9.09539e-06	2.38101e-05	7.81166e-05	0.000281925	0.00100806	0.00333582	0.00978925	0.0247949	0.0532861	0.0961756	0.145017	0.182357	0.191404	0.16816	0.12421	
N2	1.71365e-19	2.02418e-18	2.80562e-16	2.1916e-14	6.25662e-13	6.01684e-12	5.49653e-11	5.64676e-10	4.84791e-09	2.22521e-08	6.54115e-08	1.75009e-07	5.18694e-07	1.56002e-06	5.06911e-06	1.92844e-05	6.67862e-05	0.000176204	0.000350092	0.000549815	0.000727352	0.000880894	0.00108521	0.0014784	0.00218845	0.00324692	0.00461188	0.00656412	0.0105147	0.0196705	0.0380377	0.0672159	0.10251	0.133342	0.1479	0.141324	0.116946	0.0850061	0.0544944	0.0313862	0.0162595	0.00776958	0.00340566	0.00141395	0.000545321	0.000202717	6.99618e-05	2.33954e-05	7.2011e-06	2.1482e-06	5.85307e-07	1.54768e-07	3.72204e-08	8.71441e-09	1.85195e-09	3.84628e-10	7.24092e-11	1.33732e-11	2.2354e-12	3.67987e-13	5.47146e-14	8.0463e-15	1.06594e-15	1.40422e-16	1.66085e-17	1.96785e-18	2.0854e-19	2.2369e-20	2.13811e-21	2.10015e-22	1.8389e-23	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	1.69299e-36	4.22873e-33	1.16812e-32	4.67729e-28	1.2046e-27	8.04504e-27	1.90743e-23	9.21661e-22	1.63309e-21	1.55759e-21	2.19606e-21	1.76994e-20	8.45845e-19	3.76626e-17	4.74434e-16	1.56899e-15	2.19201e-15	2.16156e-15	2.16052e-15	2.75722e-15	5.13433e-15	1.42129e-14	5.5806e-14	3.10464e-13	2.57017e-12	2.67557e-11	2.59559e-10	1.92144e-09	9.75529e-09	3.21879e-08	6.81107e-08	9.47894e-08	9.21916e-08	6.82821e-08	4.20877e-08	2.45068e-08	1.49223e-08	1.00379e-08	7.76928e-09	6.86e-09	6.65903e-09	6.89344e-09	7.50941e-09	8.61131e-09	1.05088e-08	1.39781e-08	2.11703e-08	3.89935e-08	9.31695e-08	2.92963e-07	1.14251e-06	5.02576e-06	2.28883e-05	0.000101425	0.00041858	0.00155776	0.00509863	0.0143933	0.0345153	0.06949	0.116381	0.160887	0.182226	0.167712	0.124152	0.0729838	0.0335794	0.0119781	0.00338721	0.000860255	0.000248245	
N4	2.48081e-41	6.79323e-37	4.17759e-35	8.23402e-31	9.54345e-30	9.64146e-29	1.20807e-25	8.30931e-24	3.81722e-23	7.49751e-23	1.22699e-22	5.69285e-22	2.73326e-20	1.44553e-18	2.58608e-17	1.48031e-16	3.82751e-16	6.40596e-16	8.93153e-16	1.19682e-15	1.8025e-15	3.77156e-15	1.32593e-14	8.36131e-14	8.20459e-13	9.30485e-12	9.44156e-11	7.2858e-10	3.88531e-09	1.36583e-08	3.13688e-08	4.80499e-08	5.12297e-08	4.03234e-08	2.51634e-08	1.41496e-08	8.21973e-09	5.33113e-09	3.99956e-09	3.45668e-09	3.3856e-09	3.70051e-09	4.44841e-09	5.80994e-09	8.22798e-09	1.28818e-08	2.33968e-08	5.26788e-08	1.53338e-07	5.63249e-07	2.41339e-06	1.10517e-05	5.0426e-05	0.000217927	0.000859715	0.00301046	0.00915556	0.0237753	0.0520222	0.0949169	0.143183	0.17724	0.178687	0.145492	0.0947228	0.0487443	0.0196174	0.00618126	0.00159814	0.000395705	0.000114761	
N5	1.1658e-40	2.55714e-37	6.70266e-36	3.41598e-32	2.30856e-31	1.0679e-29	6.55779e-27	2.03927e-25	8.67034e-25	1.99414e-24	9.36964e-24	2.68814e-22	1.22427e-20	3.57858e-19	4.4193e-18	2.38747e-17	7.3524e-17	1.54107e-16	2.63289e-16	4.72331e-16	1.2633e-15	5.91307e-15	3.92046e-14	2.98171e-13	2.27772e-12	1.58151e-11	9.10868e-11	3.99201e-10	1.24853e-09	2.71525e-09	4.17485e-09	4.7829e-09	4.38328e-09	3.42861e-09	2.39175e-09	1.56511e-09	1.01679e-09	7.01503e-10	5.59994e-10	5.60156e-10	7.32484e-10	1.24589e-09	2.68386e-09	7.14512e-09	2.28674e-08	8.44447e-08	3.42913e-07	1.46535e-06	6.3563e-06	2.71634e-05	0.000111362	0.000427262	0.00149884	0.00470574	0.0129712	0.030871	0.062536	0.106538	0.151109	0.176909	0.169651	0.132311	0.0833327	0.0421019	0.0169887	0.00551876	0.0015384	0.000466992	0.000208424	0.000113514	5.49165e-05	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.11769e-43	1.5486e-39	3.89624e-37	1.43029e-33	2.87471e-32	1.05538e-30	4.04081e-28	1.96104e-26	1.56503e-25	6.96403e-25	3.95112e-24	7.17782e-23	3.26444e-21	1.18666e-19	1.97509e-18	1.42138e-17	5.26775e-17	1.25793e-16	2.43108e-16	4.67474e-16	1.1183e-15	4.01569e-15	2.21762e-14	1.59822e-13	1.21652e-12	8.45554e-12	4.87284e-11	2.1604e-10	6.99644e-10	1.61799e-09	2.6851e-09	3.28218e-09	3.07881e-09	2.3334e-09	1.51759e-09	9.38478e-10	6.20656e-10	4.82022e-10	4.76492e-10	6.27277e-10	1.10134e-09	2.50143e-09	7.04463e-09	2.34833e-08	8.83292e-08	3.58651e-07	1.51351e-06	6.42992e-06	2.67676e-05	0.000106655	0.00039815	0.00136505	0.00421823	0.0115439	0.0275283	0.0563758	0.0978897	0.142535	0.172396	0.171779	0.139973	0.0926376	0.0494886	0.0212495	0.00736173	0.00213412	0.000596208	0.000210445	9.94492e-05	5.17128e-05	2.71073e-05	
N7	3.23372e-39	3.25818e-36	7.56819e-34	3.0828e-31	7.62771e-30	6.61296e-28	5.23637e-26	9.51595e-25	7.49067e-24	4.72911e-23	5.82097e-22	1.07012e-20	1.76556e-19	2.25999e-18	1.74463e-17	8.18865e-17	2.84468e-16	8.42982e-16	2.27074e-15	6.29376e-15	2.17626e-14	9.14388e-14	3.83986e-13	1.46569e-12	5.06797e-12	1.58787e-11	4.34233e-11	9.77281e-11	1.73376e-10	2.41012e-10	2.72785e-10	2.75424e-10	2.90566e-10	3.88892e-10	7.16287e-10	1.66755e-09	4.3283e-09	1.16663e-08	3.23953e-08	9.46837e-08	2.96345e-07	9.83194e-07	3.34597e-06	1.12868e-05	3.6887e-05	0.000115441	0.000343879	0.000969779	0.00257062	0.00634423	0.0144117	0.0297405	0.0549651	0.0896557	0.127266	0.155218	0.160852	0.140304	0.102198	0.0617702	0.0308459	0.0127335	0.0044367	0.00146985	0.000695827	0.000614105	0.000660352	0.000646417	0.000535244	0.000369427	0.000214938	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	6.12312e-41	3.7901e-37	2.61109e-34	1.80555e-31	8.39714e-30	4.33636e-28	3.58776e-26	1.09882e-24	1.31829e-23	1.09257e-22	1.05357e-21	1.27902e-20	1.74271e-19	2.0947e-18	1.63061e-17	8.06212e-17	2.91283e-16	8.323e-16	2.11607e-15	5.54357e-15	1.66942e-14	5.68365e-14	1.97431e-13	6.57199e-13	2.07639e-12	6.13458e-12	1.6236e-11	3.7189e-11	7.50804e-11	1.4654e-10	3.13031e-10	7.61708e-10	1.99132e-09	5.22624e-09	1.31614e-08	3.17079e-08	7.64267e-08	1.93176e-07	5.3169e-07	1.60101e-06	5.1078e-06	1.65027e-05	5.20435e-05	0.000156463	0.000442323	0.00116717	0.00286452	0.00652769	0.0137836	0.0268456	0.0478278	0.0770335	0.110642	0.139751	0.153247	0.144269	0.115518	0.0780944	0.0443485	0.0211363	0.00855132	0.00311186	0.00124524	0.000745694	0.0006268	0.000555158	0.000460456	0.000357562	0.000270753	0.000202698	0.000141129	
N9	4.07264e-37	1.3268e-34	5.09291e-32	1.53413e-29	7.69767e-28	2.35778e-26	9.09377e-25	1.73326e-23	1.74748e-22	1.39382e-21	9.37557e-21	6.31267e-20	5.29197e-19	4.50917e-18	2.91795e-17	1.38472e-16	5.42636e-16	1.95282e-15	6.47441e-15	1.94627e-14	5.30347e-14	1.34424e-13	3.3692e-13	9.04365e-13	2.73434e-12	9.2845e-12	3.39554e-11	1.25889e-10	4.4912e-10	1.50878e-09	4.82273e-09	1.51284e-08	4.8077e-08	1.56144e-07	5.06903e-07	1.5812e-06	4.68145e-06	1.32257e-05	3.57351e-05	9.21567e-05	0.000225808	0.00052375	0.00114974	0.00239777	0.00477745	0.0091274	0.0166883	0.0289509	0.0470195	0.0704087	0.0957693	0.116738	0.126024	0.119281	0.0981572	0.0697675	0.0426525	0.0224254	0.0102353	0.00420315	0.00172832	0.000885888	0.00068523	0.000822974	0.0014749	0.00326248	0.00715742	0.0138376	0.0223617	0.0294755	0.0316368	
N10	1.41368e-30	3.26813e-29	6.24009e-27	7.72391e-25	2.40269e-23	6.20543e-22	1.37326e-20	1.81291e-19	1.53943e-18	1.08001e-17	8.21696e-17	7.21473e-16	6.42881e-15	4.99959e-14	3.17876e-13	1.66934e-12	7.48876e-12	2.98507e-11	1.11462e-10	4.17719e-10	1.65888e-09	6.99937e-09	3.03497e-08	1.29923e-07	5.26e-07	1.93587e-06	6.32085e-06	1.81908e-05	4.6423e-05	0.000106322	0.0002214	0.000423963	0.000753364	0.00125192	0.00196267	0.00294053	0.00428837	0.00622585	0.00916593	0.013736	0.0206781	0.030617	0.0437521	0.0595428	0.0764122	0.0915869	0.10142	0.102555	0.0936493	0.0765221	0.0556294	0.0360228	0.0212082	0.0122964	0.00853154	0.0084011	0.0103546	0.0130942	0.0154931	0.0167282	0.0163324	0.0144217	0.0115068	0.00835378	0.00555761	0.00346452	0.00206762	0.00122558	0.000727228	0.000437857	0.000259486	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
