NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.504374	0.313576	0.133507	0.0392825	0.00800935	0.00113153	0.000111869	7.83548e-06	3.94716e-07	1.44852e-08	3.90757e-10	7.7852e-12	1.14941e-13	6.99323e-18	6.30848e-19	4.90772e-20	3.29659e-21	1.91495e-22	9.6409e-24	4.21777e-25	1.60825e-26	5.36211e-28	1.56861e-29	4.0404e-31	9.19677e-33	1.85663e-34	3.33635e-36	5.35601e-38	7.70855e-40	9.98095e-42	1.16656e-43	1.2348e-45	1.18749e-47	1.04102e-49	8.36737e-52	6.28108e-54	4.73873e-56	4.33006e-58	5.98424e-60	5.84238e-61	7.24972e-61	9.24524e-61	1.01529e-60	9.45508e-61	7.33804e-61	4.63687e-61	2.30974e-61	8.65305e-62	2.26743e-62	3.69186e-63	3.14206e-64	1.71526e-65	6.84126e-67	2.15939e-68	5.68868e-70	1.29914e-71	2.64587e-73	4.91028e-75	8.43983e-77	1.35967e-78	2.07041e-80	2.9969e-82	4.13905e-84	5.46765e-86	6.91974e-88	8.40028e-90	9.79125e-92	1.09682e-93	1.18323e-95	1.2571e-97	2.20955e-99	
N2	1.56576e-05	0.00010041	0.00050949	0.00189164	0.0053036	0.0123334	0.0233697	0.038146	0.05616	0.0748466	0.0851294	0.0992626	0.110633	0.118625	0.103252	0.0877823	0.0715677	0.0590444	0.0319006	0.0145201	0.00438917	0.00103703	0.000156277	2.12774e-05	1.67344e-06	1.22677e-07	6.10266e-09	2.72249e-10	8.16803e-12	2.65767e-13	5.35992e-15	1.19453e-16	1.8878e-18	3.01381e-20	3.42579e-22	4.81597e-24	4.12326e-26	4.23495e-28	3.20946e-30	2.67599e-32	1.55402e-34	1.17265e-36	5.51379e-39	3.37013e-41	1.47712e-43	7.24406e-46	2.55796e-48	1.26981e-50	3.72371e-53	1.44579e-55	4.1328e-58	1.40973e-60	3.28339e-63	1.10122e-65	2.22257e-68	6.33257e-71	1.2526e-73	2.96864e-76	5.01671e-79	1.27964e-81	1.84328e-84	3.74763e-87	5.64187e-90	1.05499e-92	1.30731e-95	2.45617e-98	2.83117e-101	5.26707e-104	9.96014e-107	3.62847e-109	2.06037e-111	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.277753	0.34744	0.236122	0.102815	0.0285279	0.0063646	0.000853472	0.000113056	9.48552e-06	8.81659e-07	4.24652e-08	3.75831e-09	1.01404e-10	5.27992e-12	1.04476e-13	3.78213e-15	3.90834e-17	1.08104e-18	6.76693e-21	1.40986e-22	7.18271e-25	6.79004e-27	2.25772e-29	3.58577e-31	6.70844e-34	3.66676e-36	7.74677e-39	4.79936e-41	5.13851e-44	2.30484e-46	2.06236e-49	1.0643e-51	7.76893e-55	1.40496e-57	8.63154e-61	4.09571e-63	1.51081e-66	2.00543e-69	1.10219e-72	2.71397e-75	7.53638e-79	1.04123e-81	2.43439e-85	3.85723e-88	9.80143e-92	6.27714e-95	1.68978e-98	4.21712e-101	5.53869e-105	4.85405e-40	5.89758e-41	2.61228e-41	1.2686e-42	4.63145e-43	2.38232e-44	1.176e-44	5.0956e-46	7.43825e-47	3.7243e-48	1.9995e-48	6.38675e-50	1.01245e-50	7.85167e-52	3.05791e-52	9.3645e-54	1.7195e-54	5.47258e-56	1.59276e-56	6.08191e-58	1.74833e-58	1.7623e-58	
N4	0.266233	0.344619	0.242267	0.108223	0.0306885	0.00690152	0.000935308	0.000121366	9.95949e-06	8.74979e-07	3.91701e-08	3.19707e-09	7.40387e-11	3.6245e-12	5.62008e-14	1.93987e-15	1.31743e-17	4.22888e-19	1.35404e-21	4.40528e-23	1.10994e-25	1.8296e-27	2.26184e-30	9.67711e-32	5.01183e-35	9.50881e-37	8.29028e-40	1.4221e-41	4.08315e-45	6.18929e-47	1.56098e-50	3.52439e-52	8.45813e-56	3.97359e-58	7.2536e-62	1.64702e-63	1.49278e-67	5.73677e-70	2.04667e-73	1.59173e-75	1.06278e-79	4.67675e-82	3.33599e-86	4.5772e-88	1.79784e-91	1.0563e-93	1.27777e-96	5.09064e-97	1.00305e-99	7.41368e-101	1.86261e-102	9.02707e-103	2.32801e-105	5.98581e-106	3.00849e-108	4.29338e-108	1.31868e-110	5.97011e-112	6.22863e-114	3.0342e-113	4.2275e-115	1.90886e-115	2.95801e-116	1.06614e-115	5.97032e-118	1.06465e-118	1.54898e-121	3.36055e-122	1.33133e-125	1.39127e-127	2.29185e-128	
N5	0.175096	0.295877	0.279275	0.165405	0.0613977	0.0188066	0.00335492	0.000692876	8.06621e-05	1.4243e-05	9.40598e-07	2.06093e-07	7.42486e-09	9.90141e-10	2.9666e-11	2.86452e-12	3.89453e-14	2.72348e-15	2.17601e-17	1.36092e-18	8.96972e-21	1.55374e-22	6.69101e-25	3.66485e-26	7.04798e-29	6.8609e-31	2.12865e-33	3.80372e-35	4.08717e-38	3.76349e-40	3.79805e-43	6.54704e-45	4.66745e-48	1.3818e-50	9.7802e-54	1.60415e-55	5.60192e-59	1.21818e-61	9.08185e-65	7.67757e-67	1.94689e-70	5.4337e-73	1.2138e-76	5.05413e-79	1.39849e-82	1.42664e-85	5.81047e-89	5.45054e-91	6.28978e-95	4.73766e-98	8.66164e-102	1.89341e-104	1.76431e-108	3.9518e-111	5.09573e-115	1.91544e-117	1.4489e-121	6.47821e-125	6.44005e-129	2.12362e-131	1.04618e-135	4.97607e-139	1.10893e-142	2.32349e-145	9.38408e-150	1.53551e-58	5.67375e-60	4.09721e-60	1.00488e-61	3.52589e-62	5.7168e-62	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.151109	0.277358	0.284954	0.182692	0.0736917	0.0242658	0.00475407	0.00101947	0.000129448	2.28561e-05	1.63601e-06	3.57399e-07	1.34839e-08	2.02367e-09	5.98849e-11	7.16378e-12	8.56285e-14	9.50086e-15	5.89027e-17	6.58615e-18	3.60416e-20	1.20324e-21	3.91376e-24	4.10024e-25	5.72904e-28	1.33815e-29	3.59566e-32	1.19105e-33	9.10216e-37	1.82206e-38	1.36811e-41	5.6422e-43	3.37782e-46	1.62243e-48	9.53116e-52	4.31071e-53	1.00176e-56	3.70226e-59	3.90791e-62	6.84083e-64	1.1522e-67	6.30667e-70	1.14117e-73	1.91898e-75	4.41876e-79	5.629e-82	2.24639e-85	7.02647e-87	5.55567e-91	6.40415e-94	1.67829e-97	1.37868e-99	9.15829e-104	3.52432e-106	3.88904e-110	5.62007e-112	3.05505e-116	2.10231e-119	2.47569e-123	3.20058e-125	1.19081e-129	8.98956e-133	2.93616e-136	2.13357e-138	6.38597e-143	6.57097e-146	2.59769e-150	1.11985e-152	4.16921e-157	4.19077e-160	3.7338e-162	
N7	0.0450552	0.124546	0.214951	0.242084	0.177681	0.114363	0.0460487	0.0230925	0.00724497	0.00351446	0.000783506	0.000512438	7.91943e-05	3.62728e-05	5.3826e-06	2.1049e-06	1.57812e-07	4.56724e-08	2.08924e-09	5.48246e-10	2.14102e-11	2.00986e-12	5.55078e-14	1.28655e-14	1.73235e-16	8.83667e-18	1.46231e-19	1.03649e-20	7.2936e-23	3.35642e-24	2.13833e-26	1.4054e-27	6.6259e-30	9.99925e-32	4.10541e-34	2.33458e-35	4.92542e-38	4.98717e-40	1.90191e-42	5.22346e-44	7.53309e-47	7.87771e-49	9.4756e-52	1.34437e-53	1.82156e-56	7.74167e-59	1.31876e-61	3.38886e-63	2.01566e-66	5.954e-69	4.8306e-72	3.17272e-74	1.39116e-77	8.3257e-80	4.38787e-83	4.03642e-85	1.44143e-88	2.30707e-91	1.01268e-94	8.45308e-97	1.91437e-100	2.94873e-103	2.11268e-106	1.0787e-108	1.96538e-112	2.95227e-115	5.41708e-119	1.60132e-121	3.21144e-125	6.96156e-128	6.23382e-130	
