NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.000875078	0.00101407	0.00132685	0.00188691	0.00281187	0.00426815	0.00647039	0.0096695	0.0141229	0.0200432	0.027527	0.0364746	0.0465221	0.0570127	0.0670318	0.0755186	0.0814418	0.0840018	0.0828067	0.0779676	0.0700831	0.0601144	0.0491874	0.0383805	0.0285524	0.020247	0.0136834	0.00881234	0.00540761	0.00316159	0.00176104	0.000934518	0.000472448	0.000227548	0.000104412	4.56468e-05	1.90138e-05	7.54667e-06	2.85432e-06	1.02884e-06	3.5345e-07	1.15743e-07	3.61322e-08	1.07543e-08	3.05218e-09	8.26118e-10	2.13275e-10	5.25253e-11	1.23423e-11	2.76757e-12	5.92306e-13	1.7056e-16	7.53296e-17	3.25124e-17	1.37143e-17	5.65444e-18	2.27903e-18	8.981e-19	3.46094e-19	1.30457e-19	4.8118e-20	1.73759e-20	6.14833e-21	2.13468e-21	7.28841e-22	2.45589e-22	8.21367e-23	2.75166e-23	9.38997e-24	3.42372e-24	1.62715e-24	
N2	0.000891341	0.00103057	0.00133289	0.00185714	0.00269285	0.0039602	0.00580609	0.0083938	0.0118841	0.0164069	0.0220255	0.0286984	0.0362458	0.044332	0.0524725	0.0600712	0.0664867	0.0711196	0.0735039	0.0733841	0.0707598	0.0658876	0.0592388	0.0514231	0.0430958	0.0348675	0.0272338	0.020535	0.0149481	0.010505	0.00712747	0.00466907	0.00295328	0.0018038	0.00106393	0.000606063	0.000333458	0.000177225	9.09951e-05	4.51405e-05	2.16382e-05	1.00239e-05	4.48815e-06	1.94255e-06	8.12844e-07	3.2888e-07	1.28684e-07	4.87005e-08	1.78291e-08	6.31511e-09	2.1645e-09	7.18006e-10	2.3055e-10	7.1671e-11	2.15744e-11	6.28964e-12	1.7762e-12	4.85986e-13	1.28862e-13	3.31219e-14	8.25577e-15	1.99653e-15	4.68825e-16	1.07034e-16	2.38092e-17	5.1802e-18	1.11038e-18	2.38085e-19	5.30457e-20	1.37184e-20	5.57318e-21	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.000578195	0.000691161	0.000945666	0.00140983	0.00219586	0.00346884	0.00545103	0.00841464	0.0126548	0.0184367	0.0259167	0.0350483	0.0454961	0.0565908	0.0673563	0.0766265	0.083242	0.0862838	0.0852808	0.0803274	0.0720702	0.0615669	0.050059	0.0387281	0.0285012	0.0199478	0.0132751	0.00839881	0.00505103	0.00288719	0.00156844	0.000809709	0.000397228	0.000185178	8.20306e-05	3.45305e-05	1.38128e-05	5.25086e-06	1.89702e-06	6.51383e-07	2.12597e-07	6.59593e-08	1.94552e-08	5.45618e-09	1.45508e-09	3.69052e-10	8.90334e-11	2.04338e-11	4.46215e-12	9.27273e-13	1.83406e-13	3.45329e-14	6.19067e-15	1.05681e-15	1.71818e-16	2.66082e-17	3.92541e-18	5.51724e-19	7.38883e-20	9.43007e-21	1.14723e-21	1.33103e-22	1.47392e-23	1.55995e-24	1.58163e-25	1.54201e-26	1.45448e-27	1.34136e-28	1.23665e-29	1.22492e-30	1.89965e-31	
N4	0.000542443	0.000654915	0.000909603	0.0013767	0.00217187	0.0034653	0.00548596	0.00851374	0.0128509	0.0187667	0.026415	0.0357371	0.0463741	0.0576228	0.0684685	0.0777112	0.0841721	0.0869369	0.0855653	0.0802043	0.0715625	0.0607535	0.0490558	0.0376615	0.0274833	0.0190588	0.012557	0.00785878	0.00467133	0.00263685	0.00141333	0.000719245	0.000347506	0.000159396	6.9409e-05	2.86927e-05	1.12602e-05	4.19522e-06	1.48391e-06	4.98348e-07	1.58911e-07	4.81174e-08	1.38362e-08	3.7787e-09	9.80215e-10	2.41549e-10	5.65522e-11	1.25809e-11	2.65982e-12	5.34485e-13	1.02101e-13	1.85438e-14	3.20271e-15	5.26077e-16	8.21983e-17	1.22186e-17	1.72818e-18	2.32607e-19	2.97972e-20	3.6334e-21	4.21805e-22	4.66317e-23	4.91141e-24	4.93183e-25	4.72803e-26	4.33889e-27	3.8327e-28	3.29998e-29	2.86155e-30	2.78581e-31	4.80942e-32	
N5	0.000317021	0.000396458	0.000578827	0.000919048	0.00151004	0.00249326	0.00406734	0.00648874	0.0100563	0.0150715	0.0217706	0.0302316	0.0402764	0.0513942	0.0627264	0.0731391	0.081391	0.0863686	0.0873301	0.0840854	0.0770517	0.0671642	0.0556679	0.0438556	0.0328293	0.0233453	0.0157666	0.010111	0.00615596	0.00355786	0.00195176	0.00101619	0.000502119	0.000235454	0.000104777	4.42465e-05	1.7732e-05	6.74393e-06	2.43423e-06	8.33931e-07	2.71173e-07	8.37037e-08	2.45282e-08	6.82421e-09	1.80283e-09	4.52295e-10	1.07774e-10	2.43941e-11	5.24571e-12	1.07185e-12	2.08137e-13	3.84166e-14	6.74093e-15	1.12469e-15	1.78461e-16	2.69362e-17	3.8682e-18	5.28647e-19	6.87742e-20	8.51988e-21	1.00549e-21	1.13113e-22	1.21402e-23	1.24485e-24	1.22223e-25	1.15326e-26	1.05206e-27	9.37094e-29	8.30257e-30	7.79344e-31	1.16165e-31	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.000243818	0.000310266	0.000463924	0.000753318	0.00126172	0.00211809	0.00350715	0.00567308	0.00890909	0.0135243	0.0197823	0.0278132	0.0375134	0.0484599	0.0598763	0.0706816	0.0796362	0.0855655	0.0876096	0.0854262	0.079282	0.069999	0.0587704	0.0469047	0.0355736	0.0256315	0.0175411	0.0113995	0.00703387	0.00412023	0.00229098	0.00120908	0.000605614	0.00028789	0.000129878	5.56059e-05	2.25936e-05	8.71244e-06	3.18861e-06	1.10762e-06	3.65203e-07	1.14305e-07	3.39643e-08	9.58174e-09	2.56671e-09	6.52935e-10	1.57752e-10	3.62035e-11	7.89324e-12	1.63513e-12	3.2189e-13	6.02269e-14	1.07121e-14	1.81146e-15	2.91298e-16	4.45531e-17	6.48237e-18	8.97411e-19	1.18234e-19	1.4828e-20	1.77057e-21	2.01352e-22	2.18146e-23	2.25255e-24	2.21835e-25	2.08639e-26	1.88017e-27	1.63895e-28	1.42536e-29	1.38193e-30	2.3297e-31	
N7	4.6741e-05	6.22441e-05	9.90174e-05	0.000170975	0.000303969	0.000542305	0.000957737	0.00166016	0.00280784	0.00461286	0.00733565	0.0112613	0.0166519	0.0236758	0.032321	0.0423151	0.0530782	0.0637383	0.0732248	0.0804358	0.0844445	0.0846943	0.0811254	0.0741925	0.0647687	0.0539622	0.0429009	0.0325418	0.023549	0.0162565	0.0107049	0.00672389	0.00402844	0.00230213	0.00125489	0.000652495	0.000323637	0.000153135	6.91272e-05	2.97725e-05	1.22352e-05	4.79813e-06	1.79574e-06	6.41464e-07	2.1873e-07	7.12043e-08	2.21321e-08	6.56925e-09	1.8623e-09	5.04301e-10	1.30468e-10	3.22526e-11	7.61984e-12	1.72078e-12	3.71523e-13	7.67031e-14	1.51461e-14	2.86125e-15	5.17243e-16	8.95084e-17	1.48338e-17	2.35572e-18	3.58819e-19	5.24976e-20	7.39557e-21	1.00738e-21	1.33676e-22	1.75261e-23	2.34108e-24	3.48135e-25	8.21099e-26	
