NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.145535	0.175318	0.202499	0.194123	0.14557	0.0837874	0.0368933	0.0124062	0.00316523	0.00060612	8.61239e-005	8.99393e-006	6.85624e-007	3.79827e-008	1.5209e-009	4.46242e-011	9.64128e-013	3.43e-017	3.75726e-018	3.5879e-019	2.98994e-020	2.1853e-021	1.40751e-022	8.02408e-024	4.06507e-025	1.83663e-026	7.42409e-028	2.69271e-029	8.78746e-031	2.59148e-032	6.90718e-034	1.66775e-035	3.65619e-037	7.2942e-039	1.32724e-040	2.20758e-042	3.36383e-044	4.70602e-046	6.05794e-048	7.19975e-050	7.90519e-052	8.03505e-054	7.57533e-056	6.63713e-058	5.41411e-060	4.11926e-062	2.92824e-064	1.9481e-066	1.21489e-068	7.11952e-071	3.9226e-073	2.03484e-075	9.9522e-078	4.59539e-080	2.00584e-082	8.2866e-085	3.24401e-087	1.20478e-089	4.24954e-092	1.42609e-094	4.55459e-097	1.38573e-099	4.02023e-102	1.11319e-104	2.94457e-107	7.44704e-110	1.80226e-112	4.17727e-115	9.29222e-118	2.29213e-120	
N2	0.0352937	0.0580819	0.0898317	0.125953	0.146535	0.151298	0.129926	0.102887	0.0676542	0.0439394	0.0236505	0.013824	0.00620657	0.00315518	0.00111943	0.000463903	0.000125957	4.19261e-005	9.39117e-006	2.92949e-006	6.65261e-007	1.89049e-007	3.76787e-008	8.15954e-009	1.20458e-009	1.81246e-010	1.95108e-011	2.26246e-012	1.91299e-013	2.05789e-014	2.06384e-015	2.06928e-016	1.51346e-017	1.01544e-018	5.29755e-020	2.5288e-021	9.4308e-023	3.38386e-024	1.08113e-025	4.23672e-027	1.77572e-028	6.81428e-030	2.08826e-031	5.69423e-033	1.25446e-034	2.50382e-036	4.15019e-038	6.68374e-040	9.71999e-042	1.72596e-043	3.43433e-045	6.30276e-047	9.45068e-049	1.26575e-050	1.42458e-052	1.44343e-054	1.23886e-056	9.78327e-059	6.69718e-061	4.57853e-063	2.81346e-065	1.99368e-067	1.23625e-069	9.52097e-072	5.62537e-074	4.43809e-076	3.19225e-078	3.81153e-080	5.11471e-082	9.95254e-084	
N3	0.000150155	0.00025086	0.000464604	0.00107096	0.00240773	0.00519437	0.0115472	0.0226115	0.0344427	0.0439711	0.0424126	0.0352363	0.0353582	0.058481	0.0974534	0.144593	0.156684	0.14209	0.0906394	0.0491962	0.018314	0.00585573	0.00128561	0.000250107	3.37772e-005	4.17437e-006	3.68116e-007	3.07436e-008	1.86741e-009	1.11339e-010	5.01705e-012	2.25289e-013	7.69089e-015	2.63845e-016	7.07579e-018	1.9186e-019	4.08432e-021	8.81233e-023	1.53618e-024	2.76911e-026	4.09362e-028	6.2095e-030	7.82294e-032	1.01036e-033	1.08148e-035	1.17785e-037	1.08319e-039	1.01543e-041	8.04736e-044	6.58652e-046	4.72607e-048	3.47905e-050	2.20789e-052	1.42698e-054	8.06774e-057	4.61366e-059	2.28767e-061	1.13903e-063	4.96777e-066	2.19088e-068	8.38298e-071	3.27187e-073	1.12828e-075	4.14327e-078	1.4052e-080	5.64794e-083	2.46416e-085	1.32415e-087	7.5239e-090	5.19146e-092	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	4.59005e-006	5.14297e-006	6.60333e-006	1.37046e-005	3.41352e-005	7.58635e-005	0.000291191	0.00145186	0.00522254	0.00999835	0.00780965	0.00296957	0.00120122	0.00119381	0.0030891	0.0141876	0.0541035	0.144768	0.240539	0.262244	0.160369	0.0695248	0.0167524	0.00365381	0.000432843	5.42622e-005	3.53741e-006	2.62e-007	1.01307e-008	4.71177e-010	1.18813e-011	3.71898e-013	6.48337e-015	1.41737e-016	1.79248e-018	2.86187e-020	2.69139e-022	3.22369e-024	2.39422e-026	2.34929e-028	1.49038e-030	1.22911e-032	7.17242e-035	5.10472e-037	2.56358e-039	1.45496e-041	6.28782e-044	3.10428e-046	1.13718e-048	4.9279e-051	1.76297e-053	7.48654e-056	2.3896e-058	8.44768e-061	2.3818e-063	7.33056e-066	1.68677e-068	4.28827e-071	8.95897e-074	2.22711e-076	4.3074e-079	9.7444e-082	1.81878e-084	3.77668e-087	5.89058e-090	9.99454e-093	1.4617e-095	3.03727e-098	8.02828e-101	3.34011e-103	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0205735	0.035989	0.0613004	0.0960026	0.126679	0.145037	0.139533	0.124306	0.0975716	0.0714503	0.04281	0.0232797	0.00976238	0.00389902	0.00121585	0.000416972	0.000118502	4.01955e-005	1.03585e-005	3.22339e-006	6.85109e-007	1.82155e-007	3.12988e-008	7.02169e-009	9.43052e-010	1.63924e-010	1.69027e-011	2.29984e-012	1.72793e-013	1.79702e-014	1.16999e-015	1.02497e-016	5.20811e-018	3.27125e-019	1.33162e-020	6.25624e-022	1.86396e-023	6.14215e-025	1.4063e-026	3.92867e-028	8.58411e-030	2.12585e-031	4.04623e-033	8.22942e-035	1.25446e-036	1.91199e-038	2.29241e-040	2.74774e-042	2.55067e-044	2.61127e-046	2.65286e-048	2.8231e-050	2.47006e-052	2.17978e-054	1.63087e-056	1.17682e-058	6.94425e-061	3.89778e-063	1.84644e-065	8.68114e-068	3.39364e-070	1.39412e-072	4.86674e-075	1.94074e-077	5.86553e-080	2.12275e-082	6.26463e-085	3.14542e-087	2.14319e-089	2.53402e-091	
N6	0.00350273	0.00695891	0.014232	0.0275487	0.0464153	0.0700154	0.0886842	0.103001	0.109252	0.116968	0.112357	0.103431	0.0766262	0.0552431	0.0306969	0.0185153	0.00835432	0.00455348	0.00184868	0.00101598	0.000412669	0.000223918	8.48115e-005	4.01603e-005	1.24392e-005	4.50067e-006	1.08089e-006	2.97368e-007	5.32993e-008	1.12175e-008	1.75248e-009	3.16692e-010	4.00744e-011	5.52282e-012	5.72872e-013	6.18645e-014	4.88084e-015	3.90861e-016	2.45136e-017	1.68546e-018	9.75482e-020	5.98323e-021	3.03148e-022	1.58286e-023	6.645e-025	2.76028e-026	9.46809e-028	3.20903e-029	8.95148e-031	2.639e-032	7.41921e-034	2.15857e-035	5.41015e-037	1.36216e-038	2.99156e-040	6.38191e-042	1.15952e-043	2.0109e-045	3.00396e-047	4.35836e-049	5.38596e-051	6.69398e-053	7.1449e-055	8.39679e-057	8.18287e-059	1.0075e-060	1.23298e-062	2.56674e-064	6.44116e-066	2.49349e-067	
N7	0.000217074	0.000252018	0.000330927	0.000663556	0.0016794	0.00491208	0.0127775	0.020999	0.0250692	0.0256828	0.0270183	0.0411942	0.0821309	0.162038	0.1959	0.144303	0.0701882	0.0396591	0.0244984	0.0175543	0.0107533	0.0113588	0.0137282	0.0193559	0.017675	0.0156298	0.00843218	0.00429673	0.00128109	0.000353907	5.76788e-005	8.78289e-006	8.07704e-007	7.23895e-008	4.24704e-009	2.53006e-010	1.01391e-011	4.15771e-013	1.22085e-014	3.75486e-016	8.42165e-018	1.96111e-019	3.48451e-021	6.54114e-023	9.36444e-025	1.40786e-026	1.68771e-028	2.11366e-030	2.07622e-032	2.13049e-034	1.82079e-036	1.61866e-038	1.16873e-040	8.81273e-043	5.63843e-045	3.76846e-047	2.09854e-049	1.19544e-051	5.78597e-054	2.84761e-056	1.16293e-058	4.8092e-061	1.67811e-063	6.12419e-066	1.86419e-068	6.48721e-071	2.29143e-073	1.19114e-075	7.33953e-078	6.03128e-080	
