NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.319321	0.268484	0.192725	0.117914	0.0611615	0.0267211	0.00977014	0.00297128	0.000746975	0.000154294	2.60432e-005	3.57643e-006	3.98373e-007	3.59294e-008	2.62212e-009	1.54895e-010	7.41459e-012	2.88116e-013	2.36445e-017	3.79734e-018	5.51666e-019	7.26116e-020	8.67315e-021	9.41658e-022	9.30775e-023	8.38874e-024	6.90373e-025	5.19533e-026	3.57984e-027	2.2615e-028	1.31148e-029	6.99042e-031	3.429e-032	1.54991e-033	6.4637e-035	2.49038e-036	8.87647e-038	2.93088e-039	8.9771e-041	2.55422e-042	6.76038e-044	1.66678e-045	3.8334e-047	8.23537e-049	1.65489e-050	3.11474e-052	5.49813e-054	9.11402e-056	1.42055e-057	2.08447e-059	2.88302e-061	3.76293e-063	4.64014e-065	5.41186e-067	5.97648e-069	6.25585e-071	6.21321e-073	5.86094e-075	5.25607e-077	4.48546e-079	3.64586e-081	2.82506e-083	2.08863e-085	1.47457e-087	9.94935e-090	6.42079e-092	3.96633e-094	2.34748e-096	1.33745e-098	9.0167e-101	
N2	0.0835964	0.111735	0.134661	0.150416	0.142496	0.12488	0.0930833	0.0668487	0.0405784	0.0251324	0.0129653	0.00737034	0.00330787	0.0017389	0.000681036	0.000330638	0.000110662	4.77934e-005	1.40088e-005	5.60388e-006	1.4136e-006	4.95284e-007	1.10269e-007	3.56169e-008	6.59476e-009	1.75918e-009	2.8265e-010	6.85515e-011	8.90373e-012	1.72184e-012	1.9513e-013	3.46985e-014	3.11752e-015	4.28759e-016	3.37737e-017	4.34225e-018	2.72256e-019	2.73209e-020	1.5522e-021	1.509e-022	6.79638e-024	5.03772e-025	2.07806e-026	1.52039e-027	5.07304e-029	2.91521e-030	9.32777e-032	5.47566e-033	1.39743e-034	6.1741e-036	1.50005e-037	6.79905e-039	1.35331e-040	4.85188e-042	9.63842e-044	3.66451e-045	5.8105e-047	1.65191e-048	2.567e-050	7.73564e-052	9.96105e-054	2.39752e-055	3.18845e-057	8.3989e-059	9.03736e-061	1.83694e-062	2.47368e-064	7.1216e-066	1.87966e-067	9.92351e-069	
N3	0.000116222	0.000335694	0.00100894	0.00271564	0.00578285	0.0112241	0.0205189	0.0343642	0.0462652	0.0533952	0.050729	0.0480017	0.0514626	0.0713635	0.0958038	0.121318	0.12141	0.108727	0.0745674	0.0461641	0.0214949	0.00917675	0.00293165	0.000877528	0.000195026	4.1535e-005	6.61186e-006	1.03558e-006	1.20801e-007	1.41874e-008	1.25524e-009	1.14663e-010	7.83768e-012	5.63525e-013	3.07275e-014	1.80026e-015	7.91107e-017	3.78595e-018	1.37983e-019	5.57377e-021	1.68686e-022	5.70861e-024	1.4739e-025	4.32111e-027	9.47343e-029	2.37352e-030	4.53907e-032	1.00641e-033	1.66047e-035	3.18961e-037	4.66937e-039	8.07271e-041	1.03404e-042	1.56949e-044	1.81186e-046	2.51386e-048	2.56493e-050	3.14963e-052	2.93319e-054	3.33604e-056	2.78612e-058	2.85462e-060	2.25818e-062	2.25837e-064	1.81595e-066	1.92683e-068	1.99035e-070	2.54641e-072	3.23872e-074	5.36442e-076	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	3.5379e-007	1.82291e-006	9.97375e-006	4.73806e-005	0.00015435	0.000382365	0.00116424	0.00394561	0.00989978	0.015019	0.0120598	0.0063398	0.0037039	0.00417002	0.00946206	0.0291727	0.0748943	0.149544	0.205617	0.213363	0.144801	0.0783993	0.0271939	0.00857073	0.00169261	0.000342779	4.22013e-005	5.68275e-006	4.54024e-007	4.10424e-008	2.2278e-009	1.41148e-010	5.38425e-012	2.46202e-013	6.9049e-015	2.39775e-016	5.05091e-018	1.35354e-019	2.23117e-021	4.8762e-023	6.33021e-025	1.1234e-026	1.20844e-028	1.88791e-030	1.66504e-032	2.2012e-034	1.72381e-036	2.17928e-038	1.44113e-040	1.54936e-042	9.63109e-045	1.02958e-046	5.41002e-049	4.78036e-051	2.40957e-053	2.12196e-055	8.92815e-058	6.35245e-060	2.5698e-062	1.83063e-064	6.20084e-067	3.58023e-069	1.17597e-071	6.88784e-074	1.92793e-076	9.49153e-079	3.12763e-081	2.03662e-083	1.20301e-085	1.17425e-087	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.045737	0.068576	0.0970022	0.127171	0.140765	0.14023	0.119155	0.0959121	0.0673663	0.0458102	0.0261189	0.0145701	0.00654411	0.00306302	0.00116023	0.000512948	0.000181751	8.04346e-005	2.67359e-005	1.13651e-005	3.24171e-006	1.2171e-006	2.91677e-007	9.78855e-008	1.89057e-008	5.27234e-009	8.40554e-010	2.04263e-010	2.55162e-011	4.878e-012	5.0284e-013	8.31725e-014	6.58054e-015	8.24745e-016	5.42984e-017	6.00106e-018	3.02065e-019	2.51452e-020	1.08284e-021	8.31053e-023	2.7248e-024	1.55199e-025	4.48818e-027	2.48839e-028	5.59507e-030	2.35802e-031	5.04219e-033	2.27211e-034	3.91397e-036	1.36217e-037	2.41199e-039	9.74176e-041	1.44718e-042	4.56519e-044	7.11682e-046	2.56571e-047	3.07544e-049	7.71056e-051	9.19211e-053	2.57052e-054	2.36103e-056	4.70794e-058	4.468e-060	1.00789e-061	7.08839e-064	1.08241e-065	8.94929e-068	1.94401e-069	3.30345e-071	1.23382e-072	
N6	0.00909815	0.015906	0.0278646	0.0464126	0.0671689	0.0888705	0.101141	0.109176	0.10692	0.104687	0.0911101	0.0778912	0.0556662	0.0400505	0.0236377	0.0152373	0.00796416	0.0050124	0.0025706	0.00170411	0.000863007	0.000555145	0.000253881	0.000145323	5.46692e-005	2.57703e-005	7.94118e-006	3.17648e-006	7.8201e-007	2.54514e-007	5.2278e-008	1.48864e-008	2.46817e-009	5.712e-010	8.13509e-011	1.69234e-011	1.96451e-012	3.31129e-013	3.3866e-014	5.24153e-015	4.37025e-016	5.42208e-017	4.03842e-018	4.68432e-019	2.87158e-020	2.69774e-021	1.51228e-022	1.36232e-023	6.29101e-025	4.55311e-026	1.94316e-027	1.37542e-028	4.90789e-030	2.84713e-031	9.67841e-033	5.6537e-034	1.59878e-035	7.49824e-037	2.03013e-038	9.74024e-040	2.23512e-041	8.86525e-043	2.02841e-044	8.48588e-046	1.65973e-047	5.84307e-049	1.48065e-050	7.44693e-052	3.58312e-053	3.30409e-054	
N7	9.16972e-006	3.86057e-005	0.000165634	0.000566262	0.00173574	0.00500309	0.00989017	0.0111103	0.0111139	0.0186214	0.0349011	0.0650991	0.109776	0.165071	0.170574	0.127977	0.0624613	0.0258302	0.00930758	0.00713823	0.0102063	0.0182683	0.0240426	0.0313544	0.0278539	0.0245344	0.0143438	0.00836571	0.00311711	0.00116543	0.00027788	6.82383e-005	1.05029e-005	1.71529e-006	1.80651e-007	2.11155e-008	1.56516e-009	1.32734e-010	7.39553e-012	4.91527e-013	2.07367e-014	1.06353e-015	3.61117e-017	1.5445e-018	4.16881e-020	1.43083e-021	3.2598e-023	9.73144e-025	1.81333e-026	4.43045e-028	7.18253e-030	1.56985e-031	2.12832e-033	3.88072e-035	4.69591e-037	7.84642e-039	8.03955e-041	1.12901e-042	1.04933e-044	1.37488e-046	1.09875e-048	1.23021e-050	9.14041e-053	9.83981e-055	6.64546e-057	6.72689e-059	5.7626e-061	7.67031e-063	1.01012e-064	1.91344e-066	
