NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.332029	0.287515	0.20297	0.111598	0.0467827	0.0148185	0.00354752	0.000640791	8.74694e-005	9.01229e-006	7.01445e-007	4.12288e-008	1.83162e-009	6.1542e-011	1.56597e-012	4.05666e-017	4.91413e-018	5.19786e-019	4.80905e-020	3.89975e-021	2.77819e-022	1.74318e-023	9.65978e-025	4.74122e-026	2.0673e-027	8.03211e-029	2.78929e-030	8.68404e-032	2.43121e-033	6.13879e-035	1.40204e-036	2.90456e-038	5.47306e-040	9.40503e-042	1.47769e-043	2.12799e-045	2.81551e-047	3.43036e-049	3.85723e-051	4.01134e-053	3.86606e-055	3.45992e-057	2.88073e-059	2.23547e-061	1.61966e-063	1.09749e-065	6.96621e-068	4.14849e-070	2.3213e-072	1.22221e-074	6.06371e-077	2.83848e-079	1.2553e-081	5.25121e-084	2.08038e-086	7.8144e-089	2.78613e-091	9.43893e-094	3.04165e-096	9.33241e-099	2.72893e-101	7.61222e-104	2.0274e-106	5.16003e-109	1.25607e-111	2.92672e-114	6.53271e-117	1.39803e-119	2.8757e-122	6.59504e-125	
N2	0.0726393	0.115285	0.156096	0.177255	0.160892	0.131375	0.0838181	0.0516335	0.0268839	0.0137084	0.00579162	0.00294015	0.0010204	0.000446457	0.000142389	5.26059e-005	1.28834e-005	4.4662e-006	8.36785e-007	2.31031e-007	3.84212e-008	7.96298e-009	1.02223e-009	2.1334e-010	1.96424e-011	2.85109e-012	2.52128e-013	2.99728e-014	1.84002e-015	1.95276e-016	9.44824e-018	8.24476e-019	3.50173e-020	2.09359e-021	7.25766e-023	5.00661e-024	1.21934e-025	5.3883e-027	1.40027e-028	5.78616e-030	1.07398e-031	3.92116e-033	6.05089e-035	1.95534e-036	2.92537e-038	6.59666e-040	8.67975e-042	2.56922e-043	2.3863e-045	4.34235e-047	4.51388e-049	8.10953e-051	6.3294e-053	1.11989e-054	7.77494e-057	1.24657e-058	8.1377e-061	8.84141e-063	5.41481e-065	8.04757e-067	3.56087e-069	3.4491e-071	1.96765e-073	2.00101e-075	7.83626e-078	7.26649e-080	3.00504e-082	3.45784e-084	3.81032e-086	9.56518e-088	
N3	3.4551e-005	0.000152897	0.000639391	0.00210477	0.00530418	0.0113148	0.02052	0.0350981	0.0522609	0.0653459	0.0693116	0.0775749	0.081534	0.0881064	0.0917367	0.102026	0.100954	0.0922846	0.057371	0.0305458	0.0114438	0.00344936	0.000727915	0.000139686	1.74143e-005	2.04742e-006	1.76542e-007	1.36705e-008	7.77067e-010	4.56307e-011	1.82341e-012	7.69705e-014	2.45193e-015	7.65617e-017	1.83128e-018	4.9428e-020	9.00045e-022	1.85295e-023	2.97381e-025	4.96045e-027	6.27286e-029	9.37668e-031	9.65198e-033	1.18731e-034	1.12041e-036	1.12608e-038	8.80546e-041	8.56045e-043	5.54186e-045	4.39971e-047	2.73268e-049	1.88465e-051	9.80036e-054	6.51469e-056	2.91761e-058	1.66688e-060	7.19455e-063	3.50046e-065	1.31954e-067	6.53407e-070	2.09844e-072	8.74208e-075	2.87089e-077	1.09103e-079	3.22114e-082	1.34959e-084	4.98487e-087	2.76437e-089	1.65958e-091	1.29474e-093	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	4.28437e-008	4.02855e-007	3.55695e-006	2.30739e-005	0.000105696	0.000322187	0.000920592	0.00270848	0.00794696	0.0155174	0.0173975	0.0166738	0.017365	0.0179706	0.0180834	0.0236361	0.0459423	0.112817	0.19408	0.235437	0.169249	0.0781401	0.020506	0.00458614	0.000509343	5.47221e-005	3.58019e-006	2.12945e-007	7.63939e-009	3.24762e-010	7.24247e-012	2.04874e-013	3.38758e-015	6.64128e-017	7.68519e-019	1.27393e-020	1.05125e-022	1.25547e-024	9.12902e-027	8.57861e-029	4.70169e-031	4.15342e-033	1.7854e-035	1.27096e-037	5.50866e-040	2.97396e-042	1.03116e-044	6.54077e-047	1.72048e-049	7.77855e-052	2.26638e-054	9.1089e-057	1.98236e-059	8.20125e-062	1.49842e-064	5.33372e-067	9.62577e-070	2.58678e-072	4.10617e-075	1.36382e-077	1.6496e-080	3.93343e-083	5.48794e-086	1.30749e-088	1.36487e-091	3.02282e-094	3.31896e-097	9.25232e-100	2.41134e-102	1.2297e-104	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0336052	0.0635421	0.107602	0.151299	0.168458	0.162499	0.123372	0.0858189	0.0512097	0.0283954	0.0134123	0.00674645	0.00251033	0.00103876	0.000335889	0.00011492	2.84626e-005	9.29076e-006	1.78724e-006	4.86698e-007	8.5273e-008	1.85059e-008	2.45953e-009	5.28269e-010	4.95818e-011	7.60317e-012	6.6833e-013	8.09137e-014	4.8785e-015	5.41779e-016	2.51465e-017	2.24493e-018	9.16905e-020	5.56593e-021	1.7615e-022	1.19849e-023	2.51644e-025	1.03701e-026	2.22015e-028	8.05212e-030	1.12345e-031	3.41217e-033	3.67782e-035	9.47096e-037	9.3753e-039	1.46792e-040	1.17492e-042	2.50245e-044	1.28121e-046	1.47531e-048	8.66514e-051	9.94399e-053	3.87971e-055	4.0848e-057	1.35715e-059	1.28217e-061	3.85257e-064	2.17172e-066	6.09017e-069	5.22428e-071	9.6223e-074	4.66499e-076	1.19533e-078	6.59895e-081	1.06802e-083	5.1383e-086	8.60501e-089	5.11246e-091	2.34728e-093	2.98851e-095	
N6	0.00442479	0.0103888	0.023432	0.0454891	0.0724775	0.102773	0.11923	0.12767	0.119254	0.103144	0.0794447	0.065601	0.0439624	0.0328803	0.0209701	0.0140373	0.00726377	0.00453914	0.00176417	0.000842585	0.00027351	9.99504e-005	2.52853e-005	9.22873e-006	1.92652e-006	5.88921e-007	1.23137e-007	3.14716e-008	4.83999e-009	1.11229e-009	1.29187e-010	2.28219e-011	2.27527e-012	2.83255e-013	2.16229e-014	2.76508e-015	1.4941e-016	1.28768e-017	6.81882e-019	5.0759e-020	1.95241e-021	1.29489e-022	4.02896e-024	2.28045e-025	6.69599e-027	2.73389e-028	6.73395e-030	3.24715e-031	5.94688e-033	1.94263e-034	3.81112e-036	1.17301e-037	1.76976e-039	5.36017e-041	7.02615e-043	1.86774e-044	2.36447e-046	4.57709e-048	5.26628e-050	1.30405e-051	1.12562e-053	1.92872e-055	2.0289e-057	3.45733e-059	2.6638e-061	4.42028e-063	3.58463e-065	7.35089e-067	1.53547e-068	6.9381e-070	
N7	1.28e-006	8.78431e-006	5.5115e-005	0.000250205	0.000871895	0.00268101	0.00658387	0.0108384	0.0180324	0.0232542	0.0256301	0.0443491	0.073844	0.106951	0.107966	0.0866822	0.0814636	0.117444	0.118047	0.0914249	0.0393826	0.014062	0.00661477	0.00735777	0.00616528	0.00526297	0.00288084	0.00137485	0.000391112	0.00011049	1.61399e-005	2.39445e-006	2.10916e-007	1.75403e-008	9.17058e-010	5.6855e-011	1.86572e-012	7.38933e-014	1.95387e-015	5.6605e-017	1.04225e-018	2.53718e-020	3.48859e-022	6.53848e-024	7.93353e-026	1.10722e-027	1.05009e-029	1.4523e-031	1.05557e-033	1.08644e-035	7.63287e-038	6.72992e-040	3.71439e-042	3.11785e-044	1.43707e-046	1.01395e-048	4.44403e-051	2.49221e-053	9.41428e-056	5.70781e-058	1.72443e-060	8.0979e-063	2.61102e-065	1.11675e-067	2.90663e-070	1.27163e-072	3.67751e-075	2.06763e-077	1.27401e-079	1.18833e-081	
