NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.195163	0.183388	0.162385	0.13559	0.106693	0.0790166	0.0549884	0.0358898	0.0219238	0.012506	0.00664651	0.00328344	0.00150451	0.000638104	0.00025005	9.03798e-005	3.00891e-005	9.21496e-006	2.59344e-006	6.70156e-007	1.58887e-007	3.45431e-008	6.88344e-009	1.25682e-009	2.10211e-010	3.2202e-011	4.5177e-012	5.8042e-013	8.29103e-017	2.7217e-017	8.55094e-018	2.57136e-018	7.40169e-019	2.03969e-019	5.38169e-020	1.35974e-020	3.29035e-021	7.62693e-022	1.69378e-022	3.60454e-023	7.35211e-024	1.4376e-024	2.6954e-025	4.84698e-026	8.36151e-027	1.38412e-027	2.19912e-028	3.35448e-029	4.91388e-030	6.91458e-031	9.34916e-032	1.21499e-032	1.51807e-033	1.82417e-034	2.10872e-035	2.34579e-036	2.51196e-037	2.59013e-038	2.57249e-039	2.46177e-040	2.2706e-041	2.01918e-042	1.73176e-043	1.43294e-044	1.14436e-045	8.82524e-047	6.58125e-048	4.77633e-049	3.5245e-050	3.81685e-051	
N2	0.0808535	0.088101	0.0937596	0.0982064	0.0988914	0.0968737	0.0899302	0.0808221	0.0687496	0.0565269	0.0439235	0.0333306	0.0237646	0.0167034	0.0110763	0.00728944	0.00450844	0.00283222	0.00164753	0.000990132	0.000550016	0.000317094	0.000166697	9.32235e-005	4.61087e-005	2.45064e-005	1.15089e-005	5.78348e-006	2.52706e-006	1.20784e-006	4.90486e-007	2.19952e-007	8.38511e-008	3.50543e-008	1.24146e-008	4.94231e-009	1.61724e-009	5.9873e-010	1.85368e-010	6.43788e-011	1.84226e-011	6.04468e-012	1.61149e-012	4.9602e-013	1.24328e-013	3.54272e-014	8.28864e-015	2.26154e-015	4.87259e-016	1.22664e-016	2.51645e-017	5.9612e-018	1.12633e-018	2.51088e-019	4.43924e-020	9.32589e-021	1.54729e-021	2.99923e-022	4.67794e-023	8.76623e-024	1.26507e-024	2.20459e-025	3.12999e-026	5.36877e-027	7.70582e-028	1.39866e-028	2.39311e-029	5.15399e-030	1.20744e-030	4.64663e-031	
N3	0.00084568	0.00127128	0.00221719	0.0040106	0.00696968	0.0115525	0.0178028	0.0259631	0.0353334	0.045787	0.0561688	0.0669498	0.0761834	0.0845362	0.0891815	0.0904329	0.0859013	0.0779121	0.0652856	0.0520097	0.038216	0.0265809	0.0169989	0.0103633	0.00576741	0.00307063	0.00149838	0.000698613	0.000297974	0.000122746	4.59017e-005	1.66552e-005	5.51193e-006	1.76587e-006	5.15306e-007	1.47297e-007	3.79901e-008	9.63887e-009	2.22184e-009	5.02171e-010	1.02926e-010	2.09384e-011	3.83066e-012	6.98561e-013	1.15344e-013	1.89032e-014	2.80557e-015	4.18605e-016	5.59885e-017	7.55617e-018	9.23055e-019	1.13225e-019	1.25541e-020	1.41589e-021	1.43274e-022	1.48106e-023	1.38766e-024	1.32294e-025	1.15161e-026	1.03798e-027	8.56385e-029	7.39661e-030	6.04829e-031	5.18321e-032	4.3069e-033	3.7479e-034	3.18517e-035	2.77125e-036	2.43328e-037	3.21987e-038	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	7.0027e-006	1.41787e-005	3.68984e-005	9.90389e-005	0.000248431	0.000579531	0.00123794	0.00243222	0.00428613	0.00686512	0.010202	0.0149131	0.0219622	0.0333352	0.0502064	0.0730478	0.0979472	0.120319	0.130459	0.12701	0.107914	0.0818273	0.0538432	0.0320733	0.0164404	0.00775088	0.00316802	0.00120605	0.000396863	0.000126049	3.3982e-005	9.04483e-006	2.05001e-006	4.60271e-007	8.70946e-008	1.67948e-008	2.66127e-009	4.3448e-010	5.88034e-011	8.16829e-012	9.35379e-013	1.12518e-013	1.09948e-014	1.14049e-015	9.69267e-017	8.71734e-018	6.42569e-019	5.13538e-020	3.29844e-021	2.32009e-022	1.33213e-023	8.35088e-025	4.23906e-026	2.41187e-027	1.09472e-028	5.63358e-030	2.3313e-031	1.08319e-032	4.06924e-034	1.77356e-035	6.04006e-037	2.41279e-038	7.89993e-040	3.04118e-041	1.00114e-042	4.09444e-044	1.57692e-045	7.23253e-047	3.26916e-048	2.12447e-049	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0518495	0.058836	0.0671531	0.0766734	0.0847217	0.0909991	0.0923827	0.0902294	0.0830731	0.0734092	0.0611478	0.0493351	0.0374153	0.0277059	0.0193915	0.0133204	0.00863566	0.00559666	0.00338481	0.00207489	0.001186	0.000690829	0.0003704	0.000207903	0.000104162	5.55066e-005	2.62636e-005	1.32415e-005	5.79851e-006	2.78962e-006	1.12772e-006	5.08793e-007	1.92111e-007	8.06689e-008	2.80488e-008	1.11899e-008	3.56473e-009	1.31705e-009	3.9401e-010	1.35807e-010	3.72643e-011	1.21041e-011	3.07161e-012	9.32548e-013	2.21571e-013	6.21152e-014	1.37102e-014	3.68399e-015	7.45021e-016	1.84249e-016	3.54467e-017	8.24599e-018	1.45117e-018	3.17311e-019	5.19902e-020	1.06959e-020	1.63394e-021	3.07126e-022	4.37893e-023	7.96944e-024	1.03114e-024	1.70999e-025	2.14409e-026	3.43473e-027	4.16184e-028	6.87826e-029	1.00993e-029	2.06783e-030	4.65034e-031	2.00073e-031	
N6	0.0180945	0.0217301	0.027242	0.0348248	0.0435388	0.0532855	0.0621455	0.0702335	0.075516	0.078437	0.0774616	0.07438	0.0677975	0.0605272	0.0516959	0.0434799	0.0350335	0.028171	0.0215085	0.0165004	0.0120051	0.00877893	0.00603064	0.00424054	0.00274147	0.00183253	0.00112422	0.000711881	0.000407777	0.000245914	0.000130966	7.39781e-005	3.68938e-005	1.93953e-005	8.93567e-006	4.42748e-006	1.87778e-006	8.62221e-007	3.42089e-007	1.46092e-007	5.34045e-008	2.14491e-008	7.25638e-009	2.71826e-009	8.6208e-010	2.9998e-010	8.84435e-011	2.92916e-011	7.98977e-012	2.45975e-012	6.36706e-013	1.84111e-013	4.41772e-014	1.21026e-014	2.71587e-015	6.99902e-016	1.48353e-016	3.55692e-017	7.08065e-018	1.63538e-018	3.03717e-019	6.5883e-020	1.2047e-020	2.5771e-021	4.82295e-022	1.09998e-022	2.40303e-023	6.32225e-024	1.83565e-024	9.11697e-025	
N7	4.38223e-005	8.18908e-005	0.000186483	0.00043286	0.000944939	0.00192145	0.00353989	0.00613237	0.0101407	0.0163694	0.0249678	0.0358127	0.0462714	0.0545112	0.0573745	0.056165	0.0521592	0.049988	0.0497304	0.0534937	0.05809	0.0635971	0.065484	0.0655656	0.0592274	0.0514656	0.0400468	0.0298025	0.0196732	0.012606	0.0070516	0.00385553	0.00184494	0.000860081	0.000349225	0.000140543	4.84687e-005	1.66777e-005	4.95966e-006	1.4663e-006	3.73163e-007	9.61213e-008	2.10704e-008	4.71015e-009	9.03332e-010	1.75884e-010	2.94114e-011	5.09143e-012	7.44967e-013	1.1358e-013	1.48532e-014	2.0131e-015	2.32991e-016	2.84901e-017	2.94305e-018	3.23303e-019	3.02838e-020	2.99216e-021	2.53603e-022	2.31899e-023	1.79513e-024	1.51656e-025	1.13249e-026	9.28845e-028	7.0328e-029	5.98159e-030	4.90507e-031	4.36251e-032	3.90515e-033	5.34076e-034	
