NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	5.01566e-006	5.10953e-006	5.10166e-006	4.86096e-006	4.36676e-006	3.71407e-006	3.06852e-006	2.59087e-006	2.387e-006	2.51833e-006	3.04884e-006	4.07779e-006	5.70369e-006	7.87969e-006	1.0155e-005	1.14554e-005	1.1395e-005	1.01511e-005	8.55453e-006	7.51448e-006	7.74408e-006	1.00962e-005	1.63353e-005	3.02943e-005	5.94639e-005	0.000118923	0.000222038	0.000369533	0.000539805	0.000714095	0.000932794	0.00136692	0.00250527	0.00579629	0.0152114	0.0387606	0.0841895	0.147757	0.196664	0.197321	0.150905	0.0898175	0.042674	0.0165961	0.00539055	0.00147991	0.000344579	6.78547e-005	1.12387e-005	1.57897e-006	1.84688e-007	1.79579e-008	1.45202e-009	9.78001e-011	5.50189e-012	2.59357e-013	3.45672e-017	6.32363e-018	1.06503e-018	1.65494e-019	2.37848e-020	3.1725e-021	
N2	2.10403e-006	4.05993e-007	5.44958e-007	6.66589e-007	7.50398e-007	9.71278e-007	1.70239e-006	3.08676e-006	4.58748e-006	5.33867e-006	5.59156e-006	9.30582e-006	2.50986e-005	5.82201e-005	9.72046e-005	0.000125193	0.000204761	0.000556469	0.00135778	0.00231006	0.00274992	0.00319204	0.0121083	0.0530596	0.136981	0.221179	0.235042	0.175417	0.0962883	0.0405157	0.013636	0.00384496	0.000950719	0.000212845	4.34904e-005	8.026e-006	1.32045e-006	1.93579e-007	2.52225e-008	2.98789e-009	3.28418e-010	3.39979e-011	3.32393e-012	3.04214e-013	2.57052e-014	1.981e-015	1.38206e-016	8.70673e-018	4.96116e-019	2.57634e-020	1.21809e-021	5.32417e-023	2.17303e-024	8.35031e-026	3.03494e-027	1.04341e-028	3.38178e-030	1.02851e-031	2.92468e-033	7.76945e-035	1.93358e-036	4.54121e-038	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	1.21878e-007	5.78649e-008	6.25934e-008	4.78525e-008	2.61671e-008	1.05157e-008	3.21895e-009	1.33929e-008	3.30358e-008	5.85063e-007	5.98899e-006	2.59642e-005	6.06157e-005	8.51897e-005	7.68105e-005	4.62454e-005	1.94826e-005	5.88242e-006	1.30158e-006	8.9624e-005	0.00014564	0.0409076	0.198824	0.328514	0.263022	0.12196	0.0362481	0.00801367	0.00157326	0.000307228	5.63491e-005	8.69402e-006	1.066e-006	1.02631e-007	7.85307e-009	4.95792e-010	2.81476e-011	1.6605e-012	1.09995e-013	7.58942e-015	4.80213e-016	2.60052e-017	1.17683e-018	4.42529e-020	1.38441e-021	3.6231e-023	8.03765e-025	1.56313e-026	2.89039e-028	5.84265e-030	1.39184e-031	3.61664e-033	9.0188e-035	2.02006e-036	4.00165e-038	7.08503e-040	1.14845e-041	1.74731e-043	2.51813e-045	3.39246e-047	4.18435e-049	4.69407e-051	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	9.58113e-006	2.27736e-006	2.08438e-006	1.82568e-006	1.58142e-006	1.43411e-006	1.45223e-006	1.7099e-006	2.31116e-006	3.36401e-006	4.85256e-006	6.45976e-006	7.58955e-006	7.67853e-006	6.98838e-006	5.96224e-006	5.32593e-006	5.50857e-006	7.19254e-006	1.21521e-005	2.49935e-005	5.57401e-005	0.000120824	0.000237631	0.000413707	0.000655801	0.000983111	0.00151587	0.00261169	0.0052579	0.0120199	0.02834	0.0616219	0.113307	0.166992	0.191998	0.170995	0.120679	0.068439	0.0327435	0.0136996	0.00503591	0.00159344	0.000428021	0.000100661	2.35959e-005	6.75433e-006	2.35777e-006	8.12136e-007	2.40756e-007	5.76158e-008	1.10633e-008	1.72772e-009	2.32706e-010	3.16999e-011	5.42382e-012	1.14434e-012	2.40831e-013	4.40317e-014	6.59658e-015	7.87662e-016	7.44793e-017	
N5	7.18044e-006	8.96137e-007	1.0832e-006	1.34598e-006	1.65484e-006	1.94024e-006	2.12239e-006	2.17781e-006	2.18543e-006	2.30533e-006	2.72741e-006	3.65296e-006	5.34204e-006	8.37549e-006	1.45796e-005	2.77315e-005	5.43921e-005	0.000101821	0.000180339	0.000319295	0.000600037	0.00117898	0.00224281	0.00389557	0.00627917	0.0108313	0.0223461	0.049659	0.0976889	0.154143	0.189616	0.181325	0.13558	0.0801496	0.0382303	0.0153424	0.0056361	0.00219228	0.00101226	0.000571034	0.000352513	0.000207704	0.000107059	4.66527e-005	1.72331e-005	5.5779e-006	1.6834e-006	5.07805e-007	1.57147e-007	4.8411e-008	1.39047e-008	3.60752e-009	8.33578e-010	1.71909e-010	3.20542e-011	5.50193e-012	8.81997e-013	1.3242e-013	1.84558e-014	2.3603e-015	2.75462e-016	2.94033e-017	
N6	1.19845e-005	3.41604e-006	4.69872e-006	5.40915e-006	5.05983e-006	3.8388e-006	2.3869e-006	1.24372e-006	1.08863e-006	6.90476e-006	5.61846e-005	0.00032225	0.00114715	0.00260035	0.00394595	0.00415926	0.00320009	0.0018392	0.000806726	0.000312659	0.000360385	0.0038744	0.030157	0.108661	0.207945	0.239513	0.175714	0.0879979	0.0318689	0.00892577	0.00210652	0.000456188	0.00343931	0.0143775	0.023841	0.0218179	0.0128002	0.00536422	0.00172911	0.000470261	0.000114441	2.51269e-005	4.84477e-006	7.96759e-007	1.0999e-007	1.26953e-008	1.23024e-009	1.01206e-010	7.21617e-012	4.63652e-013	2.80317e-014	1.69014e-015	1.02968e-016	6.12166e-018	3.38146e-019	1.67521e-020	7.31495e-022	2.80341e-023	9.47937e-025	2.86635e-026	7.91184e-028	2.04379e-029	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
