NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.278057	0.278268	0.223665	0.13501	0.0601449	0.0195246	0.00452099	0.000724317	7.828e-005	5.67394e-006	2.80336e-007	9.71057e-009	2.41683e-010	4.36745e-012	5.70315e-017	5.52403e-018	4.51433e-019	3.10773e-020	1.80317e-021	8.83573e-023	3.66693e-024	1.2933e-025	3.89128e-027	1.00295e-028	2.22429e-030	4.26431e-032	7.10141e-034	1.03229e-035	1.31626e-037	1.47931e-039	1.47234e-041	1.30367e-043	1.03145e-045	7.32276e-048	4.68377e-050	2.70935e-052	1.42252e-054	6.8024e-057	2.9723e-059	1.19037e-061	4.38222e-064	1.48705e-066	4.66346e-069	1.35491e-071	3.65553e-074	9.17881e-077	2.14948e-079	4.70385e-082	9.63766e-085	1.85212e-087	3.34417e-090	5.68248e-093	9.10105e-096	1.37592e-098	1.96632e-101	2.6599e-104	3.41022e-107	4.14899e-110	4.79582e-113	5.27355e-116	5.55701e-119	7.8053e-122	
N2	1.17439e-006	1.07743e-005	7.35349e-005	0.000366612	0.00136983	0.0045756	0.0122447	0.025838	0.0379146	0.0383971	0.0491179	0.0970457	0.163484	0.207868	0.181364	0.115247	0.0475216	0.0144198	0.00271451	0.000390333	3.33196e-005	2.31083e-006	9.47533e-008	3.47955e-009	7.66844e-011	1.65388e-012	2.18433e-014	3.06552e-016	2.64447e-018	2.56482e-020	1.54873e-022	1.11884e-024	4.97831e-027	2.72606e-029	9.33935e-032	4.14656e-034	1.12456e-036	3.97032e-039	8.77535e-042	2.66048e-044	4.84485e-047	1.19489e-049	1.83392e-052	4.04436e-055	5.23054e-058	9.48855e-061	1.05905e-063	1.78053e-066	1.70435e-069	2.36952e-072	1.99667e-075	2.64073e-078	1.93417e-081	2.12198e-084	1.39378e-087	1.49822e-090	8.68061e-094	7.76562e-097	4.27091e-100	4.52195e-103	5.6059e-106	2.0674e-108	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	2.9702e-010	5.64612e-009	8.05364e-008	8.26781e-007	5.04187e-006	2.83622e-005	0.00021144	0.00115444	0.00343393	0.00377344	0.00127437	0.000536103	0.000805671	0.00433537	0.0229354	0.0841069	0.197033	0.291274	0.240194	0.118156	0.0261671	0.00427848	0.00027661	1.74261e-005	4.18438e-007	1.14827e-008	1.27466e-010	1.78664e-012	1.07627e-014	8.78351e-017	3.19694e-019	1.68564e-021	3.98719e-024	1.44607e-026	2.34895e-029	6.37325e-032	7.45139e-035	1.53941e-037	1.36533e-040	2.56091e-043	1.86318e-046	2.81636e-049	1.8089e-052	3.27312e-055	1.91258e-058	2.37575e-061	1.25673e-064	1.944e-067	8.77939e-071	8.23599e-074	3.27458e-077	3.8064e-080	1.28051e-083	9.07723e-087	2.70168e-090	2.40271e-093	6.1199e-097	3.36839e-100	7.70611e-104	5.59204e-107	1.94742e-110	3.84028e-113	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.0798229	0.17921	0.244097	0.229704	0.15194	0.0774993	0.0281524	0.00784738	0.00145621	0.000237971	2.71172e-005	4.15168e-006	3.92925e-007	6.31877e-008	4.52484e-009	6.19018e-010	3.07153e-011	2.93172e-012	9.70664e-014	7.19767e-015	1.51381e-016	6.63532e-018	8.81363e-020	3.66325e-021	3.18386e-023	6.43703e-025	3.76001e-027	8.8356e-029	3.44273e-031	3.29723e-033	9.1364e-036	1.15207e-037	2.14603e-040	1.03238e-042	1.41159e-045	9.35885e-048	8.92542e-051	2.4276e-053	1.89742e-056	8.85133e-059	5.08467e-062	8.83834e-065	4.37782e-068	1.39045e-070	5.8531e-074	9.30498e-077	4.71429e-080	2.11854e-082	8.67648e-086	1.13693e-088	4.08267e-092	9.86857e-095	2.64044e-098	2.68074e-101	8.40153e-105	2.47112e-107	5.29417e-111	3.60106e-114	6.72068e-118	8.86539e-121	2.70806e-124	1.01827e-126	
N5	0.00220826	0.00931635	0.0287027	0.066364	0.114706	0.160806	0.183892	0.177586	0.129893	0.0769614	0.032613	0.0123503	0.00328106	0.000992281	0.000221569	7.87695e-005	1.86004e-005	6.53626e-006	1.16872e-006	3.07749e-007	3.59489e-008	6.30322e-009	4.79367e-010	6.31706e-011	3.22737e-012	2.77751e-013	9.84228e-015	7.11358e-016	1.78502e-017	8.08499e-019	1.49323e-020	6.33929e-022	8.5454e-024	2.1929e-025	2.26821e-027	5.88352e-029	4.55397e-031	7.21906e-033	4.55461e-035	8.25645e-037	4.07913e-039	4.37552e-041	1.82024e-043	2.3062e-045	7.62104e-048	5.87712e-050	1.7623e-052	1.88406e-054	4.70931e-057	2.77447e-059	6.25788e-062	4.75715e-064	8.81319e-067	4.05109e-069	7.37255e-072	5.33076e-074	8.19111e-077	3.03711e-079	4.38093e-082	2.31203e-084	6.37635e-087	1.37224e-088	
N6	9.80036e-008	1.34034e-006	1.31935e-005	8.86673e-005	0.000512621	0.00201781	0.0034251	0.0036672	0.00905011	0.0232124	0.0673653	0.182889	0.310799	0.26183	0.0799914	0.0137642	0.00234768	0.00278145	0.00477627	0.00822579	0.00818389	0.00800811	0.00413936	0.0021752	0.000564139	0.000149864	1.83153e-005	2.28575e-006	1.1685e-007	6.00178e-009	1.28627e-010	3.29447e-012	3.67139e-014	5.32531e-016	3.66263e-018	3.78099e-020	1.77523e-022	1.22847e-024	4.23474e-027	2.43848e-029	6.3289e-032	2.55679e-034	5.21986e-037	1.89575e-039	3.03646e-042	7.93391e-045	1.04468e-047	2.62288e-050	2.80089e-053	5.11718e-056	4.63553e-059	8.49218e-062	6.36752e-065	8.57975e-068	5.63925e-071	8.1196e-074	4.53864e-077	4.75869e-080	2.43246e-083	3.06803e-086	3.2273e-089	1.45027e-091	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
