NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.214224	0.24666	0.234824	0.167921	0.0889096	0.0348508	0.0100998	0.00214318	0.000328667	3.59695e-005	2.79171e-006	1.53386e-007	5.97371e-009	1.64953e-010	3.22601e-012	5.30268e-017	5.23168e-018	4.32987e-019	3.00752e-020	1.75636e-021	8.64953e-023	3.60646e-024	1.27921e-025	3.88009e-027	1.012e-028	2.28241e-030	4.4763e-032	7.67615e-034	1.15713e-035	1.54121e-037	1.82266e-039	1.92281e-041	1.81748e-043	1.54567e-045	1.18737e-047	8.26975e-050	5.24029e-052	3.03115e-054	1.60546e-056	7.80921e-059	3.49808e-061	1.44678e-063	5.53859e-066	1.96713e-068	6.49624e-071	1.99893e-073	5.74251e-076	1.5431e-078	3.88554e-081	9.18363e-084	2.04074e-086	4.27017e-089	8.42607e-092	1.57015e-094	2.76679e-097	4.61628e-100	7.30168e-103	1.09618e-105	1.56375e-108	2.12246e-111	2.76242e-114	4.77499e-117	
N2	6.55039e-007	6.25457e-006	4.63064e-005	0.000249783	0.00101399	0.00343391	0.00948993	0.0215573	0.0378784	0.0548297	0.0787356	0.114352	0.149612	0.176728	0.164838	0.112755	0.0522033	0.0178022	0.00380307	0.000599079	6.11236e-005	4.59461e-006	2.21982e-007	9.27778e-009	2.4077e-010	5.77064e-012	9.54509e-014	1.46745e-015	1.54076e-017	1.74413e-019	1.27046e-021	1.02538e-023	5.82531e-026	3.50651e-028	1.46882e-030	7.58427e-033	2.46791e-035	9.72272e-038	2.74207e-040	8.88749e-043	1.9693e-045	5.70948e-048	1.04193e-050	2.49561e-053	4.15355e-056	8.16991e-059	1.10987e-061	2.14318e-064	2.46584e-067	3.82436e-070	4.16751e-073	5.78498e-076	5.21979e-079	6.85549e-082	5.42627e-085	6.25941e-088	4.74306e-091	4.61646e-094	3.1462e-097	3.8456e-100	5.5246e-103	2.21633e-105	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	1.073e-010	2.20084e-009	3.58762e-008	4.12354e-007	3.22648e-006	1.99628e-005	0.000117064	0.000579205	0.00195072	0.00338502	0.00382858	0.0049565	0.00779287	0.0130536	0.0256134	0.0670313	0.161285	0.267807	0.25312	0.141112	0.0411071	0.00669617	0.000508372	3.12317e-005	8.22593e-007	2.13547e-008	2.87651e-010	3.98376e-012	2.81113e-014	2.58468e-016	1.1079e-018	6.64356e-021	1.98576e-023	8.17612e-026	1.65996e-028	5.62446e-031	8.37097e-034	2.03915e-036	2.69822e-039	5.3086e-042	5.31618e-045	1.05521e-047	8.71059e-051	1.37001e-053	1.18271e-056	1.36681e-059	8.7455e-063	1.30391e-065	6.70007e-069	6.38668e-072	3.38563e-075	3.27272e-078	1.29735e-081	1.11506e-084	3.77117e-088	3.28224e-091	1.06089e-094	6.2564e-098	1.72986e-101	1.44257e-104	6.48202e-108	1.52639e-110	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.0584064	0.140831	0.217878	0.23256	0.177918	0.105373	0.0459078	0.0159125	0.00415343	0.000890311	0.000141785	2.47499e-005	2.80036e-006	4.37405e-007	4.10176e-008	5.27224e-009	3.17061e-010	3.28605e-011	1.22965e-012	8.66785e-014	2.36117e-015	1.05358e-016	1.82958e-018	8.29642e-020	9.84402e-022	2.53436e-023	2.7739e-025	6.66641e-027	4.48198e-029	7.81483e-031	3.75789e-033	6.15788e-035	2.37572e-037	1.78278e-039	4.6525e-042	5.22724e-044	9.04207e-047	3.9784e-049	6.3638e-052	3.49712e-054	3.51892e-057	1.12977e-059	8.8593e-063	3.0573e-065	2.12278e-068	3.27068e-071	1.83959e-074	6.46744e-077	2.52589e-080	2.79837e-083	1.17371e-086	1.72622e-089	4.6406e-093	5.75103e-096	1.51137e-099	2.31957e-102	5.44093e-106	3.14391e-109	6.43348e-113	9.04827e-116	2.6812e-119	9.02709e-122	
N5	0.00155209	0.00674733	0.0222346	0.0543646	0.100547	0.149113	0.1737	0.168875	0.135753	0.092756	0.0513408	0.0266608	0.0104556	0.00415919	0.00125284	0.000386021	7.84323e-005	2.02339e-005	2.92256e-006	5.99699e-007	7.41797e-008	1.21268e-008	1.07968e-009	1.53717e-010	9.36272e-012	8.65441e-013	4.14484e-014	2.82955e-015	8.76606e-017	4.74371e-018	1.04409e-019	4.32914e-021	7.85966e-023	2.09997e-024	2.7071e-026	7.93794e-028	7.52275e-030	1.32693e-031	1.158e-033	1.96807e-035	1.23647e-037	1.67398e-039	8.59147e-042	1.09092e-043	5.18477e-046	4.2274e-048	1.62679e-050	1.8741e-052	5.7843e-055	3.77144e-057	1.20345e-059	8.37518e-062	1.99077e-064	1.23292e-066	2.67337e-069	1.68826e-071	3.55347e-074	1.37522e-076	2.517e-079	1.56823e-081	4.90579e-084	1.11155e-085	
N6	3.04722e-008	4.27486e-007	4.53185e-006	3.32096e-005	0.000186652	0.000808169	0.00213259	0.00446336	0.00912548	0.0179587	0.0443181	0.100754	0.161943	0.160407	0.10953	0.115694	0.119664	0.0902828	0.0332878	0.0111439	0.00652666	0.00577361	0.00333856	0.00188448	0.000553703	0.000157503	2.39673e-005	3.20534e-006	2.02075e-007	1.24278e-008	3.30633e-010	9.46027e-012	1.41047e-013	2.2213e-015	1.90852e-017	2.27042e-019	1.28179e-021	9.6741e-024	4.35871e-026	2.49971e-028	7.86291e-031	3.75641e-033	8.9772e-036	3.39088e-038	7.10084e-041	1.97175e-043	3.15549e-046	9.03847e-049	1.15643e-051	2.36245e-054	2.82473e-057	5.28247e-060	4.92775e-063	8.25306e-066	6.60763e-069	9.95306e-072	7.49794e-075	8.51916e-078	5.52414e-081	8.09929e-084	1.00018e-086	4.86429e-089	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	9.67449e-018	1.66467e-015	1.89192e-013	5.64178e-012	2.60801e-010	6.49633e-009	1.56384e-007	6.52989e-008	9.51331e-007	5.00757e-006	2.19546e-006	4.39445e-005	0.000608148	0.00342034	0.00311324	0.0002303	0.00025205	0.00143655	0.00278251	0.00125376	0.000214468	1.49033e-005	2.57765e-005	0.00046508	0.00492217	0.0426615	0.187721	0.432531	0.259751	0.056716	0.00179588	3.27716e-005	1.86459e-007	9.75117e-010	1.97264e-012	5.10354e-015	5.09135e-018	7.09438e-021	4.31849e-024	3.73463e-027	1.41657e-030	8.92231e-034	2.29967e-037	1.01125e-040	2.20659e-044	6.88307e-048	1.06941e-051	3.66435e-055	4.51616e-059	1.00231e-062	1.32744e-066	2.51981e-070	2.28533e-074	4.61798e-078	3.36005e-082	5.33512e-086	3.96782e-090	4.26957e-094	2.38767e-098	3.85752e-102	3.74638e-106	1.64491e-109	
