NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.282583	0.279421	0.222084	0.132882	0.0588181	0.0190194	0.00440143	0.00070816	7.73487e-005	5.7064e-006	2.88907e-007	1.03118e-008	2.6555e-010	4.9815e-012	6.20236e-017	6.1404e-018	5.13796e-019	3.6279e-020	2.16266e-021	1.09042e-022	4.66291e-024	1.69667e-025	5.2725e-027	1.40499e-028	3.2244e-030	6.40225e-032	1.10505e-033	1.66604e-035	2.20464e-037	2.57282e-039	2.66025e-041	2.44816e-043	2.01396e-045	1.48718e-047	9.89701e-050	5.95823e-052	3.25659e-054	1.62151e-056	7.37885e-059	3.07819e-061	1.18058e-063	4.17425e-066	1.36416e-068	4.13073e-071	1.16163e-073	3.04052e-076	7.42289e-079	1.69358e-081	3.61798e-084	7.24989e-087	1.36503e-089	2.41883e-092	4.04009e-095	6.37004e-098	9.49444e-101	1.33955e-103	1.79129e-106	2.27316e-109	2.7407e-112	3.1436e-115	3.4562e-118	5.07873e-121	
N2	1.22836e-006	1.10916e-005	7.48998e-005	0.000370688	0.00138035	0.00458994	0.0122413	0.0257142	0.037591	0.038462	0.0499952	0.098277	0.164193	0.207351	0.180288	0.114431	0.0473686	0.0144623	0.00275659	0.000402228	3.51149e-005	2.49507e-006	1.05563e-007	3.99854e-009	9.14163e-011	2.04159e-012	2.80524e-014	4.08366e-016	3.67033e-018	3.69675e-020	2.32741e-022	1.74612e-024	8.10306e-027	4.61109e-029	1.64782e-031	7.59879e-034	2.14991e-036	7.89061e-039	1.81976e-041	5.7303e-044	1.08912e-046	2.79318e-049	4.47556e-052	1.0252e-054	1.38465e-057	2.61265e-060	3.04593e-063	5.3185e-066	5.31856e-069	7.69143e-072	6.77139e-075	9.30043e-078	7.11779e-081	8.12339e-084	5.57494e-087	6.22158e-090	3.76644e-093	3.50555e-096	2.0171e-099	2.22548e-102	2.88698e-105	1.09983e-107	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	3.17838e-010	5.9266e-009	8.34153e-008	8.47076e-007	5.15807e-006	2.90933e-005	0.000214314	0.00115537	0.00339431	0.00370716	0.00127694	0.000554105	0.00084736	0.00451985	0.0235798	0.0854179	0.198087	0.290521	0.238604	0.117241	0.0262154	0.00432341	0.000286622	1.84876e-005	4.60127e-007	1.30346e-008	1.50594e-010	2.1859e-012	1.37293e-014	1.16223e-016	4.41582e-019	2.41752e-021	5.97493e-024	2.25182e-026	3.82527e-029	1.07848e-031	1.31943e-034	2.83369e-037	2.63051e-040	5.10871e-043	3.88385e-046	6.08912e-049	4.08089e-052	7.58949e-055	4.62317e-058	5.95831e-061	3.28969e-064	5.24012e-067	2.47122e-070	2.40908e-073	1.00136e-076	1.20076e-079	4.22154e-083	3.11108e-086	9.68597e-090	8.89284e-093	2.36801e-096	1.35526e-099	3.24578e-103	2.43667e-106	8.94033e-110	1.82594e-112	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.0815185	0.181027	0.24456	0.228642	0.150499	0.0764994	0.0277614	0.00776347	0.00145429	0.000241317	2.80751e-005	4.37166e-006	4.2185e-007	6.87698e-008	5.03632e-009	7.01775e-010	3.57463e-011	3.48674e-012	1.18746e-013	9.0073e-015	1.95479e-016	8.8126e-018	1.21376e-019	5.1778e-021	4.68057e-023	9.80999e-025	5.98676e-027	1.45074e-028	5.91995e-031	5.91924e-033	1.72456e-035	2.25675e-037	4.42645e-040	2.23363e-042	3.22549e-045	2.22958e-047	2.2469e-050	6.42961e-053	5.32363e-056	2.59299e-058	1.58003e-061	2.90296e-064	1.5333e-067	5.12952e-070	2.30911e-073	3.89799e-076	2.10438e-079	9.85287e-082	4.28044e-085	5.91454e-088	2.25268e-091	5.69085e-094	1.61367e-097	1.72409e-100	5.71048e-104	1.73942e-106	3.94301e-110	2.82579e-113	5.59324e-117	7.72147e-120	2.51162e-123	9.86234e-126	
N5	0.00229686	0.0095706	0.029232	0.0671518	0.115557	0.161443	0.183878	0.176683	0.12879	0.076148	0.0323298	0.0122763	0.00329491	0.00100751	0.00022957	8.26357e-005	1.97966e-005	7.01027e-006	1.27226e-006	3.3856e-007	4.03191e-008	7.1807e-009	5.59191e-010	7.49415e-011	3.93295e-012	3.46237e-013	1.26468e-014	9.34339e-016	2.42332e-017	1.12996e-018	2.1635e-020	9.43291e-022	1.32097e-023	3.5054e-025	3.77496e-027	1.00922e-028	8.14344e-031	1.33827e-032	8.81173e-035	1.64652e-036	8.49149e-039	9.45315e-041	4.10903e-043	5.37573e-045	1.85692e-047	1.48726e-049	4.6603e-052	5.12843e-054	1.33868e-056	8.19264e-059	1.93121e-061	1.51726e-063	2.9387e-066	1.40398e-068	2.66962e-071	1.98614e-073	3.18824e-076	1.22909e-078	1.85519e-081	1.01445e-083	2.94331e-086	6.5484e-088	
N6	1.03878e-007	1.39534e-006	1.35479e-005	9.01972e-005	0.000515265	0.0020034	0.00338441	0.00371024	0.00917649	0.0236673	0.0685373	0.184068	0.309411	0.258938	0.0797658	0.0139143	0.00244083	0.00291073	0.00496414	0.00847838	0.00843274	0.00824508	0.00429006	0.00226539	0.00059432	0.000159371	1.97997e-005	2.50795e-006	1.31444e-007	6.92911e-009	1.53807e-010	4.06467e-012	4.70892e-014	7.07131e-016	5.06323e-018	5.40589e-020	2.64373e-022	1.89741e-024	6.81803e-027	4.06414e-029	1.10017e-031	4.61539e-034	9.83552e-037	3.70116e-039	6.19076e-042	1.68104e-044	2.3127e-047	6.01676e-050	6.71396e-053	1.27509e-055	1.20747e-058	2.2924e-061	1.79708e-064	2.51754e-067	1.73024e-070	2.57938e-073	1.50722e-076	1.64282e-079	8.78647e-083	1.15046e-085	1.26783e-088	5.87711e-091	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
