NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.12268	0.122779	0.12179	0.118222	0.110957	0.0997132	0.0851759	0.0687976	0.0523509	0.0374329	0.0251064	0.0157751	0.00927759	0.00510399	0.00262549	0.00126245	0.000567337	0.000238256	9.34971e-005	3.4285e-005	1.17482e-005	3.76211e-006	1.12594e-006	3.14968e-007	8.23645e-008	2.0137e-008	4.60357e-009	9.84261e-010	1.96842e-010	3.68295e-011	6.44809e-012	1.0566e-012	1.45726e-016	5.52287e-017	2.02564e-017	7.19088e-018	2.47103e-018	8.22067e-019	2.64805e-019	8.26029e-020	2.4956e-020	7.30348e-021	2.07072e-021	5.68875e-022	1.51454e-022	3.90827e-023	9.77675e-024	2.37128e-024	5.57724e-025	1.27227e-025	2.81539e-026	6.04477e-027	1.25951e-027	2.5476e-028	5.0049e-029	9.55974e-030	1.77961e-030	3.24759e-031	5.89355e-032	1.10143e-032	2.32235e-033	7.53814e-034	
N2	0.000762308	0.00129404	0.00243684	0.00461879	0.00842684	0.0145317	0.0235142	0.0356012	0.0503797	0.0666115	0.0822842	0.0949675	0.102414	0.103206	0.0971963	0.0855534	0.0703897	0.0541396	0.0389324	0.0261796	0.0164643	0.00968596	0.00533157	0.00274658	0.00132457	0.000598193	0.000253066	0.000100326	3.7286e-005	1.29962e-005	4.25025e-006	1.30479e-006	3.7619e-007	1.01913e-007	2.59557e-008	6.218e-009	1.40191e-009	2.97638e-010	5.95389e-011	1.12282e-011	1.99742e-012	3.35381e-013	5.31834e-014	7.96975e-015	1.12929e-015	1.51398e-016	1.92155e-017	2.31027e-018	2.63276e-019	2.84551e-020	2.91855e-021	2.84242e-022	2.63015e-023	2.31371e-024	1.93621e-025	1.54264e-026	1.17178e-027	8.51385e-029	5.97719e-030	4.20194e-031	3.40954e-032	5.79655e-033	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	1.34859e-007	4.42542e-007	1.85932e-006	7.69112e-006	2.9502e-005	0.000103545	0.000331025	0.000961227	0.00252912	0.0060162	0.0129118	0.0249535	0.043351	0.0675925	0.0944518	0.118137	0.132118	0.131991	0.117717	0.0936782	0.0665013	0.0421115	0.0237922	0.0119981	0.00540395	0.00217565	0.000783776	0.00025295	7.32321e-005	1.90471e-005	4.45758e-006	9.40237e-007	1.79058e-007	3.08417e-008	4.81352e-009	6.81964e-010	8.78685e-011	1.03151e-011	1.10529e-012	1.08299e-013	9.72046e-015	8.0061e-016	6.06134e-017	4.22528e-018	2.71638e-019	1.6131e-020	8.86219e-022	4.5111e-023	2.13068e-024	9.35122e-026	3.8188e-027	1.45303e-028	5.15795e-030	1.71032e-031	5.304e-033	1.54018e-034	4.19261e-036	1.0712e-037	2.57374e-039	5.86442e-041	1.36108e-042	6.27636e-044	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.0357363	0.0474024	0.0617056	0.0771065	0.0911732	0.101276	0.105391	0.102701	0.0937742	0.0803038	0.0645545	0.0487494	0.0346008	0.0230895	0.0144886	0.00854964	0.00474444	0.00247587	0.00121499	0.000560673	0.000243304	9.92895e-005	3.81064e-005	1.37552e-005	4.67037e-006	1.49178e-006	4.48319e-007	1.26783e-007	3.37445e-008	8.45447e-009	1.99433e-009	4.43016e-010	9.26931e-011	1.82715e-011	3.39387e-012	5.94165e-013	9.80622e-014	1.52604e-014	2.23965e-015	3.10032e-016	4.04847e-017	4.98718e-018	5.79563e-019	6.35334e-020	6.56926e-021	6.40596e-022	5.89043e-023	5.10699e-024	4.17499e-025	3.21924e-026	2.34337e-027	1.61358e-028	1.05558e-029	6.61981e-031	4.0512e-032	2.49864e-033	1.63039e-034	1.18604e-035	9.96939e-037	1.01018e-037	1.46872e-038	4.99504e-039	
N5	0.0103659	0.0144589	0.0205054	0.0286702	0.0388071	0.050384	0.0624662	0.0737946	0.0829715	0.0887279	0.0902021	0.087147	0.0799943	0.0697517	0.0577676	0.0454372	0.0339406	0.0240772	0.0162211	0.0103793	0.00630811	0.00364177	0.00199735	0.00104082	0.000515382	0.000242538	0.00010849	4.61347e-005	1.86536e-005	7.17247e-006	2.62314e-006	9.12648e-007	3.0213e-007	9.51878e-008	2.85464e-008	8.15074e-009	2.21621e-009	5.73973e-010	1.41624e-010	3.33004e-011	7.46336e-012	1.59477e-012	3.24977e-013	6.31695e-014	1.1716e-014	2.07386e-015	3.50456e-016	5.65532e-017	8.71713e-018	1.28383e-018	1.8071e-019	2.43179e-020	3.12947e-021	3.85263e-022	4.53894e-023	5.12072e-024	5.53973e-025	5.77036e-026	5.86733e-027	6.11377e-028	7.75393e-029	2.05738e-029	
N6	2.71925e-007	7.65263e-007	2.58743e-006	8.66076e-006	2.7428e-005	8.11357e-005	0.000223225	0.000570294	0.00135201	0.00297296	0.00606108	0.0114516	0.0200409	0.032469	0.0486716	0.0674655	0.086424	0.102255	0.111685	0.112548	0.104594	0.0896032	0.0707333	0.0514375	0.0344503	0.0212469	0.012066	0.00630952	0.0030384	0.00134768	0.000550742	0.000207434	7.20409e-005	2.30817e-005	6.82662e-006	1.865e-006	4.70975e-007	1.10028e-007	2.37984e-008	4.76989e-009	8.86698e-010	1.53021e-010	2.45386e-011	3.66005e-012	5.08267e-013	6.57795e-014	7.94172e-015	8.95351e-016	9.43531e-017	9.30315e-018	8.59088e-019	7.43699e-020	6.0412e-021	4.60917e-022	3.30599e-023	2.23133e-024	1.41859e-025	8.5091e-027	4.83913e-028	2.67169e-029	1.63371e-030	2.15145e-031	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
