NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.286645	0.293586	0.233964	0.127479	0.0456757	0.0107702	0.0016901	0.000176482	1.2064e-005	5.26725e-007	1.43603e-008	2.41099e-010	2.4848e-012	2.88492e-017	1.81587e-018	9.15236e-020	3.73391e-021	1.24718e-022	3.45e-024	8.0092e-026	1.5712e-027	2.62885e-029	3.78271e-031	4.71603e-033	5.12857e-035	4.9023e-037	4.13274e-039	3.08779e-041	2.05399e-043	1.22156e-045	6.52116e-048	3.14047e-050	1.3672e-052	5.39885e-055	1.93995e-057	6.36249e-060	1.91022e-062	5.2698e-065	1.33795e-067	3.13421e-070	6.79052e-073	1.36386e-075	2.54497e-078	4.42482e-081	7.17642e-084	1.0878e-086	1.54385e-089	2.05512e-092	2.57018e-095	3.02661e-098	3.3587e-101	3.51753e-104	3.48144e-107	3.26069e-110	2.89363e-113	2.43742e-116	1.94994e-119	1.48322e-122	1.07386e-125	7.4081e-129	4.87688e-132	3.47136e-135	
N2	0.0412349	0.0874582	0.145082	0.189868	0.186683	0.152031	0.0965678	0.056627	0.0260013	0.0123426	0.00407521	0.00154268	0.000359685	0.000104277	1.76841e-005	3.61765e-006	4.33374e-007	6.28782e-008	6.92218e-009	9.39218e-010	8.47931e-011	7.20426e-012	4.21192e-013	2.42961e-014	1.22264e-015	6.26282e-017	2.42157e-018	8.04117e-020	1.93542e-021	4.36031e-023	9.65798e-025	2.14501e-026	3.73255e-028	5.52499e-030	6.38052e-032	6.91417e-034	7.78649e-036	8.79632e-038	8.22756e-040	6.62347e-042	4.243e-044	2.5914e-046	1.67607e-048	1.10493e-050	6.10624e-053	2.92005e-055	1.11314e-057	3.68949e-060	1.00216e-062	2.6314e-065	5.88913e-068	1.50801e-070	3.07762e-073	8.35192e-076	1.66851e-078	4.86998e-081	9.13706e-084	2.30352e-086	4.14328e-089	1.45585e-091	7.64096e-094	7.22721e-096	
N3	9.64164e-005	0.000211221	0.000428578	0.000975516	0.00233776	0.0056274	0.0129333	0.0239761	0.0370877	0.0473329	0.0373425	0.0307338	0.0464651	0.0932168	0.148362	0.192386	0.160794	0.104229	0.0406263	0.0123735	0.00214555	0.000293719	2.3551e-005	1.60373e-006	6.81123e-008	2.63914e-009	6.80962e-011	1.67258e-012	2.85825e-014	4.75781e-016	5.84539e-018	7.16568e-020	6.6076e-022	6.03804e-024	4.32599e-026	3.09762e-028	1.77118e-030	1.01325e-032	4.75544e-035	2.23124e-037	8.61953e-040	3.31789e-042	1.08768e-044	3.58481e-047	1.00078e-049	2.77588e-052	6.64284e-055	1.57637e-057	3.19764e-060	6.3923e-063	1.09714e-065	1.8621e-068	2.68203e-071	3.88325e-074	4.82586e-077	6.32467e-080	7.0617e-083	8.91157e-086	1.12066e-088	2.12417e-091	5.31055e-094	1.89507e-096	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	1.39411e-006	3.62621e-006	6.84721e-006	1.37545e-005	2.83232e-005	5.57744e-005	0.000239207	0.00122305	0.00456675	0.00835023	0.00432487	0.00111374	0.000564383	0.00102814	0.00390922	0.0172866	0.0672974	0.18807	0.296765	0.269081	0.104907	0.0278869	0.00295795	0.000305255	1.22613e-005	5.6782e-007	1.06171e-008	2.51143e-010	2.57795e-012	3.57045e-014	2.30267e-016	2.04964e-018	8.89068e-021	5.30496e-023	1.68656e-025	7.49309e-028	1.93887e-030	6.5078e-033	1.41053e-035	3.72546e-038	7.01759e-041	1.55e-043	2.73154e-046	5.21445e-049	7.56157e-052	1.14139e-054	1.46289e-057	2.08134e-060	2.34635e-063	2.74795e-066	2.6149e-069	2.66834e-072	2.11935e-075	1.86453e-078	1.37455e-081	1.12204e-084	6.58578e-088	4.06651e-091	1.93136e-094	1.30788e-097	1.20684e-100	2.87072e-103	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0211496	0.0493444	0.0957708	0.150965	0.181285	0.17434	0.136586	0.0967432	0.0551424	0.0265319	0.00897318	0.00256067	0.000494506	9.60868e-005	1.46002e-005	2.85437e-006	4.0087e-007	6.66004e-008	6.78224e-009	9.03873e-010	6.67528e-011	6.70033e-012	3.65186e-013	2.72337e-014	1.0692e-015	5.51735e-017	1.61245e-018	5.90892e-020	1.19624e-021	2.75399e-023	4.15285e-025	7.26173e-027	8.22277e-029	1.01076e-030	8.77005e-033	7.79572e-035	5.21343e-037	3.56025e-039	1.93515e-041	1.05198e-043	4.3423e-046	1.69403e-048	5.67989e-051	1.87199e-053	5.10047e-056	1.34606e-058	2.92986e-061	5.85919e-064	9.19132e-067	1.33266e-069	1.56134e-072	1.83495e-075	1.69253e-078	1.70614e-081	1.3461e-084	1.34012e-087	8.81954e-091	7.80387e-094	4.49716e-097	4.70317e-100	6.72054e-103	2.80605e-105	
N6	0.00228009	0.00607186	0.0149045	0.0324335	0.0590014	0.090303	0.110913	0.125508	0.131781	0.136836	0.113342	0.0871156	0.0470447	0.0265456	0.00969373	0.00437023	0.00121697	0.000464722	0.000117786	4.32178e-005	1.00358e-005	2.9767e-006	5.63011e-007	1.25598e-007	1.81291e-008	2.87231e-009	3.14804e-010	3.59092e-011	2.77987e-012	2.09477e-013	1.21175e-014	6.99512e-016	2.99339e-017	1.23571e-018	3.98899e-020	1.23691e-021	3.11462e-023	7.65395e-025	1.56826e-026	3.12477e-028	5.06811e-030	7.84624e-032	1.0727e-033	1.44159e-035	1.66435e-037	1.86095e-039	1.78451e-041	1.60059e-043	1.18494e-045	8.15261e-048	4.62444e-050	2.55236e-052	1.14366e-054	5.52583e-057	2.16469e-059	1.0939e-061	4.03039e-064	2.07939e-066	7.9043e-069	5.58883e-071	5.66126e-073	1.22385e-074	
N7	0.000155062	0.000405793	0.0011227	0.00283241	0.00532993	0.00847903	0.0140766	0.0193116	0.0280463	0.03147	0.0298252	0.0472677	0.115557	0.234921	0.210407	0.109045	0.048609	0.0264073	0.0127608	0.0118625	0.0100842	0.0103295	0.0076186	0.00704987	0.0039534	0.00221035	0.000657609	0.000178235	2.39988e-005	2.66348e-006	1.50594e-007	7.42434e-009	2.0865e-010	5.39309e-012	9.13499e-014	1.50061e-015	1.70155e-017	1.8874e-019	1.55671e-021	1.2772e-023	7.83253e-026	4.76215e-028	2.31322e-030	1.13548e-032	4.38912e-035	1.6907e-037	5.37081e-040	1.71509e-042	4.4472e-045	1.1444e-047	2.43797e-050	5.15209e-053	8.74416e-056	1.47771e-058	2.03272e-061	2.96511e-064	3.37425e-067	4.37089e-070	4.83361e-073	8.65079e-076	2.2559e-078	1.05846e-080	
