NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.00017367	0.00020222	0.000269	0.000396315	0.000625257	0.00102514	0.00170555	0.00282864	0.00461709	0.00735019	0.0113393	0.0168759	0.0241508	0.0331561	0.0435931	0.0548198	0.0658717	0.0755747	0.0827395	0.0863979	0.0860164	0.0816229	0.0738045	0.063577	0.0521659	0.0407641	0.0303333	0.0214916	0.0144973	0.00930994	0.0056915	0.00331215	0.00183479	0.000967493	0.000485619	0.000232024	0.000105528	4.56884e-005	1.88307e-005	7.3887e-006	2.76013e-006	9.81692e-007	3.32455e-007	1.07209e-007	3.29235e-008	9.6292e-009	2.68239e-009	7.1178e-010	1.79931e-010	4.33372e-011	9.94664e-012	2.17596e-012	4.53878e-013	1.45518e-016	6.34466e-017	2.70707e-017	1.13331e-017	4.68308e-018	1.93622e-018	8.27213e-019	3.94367e-019	2.4657e-019	
N2	0.000994016	0.00110018	0.00133248	0.00172864	0.00234726	0.00326888	0.00459524	0.00644531	0.00894645	0.0122194	0.0163574	0.0214001	0.027307	0.0339347	0.0410243	0.0482057	0.0550215	0.0609707	0.0655677	0.0684069	0.0692212	0.0679234	0.0646202	0.0595976	0.0532787	0.0461644	0.0387668	0.0315492	0.0248815	0.0190157	0.0140827	0.0101063	0.00702801	0.00473591	0.0030925	0.00195685	0.00119993	0.000713033	0.000410615	0.000229163	0.000123951	6.49792e-005	3.30166e-005	1.6261e-005	7.76328e-006	3.59297e-006	1.61216e-006	7.01374e-007	2.95894e-007	1.21073e-007	4.80607e-008	1.85155e-008	6.92703e-009	2.51914e-009	8.92021e-010	3.08446e-010	1.04711e-010	3.5266e-011	1.20423e-011	4.37084e-012	1.86388e-012	1.1127e-012	
N3	0.000841981	0.000977934	0.00127935	0.00180462	0.00264524	0.00392744	0.00580982	0.0084734	0.0121011	0.0168451	0.022784	0.0298761	0.0379181	0.0465237	0.0551335	0.063063	0.0695864	0.0740443	0.0759529	0.0750898	0.0715362	0.0656635	0.0580677	0.0494688	0.0405975	0.0320945	0.0244416	0.0179309	0.0126725	0.00862842	0.00566022	0.00357764	0.00217899	0.00127893	0.000723448	0.000394442	0.00020731	0.000105043	5.13187e-005	2.4177e-005	1.09851e-005	4.81435e-006	2.0355e-006	8.30371e-007	3.26897e-007	1.24212e-007	4.55635e-008	1.61387e-008	5.52119e-009	1.82494e-009	5.83043e-010	1.80149e-010	5.38751e-011	1.56122e-011	4.39144e-012	1.20212e-012	3.21584e-013	8.46828e-014	2.2276e-014	6.07083e-015	1.89932e-015	8.84576e-016	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	3.86188e-006	6.13728e-006	1.29583e-005	3.06039e-005	7.37063e-005	0.000173865	0.000394781	0.000855719	0.00176234	0.00343785	0.00633775	0.0110224	0.0180599	0.0278467	0.0403706	0.0549898	0.0703356	0.0844397	0.0951133	0.100494	0.0995771	0.0925212	0.080604	0.0658418	0.0504307	0.0362224	0.024401	0.0154194	0.00914232	0.0050873	0.00265761	0.00130381	0.000600923	0.0002603	0.000106014	4.06145e-005	1.46431e-005	4.97085e-006	1.58962e-006	4.79123e-007	1.36184e-007	3.65228e-008	9.24712e-009	2.21154e-009	4.99895e-010	1.06858e-010	2.16136e-011	4.139e-012	7.50864e-013	1.29115e-013	2.10571e-014	3.25893e-015	4.78924e-016	6.68721e-017	8.87807e-018	1.12177e-018	1.35115e-019	1.55695e-020	1.73272e-021	1.91839e-022	2.36066e-023	5.02418e-024	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.000637891	0.000707413	0.000861312	0.00112889	0.00155783	0.00221744	0.00320106	0.00462592	0.00662838	0.00935281	0.0129329	0.0174656	0.0229806	0.0294093	0.0365614	0.0441151	0.051629	0.0585769	0.0644049	0.068603	0.0707777	0.0707124	0.0684026	0.0640576	0.0580687	0.0509504	0.0432666	0.0355574	0.0282783	0.0217623	0.0162056	0.0116768	0.00814086	0.00549154	0.0035842	0.00226341	0.00138295	0.000817571	0.000467658	0.000258836	0.000138621	7.18394e-005	3.60286e-005	1.74871e-005	8.21515e-006	3.73588e-006	1.64482e-006	7.01266e-007	2.89602e-007	1.15885e-007	4.49547e-008	1.69173e-008	6.18189e-009	2.19675e-009	7.60909e-010	2.57945e-010	8.62068e-011	2.88038e-011	9.89073e-012	3.68487e-012	1.64599e-012	1.02561e-012	
N6	0.000990186	0.00109572	0.00132516	0.00171263	0.00231056	0.00318995	0.00443924	0.00616056	0.0084623	0.0114471	0.0151951	0.0197446	0.02507	0.0310643	0.0375275	0.044167	0.0506122	0.056445	0.0612423	0.0646258	0.0663114	0.0661476	0.0641382	0.0604422	0.0553531	0.0492589	0.0425933	0.035784	0.0292085	0.0231628	0.0178453	0.0133568	0.00971241	0.0068611	0.00470875	0.00313954	0.00203368	0.00127986	0.000782555	0.000464889	0.000268336	0.000150494	8.20124e-005	4.3429e-005	2.23479e-005	1.11755e-005	5.4312e-006	2.56532e-006	1.1777e-006	5.25548e-007	2.27996e-007	9.61765e-008	3.9464e-008	1.5763e-008	6.13801e-009	2.33724e-009	8.75927e-010	3.27473e-010	1.2555e-010	5.20852e-011	2.56673e-011	1.70752e-011	
N7	7.54961e-007	1.1874e-006	2.37263e-006	5.16754e-006	1.15105e-005	2.55304e-005	5.56233e-005	0.000118074	0.000242908	0.000482539	0.000923186	0.00169776	0.00299682	0.00507162	0.00822129	0.0127563	0.0189338	0.0268697	0.0364435	0.0472233	0.0584439	0.0690655	0.0779162	0.0838998	0.0862176	0.0845434	0.0790988	0.070605	0.0601249	0.0488445	0.0378542	0.0279869	0.0197403	0.0132841	0.00852936	0.00522573	0.00305539	0.00170502	0.000908218	0.000461866	0.000224273	0.000104004	4.60704e-005	1.94974e-005	7.8851e-006	3.04799e-006	1.12642e-006	3.98081e-007	1.34569e-007	4.35251e-008	1.34738e-008	3.99344e-009	1.13371e-009	3.08471e-010	8.05212e-011	2.01998e-011	4.88705e-012	1.14899e-012	2.67254e-013	6.43386e-014	1.8058e-014	7.85218e-015	
