NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.181282	0.171617	0.154383	0.132139	0.107589	0.0832425	0.0611075	0.0424858	0.0279231	0.0173137	0.0101079	0.00554514	0.00285318	0.00137448	0.000618922	0.000260131	0.000101919	3.71844e-005	1.26214e-005	3.98262e-006	1.16757e-006	3.17858e-007	8.03264e-008	1.88378e-008	4.09882e-009	8.27334e-010	1.54903e-010	2.69019e-011	4.33365e-012	6.47587e-013	9.87386e-017	3.54117e-017	1.22341e-017	4.07195e-018	1.30581e-018	4.03511e-019	1.20166e-019	3.44916e-020	9.54366e-021	2.54595e-021	6.54921e-022	1.6248e-022	3.8883e-023	8.97724e-024	2e-024	4.30035e-025	8.92577e-026	1.78872e-026	3.46165e-027	6.47077e-028	1.16856e-028	2.03923e-029	3.43947e-030	5.60826e-031	8.84266e-032	1.3486e-032	1.99036e-033	2.8458e-034	3.95681e-035	5.43489e-036	7.93985e-037	1.78375e-037	
N2	0.0521226	0.0593017	0.0671111	0.0752444	0.081987	0.0868467	0.0882021	0.0864106	0.0807466	0.0726807	0.062282	0.0514668	0.0404343	0.0307133	0.0221496	0.0155144	0.0103005	0.00669029	0.00411103	0.00249745	0.00143071	0.000821425	0.000442432	0.000242567	0.000123629	6.50881e-005	3.14775e-005	1.59206e-005	7.28626e-006	3.5201e-006	1.51858e-006	6.97167e-007	2.82004e-007	1.22258e-007	4.63e-008	1.89413e-008	6.70021e-009	2.5792e-009	8.54444e-010	3.10639e-010	9.63008e-011	3.2992e-011	9.62024e-012	3.12482e-012	8.55728e-013	2.62454e-013	6.79346e-014	1.98246e-014	4.83187e-015	1.33226e-015	3.08281e-016	8.11926e-017	1.77933e-017	4.46212e-018	9.50255e-019	2.35419e-019	5.10857e-020	1.3276e-020	3.34982e-021	1.04267e-021	3.61983e-022	1.9997e-022	
N3	0.00106402	0.00151842	0.00245917	0.00415771	0.00691228	0.0111112	0.0169695	0.024725	0.0341317	0.0450614	0.0566062	0.0682559	0.0783871	0.0862781	0.0900752	0.0897209	0.0843395	0.0753748	0.0633596	0.0505655	0.0378901	0.0269619	0.018	0.0114266	0.00680322	0.00385963	0.00205358	0.00104406	0.000497802	0.000227568	9.75608e-005	4.02582e-005	1.55742e-005	5.82365e-006	2.04047e-006	6.94027e-007	2.20949e-007	6.85691e-008	1.9891e-008	5.64689e-009	1.49567e-009	3.89085e-010	9.42705e-011	2.25099e-011	4.99664e-012	1.09678e-012	2.23603e-013	4.52533e-014	8.50626e-015	1.59507e-015	2.78713e-016	4.8934e-017	8.06842e-018	1.35041e-018	2.15552e-019	3.53102e-020	5.61766e-021	9.20128e-022	1.48279e-022	2.45994e-023	4.34508e-024	1.24854e-024	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	6.94123e-006	1.26535e-005	2.91877e-005	7.17398e-005	0.000172157	0.000394656	0.000849554	0.00171916	0.00325577	0.00586097	0.0101105	0.0169698	0.0275197	0.0428693	0.0626976	0.0853092	0.105999	0.120276	0.123064	0.114316	0.0953173	0.0721636	0.0489658	0.0302767	0.0167737	0.00852651	0.00388516	0.00164202	0.000622392	0.000222238	7.11637e-005	2.18979e-005	6.02695e-006	1.62872e-006	3.91164e-007	9.40077e-008	1.98591e-008	4.25462e-009	7.91777e-010	1.50732e-010	2.46571e-011	4.15111e-012	5.9648e-013	8.87046e-014	1.12005e-014	1.47202e-015	1.63903e-016	1.91178e-017	1.88332e-018	1.95672e-019	1.71611e-020	1.60057e-021	1.25821e-022	1.06333e-023	7.64705e-025	6.03763e-026	4.19042e-027	3.31352e-028	2.49176e-029	2.16127e-030	1.9192e-031	2.78913e-032	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0232758	0.0278596	0.0344514	0.0432357	0.053418	0.0644585	0.0745636	0.0828733	0.0874207	0.0882026	0.0842119	0.0769091	0.0663975	0.0549294	0.0429133	0.0322162	0.0228023	0.0155743	0.0100064	0.00624465	0.00365367	0.00209664	0.00112286	0.000597865	0.000294934	0.000147122	6.73003e-005	3.17267e-005	1.35117e-005	6.03954e-006	2.39794e-006	1.01585e-006	3.74961e-007	1.49669e-007	5.12381e-008	1.91936e-008	6.06774e-009	2.11899e-009	6.18315e-010	2.01155e-010	5.39962e-011	1.62798e-011	4.02887e-012	1.1291e-012	2.56765e-013	6.65403e-014	1.39684e-014	3.36903e-015	6.50071e-016	1.4495e-016	2.59036e-017	5.39852e-018	8.89706e-019	1.72306e-019	2.67518e-020	4.97912e-021	7.59119e-022	1.4427e-022	2.54413e-023	5.83129e-024	1.49309e-024	6.92225e-025	
N6	0.0112411	0.0135958	0.0171264	0.0220449	0.0281776	0.0355352	0.0435355	0.0519284	0.0597153	0.0665728	0.0713974	0.0742064	0.0742004	0.0719844	0.0671871	0.0608845	0.0530007	0.0447923	0.0362672	0.0285215	0.021429	0.0156773	0.010934	0.00746748	0.00485366	0.00311764	0.0019025	0.00116156	0.000671473	0.000393706	0.000217255	0.000123114	6.50166e-005	3.55778e-005	1.79382e-005	9.42703e-006	4.51109e-006	2.25915e-006	1.02079e-006	4.84626e-007	2.05869e-007	9.22742e-008	3.68065e-008	1.55712e-008	5.82568e-009	2.32451e-009	8.17255e-010	3.0847e-010	1.01983e-010	3.64432e-011	1.1388e-011	3.88019e-012	1.15348e-012	3.78271e-013	1.09836e-013	3.59564e-014	1.08317e-014	3.79287e-015	1.32615e-015	5.5851e-016	2.77883e-016	2.191e-016	
N7	3.16145e-005	5.51331e-005	0.000116246	0.000254769	0.000539401	0.00108491	0.00204767	0.00367145	0.00622076	0.00996479	0.0148117	0.0204291	0.0259443	0.0309506	0.0352621	0.0400702	0.0462348	0.0549242	0.0650831	0.0757655	0.0836762	0.0878418	0.0856661	0.0788137	0.0669495	0.0537399	0.039742	0.0279142	0.0180346	0.0111455	0.00632479	0.00346226	0.00173544	0.000846465	0.000376623	0.00016439	6.51085e-005	2.54681e-005	8.9908e-006	3.15214e-006	9.91604e-007	3.11231e-007	8.72751e-008	2.45267e-008	6.13264e-009	1.54351e-009	3.44899e-010	7.7962e-011	1.56088e-011	3.17888e-012	5.73901e-013	1.062e-013	1.74822e-014	2.98419e-015	4.60675e-016	7.51639e-017	1.14595e-017	1.88147e-018	3.00939e-019	5.18752e-020	9.52439e-021	2.89548e-021	
