NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.174165	0.165788	0.150651	0.130748	0.108278	0.0854246	0.0640762	0.0455999	0.030722	0.0195534	0.0117318	0.00662195	0.00350951	0.00174324	0.000810216	0.000351833	0.000142561	5.38415e-005	1.89355e-005	6.19649e-006	1.88559e-006	5.33291e-007	1.40127e-007	3.41967e-008	7.74919e-009	1.6303e-009	3.18402e-010	5.77246e-011	9.7145e-012	1.51766e-012	2.20116e-013	5.75762e-017	2.03604e-017	6.93873e-018	2.27912e-018	7.21596e-019	2.20247e-019	6.48143e-020	1.83922e-020	5.03338e-021	1.32866e-021	3.38352e-022	8.31365e-023	1.97132e-023	4.51173e-024	9.96843e-025	2.12662e-025	4.38142e-026	8.71942e-027	1.67646e-027	3.11475e-028	5.59327e-029	9.7099e-030	1.62992e-030	2.64622e-031	4.15644e-032	6.31916e-033	9.30979e-034	1.33436e-034	1.891e-035	2.85501e-036	6.61711e-037	
N2	0.0505246	0.0573605	0.0649426	0.0729898	0.0798607	0.0850543	0.0869564	0.0858342	0.0808951	0.0734902	0.0636198	0.0531401	0.042239	0.0324721	0.0237229	0.0168328	0.0113318	0.00745913	0.00464967	0.00286222	0.00166345	0.000967149	0.000528381	0.000293153	0.000151555	8.07316e-005	3.96257e-005	2.02897e-005	9.43552e-006	4.62032e-006	2.02815e-006	9.44887e-007	3.89425e-007	1.71517e-007	6.62457e-008	2.75503e-008	9.94699e-009	3.89463e-009	1.31741e-009	4.87223e-010	1.54287e-010	5.37889e-011	1.60226e-011	5.29604e-012	1.48208e-012	4.62786e-013	1.22423e-013	3.63756e-014	9.06618e-015	2.54736e-015	6.02998e-016	1.61901e-016	3.63401e-017	9.30443e-018	2.03222e-018	5.14698e-019	1.14801e-019	3.05436e-020	7.90834e-021	2.51201e-021	8.89417e-022	4.97997e-022	
N3	0.0010795	0.00152954	0.00246059	0.00413789	0.00685293	0.0109863	0.0167506	0.0243824	0.0336475	0.0444257	0.0558359	0.067385	0.0774934	0.0854568	0.0894516	0.0893932	0.0843771	0.0757707	0.0640508	0.0514376	0.0388161	0.0278321	0.0187376	0.012001	0.00721447	0.00413432	0.00222363	0.00114316	0.000551562	0.000255208	0.000110824	4.63269e-005	1.81697e-005	6.88811e-006	2.44884e-006	8.45071e-007	2.73204e-007	8.60865e-008	2.538e-008	7.32129e-009	1.97244e-009	5.21794e-010	1.28703e-010	3.12766e-011	7.07384e-012	1.58158e-012	3.2882e-013	6.78403e-014	1.30163e-014	2.49042e-015	4.44604e-016	7.97176e-017	1.34411e-017	2.2989e-018	3.75337e-019	6.2816e-020	1.02116e-020	1.70629e-021	2.80395e-022	4.73908e-023	8.53457e-024	2.4951e-024	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	7.10039e-006	1.28355e-005	2.93952e-005	7.1888e-005	0.000171959	0.000393384	0.000845843	0.00171104	0.00324138	0.00583741	0.0100692	0.0168842	0.0273361	0.0425051	0.0620829	0.0844338	0.104987	0.11935	0.122503	0.114283	0.0958208	0.0730228	0.049939	0.0311478	0.0174288	0.00895309	0.00412773	0.00176541	0.000678009	0.0002452	7.96269e-005	2.48248e-005	6.93332e-006	1.89883e-006	4.63079e-007	1.12865e-007	2.42382e-008	5.27343e-009	9.99159e-010	1.93489e-010	3.22763e-011	5.53634e-012	8.12363e-013	1.23247e-013	1.59097e-014	2.13523e-015	2.43278e-016	2.89979e-017	2.9252e-018	3.10759e-019	2.79251e-020	2.66418e-021	2.14717e-022	1.8571e-023	1.37013e-024	1.10752e-025	7.88799e-027	6.3819e-028	4.91153e-029	4.34424e-030	3.933e-031	5.8243e-032	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0223868	0.0267132	0.0330032	0.0414599	0.0513702	0.0622555	0.072425	0.0810374	0.0861485	0.0876614	0.084486	0.0779358	0.0680196	0.0569138	0.045011	0.0342175	0.0245475	0.0169948	0.0110793	0.00701324	0.00416713	0.00242625	0.00132032	0.000713165	0.000357592	0.000180884	8.41241e-005	4.02025e-005	1.74156e-005	7.89358e-006	3.19073e-006	1.3718e-006	5.16153e-007	2.0937e-007	7.31603e-008	2.78872e-008	9.0104e-009	3.2062e-009	9.5719e-010	3.17601e-010	8.73144e-011	2.6876e-011	6.81683e-012	1.95146e-012	4.55203e-013	1.20592e-013	2.59792e-014	6.40683e-015	1.26962e-015	2.8967e-016	5.31818e-017	1.13418e-017	1.92208e-018	3.81311e-019	6.09195e-020	1.16219e-020	1.82677e-021	3.5647e-022	6.4751e-023	1.52149e-023	3.99968e-024	1.89287e-024	
N6	0.0109877	0.013234	0.0166235	0.0213657	0.0273064	0.0344697	0.0423131	0.050606	0.058393	0.0653518	0.0703989	0.0735163	0.073893	0.0720756	0.0676694	0.0616968	0.054067	0.0460083	0.0375328	0.0297421	0.0225322	0.0166189	0.0116936	0.00805265	0.00528146	0.00341958	0.00210531	0.00129483	0.000754936	0.000445646	0.000248014	0.000141501	7.54092e-005	4.15812e-005	2.11817e-005	1.12324e-005	5.43849e-006	2.75231e-006	1.26003e-006	6.05241e-007	2.60797e-007	1.18381e-007	4.79389e-008	2.05511e-008	7.81127e-009	3.15977e-009	1.12911e-009	4.32141e-010	1.45267e-010	5.26486e-011	1.67315e-011	5.78229e-012	1.74882e-012	5.81929e-013	1.71965e-013	5.71375e-014	1.75179e-014	6.22444e-015	2.21067e-015	9.43552e-016	4.75524e-016	3.77243e-016	
N7	3.15835e-005	5.46199e-005	0.000114323	0.000249185	0.000525586	0.00105445	0.00198699	0.00355844	0.00602494	0.00965061	0.0143598	0.0198494	0.0252945	0.0303007	0.0346672	0.0395152	0.0456674	0.0542788	0.0643729	0.0750616	0.0831437	0.0876145	0.0858677	0.0794316	0.0679142	0.0548843	0.040906	0.0289579	0.0188767	0.0117683	0.00674498	0.00372774	0.00188905	0.000931056	0.000419267	0.000185116	7.42959e-005	2.94347e-005	1.05443e-005	3.7494e-006	1.1986e-006	3.82087e-007	1.09028e-007	3.11585e-008	7.93764e-009	2.0339e-009	4.63533e-010	1.06771e-010	2.18235e-011	4.53297e-012	8.36203e-013	1.57939e-013	2.65909e-014	4.63679e-015	7.32635e-016	1.22158e-016	1.90571e-017	3.19413e-018	5.21489e-019	9.15824e-020	1.71413e-020	5.2996e-021	
