NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.186915	0.177499	0.160154	0.136852	0.110189	0.0831691	0.0585698	0.0383277	0.023228	0.0129984	0.00670035	0.00317453	0.00137994	0.000549441	0.000200117	6.6592e-005	2.02265e-005	5.60293e-006	1.41458e-006	3.25328e-007	6.81293e-008	1.29879e-008	2.25351e-009	3.55845e-010	5.11377e-011	6.6886e-012	7.96352e-013	9.33878e-017	2.93425e-017	8.79955e-018	2.51917e-018	6.8861e-019	1.79763e-019	4.4827e-020	1.06806e-020	2.43209e-021	5.29433e-022	1.10207e-022	2.19431e-023	4.1803e-024	7.62204e-025	1.33053e-025	2.22436e-026	3.56249e-027	5.46781e-028	8.04508e-029	1.13514e-029	1.53646e-030	1.99569e-031	2.48839e-032	2.97952e-033	3.42713e-034	3.78813e-035	4.02516e-036	4.11305e-037	4.04327e-038	3.82541e-039	3.48572e-040	3.06464e-041	2.62244e-042	2.30528e-043	3.06808e-044	
N2	0.0476773	0.0566294	0.0673238	0.0788157	0.0887935	0.0960613	0.0977959	0.094837	0.0866643	0.0750833	0.0612744	0.0479086	0.0350362	0.0246838	0.0164167	0.0104997	0.00633398	0.00376603	0.00207685	0.0011451	0.000593315	0.000305885	0.000146853	7.28981e-005	3.23831e-005	1.50611e-005	6.35218e-006	2.75219e-006	1.06437e-006	4.40402e-007	1.55692e-007	5.94875e-008	1.97912e-008	6.95165e-009	2.11192e-009	7.07704e-010	1.95774e-010	6.01868e-011	1.57911e-011	4.47919e-012	1.07272e-012	2.90119e-013	6.3684e-014	1.58965e-014	3.31872e-015	7.58976e-016	1.45606e-016	3.21654e-017	5.62958e-018	1.13634e-018	1.9122e-019	3.58202e-020	5.51669e-021	9.94035e-022	1.43031e-022	2.44688e-023	3.57086e-024	6.17858e-025	1.03042e-025	2.21721e-026	5.2823e-027	2.12667e-027	
N3	0.000453919	0.000734484	0.00138649	0.00269053	0.00502524	0.00889583	0.0146506	0.0227032	0.0329615	0.0451764	0.058486	0.0722899	0.0842568	0.0936016	0.0979965	0.0967407	0.0893595	0.0778318	0.0627758	0.0475995	0.0335156	0.022038	0.0134309	0.00770725	0.00406714	0.00202548	0.000935498	0.000405674	0.000163128	6.24673e-005	2.19597e-005	7.38188e-006	2.3042e-006	6.82744e-007	1.87711e-007	4.98681e-008	1.21162e-008	2.85574e-009	6.24127e-010	1.30949e-010	2.54337e-011	4.83719e-012	8.37608e-013	1.42572e-013	2.24414e-014	3.42949e-015	4.84353e-016	6.78908e-017	8.64605e-018	1.0982e-018	1.29395e-019	1.50612e-020	1.63827e-021	1.81426e-022	1.88024e-023	2.01851e-024	2.11597e-025	2.29247e-026	2.47166e-027	2.75927e-028	3.18616e-029	5.88019e-030	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	1.91181e-006	4.22835e-006	1.21169e-005	3.57061e-005	9.93164e-005	0.000256704	0.000607592	0.00132381	0.00264343	0.00489985	0.00859594	0.0146598	0.0242921	0.0391526	0.0598515	0.0851121	0.110194	0.129144	0.133732	0.123403	0.100061	0.0715489	0.0447663	0.0250487	0.0121451	0.00532379	0.00205656	0.000719087	0.000222041	6.47053e-005	1.62758e-005	3.94632e-006	8.44684e-007	1.72423e-007	3.07821e-008	5.49574e-009	8.21245e-010	1.24242e-010	1.61217e-011	2.07368e-012	2.27024e-013	2.57232e-014	2.39305e-015	2.33139e-016	1.91252e-017	1.61157e-018	1.14043e-019	8.64151e-021	5.31119e-022	3.52937e-023	1.95956e-024	1.15286e-025	5.64709e-027	3.06716e-028	1.34896e-029	6.7119e-031	2.89914e-032	1.43127e-033	6.79904e-035	3.90382e-036	2.26806e-037	2.08159e-038	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0185508	0.0236335	0.0316371	0.0428352	0.0564397	0.0714696	0.0848364	0.0951542	0.0997368	0.0981367	0.0901921	0.0785202	0.0635296	0.0489109	0.0352961	0.0241817	0.0155201	0.00963527	0.00552596	0.0030969	0.00162152	0.000826167	0.000390247	0.000186333	7.9493e-005	3.48838e-005	1.38532e-005	5.58043e-006	1.99358e-006	7.60334e-007	2.43302e-007	8.44473e-008	2.50091e-008	7.83954e-009	2.0674e-009	6.08584e-010	1.42299e-010	3.75663e-011	8.13371e-012	1.93254e-012	3.71337e-013	8.23555e-014	1.40992e-014	2.81614e-015	4.47726e-016	7.99764e-017	1.1379e-017	1.92828e-018	2.43853e-019	3.68882e-020	4.40279e-021	6.04783e-022	6.42988e-023	8.35181e-024	8.04009e-025	9.60971e-026	9.06125e-027	1.04733e-027	1.09677e-028	1.5755e-029	2.41885e-030	7.04346e-031	
N6	0.00842665	0.0108236	0.0147093	0.0203913	0.0278727	0.0371957	0.0474762	0.0583108	0.0683007	0.0764482	0.0815106	0.0834995	0.0812524	0.076166	0.068275	0.0588178	0.0484442	0.0386881	0.029293	0.0215654	0.0151631	0.010319	0.00669252	0.00429262	0.00257967	0.00154949	0.000883985	0.000499897	0.000266222	0.000145299	7.20937e-005	3.69488e-005	1.74496e-005	8.34241e-006	3.63384e-006	1.65873e-006	6.63514e-007	2.8002e-007	1.05691e-007	4.12388e-008	1.42713e-008	5.29104e-009	1.68159e-009	5.77057e-010	1.73666e-010	5.51292e-011	1.52941e-011	4.65655e-012	1.19112e-012	3.36095e-013	8.24046e-014	2.16833e-014	4.93448e-015	1.26088e-015	2.71228e-016	6.66707e-017	1.48372e-017	3.78274e-018	9.60572e-019	2.98971e-019	1.07661e-019	6.76527e-020	
N7	1.13808e-005	2.33166e-005	5.87645e-005	0.00015024	0.000363012	0.000817202	0.00168877	0.00326842	0.00594222	0.0101829	0.0162605	0.0241237	0.0325513	0.0405066	0.046809	0.0518125	0.0562677	0.0617868	0.0674256	0.0738448	0.0787347	0.0810415	0.0784569	0.0722169	0.0605257	0.0477771	0.0344003	0.0230607	0.014024	0.00811423	0.00417385	0.00205718	0.00091428	0.000384681	0.000145213	5.33947e-005	1.71435e-005	5.39667e-006	1.51156e-006	4.08613e-007	9.78547e-008	2.33181e-008	4.79701e-009	9.89105e-010	1.79866e-010	3.22343e-011	5.08833e-012	8.17765e-013	1.12692e-013	1.59178e-014	1.97974e-015	2.48151e-016	2.74394e-017	3.17809e-018	3.21006e-019	3.46993e-020	3.48966e-021	3.78117e-022	4.0407e-023	4.7423e-024	5.76787e-025	1.15037e-025	
