NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.182801	0.174473	0.158737	0.137034	0.11151	0.0849887	0.0603297	0.0397119	0.0241645	0.0135597	0.00700664	0.00332942	0.00145383	0.000582834	0.000214413	7.23299e-005	2.23642e-005	6.33432e-006	1.64281e-006	3.89955e-007	8.46932e-008	1.68251e-008	3.05676e-009	5.07807e-010	7.71352e-011	1.07135e-011	1.36074e-012	1.5807e-013	4.13781e-017	1.29031e-017	3.84954e-018	1.09898e-018	3.00282e-019	7.85441e-020	1.96718e-020	4.71875e-021	1.08435e-021	2.38775e-022	5.03961e-023	1.01981e-023	1.97913e-024	3.68461e-025	6.58259e-026	1.12881e-026	1.85862e-027	2.9393e-028	4.46592e-029	6.52118e-030	9.15431e-031	1.23579e-031	1.6048e-032	2.00534e-033	2.41206e-034	2.79356e-035	3.11633e-036	3.34965e-037	3.47072e-038	3.46921e-039	3.35266e-040	3.1638e-041	3.08809e-042	4.57778e-043	
N2	0.0499652	0.0587289	0.0693543	0.0802223	0.0900756	0.0970778	0.0983747	0.0946593	0.086456	0.0738543	0.0599269	0.0463842	0.0335826	0.023264	0.0154756	0.00964297	0.00579074	0.00337923	0.00183887	0.000976744	0.000508372	0.000246439	0.00011735	5.55452e-005	2.4114e-005	1.04493e-005	4.50319e-006	1.77061e-006	6.92121e-007	2.73332e-007	9.64229e-008	3.44453e-008	1.22562e-008	3.92402e-009	1.25652e-009	4.12185e-010	1.17324e-010	3.43201e-011	1.00525e-011	2.62621e-012	6.8567e-013	1.84329e-013	4.24977e-014	1.01962e-014	2.45804e-015	5.18616e-016	1.09895e-016	2.43727e-017	4.57598e-018	8.98168e-019	1.75887e-019	3.03664e-020	5.28949e-021	9.77739e-022	1.49604e-022	2.45256e-023	4.14529e-024	6.55587e-025	1.15694e-025	2.48684e-026	6.24589e-027	2.70104e-027	
N3	0.000541188	0.000865609	0.00162787	0.00313861	0.00587858	0.0104297	0.0171798	0.0265184	0.0384081	0.0517506	0.0656964	0.0788664	0.0885995	0.0944109	0.0955559	0.0907699	0.0818644	0.0701357	0.0561408	0.0425314	0.0304662	0.0202785	0.0127219	0.00753404	0.00412591	0.0021311	0.00103922	0.000468158	0.000199152	8.03108e-005	2.98667e-005	1.05385e-005	3.53292e-006	1.09342e-006	3.21864e-007	9.05742e-008	2.34629e-008	5.81668e-009	1.38089e-009	3.02533e-010	6.35034e-011	1.28471e-011	2.39021e-012	4.29243e-013	7.43648e-014	1.18795e-014	1.83199e-015	2.74732e-016	3.78884e-017	5.08923e-018	6.6498e-019	8.06209e-020	9.56904e-021	1.12536e-021	1.24263e-022	1.38502e-023	1.56642e-024	1.74877e-025	2.02139e-026	2.42507e-027	3.07387e-028	6.30695e-029	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	7.63079e-007	1.9035e-006	6.37933e-006	2.17244e-005	6.98145e-005	0.00020641	0.000553545	0.00135669	0.0030481	0.0062367	0.0117597	0.0205243	0.0329413	0.0493224	0.069128	0.0897176	0.108423	0.121226	0.122282	0.111854	0.0922965	0.0670672	0.0436176	0.0254963	0.013014	0.00598698	0.00249859	0.00091151	0.000303412	9.33677e-005	2.50483e-005	6.25287e-006	1.45974e-006	2.97425e-007	5.69098e-008	1.03791e-008	1.62988e-009	2.44979e-010	3.5114e-011	4.37093e-012	5.19859e-013	6.01827e-014	5.95616e-015	5.78845e-016	5.4555e-017	4.45193e-018	3.53233e-019	2.80216e-020	1.88988e-021	1.2784e-022	8.46132e-024	4.88056e-025	2.77494e-026	1.61315e-027	7.86133e-029	3.95853e-030	2.01746e-031	9.47538e-033	4.81501e-034	2.78773e-035	1.70231e-036	1.70356e-037	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0185142	0.0234362	0.0314208	0.0424992	0.0564824	0.0721144	0.0861367	0.0967961	0.102092	0.0996492	0.0912714	0.0787549	0.0629571	0.0475732	0.0341055	0.0227165	0.014408	0.0087666	0.00494281	0.00268428	0.00141079	0.000686133	0.000323802	0.00015011	6.34878e-005	2.64897e-005	1.09054e-005	4.06157e-006	1.49148e-006	5.49555e-007	1.78567e-007	5.83151e-008	1.88601e-008	5.38681e-009	1.52789e-009	4.41929e-010	1.08157e-010	2.70963e-011	6.75155e-012	1.46432e-012	3.15112e-013	6.97509e-014	1.28047e-014	2.45238e-015	4.69092e-016	7.62411e-017	1.23664e-017	2.11269e-018	2.9351e-019	4.29309e-020	6.21024e-021	7.70034e-022	9.58661e-023	1.28262e-023	1.34314e-024	1.52226e-025	1.75706e-026	1.81811e-027	2.06364e-028	2.88577e-029	4.63988e-030	1.46427e-030	
N6	0.00828571	0.0106083	0.0144903	0.0201248	0.0277789	0.0374132	0.0481218	0.0594001	0.0701846	0.0784663	0.0838098	0.0856832	0.0828705	0.076816	0.0683927	0.0577384	0.0469225	0.036872	0.0274836	0.0198591	0.0139644	0.00931813	0.00606152	0.00387186	0.00233305	0.00138282	0.000808839	0.000443675	0.000239962	0.000129206	6.43128e-005	3.18454e-005	1.56461e-005	7.07396e-006	3.17176e-006	1.42885e-006	5.8031e-007	2.37043e-007	9.65143e-008	3.57184e-008	1.31577e-008	4.91123e-009	1.62925e-009	5.50468e-010	1.8629e-010	5.65172e-011	1.71542e-011	5.34317e-012	1.45947e-012	4.08793e-013	1.14454e-013	2.87113e-014	7.24124e-015	1.8979e-015	4.29952e-016	1.02355e-016	2.51633e-017	5.89108e-018	1.53285e-018	4.759e-019	1.79742e-019	1.20177e-019	
N7	3.79559e-006	8.26375e-006	2.2638e-005	6.26038e-005	0.000165174	0.000406305	0.000917837	0.00192165	0.00374445	0.00672925	0.0113188	0.0179093	0.0264603	0.0370813	0.0493276	0.0612301	0.0716738	0.0794294	0.0824997	0.0827321	0.0810884	0.076529	0.0705893	0.0631625	0.0526439	0.0415725	0.0309334	0.0208897	0.0131935	0.00783252	0.00417393	0.00208995	0.000984225	0.000415376	0.000165024	6.22674e-005	2.08673e-005	6.65277e-006	2.01497e-006	5.44513e-007	1.39898e-007	3.45587e-008	7.54898e-009	1.59181e-009	3.22436e-010	5.8115e-011	1.00755e-011	1.70561e-012	2.5471e-013	3.7206e-014	5.26598e-015	6.66397e-016	8.21627e-017	1.00728e-017	1.09535e-018	1.204e-019	1.33734e-020	1.42318e-021	1.60794e-022	1.96781e-023	2.58307e-024	5.67637e-025	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.82968e-015	2.52576e-014	4.14078e-013	5.91e-012	7.16013e-011	6.84027e-010	5.3457e-009	3.46932e-008	1.81665e-007	7.5892e-007	3.32474e-006	1.32483e-005	3.87788e-005	8.57271e-005	0.000182471	0.000474982	0.00139776	0.00339581	0.00613069	0.00803424	0.00778014	0.00689956	0.00952615	0.0211406	0.0474582	0.0914595	0.145057	0.179748	0.178261	0.142081	0.0859809	0.0418314	0.0165131	0.00496937	0.00123138	0.000256969	4.11957e-005	5.67232e-006	6.74901e-007	6.34703e-008	5.24005e-009	3.89097e-010	2.29221e-011	1.23879e-012	6.10182e-014	2.44951e-015	9.06464e-017	3.19227e-018	9.0973e-020	2.49347e-021	6.42845e-023	1.38682e-024	2.84882e-026	5.80365e-028	9.54726e-030	1.57891e-031	2.56955e-033	3.73139e-035	5.72216e-037	9.82274e-039	1.73348e-040	4.39721e-042	
N9	4.31026e-023	2.34713e-021	1.60919e-019	8.68039e-018	3.59144e-016	1.03443e-014	2.24672e-013	3.56944e-012	4.26634e-011	4.01851e-010	3.6498e-009	2.56789e-008	1.24445e-007	4.67242e-007	1.83612e-006	8.64009e-006	4.13736e-005	0.000148928	0.000360988	0.000585989	0.000717533	0.000944989	0.00184383	0.00528809	0.0171791	0.0492654	0.110635	0.183438	0.222728	0.197886	0.124957	0.057726	0.0201379	0.00496786	0.00095672	0.000160017	1.80624e-005	1.8656e-006	1.94266e-007	1.19307e-008	7.25795e-010	4.59798e-011	1.52144e-012	5.43622e-014	1.93058e-015	3.80496e-017	7.73742e-019	1.72876e-020	2.02539e-022	2.91244e-024	3.78444e-026	3.42475e-028	2.90764e-030	3.37776e-032	1.78333e-034	1.49049e-036	9.43802e-039	6.04373e-041	2.8145e-043	2.15375e-045	1.28017e-047	2.14793e-049	
N10	4.76686e-024	1.68318e-022	8.13145e-021	3.2587e-019	1.0512e-017	2.6208e-016	5.21914e-015	8.21818e-014	1.04259e-012	1.08342e-011	1.03117e-010	8.4823e-010	5.43791e-009	2.66011e-008	1.16959e-007	5.62858e-007	2.85083e-006	1.21979e-005	3.94553e-005	9.3459e-005	0.000168372	0.000256985	0.000417869	0.00104134	0.00382242	0.0143472	0.0445695	0.105195	0.182136	0.227583	0.20352	0.130199	0.0600224	0.0201199	0.00509604	0.00109129	0.000208872	4.35317e-005	1.04755e-005	1.81052e-006	2.87925e-007	4.25837e-008	4.02576e-009	3.4898e-010	2.8105e-011	1.47664e-012	7.3132e-014	3.4303e-015	1.06499e-016	3.31092e-018	9.72556e-020	2.09487e-021	4.55481e-023	1.1589e-024	2.05591e-026	5.07304e-028	1.05663e-029	2.38509e-031	4.47459e-033	1.22343e-034	3.20556e-036	1.51405e-037	
N11	3.60657e-026	1.46883e-024	8.21453e-023	3.79871e-021	1.42115e-019	4.15215e-018	9.76911e-017	1.82756e-015	2.7661e-014	3.47049e-013	3.98155e-012	3.86218e-011	2.79772e-010	1.4753e-009	6.98021e-009	3.91375e-008	2.53688e-007	1.45874e-006	6.32544e-006	1.89756e-005	3.88108e-005	5.84875e-005	8.34057e-005	0.000192441	0.000832499	0.00425869	0.0185185	0.0600876	0.138453	0.221276	0.242118	0.180454	0.0918365	0.0321885	0.00792551	0.00142733	0.000196466	2.3441e-005	3.05596e-006	3.61366e-007	4.40032e-008	5.54572e-009	4.44089e-010	3.3394e-011	2.42618e-012	1.08968e-013	4.70097e-015	1.96768e-016	5.17165e-018	1.35917e-019	3.46569e-021	5.80263e-023	9.98257e-025	1.8028e-026	2.16158e-028	3.37411e-030	4.79976e-032	7.36461e-034	1.00354e-035	2.24678e-037	4.96679e-039	1.99095e-040	
Scirpus_expansus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
