NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.0964145	0.096577	0.0966539	0.0961671	0.0945088	0.0910818	0.085462	0.0775465	0.0676341	0.0564017	0.0447696	0.0336956	0.0239685	0.0160667	0.0101705	0.00607122	0.00341513	0.00180133	0.000890161	0.000411841	0.000178289	7.2187e-05	2.73274e-05	9.67146e-06	3.20052e-06	9.91186e-07	2.86298e-07	7.71358e-08	1.93882e-08	4.54733e-09	9.95464e-10	2.03463e-10	3.88436e-11	6.93109e-12	1.1575e-12	1.68225e-16	6.4178e-17	2.36632e-17	8.43431e-18	2.90683e-18	9.68972e-19	3.12512e-19	9.75611e-20	2.95047e-20	8.63445e-21	2.44577e-21	6.70722e-22	1.78128e-22	4.58255e-23	1.14235e-23	2.76037e-24	6.46853e-25	1.47121e-25	3.24465e-26	6.94065e-27	1.44042e-27	2.90104e-28	5.6719e-29	1.07686e-29	1.98616e-30	3.5607e-31	6.21087e-32	1.05365e-32	1.74022e-33	2.8031e-34	4.41757e-35	6.85167e-36	1.05711e-36	1.6525e-37	2.70686e-38	5.62559e-39	
N2	0.0177548	0.018965	0.0207769	0.0232126	0.0262694	0.0299069	0.0340349	0.0385052	0.0431119	0.0476003	0.0516265	0.0548815	0.0570884	0.0580374	0.057803	0.0563733	0.0538349	0.0501938	0.045719	0.040632	0.0352522	0.0298793	0.0247656	0.0200991	0.0159978	0.0125136	0.00960883	0.00725912	0.00538228	0.00392109	0.00281011	0.00198368	0.00138119	0.000949977	0.000646488	0.000434477	0.00028861	0.000188197	0.000120449	7.56701e-05	4.66778e-05	2.82896e-05	1.68608e-05	9.89563e-06	5.7076e-06	3.23783e-06	1.79356e-06	9.70643e-07	5.13539e-07	2.65842e-07	1.34793e-07	6.70324e-08	3.27535e-08	1.57007e-08	7.39189e-09	3.39452e-09	1.52165e-09	6.66434e-10	2.85499e-10	1.19808e-10	4.93436e-11	1.99983e-11	7.97343e-12	3.13538e-12	1.21977e-12	4.71518e-13	1.82478e-13	7.18631e-14	2.99712e-14	1.45439e-14	9.78328e-15	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.0883826	0.0914651	0.0941177	0.0957767	0.0957462	0.0933745	0.0882461	0.0803391	0.0700932	0.058353	0.0461271	0.0345107	0.0243716	0.016209	0.0101702	0.00601708	0.00335789	0.00176362	0.000873683	0.000406908	0.00017838	7.37805e-05	2.8916e-05	1.08179e-05	3.91293e-06	1.39857e-06	5.0877e-07	1.95728e-07	7.44179e-08	2.76517e-08	9.96378e-09	3.47121e-09	1.17178e-09	3.86345e-10	1.26184e-10	4.14096e-11	1.38332e-11	4.19603e-12	1.17588e-12	3.08255e-13	7.64078e-14	1.81086e-14	4.15979e-15	9.42668e-16	2.14258e-16	4.9549e-17	1.04134e-17	2.02484e-18	3.68952e-19	6.36866e-20	1.05318e-20	1.69145e-21	2.6851e-22	4.28376e-23	6.96628e-24	1.03164e-24	1.41545e-25	1.81999e-26	2.21067e-27	2.55084e-28	2.80638e-29	2.95188e-30	2.96664e-31	2.85233e-32	2.6312e-33	2.35002e-34	2.07619e-35	1.89038e-36	1.88653e-37	2.22949e-38	3.89516e-39	
N4	0.0931945	0.0948466	0.094713	0.092797	0.0891691	0.0839762	0.0774447	0.0698749	0.061624	0.0530787	0.0445605	0.0364286	0.0289756	0.0224081	0.0168983	0.0124314	0.00893097	0.00625642	0.00428525	0.00286558	0.00187516	0.00120483	0.000763822	0.000481099	0.000303924	0.000194944	0.000128312	8.7788e-05	6.07526e-05	4.23222e-05	2.9553e-05	2.06329e-05	1.43983e-05	1.00626e-05	7.07069e-06	5.00263e-06	3.57888e-06	2.48422e-06	1.67942e-06	1.11008e-06	7.20556e-07	4.61638e-07	2.93659e-07	1.8674e-07	1.19115e-07	7.66282e-08	4.77679e-08	2.89797e-08	1.71819e-08	1.00001e-08	5.74237e-09	3.2725e-09	1.86316e-09	1.06313e-09	6.11026e-10	3.39733e-10	1.83299e-10	9.62012e-11	4.92142e-11	2.45886e-11	1.20238e-11	5.77106e-12	2.71993e-12	1.26466e-12	5.84641e-13	2.72409e-13	1.30879e-13	6.72182e-14	3.89155e-14	2.72448e-14	2.48456e-14	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0831471	0.0865405	0.089962	0.0927376	0.0940176	0.0929833	0.089066	0.082125	0.0725293	0.0611088	0.0488717	0.036985	0.0264162	0.0177671	0.0112726	0.00674367	0.00380678	0.00202653	0.00102507	0.000488848	0.000220439	9.44656e-05	3.87531e-05	1.53767e-05	5.99535e-06	2.36992e-06	1.01493e-06	5.23667e-07	2.44966e-07	1.06582e-07	4.38825e-08	1.72389e-08	6.49143e-09	2.36779e-09	8.66969e-10	3.44989e-10	1.62378e-10	6.00946e-11	1.96696e-11	5.96399e-12	1.70773e-12	4.66121e-13	1.22881e-13	3.25127e-14	9.37599e-15	3.20459e-15	8.5497e-16	2.01581e-16	4.40648e-17	9.10819e-18	1.79714e-18	3.42998e-19	6.58116e-20	1.37902e-20	3.43079e-21	6.67314e-22	1.14924e-22	1.83848e-23	2.7849e-24	4.02143e-25	5.54585e-26	7.30975e-27	9.18858e-28	1.10073e-28	1.25295e-29	1.35475e-30	1.40105e-31	1.43749e-32	1.6681e-33	2.82492e-34	9.51829e-35	
N6	0.0689255	0.0710507	0.0727348	0.0738667	0.0743	0.0738746	0.0724436	0.0699044	0.0662269	0.0614745	0.0557285	0.0492415	0.0423351	0.0353616	0.0287603	0.0227693	0.0175548	0.0131539	0.00959999	0.00681006	0.00470372	0.00317165	0.00209582	0.00136461	0.000881971	0.0005712	0.00037339	0.000248797	0.000165343	0.000109249	7.15643e-05	4.6394e-05	2.97594e-05	1.89157e-05	1.19498e-05	7.50565e-06	4.70166e-06	2.83938e-06	1.65736e-06	9.37829e-07	5.16258e-07	2.7763e-07	1.46576e-07	7.64063e-08	3.94179e-08	2.02151e-08	9.97609e-09	4.75327e-09	2.19402e-09	9.84703e-10	4.31532e-10	1.85545e-10	7.87055e-11	3.30086e-11	1.37423e-11	5.4952e-12	2.11504e-12	7.84939e-13	2.81352e-13	9.75671e-14	3.28019e-14	1.0724e-14	3.41267e-15	1.06221e-15	3.25768e-16	9.95865e-17	3.08667e-17	9.93349e-18	3.43175e-18	1.3574e-18	7.55649e-19	
