NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.198304	0.185316	0.162496	0.134131	0.10448	0.0769262	0.053584	0.0353197	0.0220238	0.0129831	0.00722975	0.00379968	0.0018832	0.000879522	0.000386827	0.000160123	6.23488e-05	2.28256e-05	7.85294e-06	2.53778e-06	7.69996e-07	2.19254e-07	5.85661e-08	1.46696e-08	3.44438e-09	7.57862e-10	1.56223e-10	3.01641e-11	5.45454e-12	9.23654e-13	1.46462e-13	4.71675e-17	1.75886e-17	6.3473e-18	2.21688e-18	7.49432e-19	2.45245e-19	7.76958e-20	2.38331e-20	7.07963e-21	2.03682e-21	5.67647e-22	1.53271e-22	4.01026e-23	1.01694e-23	2.49986e-24	5.95819e-25	1.37714e-25	3.0874e-26	6.7151e-27	1.41725e-27	2.90316e-28	5.77324e-29	1.11478e-29	2.09064e-30	3.80883e-31	6.74268e-32	1.16015e-32	1.94071e-33	3.15725e-34	4.99723e-35	7.69916e-36	1.15551e-36	1.69133e-37	2.41924e-38	3.39366e-39	4.6989e-40	6.49608e-41	9.14149e-42	1.35378e-42	2.54013e-43	
N2	0.0269385	0.0294288	0.0325699	0.0365709	0.0408912	0.0456374	0.0500448	0.0542404	0.0573551	0.059702	0.0604669	0.0602504	0.0583828	0.0557217	0.0517319	0.047384	0.0422126	0.0371562	0.0317838	0.0268964	0.0220849	0.0179627	0.0141509	0.0110618	0.00835836	0.00628106	0.00455367	0.00329251	0.0022915	0.0015955	0.00106687	0.00071599	0.000460151	0.000297722	0.000183964	0.000114772	6.81586e-05	4.09759e-05	2.33835e-05	1.35426e-05	7.42086e-06	4.13629e-06	2.17627e-06	1.16739e-06	5.89387e-07	3.0403e-07	1.47357e-07	7.31341e-08	3.40176e-08	1.62365e-08	7.2553e-09	3.33428e-09	1.43163e-09	6.33597e-10	2.62014e-10	1.11988e-10	4.47108e-11	1.85113e-11	7.18846e-12	2.90901e-12	1.11154e-12	4.4545e-13	1.71112e-13	6.93728e-14	2.74383e-14	1.14749e-14	4.78488e-15	2.12703e-15	9.99767e-16	5.63762e-16	4.40948e-16	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.172915	0.171508	0.158007	0.137078	0.11102	0.0851198	0.061075	0.0416519	0.0265722	0.0161676	0.00917687	0.00499186	0.00252116	0.00123113	0.00055455	0.000245554	9.92762e-05	4.0594e-05	1.4928e-05	5.80035e-06	1.97427e-06	7.484e-07	2.39625e-07	8.96861e-08	2.70031e-08	9.80092e-09	2.75552e-09	9.52413e-10	2.46053e-10	7.90485e-11	1.87366e-11	5.60241e-12	1.2051e-12	3.30652e-13	6.52302e-14	1.67397e-14	2.99355e-15	7.05837e-16	1.16935e-16	2.62317e-17	3.94713e-18	8.14876e-19	1.1541e-19	2.3127e-20	2.97854e-21	5.4692e-22	6.73855e-23	1.21736e-23	1.35614e-24	2.21088e-25	2.37587e-26	3.82423e-27	3.68711e-28	5.28469e-29	4.93672e-30	6.99556e-31	5.80979e-32	7.24123e-33	5.83317e-34	7.20718e-35	5.15299e-36	5.59305e-37	3.90244e-38	4.23109e-39	2.63128e-40	2.53748e-41	1.67024e-42	1.81738e-43	1.57611e-44	2.31547e-45	4.62988e-46	
N4	0.128269	0.130443	0.126233	0.117761	0.105039	0.0907589	0.0752384	0.060691	0.0470755	0.0356944	0.0260607	0.0187015	0.0129281	0.00884761	0.00583141	0.003844	0.0024365	0.00156672	0.000965708	0.000615235	0.000373101	0.000238762	0.000143815	9.32008e-05	5.58574e-05	3.65452e-05	2.1717e-05	1.42427e-05	8.32233e-06	5.41181e-06	3.09582e-06	1.98857e-06	1.10759e-06	6.98594e-07	3.79581e-07	2.35969e-07	1.24753e-07	7.6128e-08	3.94094e-08	2.37962e-08	1.20202e-08	7.13291e-09	3.54679e-09	2.09011e-09	1.01578e-09	5.87409e-10	2.81882e-10	1.61996e-10	7.58239e-11	4.25599e-11	1.96663e-11	1.09558e-11	4.91829e-12	2.66306e-12	1.17882e-12	6.32929e-13	2.71054e-13	1.40894e-13	5.94804e-14	3.06976e-14	1.25403e-14	6.2826e-15	2.56128e-15	1.29993e-15	5.36698e-16	2.83231e-16	1.36322e-16	8.79287e-17	5.95454e-17	5.58941e-17	6.55538e-17	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.162114	0.162405	0.15236	0.135444	0.112816	0.0891831	0.065965	0.0464242	0.0304827	0.0191334	0.0111496	0.00626771	0.00324204	0.0016469	0.000758131	0.000354912	0.000146242	6.52171e-05	2.4341e-05	1.08492e-05	3.70701e-06	1.70293e-06	5.37679e-07	2.56058e-07	7.39503e-08	3.50135e-08	9.2801e-09	4.31652e-09	1.03074e-09	4.50224e-10	9.90072e-11	4.18413e-11	8.23598e-12	3.18145e-12	5.87101e-13	2.23852e-13	3.66371e-14	1.24652e-14	1.96975e-15	6.92085e-16	9.49138e-17	2.86439e-17	3.94297e-18	1.30473e-18	1.50835e-19	4.07338e-20	4.94438e-21	1.55558e-21	1.5169e-22	3.64574e-23	3.87253e-24	1.13711e-24	9.39983e-26	2.01139e-26	1.87728e-27	5.10982e-28	3.58224e-29	6.73309e-30	5.43353e-31	1.34056e-31	8.06764e-33	1.35311e-33	9.67252e-35	2.19213e-35	1.13234e-36	1.66317e-37	1.0399e-38	2.17627e-39	1.40263e-40	3.44799e-41	1.34947e-41	
N6	0.0727482	0.0771992	0.0808522	0.0840061	0.0852222	0.0849191	0.0818737	0.0770977	0.0698827	0.0617895	0.0524542	0.0435152	0.0345984	0.0269926	0.0201495	0.014859	0.0104609	0.00734866	0.00491409	0.00332371	0.00212862	0.00140066	0.000865735	0.000558455	0.000334095	0.000211298	0.000122223	7.55074e-05	4.19949e-05	2.5143e-05	1.33955e-05	7.74323e-06	3.93317e-06	2.18347e-06	1.05812e-06	5.65118e-07	2.60724e-07	1.33553e-07	5.89129e-08	2.90962e-08	1.22459e-08	5.80653e-09	2.3461e-09	1.07561e-09	4.15431e-10	1.82808e-10	6.79767e-11	2.89572e-11	1.0288e-11	4.19619e-12	1.43632e-12	5.66968e-13	1.85036e-13	6.97307e-14	2.19198e-14	7.99304e-15	2.38994e-15	8.30114e-16	2.39265e-16	8.05878e-17	2.21506e-17	7.14507e-18	1.92453e-18	6.1692e-19	1.67045e-19	5.50742e-20	1.68389e-20	6.40641e-21	2.4779e-21	1.21155e-21	8.07774e-22	
