NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.202651	0.188736	0.164453	0.134555	0.103668	0.0753567	0.0517405	0.0335709	0.0205813	0.0119167	0.00651208	0.00335619	0.00163014	0.00074572	0.000321099	0.000130073	4.95451e-05	1.77369e-05	5.96507e-06	1.88373e-06	5.58335e-07	1.55259e-07	4.04879e-08	9.89783e-09	2.26753e-09	4.86672e-10	9.78336e-11	1.84173e-11	3.24631e-12	5.35736e-13	9.11731e-17	3.46765e-17	1.27619e-17	4.54497e-18	1.56644e-18	5.22526e-19	1.68716e-19	5.27364e-20	1.596e-20	4.67719e-21	1.3275e-21	3.64966e-22	9.72111e-23	2.509e-23	6.27611e-24	1.52183e-24	3.57781e-25	8.15694e-26	1.8038e-26	3.86982e-27	8.05617e-28	1.62778e-28	3.19291e-29	6.08138e-30	1.12497e-30	2.02163e-31	3.53018e-32	5.99152e-33	9.88652e-34	1.58656e-34	2.4771e-35	3.76467e-36	5.57347e-37	8.04729e-38	1.13544e-38	1.57117e-39	2.14606e-40	2.9272e-41	4.06568e-42	5.9464e-43	1.10246e-43	
N2	0.0267618	0.0293352	0.0325589	0.0366393	0.0410379	0.0458542	0.0503231	0.0545627	0.0577046	0.060054	0.0608027	0.0605456	0.0586244	0.0558922	0.0518286	0.047399	0.0421548	0.0370276	0.0316027	0.0266714	0.0218382	0.0177041	0.0139002	0.0108245	0.0081476	0.00609677	0.00440129	0.00316777	0.00219465	0.0015207	0.001012	0.000675781	0.000432172	0.000278202	0.000171038	0.000106162	6.27235e-05	3.75143e-05	2.12974e-05	1.22705e-05	6.68859e-06	3.70866e-06	1.94089e-06	1.03563e-06	5.20032e-07	2.66819e-07	1.28606e-07	6.34812e-08	2.9361e-08	1.39365e-08	6.19156e-09	2.82939e-09	1.20765e-09	5.31384e-10	2.18401e-10	9.27904e-11	3.68096e-11	1.51449e-11	5.84134e-12	2.34824e-12	8.90766e-13	3.54493e-13	1.35148e-13	5.44137e-14	2.13689e-14	8.88229e-15	3.68239e-15	1.62929e-15	7.62765e-16	4.29099e-16	3.35677e-16	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.175981	0.174515	0.160181	0.138028	0.110764	0.0839687	0.0594714	0.0399806	0.0251125	0.0150318	0.00838608	0.00448244	0.00222266	0.00106607	0.00047122	0.000205061	8.13712e-05	3.27576e-05	1.18355e-05	4.54026e-06	1.52044e-06	5.70274e-07	1.7976e-07	6.65688e-08	1.97135e-08	7.0645e-09	1.95058e-09	6.64368e-10	1.68312e-10	5.32072e-11	1.23588e-11	3.63595e-12	7.65979e-13	2.06739e-13	3.99554e-14	1.00985e-14	1.76892e-15	4.10809e-16	6.67377e-17	1.47759e-17	2.18013e-18	4.44033e-19	6.17612e-20	1.22348e-20	1.5468e-21	2.80337e-22	3.39477e-23	6.06035e-24	6.62735e-25	1.06503e-25	1.12406e-26	1.78469e-27	1.68763e-28	2.38075e-29	2.18193e-30	3.04598e-31	2.47878e-32	3.03795e-33	2.3988e-34	2.91814e-35	2.04328e-36	2.18051e-37	1.49094e-38	1.59193e-39	9.68865e-41	9.18037e-42	5.90886e-43	6.32105e-44	5.36024e-45	7.76448e-46	1.53498e-46	
N4	0.128441	0.130942	0.126879	0.118386	0.105523	0.0910341	0.075297	0.0605594	0.0468092	0.0353488	0.0256922	0.0183468	0.0126161	0.00858705	0.00562701	0.0036883	0.00232387	0.00148618	0.000910736	0.00057742	0.000348255	0.000221952	0.000132996	8.58757e-05	5.11955e-05	3.3371e-05	1.97179e-05	1.28796e-05	7.47903e-06	4.84211e-06	2.75166e-06	1.75955e-06	9.73332e-07	6.11136e-07	3.29796e-07	2.04144e-07	1.07197e-07	6.5143e-08	3.35034e-08	2.01532e-08	1.01149e-08	5.97934e-09	2.95495e-09	1.73513e-09	8.38016e-10	4.82739e-10	2.30237e-10	1.31819e-10	6.13014e-11	3.42626e-11	1.57297e-11	8.72662e-12	3.89036e-12	2.09674e-12	9.21674e-13	4.92695e-13	2.09432e-13	1.08333e-13	4.5397e-14	2.33231e-14	9.45264e-15	4.71146e-15	1.90534e-15	9.62114e-16	3.93551e-16	2.06383e-16	9.84217e-17	6.318e-17	4.25692e-17	3.99658e-17	4.69999e-17	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.165075	0.165367	0.154609	0.136574	0.112771	0.0881976	0.0644376	0.0447361	0.0289435	0.0178877	0.0102532	0.00566905	0.00288109	0.00143932	0.000650583	0.000299922	0.000121349	5.34594e-05	1.96051e-05	8.66991e-06	2.91254e-06	1.33064e-06	4.13039e-07	1.95487e-07	5.54451e-08	2.6013e-08	6.76685e-09	3.11388e-09	7.29179e-10	3.1447e-10	6.78437e-11	2.83284e-11	5.4665e-12	2.08276e-12	3.77301e-13	1.42299e-13	2.28323e-14	7.66388e-15	1.19024e-15	4.14749e-16	5.57619e-17	1.6612e-17	2.24945e-18	7.39692e-19	8.38164e-20	2.23464e-20	2.66841e-21	8.34428e-22	7.97212e-23	1.88989e-23	1.97278e-24	5.74962e-25	4.65591e-26	9.82079e-27	9.00352e-28	2.43032e-28	1.66901e-29	3.08979e-30	2.44713e-31	5.98051e-32	3.52699e-33	5.82821e-34	4.09191e-35	9.18758e-36	4.6517e-37	6.72638e-38	4.12536e-39	8.53851e-40	5.38105e-41	1.30345e-41	5.04787e-42	
N6	0.0736434	0.0783133	0.0820635	0.0851933	0.0862675	0.0857257	0.0823755	0.0772643	0.0697293	0.0613561	0.0518179	0.0427472	0.0337879	0.0261951	0.0194264	0.0142281	0.00994615	0.00693702	0.00460456	0.00309177	0.00196518	0.00128389	0.000787559	0.000504495	0.000299514	0.000188125	0.00010797	6.62394e-05	3.65426e-05	2.1723e-05	1.14765e-05	6.58568e-06	3.31626e-06	1.82736e-06	8.77722e-07	4.6528e-07	2.12735e-07	1.08152e-07	4.72773e-08	2.31749e-08	9.66491e-09	4.54807e-09	1.82088e-09	8.28532e-10	3.17053e-10	1.38445e-10	5.1005e-11	2.15607e-11	7.58802e-12	3.07046e-12	1.04104e-12	4.07695e-13	1.31763e-13	4.92498e-14	1.53305e-14	5.54506e-15	1.64134e-15	5.65325e-16	1.61299e-16	5.38773e-17	1.46535e-17	4.68531e-18	1.24828e-18	3.96528e-19	1.06093e-19	3.46346e-20	1.04663e-20	3.94872e-21	1.51468e-21	7.36838e-22	4.89815e-22	
