NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.21788	0.200731	0.1712	0.135767	0.100461	0.069542	0.0451166	0.0274618	0.0156925	0.00841919	0.00424086	0.00200505	0.000889555	0.00037021	0.000144486	5.28652e-05	1.81289e-05	5.82532e-06	1.75357e-06	4.94416e-07	1.30545e-07	3.22741e-08	7.47017e-09	1.6186e-09	3.28287e-10	6.23232e-11	1.10745e-11	1.84193e-12	2.86761e-13	6.25658e-17	2.31102e-17	8.25992e-18	2.85684e-18	9.56249e-19	3.09793e-19	9.71483e-20	2.94925e-20	8.66878e-21	2.46736e-21	6.80144e-22	1.81606e-22	4.69775e-23	1.17749e-23	2.86026e-24	6.73469e-25	1.53736e-25	3.40301e-26	7.30582e-27	1.52153e-27	3.07459e-28	6.02951e-29	1.14778e-29	2.12134e-30	3.80749e-31	6.63804e-32	1.1244e-32	1.85091e-33	2.96176e-34	4.60831e-35	6.97435e-36	1.0271e-36	1.47264e-37	2.05726e-38	2.80355e-39	3.73449e-40	4.87997e-41	6.29642e-42	8.11576e-43	1.06593e-43	1.47553e-44	2.58198e-45	
N2	0.0284692	0.0312634	0.0347402	0.0389924	0.0436438	0.0486891	0.0532172	0.0573836	0.0604317	0.0622897	0.0625445	0.0616856	0.0589974	0.0554752	0.0508389	0.0456607	0.03998	0.0345399	0.028933	0.0239469	0.0193237	0.0153325	0.0118506	0.00908379	0.00672506	0.00494627	0.00353799	0.00249744	0.00171158	0.0011711	0.000768888	0.000505069	0.000321081	0.000202388	0.000123193	7.54007e-05	4.39051e-05	2.57582e-05	1.45314e-05	8.16761e-06	4.40315e-06	2.40213e-06	1.2369e-06	6.45825e-07	3.2214e-07	1.60862e-07	7.66119e-08	3.7152e-08	1.68884e-08	7.83095e-09	3.45256e-09	1.53164e-09	6.45033e-10	2.78259e-10	1.12066e-10	4.63385e-11	1.81809e-11	7.2268e-12	2.73346e-12	1.06984e-12	3.94303e-13	1.51512e-13	5.64686e-14	2.18261e-14	8.33815e-15	3.37147e-15	1.36277e-15	5.89988e-16	2.72718e-16	1.51268e-16	1.18277e-16	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.189611	0.186463	0.167987	0.140298	0.108547	0.078769	0.0529493	0.0335725	0.0198593	0.0110665	0.00574986	0.00285534	0.00130654	0.000577743	0.000237448	9.46292e-05	3.48234e-05	1.30741e-05	4.36171e-06	1.55012e-06	4.92964e-07	1.68176e-07	4.96489e-08	1.70247e-08	4.61339e-09	1.49576e-09	3.8737e-10	1.16814e-10	2.72857e-11	7.90909e-12	1.66597e-12	4.44782e-13	8.79678e-14	2.13436e-14	3.83436e-15	9.07223e-16	1.45766e-16	3.12245e-17	4.85963e-18	9.72195e-19	1.35828e-19	2.62165e-20	3.36332e-21	6.09626e-22	7.50225e-23	1.21388e-23	1.38636e-24	2.30011e-25	2.31335e-26	3.3663e-27	3.39878e-28	4.71815e-29	4.18846e-30	5.49905e-31	4.54959e-32	5.68419e-33	4.41287e-34	4.79513e-35	3.51497e-36	3.96006e-37	2.52027e-38	2.44549e-39	1.58509e-40	1.50009e-41	8.50691e-43	7.56859e-44	4.37648e-45	4.25251e-46	3.38314e-47	4.56789e-48	8.69686e-49	
N4	0.134764	0.137126	0.132065	0.12164	0.107011	0.0908903	0.073732	0.0580303	0.0439644	0.0323127	0.0229141	0.0159524	0.0106607	0.00704651	0.00451456	0.0028617	0.00175902	0.00109757	0.000653702	0.000401908	0.000238777	0.000146058	8.555e-05	5.36213e-05	3.09064e-05	1.93286e-05	1.12357e-05	6.96074e-06	3.94487e-06	2.47697e-06	1.36289e-06	8.39911e-07	4.61058e-07	2.77274e-07	1.47623e-07	8.97287e-08	4.61256e-08	2.72915e-08	1.40856e-08	8.14897e-09	4.06755e-09	2.37093e-09	1.14787e-09	6.53732e-10	3.17516e-10	1.74912e-10	8.25112e-11	4.62551e-11	2.09615e-11	1.13117e-11	5.18153e-12	2.72856e-12	1.19925e-12	6.33368e-13	2.69438e-13	1.38587e-13	5.88163e-14	2.8998e-14	1.19543e-14	6.01464e-15	2.36776e-15	1.14197e-15	4.60598e-16	2.21171e-16	8.89121e-17	4.56634e-17	2.09799e-17	1.30785e-17	8.78182e-18	8.19387e-18	9.80542e-18	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.178337	0.177232	0.162792	0.13956	0.111317	0.0835439	0.0580945	0.0381622	0.0233541	0.0134816	0.00723173	0.00373556	0.00175962	0.000814717	0.000346008	0.00014646	5.55109e-05	2.31125e-05	7.86004e-06	3.23895e-06	1.05753e-06	4.34542e-07	1.28228e-07	5.65903e-08	1.47685e-08	6.28983e-09	1.58401e-09	6.39329e-10	1.41101e-10	5.6862e-11	1.12228e-11	4.27121e-12	8.01271e-13	2.71383e-13	4.65186e-14	1.66687e-14	2.45377e-15	7.55854e-16	1.16167e-16	3.54258e-17	4.574e-18	1.32072e-18	1.61631e-19	4.77264e-20	5.48636e-21	1.27134e-21	1.43752e-22	4.22853e-23	3.69992e-24	7.94817e-25	8.22621e-26	2.01869e-26	1.57103e-27	3.23424e-28	2.61431e-29	6.20803e-30	4.27452e-31	6.9256e-32	5.18474e-33	1.18912e-33	6.40311e-35	9.60566e-36	6.65552e-37	1.26734e-37	6.15467e-39	8.78502e-40	4.77713e-41	8.74213e-42	5.31135e-43	1.15076e-43	4.26095e-44	
N6	0.0773237	0.0822707	0.0860956	0.088814	0.0894611	0.0882785	0.0839426	0.0777308	0.0693322	0.0598462	0.0496533	0.0401641	0.0310073	0.0234335	0.0170263	0.0120854	0.00824392	0.00560388	0.00361204	0.00234803	0.00146378	0.000917034	0.000547732	0.000339405	0.000194283	0.000116734	6.55145e-05	3.80066e-05	2.03349e-05	1.16333e-05	5.91096e-06	3.24021e-06	1.60169e-06	8.3718e-07	3.92171e-07	2.01369e-07	8.90902e-08	4.35181e-08	1.8797e-08	8.75732e-09	3.57784e-09	1.63438e-09	6.32735e-10	2.75623e-10	1.04263e-10	4.30389e-11	1.54516e-11	6.30002e-12	2.1322e-12	8.21583e-13	2.73384e-13	1.0039e-13	3.14831e-14	1.13303e-14	3.36632e-15	1.15324e-15	3.34551e-16	1.08071e-16	2.9801e-17	9.55329e-18	2.48e-18	7.51976e-19	1.9538e-19	5.7866e-20	1.48641e-20	4.6334e-21	1.32134e-21	4.73667e-22	1.76659e-22	8.32162e-23	5.46729e-23	
