NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.224089	0.20568	0.173972	0.136178	0.0989766	0.0669759	0.042284	0.02494	0.0137578	0.00710135	0.00343125	0.001552	0.000657187	0.000260486	9.66401e-05	3.35547e-05	1.09033e-05	3.31554e-06	9.43523e-07	2.51286e-07	6.26391e-08	1.46158e-08	3.19276e-09	6.53025e-10	1.2508e-10	2.24393e-11	3.77114e-12	5.93811e-13	8.92178e-17	3.31799e-17	1.19475e-17	4.16584e-18	1.40667e-18	4.60037e-19	1.45731e-19	4.47217e-20	1.32967e-20	3.83078e-21	1.06955e-21	2.89433e-22	7.5926e-23	1.93106e-23	4.76248e-24	1.13913e-24	2.64296e-25	5.94926e-26	1.29948e-26	2.75481e-27	5.66907e-28	1.1327e-28	2.19779e-29	4.14206e-30	7.58394e-31	1.34932e-31	2.33333e-32	3.92261e-33	6.41238e-34	1.01959e-34	1.57732e-35	2.37496e-36	3.48191e-37	4.9734e-38	6.9266e-39	9.41837e-40	1.25299e-40	1.63701e-41	2.11427e-42	2.73101e-43	3.59709e-44	4.99123e-45	8.73056e-46	
N2	0.030489	0.0333868	0.03698	0.0411921	0.0459214	0.0510037	0.0554434	0.0593969	0.0623305	0.0636456	0.0634828	0.0621012	0.0588045	0.0546417	0.0496591	0.0439125	0.0380114	0.0324146	0.0267758	0.0218189	0.0174505	0.013608	0.0104167	0.00789716	0.005788	0.00420583	0.00300374	0.00209117	0.0014298	0.000972705	0.000636152	0.000414271	0.000264839	0.000164866	0.000100644	6.13885e-05	3.5721e-05	2.07877e-05	1.18489e-05	6.57238e-06	3.56568e-06	1.94067e-06	1.00088e-06	5.18584e-07	2.62482e-07	1.29293e-07	6.2153e-08	3.01127e-08	1.3744e-08	6.32899e-09	2.84e-09	1.24257e-09	5.29536e-10	2.28503e-10	9.24445e-11	3.79343e-11	1.51653e-11	5.93487e-12	2.26674e-12	8.83877e-13	3.25457e-13	1.23363e-13	4.63597e-14	1.75088e-14	6.67867e-15	2.68239e-15	1.08256e-15	4.695e-16	2.2109e-16	1.24442e-16	9.93459e-17	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.195567	0.191457	0.171189	0.140759	0.107283	0.0763844	0.05016	0.0309247	0.0178452	0.00957951	0.00482184	0.00230964	0.0010173	0.000430128	0.000172084	6.4713e-05	2.30803e-05	8.26657e-06	2.64282e-06	8.7402e-07	2.74653e-07	8.41977e-08	2.41615e-08	7.6387e-09	1.96376e-09	5.74407e-10	1.489e-10	3.93383e-11	9.02858e-12	2.44581e-12	4.95081e-13	1.21353e-13	2.4551e-14	5.356e-15	9.65978e-16	2.18924e-16	3.43994e-17	6.89051e-18	1.11772e-18	2.00969e-19	2.87494e-20	5.35051e-21	6.70379e-22	1.1187e-22	1.46598e-23	2.12178e-24	2.44876e-25	3.85029e-26	3.83168e-27	5.18836e-28	5.48067e-29	6.66734e-30	6.12396e-31	7.8833e-32	6.31392e-33	7.1793e-34	6.00595e-35	5.90667e-36	4.43587e-37	4.79208e-38	3.04377e-39	2.79992e-40	1.95851e-41	1.62948e-42	9.68633e-44	8.58969e-45	4.86719e-46	4.38032e-47	3.60914e-48	4.65222e-49	9.06662e-50	
N4	0.138171	0.140234	0.134588	0.122857	0.107421	0.0905581	0.0727898	0.0566625	0.0426359	0.0308717	0.0216771	0.0149119	0.00983497	0.00639274	0.00406857	0.00251805	0.00153116	0.000937919	0.000548487	0.000326801	0.000193018	0.00011246	6.48233e-05	3.91246e-05	2.19176e-05	1.30066e-05	7.54987e-06	4.36561e-06	2.4491e-06	1.48184e-06	7.98729e-07	4.69133e-07	2.61835e-07	1.48101e-07	7.93701e-08	4.71026e-08	2.40166e-08	1.36771e-08	7.27325e-09	3.97505e-09	2.01673e-09	1.15319e-09	5.55167e-10	3.04174e-10	1.53373e-10	7.96897e-11	3.81227e-11	2.09369e-11	9.46524e-12	4.92557e-12	2.33514e-12	1.15482e-12	5.1849e-13	2.70812e-13	1.14384e-13	5.64721e-14	2.5085e-14	1.17065e-14	4.93244e-15	2.44217e-15	9.64451e-16	4.51242e-16	1.90989e-16	8.59602e-17	3.53599e-17	1.79326e-17	8.09614e-18	4.86835e-18	3.32879e-18	3.07447e-18	3.76561e-18	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.184155	0.182189	0.166127	0.140275	0.110334	0.0813609	0.0553721	0.0354354	0.0212304	0.0118223	0.00616936	0.00308224	0.00140313	0.000620773	0.000259788	0.000102646	3.82303e-05	1.50762e-05	4.96046e-06	1.84798e-06	6.23304e-07	2.17392e-07	6.50977e-08	2.56857e-08	6.54111e-09	2.4238e-09	6.58024e-10	2.17444e-10	4.97746e-11	1.85025e-11	3.60536e-12	1.2142e-12	2.48916e-13	7.20069e-14	1.28613e-14	4.32673e-15	6.32762e-16	1.77359e-16	2.99238e-17	7.53973e-18	1.05174e-18	2.94388e-19	3.46999e-20	8.77953e-21	1.19331e-21	2.33377e-22	2.71276e-23	7.25657e-24	6.50727e-25	1.28146e-25	1.47253e-26	2.78287e-27	2.42617e-28	5.15395e-29	3.89368e-30	7.55294e-31	6.31442e-32	8.8709e-33	7.00135e-34	1.45332e-34	8.06792e-36	1.13262e-36	9.15191e-38	1.30337e-38	7.09625e-40	1.06183e-40	5.61064e-42	8.61769e-43	5.99139e-44	1.14179e-44	4.22686e-45	
N6	0.0771327	0.0820966	0.0861139	0.0887626	0.089734	0.0888289	0.0846122	0.0783356	0.0700901	0.0601806	0.0498518	0.0401486	0.0307945	0.0230346	0.0166986	0.0116485	0.00789152	0.00529487	0.00336685	0.00213746	0.00132753	0.000800916	0.000472345	0.000284168	0.000158846	9.13959e-05	5.11312e-05	2.79729e-05	1.47923e-05	8.17738e-06	4.06754e-06	2.13178e-06	1.0639e-06	5.25291e-07	2.46261e-07	1.23285e-07	5.3912e-08	2.53595e-08	1.11925e-08	4.94436e-09	2.03983e-09	9.12774e-10	3.50525e-10	1.47183e-10	5.72919e-11	2.24037e-11	8.11829e-12	3.24151e-12	1.09097e-12	4.05724e-13	1.38656e-13	4.80707e-14	1.52888e-14	5.42063e-15	1.59545e-15	5.25583e-16	1.57799e-16	4.83499e-17	1.35233e-17	4.25425e-18	1.10096e-18	3.22967e-19	8.68346e-20	2.41571e-20	6.25933e-21	1.90798e-21	5.30017e-22	1.82784e-22	6.86505e-23	3.19309e-23	2.13912e-23	
