NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	2.98834e-06	4.96859e-06	1.11662e-05	2.80554e-05	7.15496e-05	0.000177918	0.000424099	0.000960885	0.00205854	0.00415397	0.00787147	0.0139714	0.0231795	0.0358829	0.0517559	0.0694706	0.0866925	0.100496	0.108146	0.107979	0.0999877	0.0858382	0.0683015	0.0503629	0.0344086	0.0217803	0.012773	0.00694002	0.00349378	0.00162983	0.000704627	0.000282374	0.000104913	3.61469e-05	1.15523e-05	3.42573e-06	9.42887e-07	2.40956e-07	5.71935e-08	1.26141e-08	2.58607e-09	4.93045e-10	8.74553e-11	1.4439e-11	2.21997e-12	3.17999e-13	8.85021e-17	3.12311e-17	1.06459e-17	3.50639e-18	1.11617e-18	3.43488e-19	1.02217e-19	2.94226e-20	8.19425e-21	2.20866e-21	5.76317e-22	1.45625e-22	3.56435e-23	8.45355e-24	1.94344e-24	4.33291e-25	9.37428e-26	1.97004e-26	4.02821e-27	8.03772e-28	1.57352e-28	3.05155e-29	5.96204e-30	1.21501e-30	3.15833e-31	
N2	0.00204905	0.00220916	0.00256527	0.00316258	0.0040704	0.0053807	0.00720344	0.00965709	0.0128532	0.0168756	0.0217553	0.0274455	0.0338021	0.0405737	0.047408	0.0538761	0.0595136	0.0638746	0.0665889	0.0674131	0.0662662	0.0632412	0.0585922	0.0526975	0.0460087	0.0389927	0.0320789	0.0256183	0.0198601	0.0149458	0.0109188	0.00774396	0.00533203	0.00356435	0.00231336	0.00145779	0.000891992	0.000529977	0.000305777	0.000171328	9.32291e-05	4.92717e-05	2.52926e-05	1.26114e-05	6.10859e-06	2.87442e-06	1.31408e-06	5.83698e-07	2.5193e-07	1.05665e-07	4.30696e-08	1.70623e-08	6.57003e-09	2.4592e-09	8.94857e-10	3.16581e-10	1.089e-10	3.64266e-11	1.18496e-11	3.74907e-12	1.15381e-12	3.45472e-13	1.00666e-13	2.85634e-14	7.90296e-15	2.13951e-15	5.71688e-16	1.54151e-16	4.43111e-17	1.53751e-17	8.04791e-18	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	1.90881e-06	3.3551e-06	8.12836e-06	2.19674e-05	5.97917e-05	0.000157122	0.000391663	0.000918779	0.00202007	0.00415268	0.00796863	0.0142554	0.0237499	0.0368162	0.05306	0.0710466	0.0883276	0.101903	0.109045	0.108185	0.0994746	0.0847442	0.0668726	0.0488695	0.0330683	0.0207168	0.0120155	0.00645149	0.00320691	0.00147587	0.000628906	0.000248175	9.07061e-05	3.07121e-05	9.63558e-06	2.80192e-06	7.55382e-07	1.88864e-07	4.38079e-08	9.43047e-09	1.88477e-09	3.49869e-10	6.03467e-11	9.67583e-12	1.44273e-12	2.00125e-13	2.58313e-14	3.10272e-15	3.46734e-16	3.60296e-17	3.47797e-18	3.11506e-19	2.58535e-20	1.98629e-21	1.41264e-22	9.32424e-24	5.76426e-25	3.42244e-26	2.07013e-27	1.41143e-28	1.17829e-29	1.1708e-30	1.2582e-31	1.36274e-32	1.44272e-33	1.48092e-34	1.47916e-35	1.45792e-36	1.46391e-37	1.6103e-38	2.54957e-39	
N4	0.00256218	0.00309066	0.00420814	0.00599934	0.00857713	0.0120609	0.016548	0.0220791	0.0286037	0.035949	0.0438034	0.0517202	0.0591478	0.0654859	0.0701622	0.0727161	0.0728728	0.0705918	0.066078	0.059751	0.0521799	0.0439975	0.0358121	0.0281339	0.0213286	0.0156018	0.0110108	0.00749667	0.00492377	0.00311957	0.00190658	0.00112405	0.00063929	0.000350762	0.000185677	9.48349e-05	4.67394e-05	2.22304e-05	1.02051e-05	4.52211e-06	1.93457e-06	7.9912e-07	3.1878e-07	1.22827e-07	4.57186e-08	1.64425e-08	5.71479e-09	1.91987e-09	6.2354e-10	1.95825e-10	5.94796e-11	1.74766e-11	4.96845e-12	1.36696e-12	3.64042e-13	9.3865e-14	2.34373e-14	5.66845e-15	1.32824e-15	3.01621e-16	6.6399e-17	1.41766e-17	2.93766e-18	5.9155e-19	1.16033e-19	2.22764e-20	4.22618e-21	8.07684e-22	1.6154e-22	3.67547e-23	1.23988e-23	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.35671e-06	2.22821e-06	5.12073e-06	1.37113e-05	3.80882e-05	0.000103564	0.000268379	0.000654851	0.00149588	0.00318943	0.00633609	0.0117137	0.0201341	0.0321512	0.0476656	0.0655695	0.0836498	0.098923	0.108399	0.110027	0.103418	0.0899912	0.0724819	0.0540276	0.0372658	0.0237838	0.0140449	0.00767402	0.00387985	0.00181523	0.000786	0.000315031	0.000116897	4.01662e-05	1.27831e-05	3.76913e-06	1.02993e-06	2.60898e-07	6.12887e-08	1.33566e-08	2.70135e-09	5.0724e-10	8.84657e-11	1.43369e-11	2.15996e-12	3.02652e-13	3.94591e-14	4.78898e-15	5.41265e-16	5.69906e-17	5.59173e-18	5.11358e-19	4.35893e-20	3.46346e-21	2.56496e-22	1.77033e-23	1.13877e-24	6.82929e-26	3.82262e-27	2.00294e-28	9.89303e-30	4.67905e-31	2.18898e-32	1.07112e-33	5.84932e-35	3.66328e-36	2.54709e-37	1.87375e-38	1.44574e-39	1.2844e-40	2.01812e-41	
N6	2.0894e-06	3.00313e-06	5.53288e-06	1.153e-05	2.5157e-05	5.51599e-05	0.000118935	0.000249194	0.000503854	0.000979035	0.00182339	0.00324945	0.0055348	0.00900377	0.0139812	0.0207158	0.0292802	0.0394707	0.0507388	0.06219	0.0726741	0.0809642	0.0859889	0.0870599	0.0840266	0.0773109	0.0678106	0.0567024	0.0452034	0.0343581	0.0249002	0.0172079	0.0113407	0.00712821	0.00427362	0.0024442	0.0013337	0.000694411	0.000345044	0.000163643	7.40894e-05	3.20274e-05	1.32212e-05	5.21289e-06	1.9635e-06	7.06664e-07	2.43058e-07	7.9912e-08	2.51196e-08	7.55101e-09	2.17114e-09	5.97252e-10	1.57224e-10	3.96161e-11	9.55704e-12	2.20792e-12	4.88611e-13	1.03605e-13	2.10557e-14	4.10272e-15	7.66774e-16	1.37528e-16	2.36909e-17	3.92429e-18	6.26316e-19	9.66384e-20	1.45021e-20	2.1409e-21	3.19371e-22	5.27484e-23	1.39869e-23	
