NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.144039	0.139242	0.130304	0.118131	0.103771	0.0883067	0.0727572	0.0579911	0.0446679	0.0332089	0.0237985	0.0164147	0.0108788	0.00691434	0.00420452	0.00246405	0.00139014	0.000754242	0.000393207	0.000196818	9.45283e-05	4.35398e-05	1.92244e-05	8.13421e-06	3.29737e-06	1.28037e-06	4.76196e-07	1.69635e-07	5.78855e-08	1.89256e-08	5.93141e-09	1.78368e-09	5.15815e-10	1.42423e-10	3.75507e-11	9.45486e-12	2.27374e-12	5.22312e-13	1.24994e-16	5.72373e-17	2.56225e-17	1.12138e-17	4.7986e-18	2.00796e-18	8.21724e-19	3.28919e-19	1.28799e-19	4.93504e-20	1.85068e-20	6.79506e-21	2.44418e-21	8.62509e-22	2.97737e-22	1.00551e-22	3.32263e-23	1.07441e-23	3.4003e-24	1.05342e-24	3.19536e-25	9.49313e-26	2.76354e-26	7.88833e-27	2.21015e-27	6.08841e-28	1.65341e-28	4.44498e-29	1.19059e-29	3.20779e-30	8.82347e-31	2.57448e-31	9.84115e-32	
N2	0.00637814	0.0071281	0.00836308	0.0101789	0.0126878	0.0160013	0.0202053	0.0253273	0.0313012	0.0379368	0.0449044	0.0517433	0.0579001	0.0627945	0.0659034	0.0673097	0.066832	0.0644749	0.0604276	0.05503	0.0485684	0.0415404	0.0344331	0.027666	0.0215529	0.0162864	0.0119434	0.00850567	0.00588756	0.00396534	0.00260224	0.00166695	0.00104481	0.000637616	0.00037932	0.000220244	0.000124959	6.93531e-05	3.76881e-05	1.99146e-05	1.02284e-05	5.10458e-06	2.47455e-06	1.16496e-06	5.32516e-07	2.36339e-07	1.01845e-07	4.26216e-08	1.73292e-08	6.85003e-09	2.6359e-09	9.89893e-10	3.61226e-10	1.28223e-10	4.43305e-11	1.49501e-11	4.9266e-12	1.58951e-12	5.03183e-13	1.56647e-13	4.80665e-14	1.45684e-14	4.36901e-15	1.29802e-15	3.82259e-16	1.11607e-16	3.23323e-17	9.3445e-18	2.76311e-18	9.21795e-19	4.63811e-19	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.124984	0.126905	0.124126	0.117041	0.106414	0.0932732	0.0787717	0.0640466	0.050085	0.0376285	0.0271262	0.0187391	0.0123879	0.00782564	0.0047174	0.00273205	0.00152281	0.000819568	0.000428303	0.000219315	0.000108891	5.24852e-05	2.45821e-05	1.11947e-05	4.95802e-06	2.13516e-06	8.93614e-07	3.6323e-07	1.4333e-07	5.49276e-08	2.04905e-08	7.48476e-09	2.70929e-09	9.83149e-10	3.65513e-10	1.41904e-10	5.78473e-11	2.44489e-11	1.04622e-11	3.97831e-12	1.38174e-12	4.44809e-13	1.33909e-13	3.79241e-14	1.01464e-14	2.57249e-15	6.19533e-16	1.4199e-16	3.10172e-17	6.46733e-18	1.28919e-18	2.46322e-19	4.49677e-20	7.85796e-21	1.31757e-21	2.12662e-22	3.3177e-23	5.02583e-24	7.41983e-25	1.07329e-25	1.53483e-26	2.2039e-27	3.25879e-28	5.1277e-29	8.82727e-30	1.67067e-30	3.40835e-31	7.29658e-32	1.61033e-32	3.66215e-33	9.98487e-34	
N4	0.124343	0.126357	0.123773	0.116938	0.106553	0.093594	0.079185	0.0644607	0.0504292	0.037865	0.0272499	0.0187691	0.0123549	0.00776101	0.00464578	0.00266825	0.00147291	0.000783896	0.000404565	0.000204653	0.000100164	4.7504e-05	2.18597e-05	9.76803e-06	4.23992e-06	1.78746e-06	7.31524e-07	2.9043e-07	1.11802e-07	4.17354e-08	1.51317e-08	5.35088e-09	1.86153e-09	6.41045e-10	2.22129e-10	7.91257e-11	2.9898e-11	1.26342e-11	6.26959e-12	2.40466e-12	8.16512e-13	2.5669e-13	7.59481e-14	2.12945e-14	5.67888e-15	1.44394e-15	3.50652e-16	8.14278e-17	1.80974e-17	3.85215e-18	7.85932e-19	1.54027e-19	2.89024e-20	5.20499e-21	9.02179e-22	1.51126e-22	2.4623e-23	3.93133e-24	6.11317e-25	9.24471e-26	1.36042e-26	1.94981e-27	2.72403e-28	3.71382e-29	4.95989e-30	6.64003e-31	1.0227e-31	2.74577e-32	1.39143e-32	8.44392e-33	6.10805e-33	
N5	0.111724	0.114568	0.114179	0.110519	0.103749	0.0942688	0.0827176	0.0699264	0.0568159	0.0442691	0.0330069	0.0235026	0.0159525	0.0103038	0.00632281	0.00371079	0.00208789	0.00113286	0.00060005	0.000317312	0.000163988	8.29423e-05	4.10712e-05	1.98951e-05	9.40931e-06	4.33229e-06	1.93511e-06	8.35473e-07	3.4748e-07	1.38857e-07	5.32616e-08	1.96607e-08	7.06464e-09	2.52652e-09	9.51985e-10	4.07099e-10	2.03182e-10	1.11878e-10	6.25774e-11	2.70676e-11	1.01414e-11	3.43348e-12	1.0724e-12	3.12585e-13	8.56009e-14	2.21109e-14	5.39966e-15	1.24847e-15	2.73565e-16	5.68575e-17	1.12211e-17	2.10771e-18	3.75597e-19	6.36509e-20	1.02993e-20	1.60208e-21	2.42026e-22	3.59085e-23	5.24367e-24	7.53987e-25	1.06774e-25	1.49365e-26	2.0903e-27	3.03426e-28	4.91766e-29	9.65962e-30	2.30908e-30	6.20023e-31	1.73473e-31	4.92074e-32	1.63799e-32	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.107031	0.11013	0.110472	0.107912	0.102444	0.0942752	0.0838616	0.0718988	0.0592443	0.0467938	0.0353418	0.0254672	0.0174737	0.0113943	0.00704901	0.00416446	0.00235477	0.00128164	0.000680022	0.000360742	0.000186641	9.43526e-05	4.66511e-05	2.25484e-05	1.06323e-05	4.87534e-06	2.1657e-06	9.28414e-07	3.82776e-07	1.51382e-07	5.7358e-08	2.08487e-08	7.31843e-09	2.50326e-09	8.64654e-10	3.26594e-10	1.5212e-10	9.10413e-11	6.18966e-11	2.71829e-11	1.00151e-11	3.33183e-12	1.02966e-12	2.99022e-13	8.19902e-14	2.12689e-14	5.22442e-15	1.21564e-15	2.67985e-16	5.59784e-17	1.10859e-17	2.08627e-18	3.71965e-19	6.29919e-20	1.0175e-20	1.57972e-21	2.38933e-22	3.57801e-23	5.26691e-24	7.58771e-25	1.06806e-25	1.46762e-26	1.96611e-27	2.56838e-28	3.31739e-29	4.60224e-30	8.86851e-31	2.8335e-31	1.13718e-31	4.6596e-32	2.58602e-32	
N7	0.0824341	0.0857039	0.087751	0.0883901	0.0874375	0.0847599	0.0803241	0.0742343	0.0667471	0.0582575	0.0492561	0.040266	0.0317732	0.0241659	0.0176963	0.0125676	0.00868648	0.00589527	0.00400155	0.00280469	0.0019853	0.00142147	0.0010264	0.000742533	0.000533769	0.000378174	0.000262249	0.000177059	0.000115976	7.3594e-05	4.5319e-05	2.729e-05	1.63838e-05	1.01127e-05	6.77938e-06	5.15886e-06	4.42028e-06	4.04103e-06	3.72861e-06	2.85295e-06	1.94939e-06	1.22649e-06	7.21776e-07	4.00893e-07	2.11307e-07	1.06055e-07	5.07907e-08	2.32403e-08	1.01693e-08	4.25878e-09	1.70907e-09	6.58869e-10	2.43043e-10	8.60125e-11	2.93508e-11	9.74484e-12	3.19255e-12	1.04932e-12	3.4891e-13	1.17747e-13	4.02795e-14	1.39532e-14	4.92943e-15	1.81922e-15	7.32256e-16	3.35448e-16	1.76183e-16	1.02994e-16	6.53638e-17	4.64725e-17	4.35008e-17	
