NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.180792	0.170678	0.15263	0.129706	0.105049	0.081287	0.0602195	0.0427798	0.0291774	0.0191215	0.0120474	0.00729948	0.00425384	0.00238432	0.0012853	0.000666804	0.000332917	0.000159955	7.39537e-05	3.28992e-05	1.40808e-05	5.79739e-06	2.29579e-06	8.74276e-07	3.2011e-07	1.12666e-07	3.81106e-08	1.23869e-08	3.86779e-09	1.16003e-09	3.34135e-10	9.24231e-11	2.45507e-11	6.25825e-12	1.53074e-12	3.59226e-13	9.62876e-17	4.4748e-17	2.03679e-17	9.0799e-18	3.96441e-18	1.69528e-18	7.1002e-19	2.91257e-19	1.17023e-19	4.60541e-20	1.77536e-20	6.70417e-21	2.48013e-21	8.98889e-22	3.19217e-22	1.11094e-22	3.78836e-23	1.26592e-23	4.14572e-24	1.33075e-24	4.18757e-25	1.29209e-25	3.91035e-26	1.16118e-26	3.38521e-27	9.69704e-28	2.73272e-28	7.59049e-29	2.08399e-29	5.67972e-30	1.5462e-30	4.2418e-31	1.18851e-31	3.5272e-32	1.3656e-32	
N2	0.0085825	0.00970711	0.0115436	0.0142628	0.0177925	0.0222596	0.0273885	0.0332088	0.0391758	0.0452773	0.0507691	0.055745	0.0594043	0.062068	0.062985	0.0627549	0.060732	0.057686	0.0531357	0.0479891	0.0419335	0.0358845	0.0296547	0.0239898	0.0187135	0.0142933	0.0105167	0.00758271	0.00526261	0.00358349	0.00234767	0.00151139	0.000935757	0.000570016	0.000333612	0.000192431	0.000106583	5.82815e-05	3.05896e-05	1.58661e-05	7.88702e-06	3.87934e-06	1.82738e-06	8.5276e-07	3.80761e-07	1.68621e-07	7.14102e-08	3.00316e-08	1.20709e-08	4.82476e-09	1.84348e-09	7.01779e-10	2.55418e-10	9.27754e-11	3.22768e-11	1.12386e-11	3.75928e-12	1.26307e-12	4.09839e-13	1.34114e-13	4.26593e-14	1.37265e-14	4.32304e-15	1.37746e-15	4.31532e-16	1.36326e-16	4.25122e-17	1.3409e-17	4.32515e-18	1.59457e-18	8.77008e-19	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.157138	0.156172	0.146091	0.13018	0.109709	0.0884887	0.0677192	0.0497932	0.0347982	0.0234459	0.0150223	0.00931281	0.00548714	0.003142	0.00170773	0.000908261	0.000457899	0.000228057	0.000107447	5.07095e-05	2.2517e-05	1.01501e-05	4.2738e-06	1.8562e-06	7.44444e-07	3.12482e-07	1.19533e-07	4.8449e-08	1.76158e-08	6.8526e-09	2.36278e-09	8.7994e-10	2.87365e-10	1.02349e-10	3.19641e-11	1.10272e-11	3.36227e-12	1.14394e-12	3.52893e-13	1.15438e-13	3.31008e-14	9.87891e-15	2.61412e-15	7.13434e-16	1.73089e-16	4.31812e-17	9.63695e-18	2.21851e-18	4.54989e-19	9.68814e-20	1.84072e-20	3.6769e-21	6.47431e-22	1.21547e-22	2.00747e-23	3.60807e-24	5.58864e-25	9.60027e-26	1.41852e-26	2.37879e-27	3.35726e-28	5.49423e-29	7.75662e-30	1.31291e-30	1.99303e-31	3.72154e-32	6.84905e-33	1.48711e-33	3.26315e-34	7.90281e-35	2.2944e-35	
N4	0.15693	0.156033	0.146063	0.130267	0.109862	0.0886666	0.0678619	0.0498916	0.0348303	0.0234381	0.0149766	0.00925956	0.00542889	0.00309536	0.00166943	0.000882815	0.0004401	0.000217709	0.000100978	4.73545e-05	2.05857e-05	9.22959e-06	3.77575e-06	1.637e-06	6.31825e-07	2.66345e-07	9.699e-08	3.98682e-08	1.36199e-08	5.4355e-09	1.73691e-09	6.74232e-10	2.00404e-10	7.5398e-11	2.0987e-11	7.75664e-12	2.05466e-12	7.69056e-13	2.26021e-13	8.26336e-14	2.14165e-14	6.95906e-15	1.6727e-15	5.05467e-16	1.11446e-16	3.10767e-17	6.34835e-18	1.68165e-18	3.11665e-19	7.73064e-20	1.32661e-20	3.22974e-21	4.97986e-22	1.15542e-22	1.66324e-23	3.94758e-24	5.06416e-25	1.15186e-25	1.40975e-26	3.37414e-27	3.65937e-28	8.19738e-29	8.71594e-30	2.07647e-30	1.94805e-31	4.22079e-32	4.2856e-33	1.18902e-33	2.69441e-34	1.45719e-34	9.98267e-35	
N5	0.140726	0.14174	0.13592	0.125302	0.109949	0.0927427	0.0743567	0.0573363	0.0419564	0.0295806	0.0197562	0.0127583	0.00778571	0.00462272	0.00258477	0.00142181	0.00073316	0.000378451	0.000181977	9.00787e-05	4.0949e-05	1.96747e-05	8.50984e-06	4.01068e-06	1.65337e-06	7.62193e-07	2.98653e-07	1.33709e-07	4.93339e-08	2.11518e-08	7.32564e-09	3.00103e-09	9.71756e-10	3.79065e-10	1.17353e-10	4.51482e-11	1.42492e-11	5.73895e-12	2.07428e-12	7.91405e-13	2.48274e-13	8.05528e-14	2.25035e-14	6.4681e-15	1.61707e-15	4.15959e-16	9.42486e-17	2.21542e-17	4.53149e-18	9.7313e-19	1.82186e-19	3.67646e-20	6.26418e-21	1.18443e-21	1.88238e-22	3.48755e-23	5.11512e-24	9.11126e-25	1.2806e-25	2.30442e-26	3.01339e-27	5.19528e-28	6.69159e-29	1.19674e-29	1.57249e-30	3.06855e-31	5.65123e-32	1.47466e-32	3.84878e-33	1.1527e-33	4.06712e-34	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.133942	0.135706	0.131553	0.123052	0.109808	0.0943139	0.0770097	0.060468	0.0450154	0.0322717	0.021884	0.0143452	0.00886695	0.0053343	0.00301205	0.00167593	0.000869338	0.000453364	0.000218235	0.000109247	4.9433e-05	2.40553e-05	1.02741e-05	4.92403e-06	1.9849e-06	9.35204e-07	3.54503e-07	1.63424e-07	5.76062e-08	2.56179e-08	8.38034e-09	3.60268e-09	1.08515e-09	4.46684e-10	1.25996e-10	5.12112e-11	1.43554e-11	6.29167e-12	2.3441e-12	9.58159e-13	2.87187e-13	9.56266e-14	2.5671e-14	7.64268e-15	1.8438e-15	4.91446e-16	1.08079e-16	2.66257e-17	5.23437e-18	1.1749e-18	2.11303e-19	4.55674e-20	7.29716e-21	1.47051e-21	2.19374e-22	4.51332e-23	5.98384e-24	1.16719e-24	1.49081e-25	3.09414e-26	3.48441e-27	6.63052e-28	7.38673e-29	1.50806e-29	1.46697e-30	2.70077e-31	3.24775e-32	8.91764e-33	2.36829e-33	9.51202e-34	5.39633e-34	
N7	0.0862918	0.0903243	0.0930818	0.0947638	0.093793	0.0907025	0.084432	0.0763894	0.0661831	0.055742	0.0448502	0.0352331	0.026395	0.0194708	0.0136687	0.00959103	0.00638673	0.00435106	0.00280226	0.00191158	0.00121655	0.000841854	0.00053239	0.000374004	0.000233373	0.000163637	9.95394e-05	6.86421e-05	4.01541e-05	2.68729e-05	1.50836e-05	9.83183e-06	5.30987e-06	3.39851e-06	1.83267e-06	1.20979e-06	7.01667e-07	5.02411e-07	3.36834e-07	2.32525e-07	1.38213e-07	8.32536e-08	4.47616e-08	2.42984e-08	1.18701e-08	5.8655e-09	2.63338e-09	1.2069e-09	4.9804e-10	2.12638e-10	8.17551e-11	3.33896e-11	1.19717e-11	4.70175e-12	1.61047e-12	6.33393e-13	2.06934e-13	8.06364e-14	2.59009e-14	1.03319e-14	3.19385e-15	1.25306e-15	3.92101e-16	1.62482e-16	5.52266e-17	2.61203e-17	1.22359e-17	7.45548e-18	4.72104e-18	3.61161e-18	3.59267e-18	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0661278	0.070292	0.0745266	0.0788437	0.0816926	0.0831272	0.0817561	0.0783646	0.0721439	0.0646684	0.0555369	0.0465937	0.0374004	0.0295293	0.0222754	0.0167249	0.011975	0.00868595	0.00598847	0.00429473	0.00289706	0.00208207	0.00138428	0.00100538	0.000658597	0.000480763	0.000308425	0.000224344	0.00013945	9.98914e-05	5.99358e-05	4.22669e-05	2.44012e-05	1.69138e-05	9.54957e-06	6.68678e-06	3.87564e-06	2.89012e-06	1.93511e-06	1.43352e-06	8.77428e-07	5.80441e-07	3.30564e-07	2.02168e-07	1.07157e-07	6.09203e-08	3.03474e-08	1.63472e-08	7.59574e-09	3.86486e-09	1.69699e-09	8.38643e-10	3.45213e-10	1.64676e-10	6.50786e-11	3.12071e-11	1.16849e-11	5.49945e-12	2.01809e-12	9.72217e-13	3.3905e-13	1.58736e-13	5.51109e-14	2.67868e-14	9.3475e-15	4.88868e-15	2.3577e-15	1.7869e-15	1.45989e-15	1.59962e-15	2.15953e-15	
N9	0.0389905	0.0420201	0.0457877	0.0504588	0.0551711	0.0599454	0.063622	0.0663992	0.067091	0.0664314	0.0634173	0.0594205	0.0535655	0.0476512	0.0407217	0.0346838	0.0283314	0.0234063	0.018496	0.0151169	0.011722	0.00960966	0.00738199	0.00614666	0.00470101	0.0039818	0.00303032	0.00260003	0.00195497	0.00168118	0.00124408	0.00106876	0.000775503	0.000663499	0.00047887	0.000417359	0.000311905	0.000287891	0.00024153	0.000223958	0.000177647	0.000151659	0.000114073	9.14042e-05	6.49709e-05	4.90337e-05	3.31712e-05	2.39324e-05	1.53321e-05	1.05624e-05	6.47109e-06	4.34529e-06	2.53297e-06	1.65362e-06	9.33856e-07	6.11784e-07	3.32522e-07	2.16139e-07	1.16213e-07	7.76447e-08	4.06456e-08	2.71396e-08	1.4535e-08	1.04013e-08	6.05184e-09	5.00871e-09	4.09961e-09	4.63142e-09	5.50252e-09	7.81357e-09	1.19568e-08	
N10	0.0141591	0.0155072	0.0174287	0.020072	0.0232254	0.0269984	0.0310197	0.035376	0.0395224	0.0435905	0.0469011	0.0497295	0.0513466	0.0522916	0.0518719	0.050887	0.0486739	0.0462622	0.0429196	0.0397423	0.0358813	0.0324434	0.0285418	0.0252525	0.0216723	0.0188021	0.0157741	0.0134619	0.0110713	0.00932732	0.00755007	0.00630699	0.00504574	0.00419501	0.00333191	0.00276785	0.00219092	0.0018236	0.00144576	0.00120314	0.000945738	0.000779901	0.000605937	0.000493424	0.000377066	0.000301707	0.000226064	0.000177337	0.000129763	9.94874e-05	7.10406e-05	5.32832e-05	3.70628e-05	2.71636e-05	1.84443e-05	1.32653e-05	8.80402e-06	6.22893e-06	4.07446e-06	2.86807e-06	1.87176e-06	1.33202e-06	8.96612e-07	6.69762e-07	4.87555e-07	3.97734e-07	3.28044e-07	3.00684e-07	2.87664e-07	3.08938e-07	3.68033e-07	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.052081	0.0551154	0.0581254	0.0613715	0.064001	0.0662285	0.0671837	0.067241	0.065697	0.0631657	0.0591759	0.0545093	0.0488765	0.0430831	0.0369356	0.0311458	0.0255334	0.0205934	0.0161328	0.0124421	0.0093106	0.00686538	0.00490884	0.0034648	0.0023701	0.0016043	0.00105198	0.000684583	0.000431284	0.000270513	0.000164133	9.94869e-05	5.82613e-05	3.41783e-05	1.93299e-05	1.09833e-05	6.00335e-06	3.3053e-06	1.74718e-06	9.31031e-07	4.74328e-07	2.43884e-07	1.19578e-07	5.92286e-08	2.78962e-08	1.32843e-08	6.00321e-09	2.74553e-09	1.18885e-09	5.21561e-10	2.16384e-10	9.11004e-11	3.62042e-11	1.46199e-11	5.57304e-12	2.16434e-12	7.93909e-13	2.97831e-13	1.05988e-13	3.87991e-14	1.35766e-14	4.92297e-15	1.7298e-15	6.33566e-16	2.27983e-16	8.54578e-17	3.18814e-17	1.24252e-17	5.05065e-18	2.42022e-18	1.66292e-18	
Tetraria_capillaris	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.00879213	0.00998168	0.0119748	0.0150168	0.0191176	0.024501	0.0309023	0.0383328	0.046069	0.0540704	0.0613981	0.0681448	0.0729581	0.0758429	0.0752352	0.071814	0.0648952	0.056295	0.0462924	0.0369057	0.0282724	0.0214657	0.0160065	0.0121002	0.00907418	0.00691758	0.00516752	0.00387594	0.00279618	0.0020065	0.00136783	0.000925779	0.000591051	0.000375447	0.000223906	0.000133447	7.44077e-05	4.1658e-05	2.17729e-05	1.14396e-05	5.57599e-06	2.73698e-06	1.2429e-06	5.69201e-07	2.40419e-07	1.02534e-07	4.02663e-08	1.59898e-08	5.83336e-09	2.15544e-09	7.31184e-10	2.51808e-10	7.94361e-11	2.54926e-11	7.49385e-12	2.2487e-12	6.17466e-13	1.73858e-13	4.49402e-14	1.19965e-14	2.95768e-15	7.60969e-16	1.84024e-16	4.70232e-17	1.15541e-17	3.01231e-18	7.71626e-19	2.07825e-19	5.6641e-20	1.75502e-20	8.1073e-21	
Machaerina_articulata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Machaerina_mariscoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	0.122926	0.125203	0.122689	0.116657	0.106497	0.094113	0.0796146	0.0650816	0.0507953	0.0382858	0.0274865	0.0190646	0.0125627	0.00801249	0.00484246	0.00284653	0.00158255	0.000862843	0.000444063	0.000227178	0.000109234	5.30117e-05	2.40309e-05	1.12014e-05	4.82325e-06	2.17264e-06	8.91154e-07	3.8774e-07	1.50903e-07	6.29426e-08	2.31452e-08	9.2096e-09	3.18881e-09	1.20658e-09	3.95913e-10	1.43905e-10	4.55536e-11	1.6193e-11	5.13776e-12	1.76053e-12	5.23582e-13	1.65323e-13	4.58509e-14	1.33607e-14	3.42857e-15	9.18915e-16	2.18411e-16	5.42027e-17	1.18762e-17	2.72566e-18	5.53614e-19	1.18985e-19	2.23547e-20	4.50095e-21	7.91377e-22	1.52217e-22	2.50237e-23	4.59069e-24	7.18343e-25	1.2856e-25	1.91144e-26	3.31971e-27	4.88613e-28	8.67523e-29	1.34473e-29	2.58022e-30	4.7705e-31	1.04157e-31	2.26388e-32	5.69626e-33	2.12196e-33	
N14	0.0827207	0.0872595	0.0911952	0.0945247	0.0954069	0.0939613	0.0888211	0.0811225	0.0705266	0.0590194	0.0468026	0.0357249	0.0257566	0.017919	0.0117379	0.00746317	0.00445495	0.00260595	0.00142637	0.000777107	0.000393529	0.000201639	9.51731e-05	4.63605e-05	2.05056e-05	9.52809e-06	3.9532e-06	1.74808e-06	6.7683e-07	2.82362e-07	1.01648e-07	3.98567e-08	1.33093e-08	4.89662e-09	1.53352e-09	5.37838e-10	1.62197e-10	5.5591e-11	1.69649e-11	5.52731e-12	1.54239e-12	4.49601e-13	1.14153e-13	2.99565e-14	6.87712e-15	1.62506e-15	3.38731e-16	7.28673e-17	1.37548e-17	2.6965e-18	4.64886e-19	8.4419e-20	1.32774e-20	2.23591e-21	3.25466e-22	5.20281e-23	6.99833e-24	1.05812e-24	1.34226e-25	1.9686e-26	2.3421e-27	3.29381e-28	3.83696e-29	5.47103e-30	6.64622e-31	1.01828e-31	1.49099e-32	2.60071e-33	4.44459e-34	8.58596e-35	2.4523e-35	
N15	0.0243661	0.0275493	0.0325187	0.0393323	0.0471933	0.055816	0.0638375	0.0709397	0.0755944	0.0780269	0.0770583	0.0737581	0.0674617	0.0598871	0.0507082	0.0417883	0.0327939	0.0251488	0.0183312	0.0131473	0.00893633	0.00602446	0.00383673	0.0024493	0.00146931	0.000893203	0.000506613	0.000294034	0.000157652	8.71565e-05	4.40927e-05	2.31508e-05	1.10222e-05	5.47812e-06	2.4569e-06	1.15878e-06	4.92539e-07	2.21837e-07	9.07054e-08	3.88237e-08	1.48728e-08	5.93007e-09	2.1222e-09	7.8697e-10	2.61765e-10	8.99443e-11	2.77944e-11	8.86888e-12	2.53875e-12	7.51562e-13	1.99884e-13	5.52577e-14	1.36463e-14	3.52511e-15	8.13541e-16	1.98409e-16	4.28567e-17	9.89054e-18	2.02389e-18	4.48926e-19	8.78266e-20	1.89324e-20	3.67776e-21	8.04364e-22	1.63631e-22	3.78527e-23	8.56626e-24	2.15174e-24	5.47618e-25	1.59657e-25	6.62352e-26	
N16	0.000657926	0.000893085	0.00141333	0.0023921	0.00404351	0.00667966	0.0105432	0.0159466	0.0228903	0.0315119	0.0413774	0.0524209	0.0635662	0.0743573	0.082881	0.0885975	0.0896051	0.0863783	0.0783473	0.067529	0.0545974	0.0419144	0.0301452	0.0206055	0.0131883	0.00803787	0.00458685	0.00249923	0.00127512	0.000623232	0.000285303	0.000125601	5.17994e-05	2.06199e-05	7.68525e-06	2.77597e-06	9.38353e-07	3.08593e-07	9.49302e-08	2.84863e-08	7.97947e-09	2.18625e-09	5.58534e-10	1.39909e-10	3.26348e-11	7.48059e-12	1.59544e-12	3.35132e-13	6.5438e-14	1.26132e-14	2.25969e-15	4.00709e-16	6.60167e-17	1.07926e-17	1.64115e-18	2.48549e-19	3.50821e-20	4.9558e-21	6.55973e-22	8.74767e-23	1.1025e-23	1.4108e-24	1.72891e-25	2.16318e-26	2.62352e-27	3.24158e-28	3.90806e-29	4.74941e-30	5.65698e-31	7.04354e-32	1.3259e-32	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N17	7.72859e-06	1.19286e-05	2.34652e-05	5.18715e-05	0.000117391	0.000262232	0.000560791	0.00113771	0.00215919	0.00388014	0.00667344	0.0112546	0.0186353	0.030233	0.0468222	0.0682556	0.0913818	0.111963	0.123627	0.123744	0.110882	0.0899773	0.0652288	0.0429675	0.0252769	0.0136056	0.00654425	0.00291225	0.00115906	0.000433602	0.000145133	4.65921e-05	1.33584e-05	3.75219e-06	9.35504e-07	2.32806e-07	5.09185e-08	1.12637e-08	2.16835e-09	4.25098e-10	7.17719e-11	1.24063e-11	1.83826e-12	2.80185e-13	3.64989e-14	4.91196e-15	5.65085e-16	6.74379e-17	6.87609e-18	7.29877e-19	6.6306e-20	6.29383e-21	5.10811e-22	4.34464e-23	3.16489e-24	2.42649e-25	1.58956e-26	1.10168e-27	6.53582e-29	4.13794e-30	2.23968e-31	1.31191e-32	6.68087e-34	3.78518e-35	1.93879e-36	1.1414e-37	6.4959e-39	4.15513e-40	2.59693e-41	1.71661e-42	1.56015e-43	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N18	0.00909057	0.0106911	0.0135739	0.0181045	0.024339	0.0324965	0.0420398	0.0526876	0.0630266	0.0724871	0.079237	0.0832218	0.0830131	0.0796855	0.072611	0.063838	0.0532328	0.0429328	0.0327676	0.0242773	0.016959	0.0115539	0.0073906	0.0046464	0.00272727	0.00158994	0.000859249	0.00046723	0.000233161	0.000118754	5.48576e-05	2.62512e-05	1.12336e-05	5.0499e-06	2.00396e-06	8.47618e-07	3.13106e-07	1.2507e-07	4.35921e-08	1.63821e-08	5.27582e-09	1.83301e-09	5.45356e-10	1.75113e-10	4.79728e-11	1.41737e-11	3.57719e-12	9.73464e-13	2.2522e-13	5.61699e-14	1.19242e-14	2.73566e-15	5.30148e-16	1.11378e-16	1.97749e-17	3.83502e-18	6.21178e-19	1.10819e-19	1.65159e-20	2.74637e-21	3.7588e-22	5.82374e-23	7.52492e-24	1.13239e-24	1.46102e-25	2.28519e-26	3.38734e-27	5.9918e-28	1.04842e-28	2.12076e-29	6.40859e-30	
N19	0.00580562	0.00677199	0.00848211	0.0111457	0.0148269	0.0197353	0.0257512	0.0329123	0.0407012	0.048886	0.0565319	0.0633418	0.0683002	0.0714604	0.0720661	0.0707185	0.066949	0.0617082	0.0547498	0.0472605	0.0391214	0.0315035	0.0242467	0.018202	0.0130282	0.00915113	0.00611864	0.00405367	0.00255134	0.00161066	0.000962689	0.000584495	0.000333828	0.00019559	0.000106783	6.02198e-05	3.13243e-05	1.69052e-05	8.34977e-06	4.28467e-06	1.9947e-06	9.66921e-07	4.2355e-07	1.93664e-07	7.97295e-08	3.43392e-08	1.32977e-08	5.39826e-09	1.96508e-09	7.51022e-10	2.57239e-10	9.26791e-11	2.98256e-11	1.01103e-11	3.0601e-12	9.78913e-13	2.78556e-13	8.41891e-14	2.26674e-14	6.54067e-15	1.68305e-15	4.70887e-16	1.19893e-16	3.39481e-17	9.05573e-18	2.72349e-18	8.05518e-19	2.62717e-19	8.72358e-20	3.42104e-20	2.0113e-20	
N20	3.37578e-05	5.01494e-05	9.14144e-05	0.000181766	0.000363224	0.000709106	0.0013209	0.00237122	0.00409404	0.00682513	0.0107289	0.015768	0.0212317	0.0263467	0.0301484	0.0330037	0.0357187	0.040283	0.0474129	0.0575854	0.068628	0.0790995	0.0853322	0.0869958	0.0818943	0.0727065	0.0593925	0.0459483	0.0326554	0.0221276	0.0137563	0.00822069	0.00449817	0.00238501	0.00115398	0.000545303	0.000234202	9.88912e-05	3.78177e-05	1.42673e-05	4.84534e-06	1.62894e-06	4.91524e-07	1.47286e-07	3.95097e-08	1.05569e-08	2.52304e-09	6.02531e-10	1.28535e-10	2.7486e-11	5.25167e-12	1.00952e-12	1.73184e-13	2.99883e-14	4.63761e-15	7.2717e-16	1.01769e-16	1.45214e-17	1.85565e-18	2.438e-19	2.88549e-20	3.55578e-21	4.02449e-22	4.8233e-23	5.4613e-24	6.60111e-25	7.74107e-26	9.50812e-27	1.14148e-27	1.45417e-28	2.76197e-29	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
