NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.205049	0.190183	0.164557	0.133538	0.102109	0.0738521	0.0506776	0.0330677	0.0205505	0.0121769	0.00688427	0.00371519	0.00191445	0.0009422	0.000442958	0.000198961	8.53913e-05	3.50214e-05	1.37258e-05	5.14064e-06	1.83963e-06	6.28951e-07	2.05396e-07	6.40558e-08	1.90724e-08	5.42026e-09	1.46989e-09	3.8027e-10	9.38286e-11	2.20761e-11	4.95185e-12	1.05877e-12	2.15759e-13	6.52935e-17	2.80879e-17	1.17946e-17	4.8345e-18	1.9343e-18	7.55445e-19	2.88001e-19	1.07179e-19	3.89371e-20	1.38093e-20	4.78143e-21	1.61638e-21	5.33527e-22	1.7196e-22	5.41235e-23	1.66368e-23	4.99478e-24	1.46476e-24	4.19626e-25	1.1745e-25	3.2121e-26	8.58478e-27	2.24252e-27	5.72641e-28	1.42974e-28	3.49116e-29	8.33995e-30	1.95e-30	4.46552e-31	1.00257e-31	2.21038e-32	4.79802e-33	1.02982e-33	2.20082e-34	4.73429e-35	1.04235e-35	2.43351e-36	7.44435e-37	
N2	0.00660782	0.0077696	0.00971175	0.0126653	0.0165618	0.021583	0.0273698	0.0339925	0.0407112	0.0475841	0.053608	0.0590615	0.0628775	0.0656798	0.0664165	0.0659888	0.0633994	0.0597777	0.0543265	0.0483469	0.0413161	0.0345183	0.0276129	0.0215856	0.0161217	0.0117736	0.00820334	0.00559643	0.00363794	0.00231958	0.00140785	0.000839835	0.000476308	0.000266061	0.000141149	7.39097e-05	3.67039e-05	1.80276e-05	8.38816e-06	3.86798e-06	1.68711e-06	7.30663e-07	2.99006e-07	1.21725e-07	4.67562e-08	1.78987e-08	6.46005e-09	2.32802e-09	7.90071e-10	2.6823e-10	8.5746e-11	2.74797e-11	8.28996e-12	2.51333e-12	7.18404e-13	2.07025e-13	5.63892e-14	1.55481e-14	4.07742e-15	1.08792e-15	2.78453e-16	7.28466e-17	1.84889e-17	4.80108e-18	1.21966e-18	3.15359e-19	8.01703e-20	2.06407e-20	5.35532e-21	1.56094e-21	7.04575e-22	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.174845	0.173315	0.158785	0.136909	0.109985	0.0838106	0.0598116	0.0407511	0.0260685	0.016016	0.00924499	0.00516015	0.00270294	0.00138127	0.00066079	0.000312298	0.000137488	6.08238e-05	2.48831e-05	1.0454e-05	4.01056e-06	1.6177e-06	5.86449e-07	2.2859e-07	7.83317e-08	2.936e-08	9.4914e-09	3.4015e-09	1.02906e-09	3.48385e-10	9.84185e-11	3.14174e-11	8.22964e-12	2.45544e-12	5.98553e-13	1.6798e-13	3.78901e-14	9.92317e-15	2.08951e-15	5.17102e-16	1.00888e-16	2.33193e-17	4.27189e-18	9.38683e-19	1.59601e-19	3.27466e-20	5.2575e-21	1.02992e-21	1.53374e-22	2.79538e-23	3.94395e-24	6.87458e-25	8.98032e-26	1.45079e-26	1.79943e-27	2.78349e-28	3.18748e-29	4.55165e-30	4.95852e-31	6.79728e-32	6.84703e-33	8.69249e-34	8.43443e-35	1.04768e-35	9.79362e-37	1.19966e-37	1.25843e-38	1.79539e-39	2.48245e-40	4.44914e-41	9.55348e-42	
N4	0.174705	0.173248	0.158819	0.137033	0.11013	0.0839457	0.0598822	0.0407774	0.0260365	0.0159677	0.0091795	0.00510645	0.00265569	0.00135051	0.000638865	0.000300201	0.000129974	5.71867e-05	2.28373e-05	9.56817e-06	3.54624e-06	1.43436e-06	4.95846e-07	1.95824e-07	6.29483e-08	2.42233e-08	7.22087e-09	2.70975e-09	7.40365e-10	2.67766e-10	6.70225e-11	2.35604e-11	5.32763e-12	1.7968e-12	3.70541e-13	1.22882e-13	2.26801e-14	7.22925e-15	1.22335e-15	3.91287e-16	5.88545e-17	1.79929e-17	2.51926e-18	7.87484e-19	9.74505e-20	2.85475e-20	3.36616e-21	1.0229e-21	1.05688e-22	2.91123e-23	2.94127e-24	8.50522e-25	7.45228e-26	1.88779e-26	1.65956e-27	4.48353e-28	3.36174e-29	7.67276e-30	5.90707e-31	1.46648e-31	9.48642e-33	1.93515e-33	1.31755e-34	3.00725e-35	1.68093e-36	3.04873e-37	1.86188e-38	4.04046e-39	2.76617e-40	8.29904e-41	3.51128e-41	
N5	0.155761	0.157093	0.148544	0.13364	0.112802	0.0907236	0.0684021	0.0492711	0.033221	0.0215035	0.013	0.00760801	0.00414152	0.00221258	0.00109226	0.000541008	0.00024454	0.000114565	4.80371e-05	2.17964e-05	8.56623e-06	3.81413e-06	1.41495e-06	6.20317e-07	2.16003e-07	9.16422e-08	2.98699e-08	1.21635e-08	3.66515e-09	1.40279e-09	3.92382e-10	1.42085e-10	3.64375e-11	1.22425e-11	2.91973e-12	9.31085e-13	2.03028e-13	5.98186e-14	1.22311e-14	3.4619e-15	6.45347e-16	1.67879e-16	2.96568e-17	7.51566e-18	1.20534e-18	2.78564e-19	4.28136e-20	9.75495e-21	1.34974e-21	2.76577e-22	3.69592e-23	7.52434e-24	8.99758e-25	1.63155e-25	1.9001e-26	3.44646e-27	3.56213e-28	5.68202e-29	5.74713e-30	9.22751e-31	8.28786e-32	1.17061e-32	1.04164e-33	1.50075e-34	1.19732e-35	1.54971e-36	1.36218e-37	2.10052e-38	2.60471e-39	5.4995e-40	1.41291e-40	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.147918	0.150339	0.144137	0.132033	0.11372	0.0934155	0.0719067	0.0528584	0.036317	0.023945	0.014713	0.0087541	0.00482773	0.00261747	0.00130333	0.000654408	0.000296573	0.000140898	5.87566e-05	2.71239e-05	1.0484e-05	4.77576e-06	1.71896e-06	7.78226e-07	2.58626e-07	1.14387e-07	3.50433e-08	1.51009e-08	4.20139e-09	1.7211e-09	4.39023e-10	1.73879e-10	3.99188e-11	1.48156e-11	3.14175e-12	1.13931e-12	2.16387e-13	7.26307e-14	1.29622e-14	4.33588e-15	6.87419e-16	2.08225e-16	3.17125e-17	9.78928e-18	1.30744e-18	3.55088e-19	4.66706e-20	1.32261e-20	1.49304e-21	3.58921e-22	4.0705e-23	1.04412e-23	9.9885e-25	2.11262e-25	2.0748e-26	4.80082e-27	3.88377e-28	7.15903e-29	6.04617e-30	1.24954e-30	8.58757e-32	1.38909e-32	1.02035e-33	1.90522e-34	1.10959e-35	1.56535e-36	1.00808e-37	1.75709e-38	1.28891e-39	2.91448e-40	1.05429e-40	
N7	0.0921836	0.0978827	0.101714	0.10392	0.102026	0.0971275	0.0878386	0.0767517	0.0634088	0.0508263	0.0384449	0.0285102	0.0199009	0.0138637	0.00905045	0.00606545	0.00377037	0.00250141	0.00151169	0.00101903	0.000605556	0.000416229	0.000243227	0.000168693	9.55767e-05	6.52993e-05	3.56229e-05	2.38083e-05	1.2353e-05	7.95205e-06	3.94472e-06	2.4726e-06	1.16104e-06	6.97937e-07	3.15079e-07	1.8605e-07	7.95654e-08	4.49901e-08	1.86878e-08	1.04842e-08	4.11696e-09	2.19333e-09	8.42278e-10	4.46963e-10	1.61192e-10	8.02495e-11	2.83744e-11	1.40731e-11	4.62471e-12	2.12253e-12	6.83349e-13	3.12444e-13	9.29135e-14	3.90586e-14	1.14019e-14	4.7884e-15	1.28196e-15	4.90792e-16	1.29123e-16	4.9586e-17	1.19671e-17	4.19726e-18	1.00555e-18	3.58623e-19	8.01111e-20	2.69477e-20	6.78036e-21	2.75635e-21	1.00326e-21	5.95959e-22	4.94298e-22	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0690449	0.0748775	0.0808109	0.0867472	0.0901813	0.0913407	0.0882346	0.0825287	0.0732227	0.063081	0.0514697	0.0411238	0.0310713	0.0233132	0.0164924	0.0118389	0.00795288	0.00558662	0.00362281	0.00255019	0.00161484	0.00115217	0.00071559	0.00051782	0.000312929	0.000226252	0.000132315	9.49914e-05	5.31577e-05	3.73377e-05	2.00526e-05	1.38749e-05	7.0843e-06	4.75827e-06	2.33883e-06	1.55375e-06	7.25472e-07	4.65651e-07	2.11101e-07	1.35016e-07	5.80283e-08	3.55464e-08	1.49576e-08	9.1867e-09	3.64507e-09	2.11917e-09	8.28335e-10	4.85093e-10	1.76988e-10	9.66409e-11	3.48368e-11	1.92329e-11	6.41395e-12	3.26542e-12	1.08033e-12	5.59271e-13	1.69381e-13	7.98166e-14	2.40655e-14	1.1616e-14	3.19404e-15	1.39823e-15	3.8694e-16	1.76089e-16	4.4633e-17	1.8711e-17	5.28887e-18	2.73525e-18	1.18477e-18	1.01917e-18	1.21881e-18	
N9	0.0389219	0.0429974	0.0481319	0.0545299	0.0607923	0.0669377	0.0711172	0.0738326	0.0733068	0.0710945	0.065726	0.0597278	0.0516473	0.044424	0.0362745	0.0300062	0.0234234	0.0190022	0.0143947	0.0117133	0.00872438	0.00723499	0.00535071	0.00455857	0.00334485	0.00290332	0.00210937	0.00185346	0.00132028	0.00115572	0.000806998	0.000703985	0.000477061	0.000408734	0.000270769	0.000230492	0.000147634	0.000122762	7.7205e-05	6.41368e-05	3.89515e-05	3.14978e-05	1.89105e-05	1.53928e-05	8.89993e-06	7.0114e-06	4.02921e-06	3.21213e-06	1.76425e-06	1.34635e-06	7.36332e-07	5.69868e-07	2.95515e-07	2.16783e-07	1.12173e-07	8.36444e-08	4.06867e-08	2.84539e-08	1.38444e-08	9.8847e-09	4.51891e-09	3.02799e-09	1.40379e-09	9.7887e-10	4.38137e-10	3.00844e-10	1.58462e-10	1.38568e-10	1.12284e-10	1.47143e-10	2.22335e-10	
N10	0.0124083	0.0140262	0.0163962	0.0197278	0.0237266	0.0285429	0.0336081	0.03906	0.0440557	0.0488533	0.0523899	0.0551984	0.0561525	0.0562771	0.0545473	0.0524522	0.0489423	0.0456895	0.0414486	0.0378821	0.0335542	0.0301071	0.0260398	0.0229406	0.0193376	0.0167078	0.0137126	0.0116212	0.0092845	0.00772157	0.00602084	0.00493044	0.00376484	0.00304531	0.00228956	0.0018381	0.00136397	0.00108762	0.000798722	0.000633964	0.000460192	0.000362659	0.000260324	0.000203733	0.000144012	0.000111339	7.74739e-05	5.91797e-05	4.03247e-05	3.02476e-05	2.02048e-05	1.4912e-05	9.71546e-06	7.01232e-06	4.47093e-06	3.16998e-06	1.96894e-06	1.36393e-06	8.31194e-07	5.67887e-07	3.39946e-07	2.29707e-07	1.38616e-07	9.57584e-08	6.0719e-08	4.48529e-08	3.24507e-08	2.74217e-08	2.40679e-08	2.49091e-08	2.95945e-08	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
