NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.27005	0.236742	0.184453	0.129357	0.0824713	0.048153	0.0258902	0.0128646	0.00592372	0.00253189	0.00100591	0.0003718	0.000127956	4.10256e-05	1.22613e-05	3.41725e-06	8.88489e-07	2.15566e-07	4.88177e-08	1.03208e-08	2.03736e-09	3.7555e-10	6.46493e-11	1.03937e-11	1.56071e-12	2.18894e-13	4.70683e-17	1.64659e-17	5.56762e-18	1.81969e-18	5.74908e-19	1.7559e-19	5.18488e-20	1.48032e-20	4.08691e-21	1.09121e-21	2.81811e-22	7.04048e-23	1.70181e-23	3.98064e-24	9.01174e-25	1.97495e-25	4.19066e-26	8.61138e-27	1.71403e-27	3.3053e-28	6.17655e-29	1.11872e-29	1.96442e-30	3.3449e-31	5.52423e-32	8.85117e-33	1.37617e-33	2.0768e-34	3.04276e-35	4.32915e-36	5.98286e-37	8.0334e-38	1.04833e-38	1.32994e-39	1.64081e-40	1.96953e-41	2.30145e-42	2.62036e-43	2.91138e-44	3.16552e-45	3.38753e-46	3.61081e-47	3.92917e-48	4.58609e-49	7.09576e-50	
N2	0.00330411	0.00442077	0.00648192	0.00983389	0.0146247	0.0211576	0.028832	0.0377965	0.0470128	0.056014	0.0636456	0.0703677	0.0740163	0.0762046	0.0755653	0.0727968	0.067355	0.0610038	0.052216	0.0435626	0.0345253	0.0262825	0.018903	0.0132062	0.00856887	0.00539912	0.0031961	0.00181285	0.00096348	0.000499438	0.000238376	0.000111195	4.85016e-05	2.03777e-05	7.99575e-06	3.08668e-06	1.0907e-06	3.80106e-07	1.23578e-07	3.89765e-08	1.14498e-08	3.33918e-09	8.88406e-10	2.35271e-10	5.80041e-11	1.3972e-11	3.13198e-12	7.03308e-13	1.43628e-13	2.94449e-14	5.61736e-15	1.05489e-15	1.84164e-16	3.24844e-17	5.208e-18	8.45924e-19	1.28055e-19	1.92654e-20	2.71362e-21	3.91581e-22	5.21599e-23	7.19142e-24	9.54568e-25	1.30084e-25	1.7455e-26	2.45407e-27	3.39535e-28	4.84664e-29	6.90302e-30	1.04937e-30	2.53306e-31	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.221187	0.217051	0.186035	0.143078	0.0986832	0.0627293	0.0357833	0.0190726	0.00928674	0.00422693	0.00176113	0.000711421	0.000257118	9.23824e-05	3.03191e-05	9.89598e-06	2.90829e-06	9.14368e-07	2.41912e-07	7.07875e-08	1.77209e-08	4.77011e-09	1.07123e-09	2.79355e-10	5.55306e-11	1.30737e-11	2.45471e-12	5.23015e-13	8.66295e-14	1.7629e-14	2.59895e-15	4.79494e-16	6.66502e-17	1.09258e-17	1.36381e-18	2.20375e-19	2.40625e-20	3.41403e-21	3.63369e-22	4.72499e-23	4.40177e-24	5.45402e-25	4.56777e-26	5.17834e-27	4.1192e-28	4.06819e-29	2.93529e-30	2.92921e-31	1.82847e-32	1.56972e-33	9.71651e-35	7.77147e-36	4.19006e-37	3.18518e-38	1.56757e-39	1.10437e-40	5.14907e-42	3.13855e-43	1.35661e-44	8.54859e-46	3.19065e-47	1.72475e-48	6.61045e-50	3.40944e-51	1.14903e-52	5.82557e-54	2.05495e-55	1.17884e-56	6.32686e-58	5.23162e-59	5.43838e-60	
N4	0.221111	0.217075	0.186158	0.143238	0.0987755	0.0627633	0.0357276	0.0189978	0.00920495	0.00416737	0.00171884	0.000689895	0.000244863	8.72537e-05	2.79487e-05	9.03971e-06	2.55114e-06	8.06912e-07	1.99967e-07	5.9567e-08	1.38396e-08	3.83138e-09	7.71387e-10	2.18282e-10	3.70769e-11	9.7126e-12	1.56025e-12	3.8001e-13	5.05157e-14	1.27716e-14	1.42856e-15	3.4609e-16	3.6547e-17	7.83579e-18	7.01546e-19	1.74463e-19	1.23408e-20	2.65801e-21	2.00533e-22	4.18344e-23	2.42352e-24	5.16321e-25	2.65677e-26	5.69271e-27	2.85106e-28	4.60539e-29	2.08997e-30	4.44932e-31	1.50922e-32	2.3361e-33	9.71364e-35	1.58047e-35	4.66518e-37	6.90401e-38	2.02538e-39	3.28525e-40	8.76277e-42	9.09581e-43	2.51479e-44	4.0213e-45	7.42811e-47	7.25726e-48	1.99919e-49	2.40326e-50	3.94936e-52	3.78802e-53	7.0825e-55	8.79322e-56	1.67368e-57	1.98204e-58	4.50757e-59	
N5	0.194143	0.196522	0.177912	0.146796	0.109471	0.0755422	0.0466407	0.0268919	0.0140654	0.00686849	0.00303605	0.00131761	0.000498876	0.000193813	6.68657e-05	2.40069e-05	7.3575e-06	2.65697e-06	7.22675e-07	2.47425e-07	6.39466e-08	2.01209e-08	4.57798e-09	1.43435e-09	2.81001e-10	7.83082e-11	1.46922e-11	3.70808e-12	5.96908e-13	1.452e-13	2.06191e-14	4.58264e-15	6.14192e-16	1.16673e-16	1.4059e-17	2.82599e-18	2.83225e-19	4.69251e-20	4.84116e-21	7.66825e-22	6.52759e-23	9.64403e-24	7.45661e-25	1.05223e-25	7.61736e-27	8.61023e-28	5.80534e-29	7.44289e-30	4.01044e-31	3.95337e-32	2.27718e-33	2.25619e-34	1.05354e-35	9.48569e-37	4.1828e-38	3.71097e-39	1.49003e-40	1.02047e-41	3.99497e-43	3.23859e-44	9.99691e-46	6.1285e-47	2.15983e-48	1.38374e-49	3.82358e-51	2.18898e-52	6.15213e-54	3.95655e-55	1.65115e-56	1.59042e-57	2.07408e-58	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.183401	0.18816	0.174285	0.147872	0.113553	0.0806789	0.0511846	0.0302941	0.0162198	0.00810071	0.00364522	0.00161491	0.000617222	0.000244295	8.44395e-05	3.08752e-05	9.31365e-06	3.47522e-06	9.06441e-07	3.2451e-07	7.94644e-08	2.63383e-08	5.50212e-09	1.89569e-09	3.28068e-10	1.01877e-10	1.70034e-11	4.86239e-12	6.65078e-13	1.91165e-13	2.25503e-14	6.10104e-15	6.81946e-16	1.51918e-16	1.50393e-17	3.91852e-18	3.01985e-19	6.08146e-20	5.2263e-21	1.05708e-21	6.8027e-23	1.25244e-23	7.49654e-25	1.42162e-25	7.78969e-27	1.02041e-27	5.40306e-29	9.75854e-30	3.62522e-31	4.18835e-32	1.9431e-33	2.59805e-34	8.23692e-36	8.99171e-37	2.92275e-38	3.68079e-39	9.99548e-41	7.47252e-42	2.22366e-43	2.67401e-44	5.07336e-46	3.42763e-47	9.60497e-49	8.61566e-50	1.43052e-51	9.33074e-53	1.73102e-54	1.45775e-55	2.87601e-57	2.48646e-58	3.91419e-59	
N7	0.107939	0.119524	0.126761	0.128334	0.121094	0.108091	0.0879015	0.0679143	0.0484449	0.0328972	0.0206491	0.0130527	0.00738251	0.00442462	0.00242703	0.00143236	0.000745588	0.000466416	0.000228984	0.000141506	6.91403e-05	4.08426e-05	1.85087e-05	1.12425e-05	4.63243e-06	2.62548e-06	1.08395e-06	5.84202e-07	2.18866e-07	1.18978e-07	4.13679e-08	2.1454e-08	7.37013e-09	3.43292e-09	1.10426e-09	5.5299e-10	1.55531e-10	6.74787e-11	1.97609e-11	8.30373e-12	2.10527e-12	8.4804e-13	1.99522e-13	7.72417e-14	1.74226e-14	5.71099e-15	1.21374e-15	4.37249e-16	7.81852e-17	2.30858e-17	4.34455e-18	1.26862e-18	2.03256e-19	5.60919e-20	8.49686e-21	2.27887e-21	3.25498e-22	7.1627e-23	9.88802e-24	2.47394e-24	2.82702e-25	5.70322e-26	7.24471e-27	1.47685e-27	1.54929e-28	2.96875e-29	3.19898e-30	6.864e-31	1.14312e-31	3.74367e-32	1.88913e-32	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0782302	0.0898054	0.10123	0.110469	0.11331	0.110427	0.0986043	0.0837783	0.0660385	0.049536	0.0345437	0.0239979	0.0151013	0.00983604	0.00593552	0.0037446	0.00213062	0.00140416	0.000753052	0.000493297	0.000264386	0.00016843	8.40516e-05	5.61062e-05	2.55907e-05	1.62742e-05	7.47358e-06	4.56886e-06	1.90898e-06	1.20089e-06	4.64917e-07	2.8135e-07	1.0846e-07	5.97449e-08	2.15281e-08	1.2916e-08	4.08465e-09	2.1505e-09	7.17303e-10	3.68688e-10	1.06615e-10	5.36722e-11	1.44611e-11	7.08651e-12	1.85799e-12	7.68085e-13	1.90924e-13	9.03111e-14	1.8742e-14	7.19654e-15	1.6276e-15	6.35814e-16	1.20422e-16	4.45661e-17	8.09505e-18	3.00218e-18	5.14943e-19	1.52631e-19	2.58696e-20	9.26566e-21	1.26126e-21	3.4911e-22	5.52777e-23	1.61535e-23	2.02699e-24	5.41792e-25	6.93595e-26	2.07768e-26	3.92933e-27	1.88879e-27	1.62459e-27	
N9	0.040839	0.0484163	0.0581288	0.0694588	0.079804	0.0886215	0.0914394	0.0906584	0.0841773	0.0748547	0.062399	0.0518694	0.0394998	0.0309878	0.0227939	0.0174089	0.0122303	0.00980481	0.00662597	0.00537489	0.00371634	0.00300838	0.00199867	0.00172682	0.00108583	0.000916668	0.000593159	0.000490904	0.00029918	0.000257695	0.000149664	0.000125933	7.42147e-05	5.86679e-05	3.31252e-05	2.8342e-05	1.46084e-05	1.14086e-05	6.22131e-06	4.78588e-06	2.35994e-06	1.82712e-06	8.55555e-07	6.49455e-07	3.04102e-07	2.04792e-07	9.23139e-08	6.99462e-08	2.76655e-08	1.80734e-08	7.74489e-09	5.11402e-09	1.93116e-09	1.25206e-09	4.57054e-10	2.9449e-10	1.04671e-10	5.75493e-11	2.01279e-11	1.27081e-11	3.79242e-12	1.99658e-12	6.67275e-13	3.61347e-13	1.03648e-13	5.48062e-14	1.68074e-14	1.05584e-14	5.40919e-15	5.87649e-15	9.00752e-15	
N10	0.0109078	0.013418	0.0172506	0.0226513	0.0292977	0.0373012	0.0451828	0.0532125	0.059855	0.064949	0.0673839	0.0685766	0.0660942	0.0629458	0.0576865	0.0520623	0.0453171	0.0400616	0.0334985	0.028826	0.0239374	0.0202154	0.0163613	0.0139814	0.0109594	0.00912218	0.00709693	0.00569947	0.00422276	0.00337782	0.00238521	0.00183832	0.00128861	0.000957656	0.000644598	0.000482816	0.000310288	0.000223014	0.000143191	9.92716e-05	6.09736e-05	4.26506e-05	2.52916e-05	1.72598e-05	1.04002e-05	6.91027e-06	4.05796e-06	2.77741e-06	1.57067e-06	1.03373e-06	5.91809e-07	3.75659e-07	2.03933e-07	1.29516e-07	6.67062e-08	4.03165e-08	2.05734e-08	1.1705e-08	5.66542e-09	3.24984e-09	1.47582e-09	7.9835e-10	3.69106e-10	1.95259e-10	8.93123e-11	5.09755e-11	2.64591e-11	1.77813e-11	1.25964e-11	1.12234e-11	1.27572e-11	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.0461895	0.0533734	0.061547	0.0704125	0.0780676	0.0844173	0.0865633	0.0860217	0.0815881	0.0744462	0.0648801	0.0550133	0.0441597	0.034528	0.0257876	0.0185871	0.0127655	0.00857542	0.00540935	0.00334523	0.00196589	0.00112014	0.000605013	0.000323726	0.000160883	7.95991e-05	3.72149e-05	1.70616e-05	7.36443e-06	3.20589e-06	1.28042e-06	5.18496e-07	1.96706e-07	7.42135e-08	2.61674e-08	9.47168e-09	3.10732e-09	1.05124e-09	3.30795e-10	1.04862e-10	3.07773e-11	9.39883e-12	2.57399e-12	7.35638e-13	1.93437e-13	5.15901e-14	1.2625e-14	3.24316e-15	7.366e-16	1.75828e-16	3.8285e-17	8.50269e-18	1.71412e-18	3.65327e-19	6.82286e-20	1.34989e-20	2.41515e-21	4.43454e-22	7.37347e-23	1.30913e-23	2.03158e-24	3.39136e-25	5.21462e-26	8.46882e-27	1.30655e-27	2.2416e-28	3.73459e-29	6.87591e-30	1.28827e-30	2.7327e-31	9.41219e-32	
Tetraria_capillaris	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.00201478	0.0030546	0.00527931	0.00930166	0.0156105	0.0248105	0.036259	0.0498697	0.0635308	0.0758556	0.0848589	0.0914418	0.0924362	0.0906666	0.0841516	0.0743078	0.0608322	0.0473155	0.0332219	0.0223127	0.01391	0.00837012	0.00475495	0.00272214	0.00144717	0.000788713	0.000412676	0.000221098	0.000114512	6.30446e-05	3.19431e-05	1.68991e-05	8.19882e-06	3.95857e-06	1.71502e-06	7.60753e-07	2.8871e-07	1.1237e-07	3.85271e-08	1.31542e-08	3.92898e-09	1.21727e-09	3.17526e-10	8.64588e-11	2.04695e-11	4.89689e-12	1.01817e-12	2.24006e-13	4.09232e-14	7.94582e-15	1.33659e-15	2.30862e-16	3.43481e-17	5.50404e-18	7.2825e-19	1.04292e-19	1.28307e-20	1.64224e-21	1.81252e-22	2.19102e-23	2.16871e-24	2.36679e-25	2.25142e-26	2.2914e-27	2.08463e-28	2.18082e-29	2.11605e-30	2.38356e-31	2.6967e-32	3.42951e-33	6.68219e-34	
Machaerina_articulata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Machaerina_mariscoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
