NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.222594	0.204051	0.172398	0.135043	0.0985805	0.0673569	0.0432315	0.0261338	0.0149119	0.00804291	0.00410548	0.00198467	0.000909211	0.000394853	0.00016261	6.35133e-05	2.35328e-05	8.27196e-06	2.75881e-06	8.73046e-07	2.62177e-07	7.47152e-08	2.02075e-08	5.18703e-09	1.26372e-09	2.92228e-10	6.41428e-11	1.33641e-11	2.64309e-12	4.96218e-13	9.07577e-17	3.73314e-17	1.49617e-17	5.84267e-18	2.22318e-18	8.24295e-19	2.97817e-19	1.04855e-19	3.59765e-20	1.20299e-20	3.9205e-21	1.24533e-21	3.85582e-22	1.16379e-22	3.42445e-23	9.82437e-24	2.74826e-24	7.49709e-25	1.9946e-25	5.17601e-26	1.31027e-26	3.23599e-27	7.79816e-28	1.83391e-28	4.20951e-29	9.43251e-30	2.06371e-30	4.40954e-31	9.20404e-32	1.87739e-32	3.74385e-33	7.30386e-34	1.39533e-34	2.6143e-35	4.81569e-36	8.75777e-37	1.58342e-37	2.87918e-38	5.36251e-39	1.05983e-39	2.73392e-40	
N2	0.00585047	0.00705668	0.00917483	0.0124173	0.0168844	0.0227453	0.0295094	0.0372374	0.0452374	0.0529357	0.0596714	0.0654814	0.0688571	0.0706969	0.0702985	0.067811	0.0633761	0.0580167	0.0509282	0.0437571	0.0363458	0.0292185	0.0226538	0.0171711	0.0123833	0.00872453	0.00590918	0.00386042	0.00242023	0.00148407	0.000860217	0.000487982	0.000265274	0.000139166	6.99048e-05	3.44784e-05	1.6002e-05	7.3016e-06	3.18809e-06	1.34677e-06	5.4394e-07	2.16771e-07	8.10366e-08	2.9938e-08	1.05705e-08	3.62216e-09	1.18574e-09	3.8504e-10	1.16983e-10	3.5307e-11	1.01795e-11	2.86037e-12	7.67854e-13	2.05688e-13	5.15536e-14	1.29287e-14	3.10827e-15	7.34663e-16	1.6729e-16	3.84927e-17	8.42856e-18	1.88001e-18	4.11982e-19	9.09383e-20	1.99375e-20	4.468e-21	9.86863e-22	2.21609e-22	5.02895e-23	1.25988e-23	4.97434e-24	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.190358	0.187158	0.168121	0.139771	0.107836	0.0782671	0.0525466	0.0334045	0.0199158	0.0111877	0.0059071	0.00300078	0.00141226	0.000645561	0.000278695	0.000115715	4.53223e-05	1.78335e-05	6.37795e-06	2.33667e-06	8.00907e-07	2.74358e-07	8.68872e-08	2.93325e-08	8.5287e-09	2.68892e-09	7.58863e-10	2.21612e-10	5.70387e-11	1.63211e-11	3.82193e-12	1.00837e-12	2.27992e-13	5.50335e-14	1.1352e-14	2.69883e-15	5.02914e-16	1.08985e-16	1.98798e-17	3.96255e-18	6.55444e-19	1.28207e-19	1.9278e-20	3.46598e-21	5.10666e-22	8.30959e-23	1.11701e-23	1.82176e-24	2.2012e-25	3.23397e-26	3.88099e-27	5.25322e-28	5.68393e-29	7.58999e-30	7.4757e-31	9.16129e-32	8.85451e-33	9.78612e-34	8.70416e-35	9.74275e-36	7.76098e-37	7.81694e-38	6.33048e-39	5.99736e-40	4.50356e-41	4.45269e-42	3.56435e-43	3.99889e-44	4.5468e-45	6.76369e-46	1.23645e-46	
N4	0.190211	0.187109	0.168207	0.13995	0.108014	0.0784023	0.0525805	0.0333743	0.0198404	0.0111025	0.0058273	0.00294494	0.00137189	0.000622247	0.000265306	0.000108966	4.18538e-05	1.63719e-05	5.67659e-06	2.06739e-06	6.86679e-07	2.33564e-07	7.04003e-08	2.42485e-08	6.53046e-09	2.11675e-09	5.57937e-10	1.68134e-10	3.90213e-11	1.21973e-11	2.47323e-12	7.25827e-13	1.4441e-13	3.87499e-14	6.72651e-15	1.96171e-15	2.88417e-16	7.6981e-17	1.16689e-17	2.89579e-18	3.69498e-19	9.91731e-20	1.09184e-20	2.77686e-21	3.17213e-22	6.88955e-23	6.82207e-24	1.77311e-24	1.43779e-25	3.15912e-26	2.89692e-27	5.98703e-28	4.39832e-29	9.67404e-30	6.38434e-31	1.34081e-31	9.12849e-33	1.50633e-33	9.48815e-35	1.99661e-35	9.70415e-37	1.56688e-37	9.62611e-39	1.54686e-39	6.98724e-41	1.12086e-41	4.98134e-43	8.4019e-44	4.71499e-45	1.0335e-45	3.76243e-46	
N5	0.168534	0.169219	0.157962	0.138209	0.113095	0.087453	0.0625485	0.0423491	0.0268009	0.0159325	0.00885267	0.00473961	0.00232396	0.00111456	0.000500723	0.000218013	8.83527e-05	3.7249e-05	1.36906e-05	5.44434e-06	1.94779e-06	7.30636e-07	2.39114e-07	9.13733e-08	2.69387e-08	9.6024e-09	2.78041e-09	9.12244e-10	2.36004e-10	7.73284e-11	1.79046e-11	5.37977e-12	1.21247e-12	3.27755e-13	6.66912e-14	1.83334e-14	3.28142e-15	8.01707e-16	1.44469e-16	3.24872e-17	5.16983e-18	1.15878e-18	1.65528e-19	3.41283e-20	4.84886e-21	8.72175e-22	1.12385e-22	2.15675e-23	2.39153e-24	3.93158e-25	4.53896e-26	6.9927e-27	6.9773e-28	1.0673e-28	9.66299e-30	1.36938e-30	1.21832e-31	1.47638e-32	1.22222e-33	1.61711e-34	1.13174e-35	1.25879e-36	9.51325e-38	1.01623e-38	6.57597e-40	7.0353e-41	4.61184e-42	5.42017e-43	5.36336e-44	9.11657e-45	2.007e-45	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.159399	0.161575	0.153414	0.137194	0.115013	0.0911805	0.0667984	0.0462858	0.0299264	0.0181506	0.0102649	0.00559539	0.00277937	0.0013533	0.000614166	0.000270697	0.000109995	4.72012e-05	1.7185e-05	6.96553e-06	2.46309e-06	9.4158e-07	2.98842e-07	1.19277e-07	3.32233e-08	1.24454e-08	3.4226e-09	1.18323e-09	2.82219e-10	1.01332e-10	2.1074e-11	7.0145e-12	1.43605e-12	4.25749e-13	7.69244e-14	2.46814e-14	3.76878e-15	1.05375e-15	1.69344e-16	4.39212e-17	5.94259e-18	1.58247e-18	1.89231e-19	4.71275e-20	5.73262e-21	1.16833e-21	1.27663e-22	3.101e-23	2.72087e-24	5.20827e-25	5.2e-26	9.73751e-27	7.6901e-28	1.42242e-28	1.03296e-29	1.85351e-30	1.31228e-31	1.78252e-32	1.21686e-33	2.13379e-34	1.08861e-35	1.37721e-36	8.82315e-38	1.17217e-38	5.4479e-40	6.7063e-41	3.10362e-42	4.10858e-43	2.38554e-44	3.98621e-45	1.1898e-45	
N7	0.0973144	0.103902	0.108523	0.110332	0.107753	0.101377	0.0895341	0.0758244	0.0607491	0.0462904	0.033396	0.0235649	0.0154529	0.0100995	0.00629791	0.00389231	0.00228692	0.00143527	0.000802224	0.000496943	0.000282637	0.000171633	9.30597e-05	5.90306e-05	2.99943e-05	1.82875e-05	9.3959e-06	5.45236e-06	2.6071e-06	1.55104e-06	6.91505e-07	3.912e-07	1.7573e-07	9.29523e-08	3.92172e-08	2.17067e-08	8.3902e-09	4.28385e-09	1.71519e-09	8.30996e-10	3.0478e-10	1.50739e-10	5.1263e-11	2.39318e-11	8.25656e-12	3.48392e-12	1.11956e-12	5.03497e-13	1.44536e-13	5.7889e-14	1.7321e-14	6.59759e-15	1.76984e-15	6.7813e-16	1.68651e-16	6.07923e-17	1.50848e-17	4.83218e-18	1.13128e-18	3.89768e-19	8.02273e-20	2.42394e-20	5.33893e-21	1.55323e-21	3.05751e-22	9.16123e-23	1.88173e-23	6.35161e-24	2.00684e-24	1.02418e-24	7.7877e-25	
