NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.270052	0.236742	0.184453	0.129356	0.0824707	0.0481524	0.0258898	0.0128643	0.00592354	0.00253179	0.00100586	0.000371781	0.000127949	4.10229e-005	1.22604e-005	3.41697e-006	8.88409e-007	2.15545e-007	4.88126e-008	1.03197e-008	2.03711e-009	3.75502e-010	6.46406e-011	1.03922e-011	1.56048e-012	2.1886e-013	4.70644e-017	1.64645e-017	5.56711e-018	1.81952e-018	5.74852e-019	1.75572e-019	5.18434e-020	1.48016e-020	4.08646e-021	1.09109e-021	2.81779e-022	7.03965e-023	1.7016e-023	3.98015e-024	9.0106e-025	1.9747e-025	4.19011e-026	8.61023e-027	1.7138e-027	3.30484e-028	6.17568e-029	1.11856e-029	1.96413e-030	3.34441e-031	5.52341e-032	8.84983e-033	1.37596e-033	2.07647e-034	3.04228e-035	4.32847e-036	5.9819e-037	8.03211e-038	1.04816e-038	1.32972e-039	1.64053e-040	1.9692e-041	2.30106e-042	2.61991e-043	2.91088e-044	3.16497e-045	3.38694e-046	3.61018e-047	3.92848e-048	4.58528e-049	7.09452e-050	
N2	0.00330413	0.0044208	0.00648196	0.00983395	0.0146247	0.0211577	0.0288321	0.0377967	0.047013	0.0560142	0.0636457	0.0703678	0.0740164	0.0762047	0.0755653	0.0727968	0.0673549	0.0610037	0.0522159	0.0435625	0.0345251	0.0262823	0.0189029	0.0132061	0.0085688	0.00539907	0.00319607	0.00181283	0.00096347	0.000499433	0.000238373	0.000111194	4.8501e-005	2.03775e-005	7.99565e-006	3.08664e-006	1.09068e-006	3.80101e-007	1.23576e-007	3.8976e-008	1.14496e-008	3.33914e-009	8.88395e-010	2.35268e-010	5.80034e-011	1.39719e-011	3.13194e-012	7.03301e-013	1.43627e-013	2.94447e-014	5.61731e-015	1.05488e-015	1.84163e-016	3.24841e-017	5.20797e-018	8.4592e-019	1.28055e-019	1.92653e-020	2.71362e-021	3.9158e-022	5.21598e-023	7.19141e-024	9.54568e-025	1.30084e-025	1.7455e-026	2.45408e-027	3.39537e-028	4.84667e-029	6.90307e-030	1.04938e-030	2.53309e-031	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.221188	0.217052	0.186036	0.143078	0.0986827	0.0627287	0.0357828	0.0190722	0.0092865	0.00422679	0.00176106	0.000711389	0.000257105	9.23771e-005	3.03172e-005	9.8953e-006	2.90807e-006	9.14295e-007	2.41891e-007	7.07811e-008	1.77192e-008	4.76963e-009	1.07111e-009	2.79325e-010	5.55242e-011	1.30721e-011	2.45441e-012	5.22947e-013	8.66179e-014	1.76265e-014	2.59858e-015	4.79424e-016	6.66402e-017	1.09242e-017	1.3636e-018	2.2034e-019	2.40586e-020	3.41346e-021	3.63307e-022	4.72417e-023	4.401e-024	5.45305e-025	4.56694e-026	5.17739e-027	4.11843e-028	4.06741e-029	2.93473e-030	2.92864e-031	1.82811e-032	1.56941e-033	9.71456e-035	7.76989e-036	4.1892e-037	3.18452e-038	1.56725e-039	1.10413e-040	5.14797e-042	3.13788e-043	1.35632e-044	8.54674e-046	3.18995e-047	1.72437e-048	6.60899e-050	3.40868e-051	1.14878e-052	5.82427e-054	2.05448e-055	1.17858e-056	6.32543e-058	5.23044e-059	5.43716e-060	
N4	0.221113	0.217076	0.186158	0.143238	0.098775	0.0627627	0.035727	0.0189974	0.0092047	0.00416723	0.00171878	0.000689864	0.00024485	8.72486e-005	2.79469e-005	9.03907e-006	2.55094e-006	8.06846e-007	1.9995e-007	5.95615e-008	1.38383e-008	3.83099e-009	7.71304e-010	2.18257e-010	3.70725e-011	9.71143e-012	1.56006e-012	3.79962e-013	5.05089e-014	1.27699e-014	1.42836e-015	3.46041e-016	3.65415e-017	7.83461e-018	7.01437e-019	1.74436e-019	1.23388e-020	2.65757e-021	2.00499e-022	4.18274e-023	2.4231e-024	5.16231e-025	2.6563e-026	5.69169e-027	2.85054e-028	4.60454e-029	2.08958e-030	4.44848e-031	1.50893e-032	2.33565e-033	9.71174e-035	1.58016e-035	4.66425e-037	6.90262e-038	2.02497e-039	3.28458e-040	8.76097e-042	9.09392e-043	2.51427e-044	4.02046e-045	7.42655e-047	7.25571e-048	1.99877e-049	2.40275e-050	3.94851e-052	3.7872e-053	7.08097e-055	8.79131e-056	1.67331e-057	1.98161e-058	4.50659e-059	
N5	0.194144	0.196523	0.177912	0.146796	0.10947	0.0755414	0.04664	0.0268913	0.014065	0.00686826	0.00303593	0.00131754	0.00049885	0.000193801	6.68614e-005	2.40052e-005	7.35696e-006	2.65676e-006	7.22614e-007	2.47403e-007	6.39406e-008	2.0119e-008	4.57751e-009	1.43419e-009	2.80969e-010	7.82991e-011	1.46905e-011	3.70762e-012	5.9683e-013	1.45181e-013	2.06162e-014	4.58199e-015	6.14103e-016	1.16655e-016	1.40568e-017	2.82555e-018	2.8318e-019	4.69176e-020	4.84036e-021	7.66697e-022	6.52648e-023	9.64236e-024	7.4553e-025	1.05204e-025	7.61598e-027	8.60865e-028	5.80426e-029	7.44149e-030	4.00968e-031	3.95261e-032	2.27674e-033	2.25575e-034	1.05333e-035	9.48379e-037	4.18196e-038	3.71022e-039	1.48972e-040	1.02026e-041	3.99414e-043	3.23792e-044	9.99481e-046	6.1272e-047	2.15937e-048	1.38344e-049	3.82276e-051	2.18851e-052	6.1508e-054	3.95569e-055	1.65079e-056	1.59007e-057	2.07363e-058	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.183402	0.188161	0.174286	0.147872	0.113552	0.0806781	0.0511838	0.0302934	0.0162194	0.00810043	0.00364507	0.00161483	0.000617189	0.000244281	8.44341e-005	3.0873e-005	9.31295e-006	3.47495e-006	9.06364e-007	3.24482e-007	7.94569e-008	2.63357e-008	5.50155e-009	1.89549e-009	3.28031e-010	1.01865e-010	1.70013e-011	4.86178e-012	6.64991e-013	1.91139e-013	2.25472e-014	6.10019e-015	6.81847e-016	1.51896e-016	1.5037e-017	3.91791e-018	3.01937e-019	6.08048e-020	5.22545e-021	1.05691e-021	6.80155e-023	1.25222e-023	7.49522e-025	1.42137e-025	7.78828e-027	1.02022e-027	5.40206e-029	9.75671e-030	3.62453e-031	4.18755e-032	1.94272e-033	2.59754e-034	8.23529e-036	8.98991e-037	2.92216e-038	3.68004e-039	9.99343e-041	7.47097e-042	2.22319e-043	2.67345e-044	5.07229e-046	3.4269e-047	9.60292e-049	8.61382e-050	1.43021e-051	9.32872e-053	1.73064e-054	1.45743e-055	2.87538e-057	2.48592e-058	3.91334e-059	
N7	0.10794	0.119525	0.126762	0.128334	0.121094	0.10809	0.087901	0.0679137	0.0484443	0.0328967	0.0206487	0.0130523	0.00738231	0.00442449	0.00242695	0.00143231	0.00074556	0.000466397	0.000228974	0.0001415	6.9137e-005	4.08405e-005	1.85077e-005	1.12418e-005	4.63216e-006	2.62532e-006	1.08388e-006	5.84164e-007	2.18851e-007	1.1897e-007	4.1365e-008	2.14524e-008	7.36957e-009	3.43265e-009	1.10417e-009	5.52945e-010	1.55518e-010	6.74729e-011	1.97592e-011	8.30299e-012	2.10507e-012	8.47961e-013	1.99503e-013	7.72342e-014	1.74209e-014	5.71041e-015	1.21361e-015	4.37203e-016	7.8177e-017	2.30833e-017	4.34408e-018	1.26848e-018	2.03233e-019	5.60857e-020	8.4959e-021	2.27861e-021	3.25461e-022	7.16187e-023	9.88687e-024	2.47366e-024	2.82669e-025	5.70254e-026	7.24385e-027	1.47667e-027	1.5491e-028	2.96839e-029	3.19859e-030	6.86317e-031	1.14298e-031	3.74322e-032	1.8889e-032	
