NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.060172	0.0730707	0.0954439	0.120016	0.136995	0.138767	0.12403	0.0979189	0.0684635	0.0424841	0.0234146	0.0114534	0.00496514	0.0019037	0.000644387	0.00019221	5.04516e-005	1.1638e-005	2.35706e-006	4.18786e-007	6.5237e-008	8.90593e-009	1.06519e-009	1.11599e-010	1.02414e-011	8.23286e-013	8.36275e-017	2.07754e-017	4.8323e-018	1.05258e-018	2.14767e-019	4.10609e-020	7.35854e-021	1.23661e-021	1.9496e-022	2.88498e-023	4.00914e-024	5.23495e-025	6.42664e-026	7.42223e-027	8.06941e-028	8.26409e-029	7.9779e-030	7.26483e-031	6.24469e-032	5.07056e-033	3.89199e-034	2.82601e-035	1.94257e-036	1.26501e-037	7.8097e-039	4.57418e-040	2.54353e-041	1.34372e-042	6.74889e-044	3.22481e-045	1.46696e-046	6.35732e-048	2.62669e-049	1.03652e-050	3.97605e-052	2.08877e-053	
N2	0.0946118	0.107304	0.118894	0.126933	0.126769	0.118008	0.0996371	0.0773432	0.0545105	0.0350451	0.0204366	0.0110519	0.00536249	0.0024451	0.00101959	0.000402323	0.00014537	5.40748e-005	1.75644e-005	6.27015e-006	1.99595e-006	6.88562e-007	2.00541e-007	6.95527e-008	1.79861e-008	5.68616e-009	1.38014e-009	3.92929e-010	8.34117e-011	2.27048e-011	4.24973e-012	1.04922e-012	1.84986e-013	4.10061e-014	6.51046e-015	1.45277e-015	2.03643e-016	4.05756e-017	5.75111e-018	1.07289e-018	1.34826e-019	2.50772e-020	2.87803e-021	4.99738e-022	5.63717e-023	8.51737e-024	8.83363e-025	1.42293e-025	1.26524e-026	1.7326e-027	1.5834e-028	2.08144e-029	1.63345e-030	2.038e-031	1.48556e-032	1.7737e-033	1.23278e-034	1.29433e-035	9.9315e-037	1.39244e-037	1.82274e-038	5.5105e-039	
N3	0.151119	0.158094	0.152854	0.138875	0.117641	0.0941101	0.0694375	0.0481893	0.0309913	0.0185678	0.010282	0.00536067	0.00255454	0.00115115	0.000480069	0.00018854	6.85363e-005	2.42751e-005	7.79168e-006	2.48812e-006	7.36715e-007	2.15369e-007	5.77407e-008	1.6171e-008	3.91888e-009	1.00866e-009	2.29877e-010	5.39481e-011	1.09949e-011	2.44815e-012	4.45627e-013	8.98985e-014	1.52851e-014	2.78383e-015	4.24559e-016	7.38653e-017	1.00685e-017	1.58293e-018	2.05376e-019	2.94767e-020	3.44147e-021	4.74794e-022	5.01937e-023	6.33891e-024	6.43585e-025	7.35484e-026	6.79822e-027	7.65312e-028	6.35628e-029	6.44679e-030	5.23388e-031	4.90208e-032	3.58633e-033	3.26679e-034	2.20179e-035	1.87975e-036	1.28475e-037	1.08534e-038	8.51143e-040	8.97988e-041	9.70047e-042	1.871e-042	
N4	0.197135	0.197435	0.176149	0.143595	0.106893	0.0742281	0.0470531	0.0279678	0.0153412	0.00783544	0.00368789	0.00163698	0.000660592	0.000252309	8.86448e-005	2.92579e-005	8.86292e-006	2.60039e-006	6.84145e-007	1.77124e-007	4.19885e-008	9.69687e-009	2.03422e-009	4.3735e-010	8.13311e-011	1.57432e-011	2.70348e-012	4.69907e-013	7.13624e-014	1.15816e-014	1.5559e-015	2.26096e-016	2.80428e-017	3.64002e-018	4.0141e-019	4.90919e-020	4.80266e-021	5.26296e-022	4.84119e-023	4.80288e-024	3.95155e-025	3.72365e-026	2.75871e-027	2.36522e-028	1.66616e-029	1.28953e-030	8.23947e-032	6.2065e-033	3.56546e-034	2.42228e-035	1.3487e-036	8.43217e-038	4.24486e-039	2.57333e-040	1.19731e-041	6.82648e-043	3.25014e-044	1.86182e-045	1.01672e-046	7.10404e-048	5.04912e-049	5.91005e-050	
N5	0.206939	0.206336	0.182119	0.145615	0.105053	0.0698091	0.0415717	0.0228434	0.0113302	0.00513209	0.00208752	0.000789726	0.000262882	8.22082e-005	2.29747e-005	6.00481e-006	1.39448e-006	3.19786e-007	6.24565e-008	1.24295e-008	2.15522e-009	3.75589e-010	5.59171e-011	9.01615e-012	1.14814e-012	1.62006e-013	1.86976e-014	2.30567e-015	2.27753e-016	2.58851e-017	2.20448e-018	2.20143e-019	1.71147e-020	1.49287e-021	1.01565e-022	8.41014e-024	4.95777e-025	3.596e-026	2.00991e-027	1.31271e-028	6.42386e-030	3.98714e-031	1.73856e-032	9.77523e-034	4.05252e-035	2.00643e-036	7.49782e-038	3.70436e-039	1.21123e-040	5.23402e-042	1.6869e-043	6.74101e-045	1.91329e-046	7.35106e-048	1.90859e-049	6.83105e-051	1.75417e-052	5.92576e-054	1.725e-055	7.43594e-057	3.09416e-058	2.19837e-059	
N6	0.177379	0.185859	0.17766	0.154988	0.120553	0.084307	0.0510377	0.0274815	0.0128169	0.00525489	0.00185793	0.000594224	0.000160691	4.02484e-005	8.73251e-006	1.76561e-006	3.07585e-007	5.39852e-008	7.71152e-009	1.15677e-009	1.44323e-010	1.85288e-011	1.93293e-012	2.25283e-013	1.95653e-014	1.94758e-015	1.51175e-016	1.29644e-017	8.48902e-019	6.67861e-020	3.74751e-021	2.58608e-022	1.32825e-023	7.9542e-025	3.58326e-026	2.07304e-027	8.041e-029	4.03571e-030	1.50825e-031	6.8629e-033	2.22862e-034	9.63551e-036	2.79688e-037	1.10184e-038	3.03722e-040	1.04194e-041	2.60252e-043	9.04284e-045	1.95769e-046	5.87261e-048	1.26595e-049	3.55572e-051	6.70684e-053	1.80219e-054	3.13167e-056	7.91252e-058	1.34897e-059	3.15209e-061	6.09998e-063	1.85331e-064	5.30719e-066	2.5971e-067	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.0288529	0.0656688	0.146928	0.237802	0.251424	0.170677	0.0729911	0.0209141	0.00409825	0.000578079	5.99178e-005	4.85747e-006	3.00831e-007	1.54028e-008	6.36568e-010	2.23513e-011	6.49526e-013	1.71004e-014	3.68409e-016	7.45037e-018	1.2781e-019	2.05103e-021	2.79355e-023	3.7822e-025	4.15945e-027	4.64632e-029	4.37436e-031	4.08863e-033	3.19956e-035	2.64031e-037	1.74221e-039	1.23221e-041	7.23472e-044	4.40651e-046	2.2335e-048	1.24964e-050	5.47255e-053	2.6704e-055	1.0801e-057	4.67548e-060	1.65794e-062	6.68371e-065	2.10115e-067	7.58493e-070	2.23009e-072	7.15002e-075	1.88471e-077	5.80093e-080	1.35834e-082	3.72495e-085	8.3579e-088	2.09463e-090	4.21951e-093	1.01436e-095	1.88527e-098	4.25798e-101	8.07792e-104	1.82993e-106	3.96145e-109	1.07298e-111	2.85334e-114	9.22477e-117	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_squarrosa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_ovata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0418682	0.0555882	0.0756626	0.0977194	0.114838	0.124044	0.120242	0.107787	0.0880263	0.0662335	0.0454174	0.0290887	0.0167356	0.00901748	0.00441327	0.00200437	0.000824487	0.000323125	0.000112196	3.75141e-005	1.13249e-005	3.25239e-006	8.39928e-007	2.14865e-007	4.77752e-008	1.06723e-008	2.13325e-009	4.20742e-010	7.40126e-011	1.34832e-011	2.11112e-012	3.46186e-013	5.02204e-014	7.40813e-015	9.61955e-016	1.32735e-016	1.53282e-017	1.88941e-018	2.02603e-019	2.24181e-020	2.14145e-021	2.21542e-022	1.8971e-023	1.7728e-024	1.42433e-025	1.19912e-026	8.69708e-028	6.96477e-029	4.53445e-030	3.26411e-031	2.01064e-032	1.31371e-033	7.28528e-035	4.5261e-036	2.31344e-037	1.34913e-038	7.04103e-040	4.14906e-041	2.39216e-042	1.58831e-043	1.05395e-044	1.08013e-045	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.000443645	0.00129478	0.00415386	0.0116636	0.0271375	0.0535503	0.0882752	0.122928	0.143591	0.140407	0.1209	0.100551	0.0745514	0.0504812	0.0293054	0.0162408	0.00812122	0.00396005	0.00153221	0.000598211	0.00020146	7.29991e-005	2.40582e-005	9.74178e-006	3.27665e-006	1.30405e-006	4.09939e-007	1.35774e-007	3.34876e-008	9.59425e-009	2.05956e-009	5.8145e-010	1.35434e-010	3.79237e-011	7.96198e-012	2.0072e-012	3.22758e-013	6.12183e-014	8.03927e-015	1.17018e-015	1.13522e-016	1.33532e-017	9.82342e-019	8.95067e-020	5.36006e-021	3.66332e-022	1.70894e-023	1.02141e-024	3.60093e-026	1.63012e-027	5.01849e-029	1.86938e-030	4.47073e-032	1.42324e-033	2.79887e-035	7.50698e-037	1.30934e-038	2.95717e-040	5.31155e-042	1.41781e-043	3.42828e-045	1.316e-046	
N10	0.000143784	0.000368449	0.00117351	0.00347523	0.00876979	0.0190283	0.0345031	0.0544776	0.0732265	0.0864867	0.0871044	0.0885083	0.0740374	0.0706362	0.0516053	0.0529424	0.0324311	0.0477289	0.0231703	0.0370083	0.0165468	0.0233836	0.00953292	0.0183843	0.00814905	0.016646	0.00847988	0.0152347	0.00527412	0.00834464	0.00266709	0.00533421	0.00221894	0.00323359	0.00148417	0.0045101	0.00104078	0.00118666	0.000471113	0.000796912	0.000115431	9.78267e-005	1.62336e-005	2.23317e-005	2.17494e-006	8.40394e-007	1.03856e-007	1.06638e-007	5.21524e-009	1.40849e-009	1.18719e-010	6.92432e-011	2.39367e-012	5.67002e-013	2.62269e-014	1.1893e-014	2.92602e-016	3.65419e-017	1.41916e-018	5.3367e-019	1.97786e-020	1.21274e-020	
