NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	2.38659e-018	1.53692e-017	1.412e-013	5.50484e-012	1.35167e-010	2.14356e-009	2.49302e-008	2.24372e-007	1.52409e-006	7.60028e-006	2.8607e-005	8.89896e-005	0.00025887	0.000765714	0.0023167	0.00687678	0.0189834	0.0464696	0.0961057	0.160333	0.207602	0.202373	0.14523	0.0754775	0.028078	0.00741762	0.00138495	0.00018238	1.69439e-005	1.11316e-006	5.19252e-008	1.72931e-009	4.13942e-011	7.17568e-013	2.98226e-017	2.87954e-018	2.39689e-019	1.72782e-020	1.08357e-021	5.93869e-023	2.85714e-024	1.21191e-025	4.55139e-027	1.51959e-028	4.52825e-030	1.20892e-031	2.90208e-033	6.28594e-035	1.2326e-036	2.19506e-038	3.56083e-040	5.27705e-042	7.16406e-044	8.93294e-046	1.02562e-047	1.08695e-049	1.06878e-051	1.19024e-053	
N2	1.08434e-013	1.19135e-012	1.72468e-011	2.1335e-010	2.11242e-009	1.68888e-008	1.16305e-007	6.91189e-007	3.47593e-006	1.45504e-005	5.17106e-005	0.000166787	0.000526347	0.00164528	0.0048985	0.0133789	0.0324461	0.0677137	0.118082	0.167973	0.191418	0.172351	0.121511	0.0667525	0.0284708	0.00947058	0.0024897	0.00052331	9.2821e-005	1.575e-005	2.47891e-006	4.22826e-007	7.32424e-008	1.04091e-008	1.31167e-009	1.67286e-010	1.48669e-011	1.44681e-012	1.12248e-013	9.03161e-015	5.51288e-016	4.0946e-017	2.01429e-018	1.24058e-019	5.03889e-021	2.507e-022	8.09415e-024	3.3007e-025	8.50082e-027	2.81606e-028	5.91969e-030	1.61225e-031	2.76824e-033	6.72518e-035	1.08306e-036	3.02598e-038	9.54744e-040	5.61127e-041	
N3	2.3716e-014	2.83131e-013	4.84796e-012	7.01118e-011	8.06725e-010	7.50707e-009	5.88577e-008	3.92376e-007	2.20134e-006	1.02805e-005	4.04806e-005	0.000140722	0.000457017	0.00141927	0.00415547	0.0111984	0.0270864	0.0573709	0.103562	0.155123	0.18826	0.181328	0.136674	0.0800105	0.0360684	0.0126219	0.00350825	0.000777679	0.000148585	2.98504e-005	4.90137e-006	9.23364e-007	1.63287e-007	2.32158e-008	2.66145e-009	3.79133e-010	2.86818e-011	3.1655e-012	2.05075e-013	1.8193e-014	8.60321e-016	6.78016e-017	2.43743e-018	1.54028e-019	4.43436e-021	2.21292e-022	4.97153e-024	2.02206e-025	3.60078e-027	1.17639e-028	1.71987e-030	4.543e-032	5.40086e-034	1.26377e-035	1.2914e-037	3.00027e-039	6.89554e-041	3.98995e-042	
N4	3.00901e-012	1.79163e-011	1.62822e-010	1.41315e-009	1.06647e-008	6.91888e-008	3.89335e-007	1.93584e-006	8.55417e-006	3.33888e-005	0.000114822	0.000348912	0.000945162	0.00231289	0.0051974	0.0108814	0.0213157	0.0389314	0.0657957	0.101629	0.139527	0.164203	0.16095	0.129248	0.0840256	0.0445295	0.0195387	0.00716186	0.00230502	0.00071866	0.000199474	5.70419e-005	1.54363e-005	3.66961e-006	7.59027e-007	1.60917e-007	2.50463e-008	4.2096e-009	5.6121e-010	7.72908e-011	8.19115e-012	9.8826e-013	8.44862e-014	8.41356e-015	5.99289e-016	4.89968e-017	2.83053e-018	1.95246e-019	9.22111e-021	5.30344e-022	2.11982e-023	1.03125e-024	3.51053e-026	1.61103e-027	5.64733e-029	3.14806e-030	1.94231e-031	2.0801e-032	
Carex_eburnea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_cruciata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.46662e-017	1.0805e-015	5.38899e-014	1.82781e-012	4.20297e-011	6.93984e-010	8.38477e-009	7.91623e-008	5.98005e-007	3.85614e-006	2.20898e-005	0.000107221	0.00042001	0.001371	0.00405105	0.0109284	0.0255714	0.0513277	0.0903311	0.139961	0.183531	0.192406	0.154003	0.0912962	0.0392299	0.012174	0.00274757	0.000453249	5.7016e-005	6.01217e-006	5.06432e-007	4.01466e-008	2.87685e-009	1.66587e-010	7.92919e-012	3.67811e-013	1.12684e-014	3.58476e-016	8.43574e-018	1.94627e-019	3.2091e-021	6.03185e-023	7.2476e-025	1.03528e-026	9.59449e-029	1.04161e-030	7.25101e-033	6.18653e-035	3.28646e-037	2.18378e-039	9.17276e-042	4.82417e-044	1.60844e-046	7.28253e-049	2.20305e-051	1.07064e-053	5.44547e-056	4.20799e-058	
N6	1.71219e-018	1.14234e-016	8.07216e-015	3.78427e-013	1.17753e-011	2.59246e-010	4.3877e-009	5.62444e-008	5.43587e-007	3.98581e-006	2.26083e-005	0.000104913	0.00042483	0.00153945	0.00495657	0.0138979	0.0332086	0.0670678	0.11465	0.164983	0.194728	0.180691	0.126571	0.0651288	0.0241979	0.00642323	0.0012154	0.000165259	1.66184e-005	1.31704e-006	8.40789e-008	5.04561e-009	3.78004e-010	2.26756e-011	1.39616e-012	1.04841e-013	3.47761e-015	1.42591e-016	4.70119e-018	1.15146e-019	2.01377e-021	6.13265e-023	6.51176e-025	1.79826e-026	1.56315e-028	3.51861e-030	2.19191e-032	3.98457e-034	1.83965e-036	2.52897e-038	8.88817e-041	9.25925e-043	2.49298e-045	2.0323e-047	4.27561e-050	2.80136e-052	7.47127e-055	9.23681e-057	
N7	3.7535e-019	3.7526e-017	3.88391e-015	2.59857e-013	1.0575e-011	3.03343e-010	6.96928e-009	1.17898e-007	1.25142e-006	8.69454e-006	4.59094e-005	0.000189781	0.000723881	0.00271246	0.00889867	0.0239302	0.0520553	0.0923844	0.137284	0.17565	0.190794	0.162594	0.0988571	0.0404312	0.0110093	0.00208452	0.000303137	3.7355e-005	3.91348e-006	3.32743e-007	2.17504e-008	1.28817e-009	1.00841e-010	5.78693e-012	3.32274e-013	2.20511e-014	6.14905e-016	2.09381e-017	5.57403e-019	1.08857e-020	1.44636e-022	3.35726e-024	2.55232e-026	5.13416e-028	3.05516e-030	4.87266e-032	2.03385e-034	2.5651e-036	7.83023e-039	7.3647e-041	1.68671e-043	1.1843e-045	2.04503e-048	1.10021e-050	1.45346e-053	6.10367e-056	9.64643e-059	7.09126e-061	
N8	2.45155e-016	8.43485e-015	3.53917e-013	1.13994e-011	2.68609e-010	4.66651e-009	6.21931e-008	6.66386e-007	5.86834e-006	4.27834e-005	0.000252991	0.00115999	0.00400841	0.0106246	0.0229516	0.0427478	0.0706352	0.105851	0.145335	0.177225	0.177694	0.134592	0.0723056	0.0266114	0.00665357	0.00114742	0.000141749	1.31028e-005	9.62844e-007	6.55635e-008	3.90706e-009	2.71927e-010	2.61615e-011	1.42526e-012	7.79162e-014	5.06977e-015	1.38945e-016	5.95635e-018	1.67562e-019	6.01094e-021	1.07967e-022	5.10301e-024	6.63604e-026	2.75713e-027	2.83694e-029	9.18819e-031	7.11193e-033	1.7886e-034	1.06177e-036	2.04741e-038	9.57607e-041	1.4424e-042	5.4183e-045	6.84505e-047	2.13452e-049	2.35268e-051	1.31331e-053	3.91215e-055	
