NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.0162384	0.0200291	0.0280625	0.0408626	0.0580644	0.0777023	0.0962322	0.109563	0.114447	0.109729	0.0966636	0.0783325	0.0584562	0.0401998	0.0254872	0.0148969	0.00802488	0.00398157	0.00181805	0.000763163	0.000294164	0.000103973	3.36506e-005	9.95678e-006	2.68917e-006	6.61894e-007	1.48238e-007	3.0164e-008	5.56916e-009	9.31823e-010	1.41146e-010	1.93379e-011	2.39473e-012	2.67903e-013	6.65675e-017	2.01047e-017	5.76946e-018	1.57324e-018	4.07679e-019	1.0041e-019	2.35104e-020	5.23455e-021	1.10857e-021	2.23387e-022	4.28467e-023	7.82553e-024	1.36153e-024	2.25759e-025	3.56918e-026	5.38268e-027	7.74723e-028	1.0647e-028	1.39786e-029	1.75425e-030	2.1055e-031	2.41848e-032	2.66099e-033	2.80912e-034	2.85763e-035	2.84397e-036	2.94835e-037	4.4714e-038	
N2	8.45524e-005	0.00016514	0.000393759	0.000941446	0.00208605	0.00427637	0.00793715	0.0136421	0.0214778	0.0314171	0.0430426	0.0569133	0.0714962	0.0870738	0.100147	0.108199	0.107606	0.0995531	0.0824683	0.0629091	0.04308	0.0267911	0.0148994	0.00765753	0.00346463	0.00145687	0.000548629	0.000190007	5.89082e-005	1.72553e-005	4.4352e-006	1.08463e-006	2.37713e-007	4.8844e-008	8.99344e-009	1.60115e-009	2.49231e-010	3.7771e-011	5.13499e-012	6.67744e-013	7.78321e-014	8.96831e-015	9.02859e-016	9.0453e-017	8.13518e-018	7.126e-019	5.60842e-020	4.45408e-021	3.08746e-022	2.17232e-023	1.38001e-024	8.71786e-026	5.01111e-027	2.99242e-028	1.61674e-029	9.26584e-031	5.12169e-032	2.97187e-033	1.71035e-034	1.02658e-035	6.12382e-037	5.30576e-038	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	2.69288e-007	8.06447e-007	3.23358e-006	1.26163e-005	4.37361e-005	0.000134968	0.000371205	0.000915377	0.00195284	0.00355278	0.00566792	0.00860357	0.0132084	0.0214841	0.0360565	0.0598845	0.092868	0.129869	0.15409	0.155895	0.130622	0.0911575	0.0522801	0.0258735	0.0103273	0.00366585	0.00109006	0.000288647	6.39573e-005	1.36687e-005	2.30938e-006	3.86784e-007	5.314e-008	7.02143e-009	7.53365e-010	8.35104e-011	7.07761e-012	6.32161e-013	4.507e-014	3.29518e-015	1.91213e-016	1.20984e-017	5.79701e-019	3.08345e-020	1.29206e-021	5.81766e-023	2.06431e-024	8.4133e-026	2.54362e-027	8.93253e-029	2.47309e-030	7.60752e-032	1.82904e-033	5.28873e-035	1.12312e-036	2.92562e-038	6.19659e-040	1.57618e-041	3.779e-043	1.19078e-044	3.68155e-046	1.66616e-047	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.0108801	0.0145775	0.0214309	0.0324529	0.0476054	0.0663564	0.0849477	0.100984	0.110148	0.11076	0.10235	0.0882953	0.0696293	0.0515908	0.0354099	0.0227952	0.0136124	0.00788	0.00414704	0.00216726	0.00105538	0.000510548	0.00022695	0.000109236	4.44805e-005	2.0281e-005	7.96819e-006	3.35583e-006	1.16832e-006	4.71761e-007	1.43464e-007	5.14371e-008	1.43181e-008	4.50187e-009	1.08549e-009	3.18288e-010	6.59443e-011	1.68615e-011	3.21996e-012	7.27031e-013	1.20008e-013	2.53738e-014	3.6504e-015	6.85702e-016	9.27985e-017	1.5192e-017	1.8172e-018	2.95764e-019	3.05041e-020	4.29034e-021	4.37515e-022	5.60022e-023	4.93489e-024	6.11999e-025	4.8323e-026	5.47416e-027	4.24583e-028	4.42028e-029	3.82772e-030	5.2845e-031	7.4285e-032	2.26628e-032	
N5	0.00380239	0.00534461	0.00837591	0.0135307	0.0212348	0.0319911	0.0448569	0.0594447	0.0735235	0.0853318	0.0925005	0.0951823	0.091008	0.0832072	0.071823	0.0593112	0.0464366	0.0357041	0.0256256	0.0182817	0.0123831	0.00825463	0.00517229	0.00332878	0.00191676	0.00114591	0.000623288	0.000341214	0.000166338	8.57505e-005	3.71044e-005	1.71374e-005	6.81823e-006	2.80297e-006	9.83785e-007	3.76767e-007	1.1633e-007	3.96088e-008	1.13298e-008	3.45235e-009	8.74252e-010	2.49944e-010	5.6311e-011	1.44771e-011	3.06448e-012	7.04811e-013	1.33715e-013	2.95501e-014	4.99411e-015	9.87046e-016	1.59855e-016	2.87143e-017	4.16353e-018	7.19372e-019	9.52258e-020	1.5288e-020	2.05371e-021	3.28925e-022	5.02735e-023	9.85308e-024	2.05954e-024	7.82241e-025	
N6	3.2115e-006	8.18438e-006	2.6106e-005	8.11687e-005	0.000229557	0.00058792	0.00131524	0.00265683	0.00504321	0.00925507	0.0163365	0.0276688	0.0421628	0.0571184	0.0671939	0.071027	0.070237	0.0690371	0.065249	0.0620485	0.0589404	0.058709	0.0591075	0.0604594	0.0553215	0.0481036	0.0365166	0.0253417	0.0150724	0.00849747	0.00393578	0.00174255	0.000649931	0.000226204	6.60544e-005	1.88711e-005	4.34465e-006	9.90789e-007	1.88965e-007	3.48758e-008	5.3728e-009	8.42095e-010	1.06209e-010	1.38048e-011	1.50054e-012	1.6312e-013	1.48705e-014	1.43205e-015	1.10323e-016	9.05472e-018	6.25009e-019	4.43905e-020	2.64782e-021	1.72558e-022	9.15109e-024	5.42721e-025	2.8694e-026	1.68894e-027	9.69357e-029	6.34207e-030	4.116e-031	4.04117e-032	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
