Abildgaardia hygrophila;;;;Meter en;HINCHLIFF;SPALINK;;;
Abildgaardia ovata;;2n=10;;;X;;;;
Actinoschoenus thouarsii;;;;;;;;;
Aira caryophyllea;;;;;;;;;
Alinula lipocarphioides;;;;;;;;;
Alinula paradoxa;;;;;;;;;
Amphiscirpus nevadensis;;;;;;;;;
Anarthria polyphylla;;;;;;;;;
Androtrichum giganteum;;;;;;;;;
Androtrichum trigynum;;;;;;;;;
Anomochloa marantoidea;;;;;;;;;
Aristida purpurea;;;;;;;;;
Arthrostylis aphylla;;;;;;;;;
Arundo donax;;;;;;;;;
Ascolepis brasiliensis;;?;;;;;;;
Ascolepis capensis;;;;;;;;;
Ascolepis protea;;;;;;;;;
Attalea sp;;;;;;;;;
Baloskion tetraphyllum;;;;;;;;;
Baumea johnsonii;;;;;;;;;
Baumea rubiginosa;;;;;;;;;
Becquerelia cymosa;;?;;;;;;;
Becquerelia tuberosa;;;;;;;;;
Bolboschoenus caldwellii;;;;;;;;;
Bolboschoenus nobilis;;;;;;;;;
Bolboschoenus yagara;;;;;;;;;
Brocchinia micrantha;;;;;;;;;
Bulbostylis atrosanguinea;;;;;;;;;
Bulbostylis burchellii;;;;;;;;;
Bulbostylis hirtella;;;;;;;;;
Calyptrocarya glomerulata;;n=10;ML;;X;X;;;
Calyptrocarya poeppigiana;;;;;;;;;
Capeobolus brevicaulis;;;;;;;;;
Capitularina involucrata;;;;;;;;;
Carex adrienii;;;;;;;;;
Carex aequialta;;;;;;;;;
Carex amphibola;;;;;;;;;
Carex bavicola;;;;;;;;;
Carex berteroana;;;;;;;;;
Carex camptoglochin;;;;;;;;;
Carex composita;;;;;;;;;
Carex cryptostachys;;;;;;;;;
Carex dielsiana;;;;;;;;;
Carex dimorpholepis;;;;;;;;;
Carex elynoides;;;;;;;;;
Carex fuscula;;?;;;;;;;
Carex grandiligulata;;;;;;;;;
Carex hypolytroides;;;;;;;;;
Carex lamprocarpa;2n=58;Estaba como C. muricata subsp. lamprocarpa;;;X;;;;
Carex leptalea subsp leptalea;2n=52;;;;X;X;;;
Carex metallica;;;;;;;;;
Carex monostachya;;;;;;;;;
Carex moupinensis;;;;;;;;;
Carex oligocarpa;;;;;;;;;
Carex omiana;;;;;;;;;
Carex phacota;;;;;;;;;
Carex polystachya;;;;;;;;;
Carex stramentitia;;;;;;;;;
Carex subcernua;;;;;;;;;
Carex tumidula;;;;;;;;;
Carex vallis rosetto;;?;;;;;;;
Carex vulcani;;;;;;;;;
Carpha alpina;;;;;;;;;
